date,open,high,low,close,volume
1996-01-02,6.71899,7.12536,6.71899,6.79727,9751474
1996-01-03,6.81956,6.87952,6.79727,6.81956,8411048
1996-01-04,6.87952,6.96146,6.81956,6.92044,7617197
1996-01-05,6.90152,6.92044,6.73762,6.77894,6344358
1996-01-08,6.75615,6.90152,6.75615,6.90152,1745936
1996-01-09,6.90152,6.90152,6.79727,6.84573,4909526
1996-01-10,6.77121,6.79351,6.54806,6.5663,8773644
1996-01-11,6.60721,6.67083,6.58859,6.64824,5684606
1996-01-12,6.71186,6.73018,6.60721,6.62931,7684252
1996-01-15,6.62931,6.64824,6.54806,6.58859,5747897
1996-01-16,6.60721,6.68917,6.50634,6.54806,19442871
1996-01-17,6.48375,6.50634,6.32025,6.34245,21151793
1996-01-18,6.38357,6.4023,6.27893,6.4023,9560520
1996-01-19,6.36108,6.46552,6.36108,6.38357,12024667
1996-01-22,6.38357,6.4023,6.27893,6.34245,8951187
1996-01-23,6.30163,6.52557,6.23791,6.44333,12017160
1996-01-24,6.46552,6.54806,6.4245,6.50634,11705519
1996-01-25,6.46552,6.52557,6.4245,6.48375,7247632
1996-01-26,6.48375,6.60721,6.38357,6.58859,6835687
1996-01-29,6.5663,6.64824,6.54806,6.5663,5774182
1996-01-30,6.75248,6.95374,6.73018,6.87189,16606469
1996-01-31,6.89438,6.99495,6.81234,6.95374,10592524
1996-02-01,6.99495,7.03618,6.95374,7.03618,11785983
1996-02-02,7.01735,7.18135,6.97642,7.05838,11061323
1996-02-05,7.05838,7.11812,6.97642,7.0994,6988559
1996-02-06,7.05838,7.07701,6.91281,6.97642,7514215
1996-02-07,6.99495,7.0994,6.95374,7.0994,7420350
1996-02-08,7.07701,7.18135,7.03618,7.11812,7341496
1996-02-09,7.15905,7.20008,7.0994,7.11812,7220269
1996-02-12,7.14052,7.28212,7.14052,7.24139,7764170
1996-02-13,7.22247,7.26379,7.11812,7.15905,6319141
1996-02-14,7.14052,7.20008,6.95374,7.01735,5414808
1996-02-15,6.99495,7.32325,6.99495,7.20008,10810301
1996-02-16,7.14052,7.14052,7.01735,7.07701,6677449
1996-02-20,6.93531,7.03618,6.89438,6.99495,6020384
1996-02-21,6.95374,6.99495,6.71186,6.71186,16661721
1996-02-22,6.81234,6.85315,6.77121,6.83453,11585909
1996-02-23,6.89438,6.95374,6.79351,6.83453,7974430
1996-02-26,6.85315,6.85315,6.68917,6.71186,7607545
1996-02-27,6.73018,6.77121,6.60721,6.64824,11162160
1996-02-28,6.67083,6.85315,6.67083,6.77121,11678165
1996-02-29,6.71186,6.93531,6.71186,6.83453,11086537
1996-03-01,6.97642,7.01735,6.81234,6.91281,10934195
1996-03-04,6.97642,7.20008,6.97642,7.18135,12118535
1996-03-05,7.11812,7.14052,6.97642,7.07701,9547644
1996-03-06,7.11812,7.15905,7.01735,7.05838,6141069
1996-03-07,7.0994,7.20008,7.05838,7.18135,8533880
1996-03-08,7.0994,7.0994,6.81234,6.97642,10531375
1996-03-11,6.87189,6.93531,6.83453,6.91281,6704273
1996-03-12,6.87189,6.93531,6.79351,6.93531,5273738
1996-03-13,6.85315,6.91281,6.77121,6.79351,5342398
1996-03-14,6.83453,6.95374,6.83453,6.89438,5498480
1996-03-15,6.67083,6.79351,6.64824,6.71186,19049701
1996-03-18,6.77121,6.95374,6.58859,6.62931,11938852
1996-03-19,6.64824,6.77121,6.5663,6.77121,12320226
1996-03-20,6.75248,6.75248,6.60721,6.62931,8998922
1996-03-21,6.67083,6.79351,6.67083,6.75248,9880206
1996-03-22,6.71186,6.77121,6.67083,6.71186,4966922
1996-03-25,6.71186,6.75248,6.54806,6.64824,7239046
1996-03-26,6.67083,6.73018,6.64824,6.71186,6734847
1996-03-27,6.75248,6.75248,6.58859,6.62931,7444483
1996-03-28,6.5663,6.73018,6.5663,6.64824,9752545
1996-03-29,6.71186,6.81234,6.62931,6.67083,10704629
1996-04-01,6.77121,6.87189,6.73018,6.85315,7712675
1996-04-02,6.85315,6.87189,6.81234,6.83453,5128907
1996-04-03,6.83453,6.85315,6.79351,6.83453,4914891
1996-04-04,6.83453,6.91281,6.79351,6.87189,6834073
1996-04-08,6.75248,7.05838,6.75248,7.05838,14449670
1996-04-09,7.01735,7.05838,6.89438,6.91281,10059360
1996-04-10,6.87189,6.93531,6.68917,6.75248,8825671
1996-04-11,6.70769,6.81234,6.62585,6.78994,12603428
1996-04-12,6.77121,6.87189,6.77121,6.83126,4182183
1996-04-15,6.87189,6.87189,6.73018,6.78994,7832285
1996-04-16,6.78994,6.81234,6.70769,6.74911,5585912
1996-04-17,6.70769,6.73018,6.64824,6.70769,6172711
1996-04-18,6.73018,6.78994,6.66707,6.74911,7412295
1996-04-19,6.77121,6.89438,6.74911,6.85315,7003579
1996-04-22,6.89438,6.95374,6.81234,6.81234,5783834
1996-04-23,6.81234,6.89438,6.77121,6.87189,3942965
1996-04-24,6.85315,6.85315,6.64824,6.66707,9187730
1996-04-25,6.66707,6.77121,6.66707,6.74911,7194534
1996-04-26,6.74911,6.78994,6.68917,6.68917,5395489
1996-04-29,6.68917,6.81234,6.68917,6.77121,5874481
1996-04-30,6.73018,6.73018,6.66707,6.68917,5574108
1996-05-01,6.68917,6.73018,6.64824,6.70769,6275707
1996-05-02,6.62585,6.68917,6.56213,6.60355,7604861
1996-05-03,6.60355,6.64824,6.48038,6.48038,8159489
1996-05-06,6.544,6.58472,6.42083,6.52171,7974430
1996-05-07,6.56213,6.56213,6.43936,6.50298,8056498
1996-05-08,6.46155,6.544,6.35731,6.48038,9447881
1996-05-09,6.52171,6.57392,6.48038,6.544,8808506
1996-05-10,6.58472,6.64824,6.56213,6.60355,6077782
1996-05-13,6.62585,6.74911,6.58472,6.73018,10235832
1996-05-14,6.73018,6.73018,6.62585,6.66707,7261036
1996-05-15,6.68917,6.77121,6.66707,6.74911,9111031
1996-05-16,6.66707,6.78994,6.66707,6.73018,6654384
1996-05-17,6.77121,6.83126,6.74911,6.78994,5858391
1996-05-20,6.81234,6.87189,6.74911,6.83126,5365456
1996-05-21,6.83126,6.87189,6.77121,6.81234,5204000
1996-05-22,6.81234,6.91281,6.77121,6.89438,7470766
1996-05-23,6.87189,6.93531,6.74911,6.81234,8596645
1996-05-24,6.85315,7.05838,6.83126,7.03618,8242086
1996-05-28,7.05838,7.0994,6.93531,6.97642,7113532
1996-05-29,6.97642,7.05838,6.93531,6.93531,5538168
1996-05-30,6.95374,7.0994,6.93531,7.05838,7293225
1996-05-31,7.05838,7.14052,7.01735,7.0994,6676380
1996-06-03,7.03618,7.07701,6.97642,7.01735,5292514
1996-06-04,7.01735,7.07701,6.99495,7.03618,6263898
1996-06-05,7.01735,7.22247,7.01735,7.22247,9142140
1996-06-06,7.22247,7.22247,7.14052,7.18135,7494900
1996-06-07,7.01735,7.20374,6.99495,7.18135,5639010
1996-06-10,7.14052,7.20374,7.07701,7.14052,6243517
1996-06-11,7.14052,7.18135,7.07701,7.11812,5268372
1996-06-12,7.07701,7.0994,6.99495,7.03618,8482387
1996-06-13,7.03618,7.14052,7.03618,7.14052,5088145
1996-06-14,7.15905,7.15905,7.03618,7.05838,4084571
1996-06-17,7.07701,7.11812,7.05838,7.07701,4979796
1996-06-18,7.07701,7.11812,7.07701,7.11812,6639902
1996-06-19,7.0994,7.11812,7.07701,7.0994,3402820
1996-06-20,7.0994,7.11812,7.01735,7.03618,4337209
1996-06-21,7.03618,7.14052,7.03618,7.0994,9459146
1996-06-24,7.11812,7.20374,7.0994,7.11812,5790810
1996-06-25,7.15905,7.22247,7.14052,7.15905,5266759
1996-06-26,7.14052,7.20374,7.0994,7.14052,4030931
1996-06-27,7.11812,7.22247,7.0994,7.20374,3927942
1996-06-28,7.22247,7.22247,7.15905,7.15905,5153583
1996-07-01,7.20374,7.22247,7.14052,7.14052,3356699
1996-07-02,7.14052,7.18135,7.0994,7.14052,3477919
1996-07-03,7.11812,7.18135,7.11812,7.18135,2984443
1996-07-05,7.07701,7.11812,7.03618,7.03618,2567671
1996-07-08,6.99495,7.05838,6.89438,6.93531,4759338
1996-07-09,6.97642,6.97642,6.81234,6.85315,8551583
1996-07-10,6.87189,6.99495,6.85315,6.99495,6973540
1996-07-11,7.01359,7.22247,7.01359,7.20008,15341139
1996-07-12,7.20008,7.34554,7.15905,7.32641,15471478
1996-07-15,7.32641,7.34554,7.18135,7.20008,11036115
1996-07-16,7.22247,7.24139,6.95374,7.18135,18169495
1996-07-17,7.24139,7.24139,7.07701,7.0994,8392812
1996-07-18,7.11812,7.5131,7.0994,7.47207,11890040
1996-07-19,7.40885,7.45008,7.30461,7.34554,7877339
1996-07-22,7.32641,7.34554,7.26379,7.34554,6571246
1996-07-23,7.32641,7.34554,7.18135,7.22247,7188629
1996-07-24,7.0994,7.26379,7.05838,7.24139,6322901
1996-07-25,7.28598,7.34554,7.24139,7.30461,6420523
1996-07-26,7.30461,7.38646,7.28598,7.38646,3894155
1996-07-29,7.30461,7.34554,7.26379,7.28598,3473088
1996-07-30,7.34554,7.34554,7.26379,7.32641,4240121
1996-07-31,7.26379,7.30461,7.24139,7.26379,4067408
1996-08-01,7.26379,7.42748,7.26379,7.36794,7082957
1996-08-02,7.42748,7.4911,7.38646,7.4911,6039153
1996-08-05,7.4911,7.55383,7.47207,7.53182,5186299
1996-08-06,7.4911,7.63627,7.4911,7.59544,6742354
1996-08-07,7.57275,7.61427,7.4911,7.4911,5462006
1996-08-08,7.45008,7.6547,7.45008,7.59544,8514572
1996-08-09,7.57275,7.71831,7.57275,7.69929,6106202
