date,open,high,low,close,volume
1996-01-02,6.60049,6.72041,6.436,6.436,2637947
1996-01-03,6.436,6.436,6.11379,6.11379,3140869
1996-01-04,6.11379,6.35336,6.03856,6.32327,2334168
1996-01-05,6.35336,6.45818,6.18106,6.32327,2042305
1996-01-08,6.28629,6.28629,6.18106,6.28629,190775
1996-01-09,6.18106,6.21854,5.4768,5.51418,5826515
1996-01-10,5.44683,5.82898,5.44683,5.65659,5003968
1996-01-11,5.90394,6.00867,5.72405,5.93381,3019678
1996-01-12,5.90394,6.00867,5.79141,5.86635,1461431
1996-01-15,5.86635,5.86635,4.91526,5.09475,3181270
1996-01-16,5.26704,5.55176,5.09475,5.4768,5573094
1996-01-17,5.19958,5.65659,5.19958,5.51418,5719026
1996-01-18,5.4768,5.58154,5.19958,5.58154,4088882
1996-01-19,5.4768,6.39092,5.4768,6.32327,6858698
1996-01-22,6.32327,6.35336,6.14348,6.28629,3021817
1996-01-23,6.28629,6.30108,6.18106,6.18106,2403925
1996-01-24,6.21854,6.42819,6.21854,6.42819,2892967
1996-01-25,6.42819,6.45818,6.07613,6.11379,2220987
1996-01-26,6.07613,6.45818,5.93381,6.24861,1858644
1996-01-29,6.24861,6.28629,6.07613,6.07613,1474957
1996-01-30,6.07613,6.28629,6.03856,6.21854,1947630
1996-01-31,6.24861,6.35336,6.21854,6.32327,771291
1996-02-01,6.42819,6.78048,6.32327,6.74319,3939038
1996-02-02,6.74319,6.74319,6.45818,6.5708,3327198
1996-02-05,6.60049,6.9152,6.53294,6.88541,2029490
1996-02-06,6.95287,6.99024,6.84784,6.9152,2733868
1996-02-07,6.95287,7.65711,6.88541,7.58197,9034832
1996-02-08,7.58197,7.8297,7.55228,7.79962,9124523
1996-02-09,7.79962,8.03927,7.79962,8.03927,4974065
1996-02-12,8.0087,8.03927,7.76215,7.79962,2730665
1996-02-13,7.3719,7.72467,7.3719,7.40957,5205423
1996-02-14,7.55228,7.79962,7.26737,7.34241,7717904
1996-02-15,7.40957,7.61983,7.3719,7.58197,2713939
1996-02-16,7.58197,7.8297,7.55228,7.79962,1521938
1996-02-20,7.72467,8.11402,7.65711,8.03927,2075407
1996-02-21,7.97211,8.07724,7.76215,8.0087,2989068
1996-02-22,8.1516,8.46512,8.1516,8.3234,4201356
1996-02-23,8.39273,8.42804,7.97211,8.1516,2852395
1996-02-26,8.03927,8.07724,7.93424,8.0087,818628
1996-02-27,8.0087,8.0087,7.8297,7.90476,1594903
1996-02-28,7.93424,8.03927,7.79962,7.79962,1691004
1996-02-29,7.44755,7.61983,7.23758,7.55228,4498911
1996-03-01,7.51481,7.51481,6.9152,7.02753,4816395
1996-03-04,7.02753,7.09517,6.88541,6.88541,4607821
1996-03-05,6.88541,7.34241,6.88541,7.30465,3044952
1996-03-06,7.3719,7.3719,7.02753,7.09517,2261198
1996-03-07,7.13265,7.34241,7.13265,7.26737,3616922
1996-03-08,7.23758,7.44755,6.81036,7.09517,5066611
1996-03-11,7.02753,7.26737,7.02753,7.13265,2684036
1996-03-12,7.0577,7.09517,6.95287,6.95287,1068491
1996-03-13,7.09517,7.58197,7.0577,7.55228,6332285
1996-03-14,7.61983,7.93424,7.61983,7.90476,5723998
1996-03-15,8.0087,8.3234,7.93424,8.25643,5122845
1996-03-18,8.25643,8.28681,8.18139,8.25643,2183248
1996-03-19,8.25643,8.25643,7.86668,7.97211,1857220
1996-03-20,7.97211,7.97211,7.76215,7.77694,2670156
1996-03-21,7.76215,7.8297,7.69459,7.72467,2199979
1996-03-22,7.72467,7.90476,7.72467,7.79962,1196980
1996-03-25,7.86668,8.0087,7.8297,7.8297,3716585
1996-03-26,7.79962,7.79962,7.55228,7.55228,2829612
1996-03-27,7.58197,8.03927,7.58197,7.90476,3558906
1996-03-28,7.93424,8.03927,7.86668,7.93424,3076270
1996-03-29,7.93424,7.97211,7.79962,7.86668,1586366
1996-04-01,7.86668,7.90476,7.76215,7.79962,1821627
1996-04-02,7.76215,7.76215,7.55228,7.58197,2033408
1996-04-03,7.61983,7.76215,7.58197,7.72467,1871458
1996-04-04,7.72467,7.72467,7.61983,7.61983,1315503
1996-04-08,7.47703,7.90476,7.44755,7.72467,4788274
1996-04-09,7.72467,7.76215,7.58197,7.69459,1835511
1996-04-10,7.69459,7.86668,7.65711,7.72467,3563179
1996-04-11,7.69459,7.69459,7.26737,7.30465,4076780
1996-04-12,7.30465,7.34241,7.02753,7.09517,2513550
1996-04-15,7.26737,7.3719,7.26737,7.26737,1834796
1996-04-16,7.40957,7.65711,7.40957,7.55228,2512125
1996-04-17,7.02753,7.09517,6.32327,6.70532,16051920
1996-04-18,6.81036,6.99024,6.74319,6.78048,9175777
