date,open,high,low,close,volume
1996-01-02,14.173,14.5653,13.9544,14.0024,2087735
1996-01-03,14.0426,14.2652,13.9544,13.9544,2311930
1996-01-04,13.9544,14.476,13.9544,14.2985,1567782
1996-01-05,14.1309,14.5162,14.0887,14.3878,1355177
1996-01-08,14.2985,14.5653,14.2652,14.4329,358996
1996-01-09,14.3486,14.3486,13.9112,13.9544,882847
1996-01-10,13.6945,13.7789,12.9552,13.3024,1894509
1996-01-11,13.4798,13.5661,13.3974,13.5661,2613802
1996-01-12,13.5661,13.5661,13.266,13.3974,1626211
1996-01-15,13.3974,13.6122,13.3484,13.6122,1592898
1996-01-16,13.6122,13.8249,13.6122,13.8249,824690
1996-01-17,13.873,14.0887,13.873,14.0024,1167674
1996-01-18,14.0024,14.3878,13.6945,13.873,2307502
1996-01-19,13.7789,13.873,13.6563,13.8249,1451850
1996-01-22,13.7436,13.8249,13.6945,13.8249,529057
1996-01-23,13.8249,13.8249,13.7436,13.8249,852789
1996-01-24,13.8249,14.0887,13.7436,13.9544,1681509
1996-01-25,14.0887,14.4329,14.0426,14.3486,1887875
1996-01-26,14.3486,14.5653,14.173,14.5162,1589648
1996-01-29,14.5162,14.8643,14.476,14.8251,1079848
1996-01-30,14.9095,14.9947,14.6466,14.9095,1899977
1996-01-31,14.9095,15.3017,14.9095,15.087,2393383
1996-02-01,15.087,15.2164,14.9947,15.2164,1736684
1996-02-02,15.2164,15.2164,14.9947,15.087,850058
1996-02-05,14.9546,15.2164,14.9095,14.9095,955064
1996-02-06,15.087,15.4693,14.8251,15.388,2645807
1996-02-07,15.4693,15.5194,15.2566,15.4301,1175613
1996-02-08,15.3017,15.388,15.1242,15.3017,1415032
1996-02-09,15.3478,15.4301,15.2566,15.4301,816098
1996-02-12,15.4693,15.5645,15.388,15.5194,964044
1996-02-13,15.5194,15.9439,15.5194,15.8645,1492056
1996-02-14,15.7312,15.8244,15.5645,15.5645,1087781
1996-02-15,15.5645,15.5978,15.4301,15.5194,1526932
1996-02-16,15.5194,15.5645,15.3017,15.3478,1281529
1996-02-20,15.087,15.2164,14.6466,14.9095,1562714
1996-02-21,14.8251,15.2566,14.8251,14.9546,1971411
1996-02-22,15.087,15.7312,15.087,15.5978,1154921
1996-02-23,15.5978,15.8244,15.5645,15.7753,1444179
1996-02-26,15.6468,15.6468,15.388,15.4693,1139835
1996-02-27,15.4693,15.5194,15.2566,15.3478,1172490
1996-02-28,15.4301,15.6468,15.0418,15.2164,5417709
1996-02-29,15.2164,15.2566,14.7418,14.8643,1403839
1996-03-01,15.1703,15.2164,14.8251,15.1703,1467206
1996-03-04,15.1242,15.2164,14.9947,15.1242,920584
1996-03-05,15.0418,15.1242,15.0418,15.1242,777843
1996-03-06,15.2164,15.388,15.1242,15.2164,747783
1996-03-07,15.1242,15.3017,15.087,15.2566,365499
1996-03-08,14.9095,14.9947,14.1309,14.5653,2297745
1996-03-11,14.476,14.476,14.0426,14.0426,2759402
1996-03-12,14.1309,14.173,13.7789,14.0024,3072988
1996-03-13,14.0887,14.476,14.0887,14.476,1157005
1996-03-14,14.476,14.8643,14.476,14.6094,863589
1996-03-15,14.5653,14.5653,14.0426,14.3486,1620480
1996-03-18,14.2985,14.9947,14.2985,14.8251,968983
1996-03-19,14.8251,14.8643,14.2652,14.5653,1351013
1996-03-20,14.6094,14.7418,14.3486,14.5162,1074383
1996-03-21,14.7418,14.7418,14.3878,14.5653,1112629
1996-03-22,14.6466,14.6466,14.3878,14.6094,810239
1996-03-25,14.6094,14.7418,14.5162,14.6937,1553082
1996-03-26,14.9546,14.9947,14.6937,14.6937,1293109
1996-03-27,14.8643,14.9095,14.476,14.5653,1281659
1996-03-28,14.4329,14.8251,14.4329,14.779,1992227
1996-03-29,14.8643,14.9947,14.5653,14.5653,1491535
1996-04-01,14.6094,14.8251,14.5162,14.779,792153
1996-04-02,14.8251,15.087,14.8251,14.8643,1453286
1996-04-03,14.9095,14.9095,14.5653,14.6937,556382
1996-04-04,14.6937,14.6937,14.6094,14.6466,635621
1996-04-08,14.2985,14.4329,14.2652,14.3486,1409432
1996-04-09,14.4329,14.4329,14.2191,14.2985,1653534
1996-04-10,14.2191,14.2652,13.3974,13.6122,2328973
1996-04-11,13.5661,13.6122,13.0022,13.4346,4722355
1996-04-12,13.4346,13.8249,13.4346,13.8249,1231822
1996-04-15,13.7436,13.9112,13.5239,13.5239,1278144
1996-04-16,13.6945,13.7436,13.5239,13.6945,1173920
1996-04-17,13.7789,14.1309,13.7436,13.8249,1160261
1996-04-18,14.0887,14.3486,14.0426,14.2191,1631540
1996-04-19,14.4329,14.5162,14.2985,14.4329,1190449
1996-04-22,14.476,14.5653,14.2191,14.2652,942569
1996-04-23,14.0426,14.0887,13.6945,13.8249,1782869
1996-04-24,13.873,13.9112,13.6945,13.873,809465
1996-04-25,13.9544,14.1309,13.6563,13.8249,1286864
1996-04-26,13.7789,13.873,13.6122,13.6122,1013875
1996-04-29,13.5661,13.5661,13.4798,13.5239,1092081
1996-04-30,13.6122,13.6122,13.4346,13.4798,1346978
1996-05-01,13.3974,13.873,13.3484,13.5661,1842985
1996-05-02,13.4346,13.6122,13.3024,13.3024,1456665
1996-05-03,13.3484,13.6945,13.3024,13.3974,1774022
1996-05-06,13.3484,13.4798,13.266,13.3024,752602
1996-05-07,13.3024,13.3484,13.1317,13.1797,1080108
1996-05-08,13.1317,13.3974,12.9552,13.3024,2911639
1996-05-09,13.3974,13.5661,13.3974,13.4346,1781697
1996-05-10,13.6122,13.6945,13.5239,13.6563,1926124
1996-05-13,13.6945,13.873,13.5239,13.6563,1292717
1996-05-14,13.6563,13.8249,13.5661,13.8249,2385577
1996-05-15,13.8249,14.173,13.6563,13.873,1578455
1996-05-16,13.873,14.0887,13.8249,13.9112,1721583
1996-05-17,13.9544,14.0024,13.7789,13.873,1871480
1996-05-20,13.873,14.0887,13.8249,14.0024,2113631
1996-05-21,14.0887,14.2985,14.0024,14.1309,1760877
1996-05-22,14.2191,14.4329,14.2191,14.2191,1541765
1996-05-23,14.3486,14.5653,14.3486,14.476,1130073
1996-05-24,14.5162,14.9947,14.5162,14.9095,1032485
1996-05-28,14.9095,14.9546,14.6937,14.6937,993188
1996-05-29,14.6094,14.6937,14.2191,14.2191,839649
1996-05-30,14.2191,14.2652,14.0024,14.173,3054641
1996-05-31,14.2191,14.6937,14.173,14.6466,2164765
1996-06-03,14.6094,15.1703,14.5653,14.9546,1736943
1996-06-04,15.388,15.9087,15.388,15.9087,2783476
1996-06-05,15.8244,16.0783,15.5645,16.0783,2172574
1996-06-06,16.0783,16.1224,15.8244,15.9087,1056297
1996-06-07,15.4301,15.5978,15.3478,15.4301,1498563
1996-06-10,15.4301,15.4693,15.2566,15.3478,987591
1996-06-11,15.3478,15.5645,15.087,15.2566,1534088
1996-06-12,15.2566,15.388,14.9546,15.0418,1376775
1996-06-13,15.087,15.2164,14.9947,15.087,1519254
1996-06-14,15.1703,15.2566,15.1242,15.1703,1347882
1996-06-17,15.1703,15.1703,14.9546,15.1703,651109
1996-06-18,15.1703,15.3478,14.9095,15.2164,1381589
1996-06-19,15.2164,15.3017,14.9947,15.2164,1045624
1996-06-20,15.2566,15.3017,14.779,14.8643,1343725
1996-06-21,15.0418,15.2566,14.9947,15.2164,1924571
1996-06-24,15.2566,15.3478,15.1242,15.3478,1087915
1996-06-25,15.388,15.5645,15.3478,15.388,720073
1996-06-26,15.3478,15.4693,15.3017,15.3478,866972
1996-06-27,15.3478,15.5194,15.2164,15.4693,924747
1996-06-28,15.5978,15.9087,15.5978,15.8244,1137229
1996-07-01,16.0783,16.2097,15.993,16.1224,1583661
1996-07-02,16.0783,16.1685,16.041,16.0783,967688
1996-07-03,16.0783,16.1224,15.7753,15.8645,758193
1996-07-05,15.5194,15.5645,15.388,15.4301,617538
1996-07-08,15.2566,15.3017,15.0418,15.2164,999042
1996-07-09,15.2566,15.2566,14.9546,15.1703,919019
1996-07-10,15.1703,15.1703,14.9546,15.0418,572385
1996-07-11,14.9947,14.9947,14.476,14.6937,1192395
1996-07-12,14.6094,14.9947,14.476,14.8643,710310
1996-07-15,14.6466,14.8251,14.3878,14.3878,618187
1996-07-16,14.2191,14.8251,14.173,14.5162,1258885
1996-07-17,14.8251,14.8251,14.5162,14.6094,733993
1996-07-18,14.6937,15.1242,14.5653,14.9546,1227788
1996-07-19,14.9546,14.9546,14.5653,14.6466,874655
1996-07-22,14.476,14.8251,14.3486,14.779,1026367
1996-07-23,14.8643,14.9546,14.476,14.6937,984077
1996-07-24,14.2652,14.8251,14.2652,14.8251,995014
1996-07-25,14.9947,15.1242,14.9095,15.1242,1149328
1996-07-26,15.2164,15.5645,15.1242,15.4693,1029621
1996-07-29,15.4693,15.6468,15.3017,15.5978,738679
1996-07-30,15.6978,15.7312,15.4693,15.5978,675568
1996-07-31,15.4693,15.5645,15.4301,15.5194,766779
1996-08-01,15.4948,15.6978,15.4301,15.6978,1343859
1996-08-02,15.7312,16.2989,15.7312,15.9439,1215301
1996-08-05,15.6978,16.041,15.6978,15.9439,656441
1996-08-06,15.8645,16.0783,15.8244,15.9439,838478
1996-08-07,15.9439,16.041,15.7753,15.993,931383
1996-08-08,15.9087,16.041,15.8645,15.9439,717207
1996-08-09,15.993,16.041,15.9087,15.993,527109
1996-08-12,15.9439,16.0783,15.8244,16.041,642260
1996-08-13,15.9087,15.9439,15.7753,15.8244,965083
1996-08-14,15.7753,15.8645,15.6468,15.8645,403490
1996-08-15,15.8244,15.8244,15.5645,15.5978,386189
1996-08-16,15.6978,15.9087,15.6978,15.8645,518518
1996-08-19,15.9439,15.9439,15.8645,15.9439,437454
1996-08-20,15.7753,15.7753,15.5194,15.6978,806339
1996-08-21,15.7312,16.041,15.7312,15.993,655661
1996-08-22,16.041,16.2989,16.041,16.2558,901456
1996-08-23,16.0783,16.2558,15.8645,16.041,964044
1996-08-26,15.993,15.993,15.6468,15.7312,364462
1996-08-27,15.8244,16.1224,15.6978,16.1224,985640
1996-08-28,15.993,16.1224,15.7312,15.8645,756499
1996-08-29,15.8645,15.8645,15.6468,15.6978,1133060
1996-08-30,15.5978,15.5978,15.087,15.4693,756499
1996-09-03,15.3478,15.5978,15.1242,15.5194,1069176
1996-09-04,15.9439,16.2558,15.8881,16.2558,1162604
1996-09-05,16.0783,16.1685,15.8244,15.8645,977313
1996-09-06,15.993,16.2097,15.8645,16.041,375520
1996-09-09,16.1224,16.4303,16.0783,16.4303,681295
1996-09-10,16.4303,16.4303,16.1685,16.2989,602054
1996-09-11,16.1685,16.5549,16.1224,16.5195,609996
1996-09-12,16.5549,16.6451,16.4676,16.5195,1063969
1996-09-13,16.6451,16.9471,16.6,16.9068,1608772
1996-09-16,16.5549,17.0775,16.5549,17.0324,1333964
1996-09-17,16.9471,16.9921,16.7764,16.8618,685589
1996-09-18,16.8618,16.8618,16.6,16.7294,561717
1996-09-19,16.6451,16.6862,16.5549,16.6,538296
1996-09-20,16.6862,16.9921,16.6,16.9921,1475012
1996-09-23,16.9068,16.9921,16.8157,16.9471,1164161
1996-09-24,16.9068,17.0324,16.8157,16.9471,1060457
1996-09-25,16.9471,16.9471,16.5195,16.6451,789551
1996-09-26,16.5549,16.9921,16.4303,16.6451,1440400
1996-09-27,16.7294,16.9471,16.5195,16.9068,752602
1996-09-30,17.0324,17.252,16.9471,17.0775,1024027
1996-10-01,16.9921,17.252,16.9068,17.1629,1590033
1996-10-02,17.2079,17.5089,17.2079,17.5089,1934069
