date,open,high,low,close,volume
1996-01-02,9.7533,9.7533,9.5037,9.58393,487723
1996-01-03,9.58393,9.58393,9.17486,9.17486,1220542
1996-01-04,9.34017,9.46408,9.14079,9.17486,1366832
1996-01-05,9.2543,9.34017,9.14079,9.17486,668682
1996-01-08,9.2543,9.55322,9.2543,9.55322,872011
1996-01-09,9.5037,9.67208,9.46408,9.55322,1504933
1996-01-10,9.42347,9.5037,9.01341,9.05214,1837092
1996-01-11,9.17486,9.17486,8.84116,9.01341,1709090
1996-01-12,9.01341,9.05214,8.84116,8.84116,1404498
1996-01-15,8.76183,8.84116,8.7234,8.76183,1101547
1996-01-16,8.80214,8.89108,8.76183,8.84116,804598
1996-01-17,8.84116,8.92377,8.7234,8.76183,413214
1996-01-18,8.84116,8.92377,8.56135,8.63207,1033315
1996-01-19,8.56135,8.7234,8.56135,8.67961,829162
1996-01-22,8.84116,8.84116,8.7234,8.80214,1177962
1996-01-23,8.80214,8.84116,8.67961,8.67961,426318
1996-01-24,8.7234,8.84116,8.63207,8.67961,560326
1996-01-25,8.63207,8.7234,8.56135,8.59226,628832
1996-01-26,8.4734,8.59226,8.4734,8.59226,990189
1996-01-29,8.63207,8.80214,8.56135,8.76183,976269
1996-01-30,8.76183,8.92377,8.76183,8.92377,907219
1996-01-31,8.84116,8.92377,8.76183,8.89108,648209
1996-02-01,8.63207,9.17486,8.63207,9.17486,1691892
1996-02-02,9.14079,9.14079,8.96419,9.01341,548319
1996-02-05,9.05214,9.09166,8.96419,9.01341,942975
1996-02-06,9.01341,9.01341,8.84116,8.89108,1508755
1996-02-07,8.84116,8.89108,8.63207,8.63207,2727116
1996-02-08,8.7234,8.76183,8.67961,8.7234,1116280
1996-02-09,8.7234,8.92377,8.7234,8.89108,1493475
1996-02-12,9.09166,9.09166,8.84116,9.05214,2953377
1996-02-13,8.92377,9.22201,8.92377,9.14079,1748384
1996-02-14,9.05214,9.09166,8.92377,9.05214,617364
1996-02-15,9.05214,9.2543,9.01341,9.2543,1188881
1996-02-16,9.2543,9.2543,9.09166,9.17486,609455
1996-02-20,9.01341,9.05214,8.89108,8.96419,1303513
1996-02-21,8.96419,8.96419,8.89108,8.96419,2796172
1996-02-22,9.05214,9.09166,8.89108,8.96419,2221377
1996-02-23,8.96419,8.96419,8.92377,8.92377,1150945
1996-02-26,8.92377,8.92377,8.89108,8.89108,969992
1996-02-27,8.92377,8.92377,8.80214,8.80214,461796
1996-02-28,8.89108,8.89108,8.76183,8.76183,123635
1996-02-29,8.7234,8.84116,8.59226,8.59226,665945
1996-03-01,8.67961,8.67961,8.42961,8.4734,1693810
1996-03-04,8.4734,8.56135,8.35167,8.35167,1094452
1996-03-05,8.42961,8.42961,8.18091,8.22954,1356733
1996-03-06,8.27005,8.51133,8.22954,8.51133,2153964
1996-03-07,8.51133,8.63207,8.39089,8.42961,1340905
1996-03-08,8.27005,8.35167,8.06135,8.1406,1352641
1996-03-11,8.1406,8.27005,8.10098,8.27005,766933
1996-03-12,8.22954,8.27005,8.1406,8.18091,498645
