date,open,high,low,close,volume
1996-01-02,16.9985,17.399,16.9512,17.3615,1146826
1996-01-03,17.4424,17.6782,17.399,17.6782,765898
1996-01-04,17.7235,17.8419,17.5154,17.6782,842081
1996-01-05,17.6416,17.8044,17.5982,17.7571,733478
1996-01-08,17.7235,17.8044,17.7235,17.7571,118603
1996-01-09,17.8419,17.9208,17.4424,17.4808,666213
1996-01-10,17.399,17.5578,17.3181,17.399,777786
1996-01-11,17.4424,17.4808,17.2353,17.4808,572197
1996-01-12,17.4808,17.6416,17.4424,17.4808,799130
1996-01-15,17.4808,17.5578,17.3181,17.3615,591107
1996-01-16,17.3181,17.3615,16.7884,17.0725,691066
1996-01-17,17.0725,17.0725,16.7884,17.035,387409
1996-01-18,17.0725,17.0725,16.6257,16.6257,777519
1996-01-19,16.4708,16.7519,16.4708,16.5891,1401584
1996-01-22,17.1958,17.2797,16.8742,17.035,1004993
1996-01-23,17.035,17.0725,16.7884,17.035,551121
1996-01-24,16.9985,16.9985,16.31,16.5547,5196232
1996-01-25,16.3909,16.5547,16.2626,16.3909,3140592
1996-01-26,16.4264,16.7519,16.4264,16.671,1822214
1996-01-29,16.7519,16.7519,16.5547,16.7519,1497487
1996-01-30,16.7519,17.035,16.7519,17.035,1672552
1996-01-31,17.1139,17.3181,17.0725,17.2353,1147904
1996-02-01,17.2353,17.2797,17.1534,17.1958,920968
1996-02-02,17.1958,17.1958,16.8742,16.9512,976623
1996-02-05,16.9146,17.0725,16.8742,16.9985,1165735
1996-02-06,16.9512,16.9985,16.7519,16.7884,1952978
1996-02-07,16.7884,16.8338,16.671,16.7519,2222595
1996-02-08,16.7519,17.3181,16.7519,17.1958,1781966
1996-02-09,17.1534,17.3181,17.035,17.2797,1532070
1996-02-12,17.3181,17.7235,17.1958,17.5154,783997
1996-02-13,17.4424,17.5578,17.3615,17.4424,823984
1996-02-14,17.4424,17.4424,16.9146,16.9146,1449938
1996-02-15,16.9985,17.1958,16.9512,17.0725,1305680
1996-02-16,17.1139,17.1534,16.9985,17.1534,935018
1996-02-20,17.0725,17.1534,16.8742,16.9985,659727
1996-02-21,16.9985,17.1139,16.7884,17.1139,803993
1996-02-22,17.3615,17.399,17.1139,17.2353,1096572
1996-02-23,17.3181,17.3615,17.1958,17.3181,1391315
1996-02-26,17.3181,17.399,17.1139,17.399,1360250
1996-02-27,17.3615,17.399,17.3615,17.399,610830
1996-02-28,17.5154,17.5578,17.1534,17.1958,1096572
1996-02-29,17.1534,17.3181,17.1534,17.1958,756440
1996-03-01,17.3615,17.5154,17.1751,17.4424,764008
1996-03-04,17.5154,17.5578,17.3615,17.5578,756174
1996-03-05,17.4808,17.5154,17.3181,17.4424,915294
1996-03-06,17.4424,18.0411,17.4424,17.8044,1328098
1996-03-07,17.8419,17.9208,17.7571,17.8419,1288116
1996-03-08,17.8419,17.8419,17.2797,17.4424,856674
1996-03-11,17.399,17.7571,17.2797,17.7571,642977
1996-03-12,17.7235,17.8419,17.3181,17.6416,823174
1996-03-13,17.7571,18.2019,17.7571,18.2019,1024443
1996-03-14,18.2019,18.6931,18.2019,18.5689,1165735
1996-03-15,18.3676,18.5304,18.2532,18.5304,1459392
1996-03-18,18.6487,18.6931,18.4821,18.6083,838300
1996-03-19,18.7297,18.7297,18.4821,18.6487,1157628
1996-03-20,18.5689,18.6931,18.124,18.2019,996074
1996-03-21,18.2532,18.2848,18.0037,18.0835,645142
1996-03-22,18.124,18.2532,18.0835,18.2532,201267
1996-03-25,18.2019,18.2848,18.1664,18.2532,656753
1996-03-26,18.2532,18.2848,17.9208,18.0037,693498
1996-03-27,17.8419,17.8863,17.4424,17.4424,1349711
1996-03-28,17.4808,17.8498,17.4808,17.7659,1279474
1996-03-29,17.8498,17.8498,17.6062,17.7235,1068748
1996-04-01,17.8044,18.0915,17.8044,17.9671,620016
1996-04-02,18.05,18.05,17.8863,18.0105,502225
1996-04-03,18.0105,18.0105,17.8498,17.9671,363092
1996-04-04,17.9671,17.9671,17.8863,17.9287,288800
1996-04-08,17.9671,17.9671,17.7659,17.8044,437117
1996-04-09,17.6416,17.8044,17.6416,17.7659,561664
1996-04-10,17.686,17.8498,17.6416,17.7235,679988
1996-04-11,18.6547,18.7819,17.8498,18.3331,2558940
1996-04-12,18.3756,19.2672,18.3756,19.2258,2900693
1996-04-15,19.1449,19.1893,18.8618,19.1893,1393475
1996-04-16,19.1449,19.1893,18.8993,18.8993,914215
1996-04-17,18.9427,18.9427,18.6162,18.8618,531402
1996-04-18,18.7819,18.9832,18.6547,18.9832,808856
1996-04-19,19.0276,19.065,18.7375,18.7819,337698
1996-04-22,18.8618,18.9832,18.7021,18.7375,342288
1996-04-23,18.8194,18.9427,18.1733,18.2926,2220162
1996-04-24,18.3331,18.5777,18.2582,18.5383,1289197
1996-04-25,18.4525,18.5777,18.4525,18.5383,313382
1996-04-26,18.5383,18.5383,18.1733,18.2926,963926
1996-04-29,18.2582,18.5383,18.2582,18.4899,654325
1996-04-30,18.5383,18.5383,18.3756,18.5383,261512
1996-05-01,18.5777,18.6162,18.414,18.4899,364443
1996-05-02,18.3756,18.6162,18.3756,18.5383,425770
1996-05-03,18.6162,18.8194,18.5777,18.5777,527889
1996-05-06,18.6162,18.7375,18.414,18.4899,554095
1996-05-07,18.4525,18.4899,18.3756,18.4899,435226
1996-05-08,18.414,18.4899,18.2108,18.4899,851812
1996-05-09,18.4899,18.6162,18.414,18.4525,520322
1996-05-10,18.6162,18.6162,18.3756,18.4899,526538
1996-05-13,18.4899,18.7375,18.414,18.7375,721594
1996-05-14,18.7375,19.0276,18.7375,18.9832,1149255
1996-05-15,18.9832,19.2672,18.9832,19.065,846133
1996-05-16,19.0276,19.1449,19.0276,19.1044,731052
1996-05-17,19.1449,19.1449,18.9832,18.9832,601912
1996-05-20,19.0276,19.065,18.8618,18.9427,646220
1996-05-21,18.9427,18.9427,18.7819,18.7819,952306
1996-05-22,18.7375,18.8194,18.6547,18.7819,1066854
1996-05-23,18.7021,18.7819,18.6162,18.6547,1141686
1996-05-24,18.8194,19.1893,18.8194,19.1893,1383751
1996-05-28,19.1893,19.2672,19.1044,19.2672,726186
1996-05-29,19.3067,19.7516,19.3067,19.4261,1389967
1996-05-30,19.3461,19.4695,19.3461,19.4695,667829
1996-05-31,19.4261,19.4261,19.1893,19.3067,644331
1996-06-03,19.2258,19.3067,19.065,19.3067,779141
1996-06-04,19.4261,19.4261,19.2672,19.3067,303118
1996-06-05,19.2672,19.3067,19.1449,19.2672,509251
1996-06-06,19.2258,19.2672,18.9832,18.9832,698091
1996-06-07,18.7375,19.0276,18.7375,18.9832,824522
1996-06-10,19.065,19.065,18.7819,18.8618,603538
1996-06-11,18.8194,19.0276,18.7375,18.8618,385517
1996-06-12,18.8993,19.1044,18.8618,18.8618,602724
1996-06-13,18.8618,18.8993,18.6547,18.8194,436305
1996-06-14,18.7819,18.8194,18.7375,18.7375,306089
1996-06-17,18.8194,18.8194,18.6547,18.7021,209105
1996-06-18,18.6547,18.7819,18.2926,18.2926,592725
1996-06-19,18.3756,18.4525,18.1733,18.1733,350666
1996-06-20,18.1289,18.2582,18.0105,18.0915,467102
1996-06-21,18.0915,18.1289,17.9671,18.0915,1133319
1996-06-24,18.1289,18.4899,18.1289,18.3331,881529
1996-06-25,18.414,18.5383,18.3756,18.3756,453054
1996-06-26,18.2926,18.3331,18.1733,18.3331,291499
1996-06-27,18.1378,18.3834,18.0559,18.342,410643
1996-06-28,18.342,18.8342,18.342,18.7888,458732
1996-07-01,18.8342,18.9506,18.5452,18.9141,818579
1996-07-02,19.0,19.0,18.6251,18.6715,611366
1996-07-03,18.7079,18.7888,18.6715,18.7888,339047
1996-07-05,18.6251,18.7523,18.6251,18.6251,212075
1996-07-08,18.5905,18.5905,18.1802,18.1802,503306
