date,open,high,low,close,volume
2008-04-22,16.7862,16.7862,16.7862,16.7862,0
2008-04-23,16.0826,16.7446,15.7843,16.0826,29981519
2008-04-24,16.1737,16.3928,15.8527,16.2501,6355014
2008-04-25,16.3928,16.5891,16.1559,16.5256,2506740
2008-04-28,16.7774,16.7774,16.2501,16.3928,908742
2008-04-29,16.6971,16.6971,16.2571,16.4474,1101240
2008-04-30,16.4562,16.5494,16.3294,16.5098,1144280
2008-05-01,16.5643,17.1718,16.3928,17.1064,3841785
2008-05-02,17.3006,17.3006,16.7774,17.1778,2100084
2008-05-05,17.5237,17.5237,16.8308,17.1064,741647
2008-05-06,17.0172,17.0687,16.6812,16.823,1332517
2008-05-07,16.7862,16.8616,16.1173,16.5563,1588571
2008-05-08,16.5742,16.6247,16.4166,16.5891,1137625
2008-05-09,16.5891,17.0519,16.4166,16.9161,705076
2008-05-12,16.9379,16.9696,16.6109,16.7862,1496164
2008-05-13,16.8061,16.814,16.2411,16.6415,2285202
2008-05-14,16.0112,16.7694,16.0112,16.6247,831614
2008-05-15,16.7446,16.7516,16.4721,16.5177,602487
2008-05-16,16.7268,16.9002,16.4721,16.8784,1284013
2008-05-19,17.0905,17.2432,16.823,16.9756,1028463
2008-05-20,17.148,17.148,16.7446,16.9002,645719
2008-05-21,17.0599,17.0599,16.4334,16.5177,521443
2008-05-22,16.6812,16.7446,16.488,16.6663,351756
2008-05-23,16.5891,16.5891,16.3928,16.5018,594639
2008-05-27,16.7774,16.7774,16.4334,16.5742,410202
2008-05-28,16.4721,16.7189,16.4474,16.7119,517186
2008-05-29,16.6971,16.7862,16.4334,16.4404,492632
2008-05-30,16.4721,16.7862,16.4334,16.7862,1004683
2008-06-02,17.4613,17.4613,16.5494,16.8616,531407
2008-06-03,17.0687,17.0985,16.6187,16.6415,571293
2008-06-04,16.4721,16.8914,16.4474,16.8388,1089196
2008-06-05,16.7774,17.0905,16.7774,17.0172,726814
2008-06-06,16.9756,17.369,16.9756,17.252,2035376
2008-06-09,17.4057,17.4781,17.252,17.4285,483798
2008-06-10,17.259,17.369,17.0519,17.0599,760936
2008-06-11,16.9538,17.5078,16.5494,16.9478,886851
2008-06-12,17.259,17.259,16.7605,17.0599,505149
2008-06-13,17.2828,17.485,16.9478,17.4781,589842
2008-06-16,17.5415,17.9548,17.3631,17.7605,1002966
2008-06-17,17.7605,18.3512,17.4057,18.0956,1529950
2008-06-18,17.9548,18.1034,17.4929,17.9855,926536
2008-06-19,18.0242,18.0242,17.7179,17.8665,875580
2008-06-20,17.7179,18.1104,17.4711,17.9548,1704172
2008-06-23,17.9221,17.9221,17.6951,17.7605,500212
2008-06-24,17.7823,17.9221,17.4137,17.8597,854257
2008-06-25,18.0172,18.2451,17.8398,18.2451,918458
2008-06-26,17.9934,18.4592,17.2828,17.6584,2553364
2008-06-27,17.1718,18.0638,17.1351,17.5821,5745257
2008-06-30,17.9459,17.9459,16.5415,17.3175,1103747
2008-07-01,17.485,18.0242,17.3403,17.8597,610774
2008-07-02,17.9548,18.1332,17.5326,17.6782,630782
2008-07-03,17.5326,17.6506,16.5256,17.0172,425260
2008-07-07,17.0172,17.2194,16.6327,16.7774,316060
2008-07-08,16.6971,16.9379,16.6187,16.9379,360604
2008-07-09,16.9617,16.9835,16.7119,16.8536,234239
2008-07-10,16.931,16.931,15.8447,16.5959,679110
2008-07-11,16.1897,16.2501,15.0181,15.6346,1361038
2008-07-14,15.6346,15.7625,15.3175,15.3849,695698
2008-07-15,15.1579,15.1658,14.1202,14.7604,1526900
2008-07-16,14.808,15.259,14.7516,15.142,595102
2008-07-17,15.4473,15.4473,14.8883,15.3769,297578
2008-07-18,14.8318,15.48,14.8318,15.259,395097
2008-07-21,15.48,15.5335,15.1806,15.3908,190233
2008-07-22,15.2848,15.6514,15.2848,15.5593,184880
2008-07-23,15.4978,15.602,15.3234,15.3709,275281
2008-07-24,15.5593,15.5811,14.48,14.7308,663890
2008-07-25,14.9448,15.0369,14.5097,14.9448,308686
2008-07-28,15.0271,15.3482,14.4413,14.5454,309796
2008-07-29,14.7426,15.0112,14.6118,14.8318,370242
2008-07-30,15.0984,15.3561,14.9091,15.1886,321951
2008-07-31,15.9854,15.9854,14.5454,15.0271,741852
2008-08-01,15.1351,15.48,15.0271,15.0617,499149
2008-08-04,15.1738,15.5137,14.8724,15.3026,415454
2008-08-05,15.4978,15.8794,15.3393,15.8794,431064
2008-08-06,15.8873,15.8873,15.2461,15.6921,440037
2008-08-07,15.7694,15.7843,15.5335,15.7288,482751
2008-08-08,15.8377,15.8963,15.5762,15.6654,343481
2008-08-11,16.4642,16.6812,16.1173,16.2145,1227596
2008-08-12,16.1559,16.6495,16.1559,16.2897,933900
2008-08-13,16.2997,16.6971,16.2838,16.4642,660635
2008-08-14,16.5256,16.7862,16.2649,16.376,727390
2008-08-15,16.5494,16.5494,16.0202,16.1985,474932
2008-08-18,16.3363,16.5494,16.2411,16.5098,700021
2008-08-19,16.5891,17.369,16.5098,17.1113,1002674
2008-08-20,17.2432,17.5573,16.7119,17.0985,1026426
2008-08-21,17.1272,17.2094,16.6585,17.0985,922217
2008-08-22,17.1629,17.1718,16.8308,17.1351,393299
2008-08-25,16.9895,17.6059,16.7446,16.9895,314765
2008-08-26,17.0905,17.1272,16.6911,16.8696,292196
2008-08-27,16.9835,16.9895,16.706,16.9538,276609
2008-08-28,17.0836,17.369,16.4721,17.259,491433
2008-08-29,17.0519,18.047,16.814,17.9131,1292447
2008-09-02,17.9548,17.9548,17.2094,17.7992,835669
2008-09-03,17.6951,17.7903,16.8784,17.0757,378358
2008-09-04,16.9895,17.267,16.7605,16.7605,524222
2008-09-05,16.6109,16.6109,16.0658,16.367,568084
2008-09-08,16.7862,16.7862,16.1807,16.3214,489233
2008-09-09,16.2759,16.5742,16.1173,16.1173,662875
2008-09-10,16.0024,16.488,16.0024,16.4562,758074
2008-09-11,16.4721,16.4959,16.2411,16.4474,419522
