date,open,high,low,close,volume
1996-01-02,1.39521,1.43373,1.39521,1.43373,502046
1996-01-03,1.43997,1.45828,1.43373,1.44452,693423
1996-01-04,1.44452,1.45828,1.42007,1.45135,1478527
1996-01-05,1.44452,1.45135,1.43997,1.44452,723688
1996-01-08,1.43373,1.44452,1.42463,1.43373,222535
1996-01-09,1.42463,1.43373,1.39521,1.4066,1187453
1996-01-10,1.38859,1.40185,1.33897,1.3459,1271117
1996-01-11,1.36382,1.37521,1.33897,1.36828,1048590
1996-01-12,1.36382,1.36382,1.31234,1.33897,1523927
1996-01-15,1.35056,1.36828,1.32561,1.32561,665824
1996-01-16,1.33016,1.33897,1.31877,1.33897,1431353
1996-01-17,1.3459,1.35056,1.30768,1.30768,1730442
1996-01-18,1.30768,1.33016,1.30768,1.30768,2673987
1996-01-19,1.30768,1.32561,1.29401,1.30768,2581413
1996-01-22,1.30096,1.31234,1.29401,1.30768,3706556
1996-01-23,1.30768,1.30768,1.30096,1.30096,881246
1996-01-24,1.30768,1.41354,1.30768,1.39521,2544916
1996-01-25,1.36828,1.38859,1.35699,1.37521,1129589
1996-01-26,1.38184,1.40185,1.37521,1.40185,1535499
1996-01-29,1.39521,1.40185,1.38184,1.40185,834953
1996-01-30,1.40185,1.42463,1.39521,1.41354,855429
1996-01-31,1.42007,1.44452,1.42007,1.42463,758405
1996-02-01,1.42463,1.43373,1.4066,1.4066,1093098
1996-02-02,1.42007,1.44452,1.42007,1.44452,728141
1996-02-05,1.44452,1.44452,1.42007,1.44452,1402869
1996-02-06,1.44452,1.46957,1.44452,1.46274,1572881
1996-02-07,1.45828,1.47622,1.45828,1.46957,527852
1996-02-08,1.46274,1.48284,1.45828,1.48284,727254
1996-02-09,1.48741,1.52591,1.48741,1.49621,1059283
1996-02-12,1.5076,1.5076,1.48284,1.49621,1232849
1996-02-13,1.49621,1.54582,1.49621,1.52591,1766942
1996-02-14,1.53245,1.53908,1.5076,1.51433,712114
1996-02-15,1.51433,1.54582,1.50097,1.50097,814477
1996-02-16,1.5076,1.5076,1.46957,1.48284,1361924
1996-02-20,1.46957,1.48741,1.46274,1.48741,1620948
1996-02-21,1.48741,1.52591,1.48741,1.48741,1069068
1996-02-22,1.48741,1.48741,1.46274,1.47622,832288
1996-02-23,1.46957,1.51889,1.46957,1.50097,4862850
1996-02-26,1.50097,1.52591,1.50097,1.5076,2282331
1996-02-27,1.51433,1.51433,1.49621,1.50097,2028636
1996-02-28,1.5076,1.56592,1.5076,1.55928,2029527
1996-02-29,1.55246,1.55246,1.5076,1.51661,946229
1996-03-01,1.51661,1.52116,1.5076,1.51661,348047
1996-03-04,1.51661,1.55928,1.51661,1.54582,531415
1996-03-05,1.55246,1.55246,1.52799,1.53443,492248
1996-03-06,1.52799,1.53443,1.52799,1.52799,395225
1996-03-07,1.52799,1.54582,1.52799,1.53443,803806
1996-03-08,1.52799,1.54127,1.52116,1.52799,914173
1996-03-11,1.51661,1.52116,1.49621,1.51661,1834592
1996-03-12,1.5076,1.52799,1.50324,1.52116,659598
1996-03-13,1.53443,1.53443,1.51661,1.52116,547431
1996-03-14,1.51661,1.52799,1.51661,1.52116,577699
1996-03-15,1.52799,1.53443,1.52116,1.52799,594620
1996-03-18,1.52799,1.54127,1.52799,1.53443,666711
1996-03-19,1.54582,1.54582,1.52799,1.53443,679183
