date,open,high,low,close,volume
1996-01-02,1.24886,1.27656,1.2281,1.2558,7908122
1996-01-03,1.2558,1.2558,1.18687,1.23505,9329834
1996-01-04,1.18687,1.20067,1.15926,1.17983,12083264
1996-01-05,1.18687,1.22125,1.16592,1.20067,7202475
1996-01-08,1.20764,1.20764,1.15926,1.15926,5485989
1996-01-09,1.15926,1.15926,0.986649,1.01435,24557821
1996-01-10,1.00036,1.06948,0.917817,1.01435,31719872
1996-01-11,1.03502,1.06948,1.00741,1.06254,17579690
1996-01-12,1.06948,1.08349,1.02826,1.03502,6565968
1996-01-15,1.03502,1.03502,0.945042,0.97275,16238842
1996-01-16,1.00036,1.00036,0.959041,0.97275,12231957
1996-01-17,0.97275,0.986649,0.959041,0.97275,8274630
1996-01-18,0.986649,1.05568,0.97275,1.04207,17404909
1996-01-19,1.05568,1.05568,1.01435,1.04207,8506808
1996-01-22,1.04207,1.04207,1.02826,1.03502,4442530
1996-01-23,1.03502,1.10414,1.03502,1.097,14213228
1996-01-24,1.10414,1.1387,1.097,1.10414,11054150
1996-01-25,1.111,1.13146,1.10414,1.111,4986431
1996-01-26,1.1249,1.1249,1.06948,1.06948,7571607
1996-01-29,1.10414,1.1387,1.097,1.13146,4010796
1996-01-30,1.13146,1.1387,1.1249,1.1249,7061614
1996-01-31,1.13146,1.20067,1.1249,1.16592,7544213
1996-02-01,1.17983,1.31132,1.16592,1.29027,19590954
1996-02-02,1.2558,1.2558,1.17983,1.2281,8154635
1996-02-05,1.2281,1.26276,1.2281,1.24886,3727756
1996-02-06,1.23505,1.24886,1.20067,1.2281,4459488
1996-02-07,1.2281,1.23505,1.20067,1.20067,4332965
1996-02-08,1.20067,1.23505,1.20067,1.22125,3419939
1996-02-09,1.2281,1.24886,1.20764,1.20764,3003858
1996-02-12,1.22125,1.23505,1.20764,1.22125,3311677
1996-02-13,1.18687,1.18687,1.13146,1.15241,6525539
1996-02-14,1.15241,1.18687,1.1387,1.1387,2257786
1996-02-15,1.15241,1.15241,1.111,1.1249,3260811
1996-02-16,1.1249,1.15926,1.1249,1.1387,5453376
1996-02-20,1.1387,1.20067,1.1387,1.15926,7604208
1996-02-21,1.16592,1.20764,1.15926,1.20067,4235150
1996-02-22,1.20067,1.2558,1.20067,1.23505,7452913
1996-02-23,1.2558,1.3454,1.2558,1.26276,12496737
1996-02-26,1.28333,1.30418,1.27656,1.27656,6568577
1996-02-27,1.27656,1.28333,1.2281,1.24886,4098187
1996-02-28,1.28333,1.31132,1.26276,1.27656,5209473
1996-02-29,1.26276,1.29027,1.26276,1.28333,5154689
1996-03-01,1.27656,1.29027,1.27656,1.28333,6122503
1996-03-04,1.29027,1.33199,1.27656,1.30418,9029838
1996-03-05,1.32483,1.3733,1.32483,1.3733,10811545
1996-03-06,1.37995,1.47659,1.3733,1.45574,25995192
1996-03-07,1.40061,1.40061,1.33199,1.33199,12213691
1996-03-08,1.29027,1.32483,1.2558,1.29027,6966398
1996-03-11,1.30418,1.37995,1.29027,1.3733,5119475
1996-03-12,1.3733,1.3733,1.32483,1.35254,2783428
1996-03-13,1.3594,1.41442,1.35254,1.40776,5252512
1996-03-14,1.41442,1.43509,1.3871,1.42823,4605570
1996-03-15,1.41442,1.41442,1.40061,1.40061,4469921
1996-03-18,1.41442,1.42823,1.41442,1.42823,3804713
1996-03-19,1.42823,1.43509,1.3594,1.3733,4437310
1996-03-20,1.3594,1.3594,1.32483,1.33199,3672975
1996-03-21,1.3454,1.35254,1.31132,1.33199,4022539
1996-03-22,1.32483,1.33199,1.31132,1.33199,2513433
1996-03-25,1.32483,1.33199,1.28333,1.29027,1685183
1996-03-26,1.29027,1.29027,1.26276,1.27656,2677779
1996-03-27,1.28333,1.28333,1.2558,1.26276,3309073
1996-03-28,1.26276,1.28333,1.2558,1.28333,3696455
1996-03-29,1.28333,1.33199,1.2558,1.33199,4962954
1996-04-01,1.33199,1.35254,1.32483,1.35254,3839929
1996-04-02,1.3454,1.35254,1.28333,1.28333,2885171
1996-04-03,1.29027,1.30418,1.28333,1.30418,1785620
1996-04-04,1.31132,1.35254,1.30418,1.31132,3328635
1996-04-08,1.30418,1.30418,1.27656,1.27656,3015598
1996-04-09,1.29027,1.35254,1.29027,1.32483,3397764
1996-04-10,1.31132,1.35254,1.30418,1.31132,3020815
