date,open,high,low,close,volume
1996-01-02,83.7406,83.7406,81.5096,83.0896,476654
1996-01-03,82.5875,83.255,81.5096,82.422,587954
1996-01-04,82.5875,83.255,81.9227,82.9213,400742
1996-01-05,82.0882,82.752,79.8563,81.5096,443306
1996-01-08,81.1788,81.5096,80.5171,81.0094,97735
1996-01-09,80.847,81.1788,79.1936,80.6003,478685
1996-01-10,78.3664,79.0262,77.0381,77.3738,1021252
1996-01-11,77.7027,78.5309,76.712,77.3738,727239
1996-01-12,78.0345,79.6909,77.7027,79.361,772631
1996-01-15,79.6909,80.1871,78.8598,78.8598,437793
1996-01-16,81.3452,81.3452,79.361,80.6835,847306
1996-01-17,80.5171,83.5732,80.0217,83.5732,938379
1996-01-18,83.255,83.255,81.0094,81.5096,770885
1996-01-19,80.5171,82.5875,80.5171,82.5875,725061
1996-01-22,83.4058,83.9139,81.9227,82.2516,487389
1996-01-23,82.2516,83.4058,81.9227,83.0896,398782
1996-01-24,83.0896,84.0744,82.2516,83.4058,723467
1996-01-25,83.4058,83.5732,81.9227,82.0882,572584
1996-01-26,79.8563,81.6741,79.8563,81.6741,617464
1996-01-29,81.9227,84.0744,81.6741,83.7406,428224
1996-01-30,83.9139,86.8936,83.5732,86.5589,583169
1996-01-31,85.3872,88.8006,85.3872,88.4658,636170
1996-02-01,87.7923,88.131,86.8936,87.2931,323527
1996-02-02,86.0685,86.7233,85.2256,85.5545,1208608
1996-02-05,85.3872,85.5545,83.5732,85.5545,665464
1996-02-06,85.3872,86.2408,85.3872,86.0685,572652
1996-02-07,86.3944,87.1256,86.3944,86.5589,396538
1996-02-08,87.1256,87.9695,86.0685,87.9695,683230
1996-02-09,87.1256,88.2876,86.7233,87.7923,530165
1996-02-12,87.6356,89.8118,87.6356,88.9699,450550
1996-02-13,88.9699,90.6057,88.2876,89.8118,415966
1996-02-14,90.1348,91.2948,89.9743,90.775,486227
1996-02-15,90.4608,91.1196,90.1348,90.9463,435617
1996-02-16,90.775,90.775,89.8118,90.4608,611667
1996-02-20,89.8118,89.8118,87.6356,88.6234,487314
1996-02-21,88.6234,89.8118,87.7923,89.1383,619785
1996-02-22,90.1348,93.0256,89.8118,92.6967,781688
1996-02-23,94.8405,94.8405,93.6677,94.026,1679173
1996-02-26,93.6677,94.026,92.2738,93.3329,662996
1996-02-27,93.1763,93.1763,91.2948,92.8581,591792
1996-02-28,93.1763,94.026,92.6967,93.0256,606521
1996-02-29,92.1171,92.2738,89.3087,89.9743,1172354
1996-03-01,90.6057,92.5322,89.4711,91.7941,621451
1996-03-04,92.5322,93.5013,91.9341,92.2738,1262050
1996-03-05,91.7941,91.9341,90.1348,90.9463,1088610
1996-03-06,90.9463,92.2738,90.4608,90.9463,333530
1996-03-07,90.775,90.775,89.8118,90.4608,304236
1996-03-08,87.1256,87.7923,82.2516,85.0681,1462018
1996-03-11,84.3994,85.3872,83.9139,84.2398,965564
1996-03-12,83.4058,83.7406,81.3452,82.422,1195699
1996-03-13,83.255,86.0685,83.0896,84.3994,1087961
1996-03-14,84.7312,86.5589,84.2398,84.2398,793148
1996-03-15,83.0896,84.5609,82.9213,83.7406,885447
1996-03-18,84.3994,86.2408,84.3994,86.0685,478615
1996-03-19,86.5589,87.2931,86.2408,86.2408,495144
1996-03-20,86.0685,86.7233,84.5609,85.8962,411254
1996-03-21,86.7233,88.4658,86.0685,86.5589,576861
1996-03-22,86.5589,87.7923,85.8962,87.2931,500727
1996-03-25,87.2931,88.131,86.7233,86.7233,481659
1996-03-26,86.5589,88.4658,86.3944,88.131,472672
1996-03-27,87.7923,88.8006,86.0685,87.7923,665029
1996-03-28,86.0685,87.1256,86.0685,87.1256,358040
1996-03-29,87.2931,89.4711,86.8936,88.8006,666552
1996-04-01,89.1383,90.1348,88.9699,89.1383,554673
1996-04-02,89.4711,89.8118,88.131,88.8006,393345
1996-04-03,88.4658,89.1383,87.6356,88.9699,493623
1996-04-04,89.1383,89.6512,87.9695,88.6234,324461
1996-04-08,85.7248,85.8962,83.9139,84.0744,872253
1996-04-09,85.2256,85.2256,82.752,83.0896,483983
1996-04-10,82.752,82.752,78.5309,80.0217,923515
1996-04-11,80.6835,80.847,77.8672,79.5225,1838179
1996-04-12,79.5225,83.0896,79.361,81.9227,860435
1996-04-15,83.0896,84.8996,82.9213,83.9139,750944
1996-04-16,85.3872,85.3872,80.847,83.4058,707372
1996-04-17,83.255,83.5732,81.1788,81.1788,502249
1996-04-18,81.1788,82.422,80.1871,81.5096,828749
1996-04-19,81.5096,82.5875,81.3452,82.2516,644000
1996-04-22,83.5732,83.9139,82.752,82.752,482600
1996-04-23,83.4058,84.5609,82.752,84.2398,478832
1996-04-24,84.7312,84.7312,81.3452,82.9213,439966
1996-04-25,82.422,83.7406,80.6835,83.4058,475281
1996-04-26,83.4058,84.3994,83.255,83.5732,384284
1996-04-29,83.255,83.255,82.422,82.9213,306124
1996-04-30,82.9213,83.7406,81.6741,82.752,586285
1996-05-01,82.0882,82.9213,81.9227,82.2516,433441
1996-05-02,80.3497,81.1788,77.8672,79.5225,1138205
1996-05-03,78.3664,78.6963,77.3738,77.8672,1255667
1996-05-06,78.0345,78.5309,76.2979,76.8746,819827
1996-05-07,77.2054,77.3738,76.1306,76.712,943888
1996-05-08,75.9661,79.5225,75.9661,79.361,1348183
1996-05-09,79.6909,79.8563,78.5309,79.0262,961221
1996-05-10,80.0217,80.6835,79.0262,79.6909,1228980
1996-05-13,80.0217,80.847,79.5225,80.6835,923227
1996-05-14,81.6741,81.9227,80.847,81.6741,746890
1996-05-15,82.0882,83.0896,81.9227,82.0882,734633
1996-05-16,81.5096,82.9213,81.3452,81.9227,445695
1996-05-17,82.5875,83.5732,82.422,83.0896,492824
1996-05-20,83.9139,84.0744,82.752,83.4058,331280
1996-05-21,83.7406,84.8996,83.255,84.0744,632835
1996-05-22,84.0744,85.0681,82.9213,84.7312,401902
1996-05-23,84.8996,85.2256,82.9213,83.7406,489199
1996-05-24,84.0744,84.3994,83.255,83.9139,299018
1996-05-28,83.255,83.7406,81.1788,82.2516,369782
1996-05-29,81.6741,83.0084,81.1788,82.5014,331933
1996-05-30,83.9892,84.4758,83.0084,83.9892,761321
1996-05-31,84.7312,84.7312,82.5014,83.7406,524023
1996-06-03,83.492,83.9892,82.5014,83.9892,300803
1996-06-04,84.9838,85.4752,84.2398,85.4752,576572
1996-06-05,85.7248,87.5573,84.9838,87.2931,448816
1996-06-06,87.5573,88.8006,85.9833,86.7233,573328
1996-06-07,82.752,84.9838,82.752,83.9892,617656
1996-06-10,84.9838,86.2408,84.2398,85.4752,312934
1996-06-11,86.4816,88.5441,85.7248,85.9833,620026
1996-06-12,86.4816,88.8006,85.7248,86.7233,473422
1996-06-13,87.5573,88.5441,86.2408,88.0488,367902
1996-06-14,88.2876,88.2876,86.7233,86.973,228734
1996-06-17,87.5573,88.0488,85.9833,86.973,222108
1996-06-18,86.4816,88.5441,86.2408,88.2876,500487
