date,open,high,low,close,volume
1996-01-02,4.65236,4.76017,4.60904,4.76017,289424
1996-01-03,4.76017,4.82496,4.76017,4.82496,125072
1996-01-04,4.82496,4.82496,4.54425,4.60904,537894
1996-01-05,4.6307,4.6307,4.41487,4.4581,404857
1996-01-08,4.47936,4.60904,4.47936,4.58737,275339
1996-01-09,4.60904,4.60904,4.47936,4.52269,229758
1996-01-10,4.50113,4.50113,4.26382,4.26382,182692
1996-01-11,4.26382,4.34998,4.26382,4.34998,592181
1996-01-12,4.37154,4.37154,4.23143,4.2852,368351
1996-01-15,4.2852,4.41487,4.2852,4.32833,375394
1996-01-16,4.32833,4.32833,4.26382,4.2852,448398
1996-01-17,4.26382,4.30685,4.26382,4.2852,206412
1996-01-18,4.2852,4.2852,4.19884,4.2205,417637
1996-01-19,4.17718,4.50113,4.15561,4.2852,1469335
1996-01-22,4.30685,4.37154,4.24207,4.26382,703725
1996-01-23,4.24207,4.26382,4.17718,4.24207,504351
1996-01-24,4.26382,4.54425,4.24207,4.52269,607556
1996-01-25,4.50113,4.50113,4.41487,4.41487,665740
1996-01-26,4.41487,4.41487,4.32833,4.34998,1774691
1996-01-29,4.37154,4.41487,4.32833,4.34998,996850
1996-01-30,4.37154,4.41487,4.34998,4.41487,499352
1996-01-31,4.43624,4.50113,4.43624,4.50113,315732
1996-02-01,4.50113,4.56582,4.47936,4.47936,387251
1996-02-02,4.47936,4.47936,4.43624,4.4581,339823
1996-02-05,4.4581,4.47936,4.41487,4.41487,403003
1996-02-06,4.43624,4.47936,4.43624,4.4581,211967
1996-02-07,4.47936,4.47936,4.41487,4.4581,306839
1996-02-08,4.4581,4.47936,4.41487,4.41487,1186400
1996-02-09,4.39311,4.43624,4.37154,4.39311,427642
1996-02-12,4.39311,4.41487,4.34998,4.37154,733744
1996-02-13,4.34998,4.39311,4.34998,4.37154,318878
1996-02-14,4.37154,4.41487,4.37154,4.39311,150637
1996-02-15,4.39311,4.43624,4.39311,4.43624,294791
1996-02-16,4.43624,4.4581,4.37154,4.4581,460812
1996-02-20,4.41487,4.50113,4.41487,4.4581,745972
1996-02-21,4.43624,4.4581,4.41487,4.43624,479526
1996-02-22,4.67373,4.67373,4.58737,4.60904,2030205
1996-02-23,4.60904,4.65236,4.58737,4.6307,718360
1996-02-26,4.65236,4.67373,4.60904,4.60904,523989
1996-02-27,4.60904,4.71705,4.60904,4.67373,698165
1996-02-28,4.67373,4.8034,4.67373,4.78165,801555
1996-02-29,4.84653,4.9761,4.82496,4.91132,1143604
1996-03-01,4.8679,4.95435,4.76017,4.76017,403373
1996-03-04,4.8034,4.93297,4.8034,4.93297,418755
1996-03-05,4.8679,4.9761,4.8679,4.91132,310913
1996-03-06,5.19223,5.19223,5.06236,5.06236,1026315
1996-03-07,5.08412,5.08412,5.0407,5.06236,322401
1996-03-08,5.01923,5.01923,4.93297,4.95435,451548
1996-03-11,4.88946,4.99758,4.87883,4.99758,336671
1996-03-12,4.95435,4.9761,4.93297,4.9761,209195
1996-03-13,5.01923,5.06236,4.99758,5.01923,430797
1996-03-14,5.0407,5.0407,4.9761,4.9761,341298
1996-03-15,4.9761,5.0407,4.9761,5.01923,444692
1996-03-18,5.01923,5.06236,4.99758,5.01923,269041
1996-03-19,5.04631,5.17569,5.04631,5.15403,269588
1996-03-20,5.19726,5.19726,5.13266,5.17569,510096
1996-03-21,5.26195,5.30537,5.24057,5.2836,871041
1996-03-22,5.21872,5.43484,5.21872,5.43484,505654
1996-03-25,5.41319,5.47817,5.41319,5.47817,264033
1996-03-26,5.43484,5.47817,5.36986,5.36986,225125
1996-03-27,5.32673,5.36986,5.24057,5.30537,4178257
1996-03-28,5.30537,5.36986,5.2836,5.32673,194922
1996-03-29,5.36986,5.36986,5.32673,5.3484,235315
1996-04-01,5.36986,5.43484,5.3484,5.41319,941454
1996-04-02,5.4565,5.4565,5.3484,5.39143,140265
1996-04-03,5.36986,5.39143,5.32673,5.32673,197887
1996-04-04,5.30537,5.3484,5.30537,5.32673,171391
1996-04-08,5.2836,5.2836,5.15403,5.24057,224377
1996-04-09,5.26195,5.26195,5.13266,5.19726,146010
1996-04-10,5.19726,5.19726,5.08954,5.1109,209195
1996-04-11,5.15403,5.15403,4.89497,4.98133,282194
1996-04-12,5.02474,5.21872,5.02474,5.1109,231425
1996-04-15,5.13266,5.19726,5.1109,5.19726,272001
1996-04-16,5.19726,5.19726,5.15403,5.15403,238469
1996-04-17,5.15403,5.15403,5.08954,5.1109,218084
1996-04-18,5.06787,5.1109,5.02474,5.02474,184178
1996-04-19,5.04631,5.04631,5.00308,5.02474,212161
1996-04-22,5.02474,5.08954,4.98133,5.08954,491387
1996-04-23,5.08954,5.1109,5.04631,5.06787,290531
1996-04-24,5.06787,5.08954,5.06787,5.06787,152121
1996-04-25,5.06787,5.06787,5.00308,5.02474,169912
1996-04-26,5.00308,5.02474,4.98133,5.00308,154349
1996-04-29,5.02474,5.02474,4.9382,4.95986,125072
1996-04-30,4.95986,5.13266,4.95986,5.1109,298315
1996-05-01,5.08954,5.08954,5.02474,5.04631,214559
1996-05-02,5.06787,5.06787,4.9382,4.9382,376322
1996-05-03,4.9382,4.95986,4.9382,4.95986,310543
1996-05-06,4.95986,4.95986,4.87351,4.89497,496944
1996-05-07,4.89497,4.89497,4.83018,4.83018,383176
1996-05-08,4.85194,4.85194,4.78715,4.83018,220680
1996-05-09,4.83018,4.85194,4.83018,4.85194,418755
1996-05-10,4.85194,4.91664,4.83018,4.91664,1186960
1996-05-13,4.91664,5.04631,4.89497,5.02474,793402
1996-05-14,5.02474,5.2836,5.02474,5.21872,709656
1996-05-15,5.21872,5.30537,5.21872,5.2836,382067
1996-05-16,5.21872,5.26195,5.21872,5.26195,138595
1996-05-17,5.24057,5.30537,5.24057,5.30537,161575
1996-05-20,5.3484,5.43484,5.3484,5.41319,299055
1996-05-21,5.39143,5.43484,5.3484,5.36986,349822
1996-05-22,5.36986,5.4565,5.3484,5.4565,279789
1996-05-23,5.4565,5.4565,5.39143,5.41319,211967
1996-05-24,5.41319,5.43484,5.39143,5.41319,88009
1996-05-28,5.41319,5.43484,5.36986,5.36986,250691
1996-05-29,5.39143,5.49915,5.36986,5.47817,481932
1996-05-30,5.47817,5.54237,5.47817,5.54237,646845
1996-05-31,5.54237,5.54237,5.49915,5.49915,235686
1996-06-03,5.49915,5.49915,5.4565,5.47817,234759
1996-06-04,5.54237,5.95857,5.54237,5.95857,1644622
1996-06-05,5.93729,5.93729,5.87086,5.93729,1080047
1996-06-06,5.93729,5.93729,5.85084,5.91476,666298
1996-06-07,5.85084,5.89339,5.82898,5.89339,565131
1996-06-10,5.91476,5.91476,5.87086,5.89339,520106
1996-06-11,5.89339,5.91476,5.87086,5.89339,357609
1996-06-12,5.91476,6.15254,5.91476,6.10989,1591810
1996-06-13,6.10989,6.10989,6.0015,6.10989,713173
1996-06-14,6.08756,6.08756,6.02258,6.04424,891047
1996-06-17,6.04424,6.08756,6.04424,6.06619,279227
1996-06-18,6.07122,6.11415,6.04424,6.11415,236990
1996-06-19,6.09287,6.11415,6.07122,6.11415,215862
1996-06-20,6.09287,6.13687,6.02258,6.02258,428200
1996-06-21,6.07122,6.13687,6.02258,6.04424,506210
1996-06-24,6.07122,6.09287,6.04424,6.09287,164906
1996-06-25,6.09287,6.09287,6.02258,6.02258,147489
1996-06-26,6.0015,6.17942,6.0015,6.0015,350566
1996-06-27,6.0015,6.02258,5.95857,5.95857,237910
1996-06-28,5.97916,6.02258,5.95857,6.0015,335563
1996-07-01,6.02258,6.07122,6.0015,6.02258,333151
1996-07-02,6.04424,6.07122,6.02258,6.07122,225862
1996-07-03,6.07122,6.07122,5.97916,6.04424,317024
1996-07-05,6.02258,6.04424,5.95857,5.97916,145081
1996-07-08,5.91476,6.04424,5.91476,5.95857,234944
1996-07-09,5.97916,6.0015,5.95857,5.97916,224008
1996-07-10,5.97916,6.0015,5.95857,5.97916,242725
1996-07-11,6.0015,6.0015,5.91476,5.95857,285342
1996-07-12,5.97916,5.97916,5.93729,5.97916,173614
1996-07-15,5.97916,5.97916,5.93729,5.93729,206783
1996-07-16,5.95857,6.02258,5.89339,5.93729,423940
1996-07-17,5.95857,5.95857,5.91476,5.95857,915700
1996-07-18,5.93729,6.02258,5.93729,6.0015,1039655
1996-07-19,6.0015,6.02258,6.0015,6.02258,1035575
1996-07-22,6.02258,6.09287,6.0015,6.04424,640351
1996-07-23,6.04424,6.09287,6.04424,6.07122,283304
1996-07-24,6.04424,6.07122,6.0015,6.02258,332040
1996-07-25,6.04424,6.09287,6.02258,6.04424,530113
1996-07-26,6.04424,6.09287,6.02258,6.09287,274964
1996-07-29,6.09287,6.09287,6.02258,6.04424,94501
1996-07-30,6.04424,6.09287,6.02258,6.09287,317770
1996-07-31,6.09287,6.13687,6.07122,6.11415,461924
1996-08-01,6.15805,6.26646,6.15805,6.24334,1228089
1996-08-02,6.22246,6.26646,6.22246,6.24334,656287
1996-08-05,6.26646,6.26646,6.22246,6.24334,286086
1996-08-06,6.24334,6.26646,6.22246,6.24334,308323
1996-08-07,6.24334,6.3089,6.24334,6.26646,311841
1996-08-08,6.24334,6.28762,6.22246,6.26646,413748
1996-08-09,6.26646,6.3089,6.22246,6.26646,249957
1996-08-12,6.28762,6.37408,6.28762,6.37408,346119
1996-08-13,6.39603,6.54639,6.39603,6.50375,555494
1996-08-14,6.4819,6.63265,6.4819,6.63265,611445
