date,open,high,low,close,volume
2014-09-24,16.7019,18.0399,16.5874,17.9314,77816428
2014-09-25,17.527,18.1878,17.44,17.9049,10851653
2014-09-26,17.9871,18.1554,17.7972,18.0615,3223682
2014-09-29,17.9773,18.2181,17.7972,18.0477,6220659
2014-09-30,17.947,18.3111,17.9049,18.1956,5281646
2014-10-01,18.0399,18.3404,17.9528,18.2103,5040164
2014-10-02,18.129,18.3277,18.1016,18.129,4017942
2014-10-03,18.1632,18.2337,17.8745,18.0477,2041424
2014-10-06,18.0859,18.1554,17.5653,17.5877,1555492
2014-10-07,17.527,17.6661,17.2932,17.4938,1942083
2014-10-08,17.1787,17.9871,17.1787,17.6719,2122916
2014-10-09,17.8677,17.8677,17.2765,17.4654,1582081
2014-10-10,17.3939,17.527,17.2011,17.3098,1189493
2014-10-13,17.1933,17.6015,17.1855,17.44,1779951
2014-10-14,17.4772,17.7032,17.3235,17.44,2067005
2014-10-15,17.1933,17.2442,16.7019,16.9741,4383542
2014-10-16,16.7107,17.0544,16.6804,16.9349,3997828
2014-10-17,17.0308,17.1443,16.882,17.0308,3540673
2014-10-20,16.9496,17.3861,16.9496,17.3861,2407895
2014-10-21,17.1787,17.8139,17.1787,17.7278,1500276
2014-10-22,17.6944,17.8677,17.4027,17.5584,1138754
2014-10-23,17.8451,17.9314,17.5496,17.8882,1485691
2014-10-24,18.1144,18.2485,17.6876,18.0067,1747807
2014-10-27,17.9871,18.0135,17.6592,17.7532,3731452
2014-10-28,17.993,18.3277,17.8139,18.0859,1931615
2014-10-29,18.1388,18.2778,18.0233,18.2415,1676396
2014-10-30,18.2485,18.405,18.1016,18.2103,1484934
2014-10-31,18.3277,18.5822,18.1554,18.3473,1594400
2014-11-03,18.2485,18.6449,17.993,18.6449,2351687
2014-11-04,18.5215,18.6517,18.2759,18.4138,1890080
2014-11-05,18.3708,18.6839,18.3708,18.6449,1406972
2014-11-06,18.7055,19.0814,18.5274,18.9551,1295638
2014-11-07,19.098,19.098,18.6919,18.6987,769964
2014-11-10,18.7525,18.9169,18.5274,18.6839,1962869
2014-11-11,18.6987,18.8935,18.5274,18.6751,843820
