date,open,high,low,close,volume
2005-02-25,7.47012,7.49291,7.42077,7.48082,617424
2005-02-28,7.49291,7.50371,7.35984,7.38976,1846521
2005-03-01,7.39966,7.54919,7.39966,7.46378,978305
2005-03-02,7.4615,7.472,7.36577,7.42722,1005577
2005-03-03,7.42959,7.50371,7.38114,7.45357,447033
2005-03-04,7.51866,7.55255,7.42522,7.51629,913209
2005-03-07,7.50104,7.50104,7.43623,7.47012,665761
2005-03-08,7.44871,7.47854,7.41859,7.44623,665761
2005-03-09,7.44623,7.44623,7.29732,7.31674,1777117
2005-03-10,7.32159,7.4077,7.32159,7.39363,1868063
2005-03-11,7.39966,7.42722,7.36974,7.38976,1083124
2005-03-14,7.54284,7.55463,7.48507,7.50985,1676612
2005-03-15,7.51629,7.527,7.41859,7.42522,749522
2005-03-16,7.42722,7.43762,7.29732,7.33338,1628263
2005-03-17,7.31674,7.33338,7.25262,7.28968,2020261
2005-03-18,7.36577,7.49072,7.33784,7.38788,1793882
2005-03-21,7.38788,7.39729,7.30603,7.34645,614552
2005-03-22,7.35518,7.41195,7.27254,7.38788,1511005
2005-03-23,7.36817,7.44446,7.33784,7.4077,1357373
2005-03-24,7.45119,7.46378,7.40343,7.40343,557115
2005-03-28,7.40204,7.46814,7.37569,7.41859,705494
2005-03-29,7.3955,7.44623,7.32536,7.34021,676296
2005-03-30,7.31674,7.38361,7.31674,7.37114,834719
2005-03-31,7.35746,7.43623,7.32536,7.40997,734680
2005-04-01,7.3955,7.50371,7.38788,7.43623,1123325
2005-04-04,7.4167,7.46814,7.36817,7.39966,671031
2005-04-05,7.36817,7.48082,7.36817,7.44871,591101
2005-04-06,7.45961,7.52917,7.45515,7.51213,777275
2005-04-07,7.49291,7.65293,7.47012,7.65293,1298982
2005-04-08,7.65293,7.71594,7.63201,7.66144,739466
2005-04-11,7.64668,7.6994,7.58118,7.68294,843326
2005-04-12,7.66769,7.77054,7.58238,7.74517,1031910
2005-04-13,7.74111,7.74111,7.61131,7.6659,685388
2005-04-14,7.66997,7.69483,7.60319,7.61726,733244
2005-04-15,7.58485,7.67651,7.4615,7.49072,649488
2005-04-18,7.48082,7.56613,7.43762,7.54472,1010372
2005-04-19,7.5358,7.58118,7.49072,7.58118,721764
2005-04-20,7.56366,7.57485,7.36577,7.38788,1433477
2005-04-21,7.38976,7.56366,7.36577,7.55949,1388959
2005-04-22,7.53819,7.59892,7.47012,7.55949,1465060
2005-04-25,7.55255,7.60139,7.50104,7.60139,552329
2005-04-26,7.55949,7.56136,7.47448,7.527,774407
2005-04-27,7.54284,7.60556,7.42522,7.55255,888805
2005-04-28,7.55255,7.55702,7.38114,7.50797,1370295
2005-04-29,7.52045,7.54681,7.46814,7.5252,1467937
2005-05-02,7.56366,7.56613,7.39966,7.43989,1007976
2005-05-03,7.43989,7.43989,7.35102,7.38589,973514
2005-05-04,7.40541,7.41195,7.28335,7.28968,1972879
2005-05-05,7.26839,7.2774,7.05148,7.13512,3442723
2005-05-06,7.13512,7.13709,7.0287,7.05743,2726223
2005-05-09,7.07934,7.08488,6.92575,7.01998,4084557
2005-05-10,7.4167,7.83306,7.2661,7.57683,7716816
2005-05-11,7.54681,7.57276,7.35984,7.4827,2420866
2005-05-12,7.472,7.54284,7.43395,7.46585,1446390
2005-05-13,7.46585,7.46585,7.26164,7.33111,1778081
2005-05-16,7.31217,7.3955,7.31217,7.39363,1847474
2005-05-17,7.39363,7.43989,7.34488,7.39363,1892946
2005-05-18,7.39363,7.47675,7.39363,7.46585,1342534
2005-05-19,7.46585,7.46585,7.40204,7.42722,878751
2005-05-20,7.44871,7.45357,7.33784,7.4077,1118064
2005-05-23,7.44871,7.54284,7.43186,7.5252,1861837
2005-05-24,7.52917,7.58485,7.46814,7.57871,1500473
2005-05-25,7.60556,7.60784,7.50371,7.54284,1732130
2005-05-26,7.58485,7.62131,7.56366,7.58872,1145346
2005-05-27,7.60922,7.60922,7.5358,7.54919,582482
2005-05-31,7.53154,7.58654,7.51866,7.55463,566686
2005-06-01,7.51629,7.59109,7.49469,7.51629,859597
2005-06-02,7.51866,7.57039,7.48507,7.50797,875395
2005-06-03,7.48844,7.50104,7.4167,7.43989,1115185
2005-06-06,7.43395,7.47675,7.38788,7.44207,686345
2005-06-07,7.44207,7.48507,7.34021,7.35746,1897256
2005-06-08,7.39729,7.42305,7.29732,7.31217,1488506
2005-06-09,7.33111,7.33111,7.25579,7.31019,1239151
2005-06-10,7.34645,7.39966,7.31217,7.34645,850508
2005-06-13,7.33338,7.40343,7.30603,7.40343,786851
2005-06-14,7.40343,7.42722,7.32159,7.37114,479105
2005-06-15,7.38114,7.4167,7.30832,7.39966,682516
2005-06-16,7.39729,7.48082,7.37569,7.46585,790682
2005-06-17,7.46585,7.46585,7.37569,7.43989,1015163
2005-06-20,7.39966,7.4167,7.32891,7.36162,468569
2005-06-21,7.36162,7.58485,7.25976,7.58485,5076257
2005-06-22,7.78005,8.08354,7.64877,8.0015,8871252
2005-06-23,8.04361,8.05678,7.81393,7.8602,2652044
2005-06-24,7.87438,7.87853,7.66353,7.77054,1593333
2005-06-27,7.78867,7.81195,7.50251,7.54919,2369178
2005-06-28,7.54919,7.63391,7.527,7.61131,1147737
2005-06-29,7.62508,7.67472,7.58654,7.60319,911777
2005-06-30,7.60139,7.62131,7.55255,7.56366,1048178
2005-07-01,7.58872,7.60556,7.53154,7.56613,486278
2005-07-05,7.56366,7.60784,7.54284,7.60139,747127
2005-07-06,7.60139,7.62131,7.51866,7.53393,792596
2005-07-07,7.52045,7.62369,7.47448,7.59665,904594
2005-07-08,7.61726,7.71762,7.53393,7.70157,1043398
2005-07-11,7.68294,7.74111,7.64877,7.71357,638480
2005-07-12,7.64877,7.80968,7.64044,7.78401,1185063
2005-07-13,7.80373,7.80373,7.72882,7.7535,871095
2005-07-14,7.77807,7.80373,7.73893,7.78005,949117
2005-07-15,7.7745,7.78639,7.70157,7.71158,787810
2005-07-18,7.72655,7.75111,7.61369,7.68859,1065406
2005-07-19,7.7308,7.7308,7.65787,7.66769,967299
2005-07-20,7.62508,7.68057,7.62508,7.66997,908424
2005-07-21,7.67869,7.7308,7.64044,7.66997,890237
2005-07-22,7.68294,7.78401,7.67234,7.78401,885930
2005-07-25,7.76825,7.80968,7.7199,7.79987,626514
2005-07-26,7.81195,7.89261,7.80779,7.88895,1530155
2005-07-27,7.90836,7.92254,7.87636,7.89736,905551
2005-07-28,7.92858,8.00388,7.91649,7.99783,1006064
2005-07-29,7.96067,7.96307,7.81195,7.84564,2546269
2005-08-01,7.84564,7.8832,7.75974,7.78867,898367
2005-08-02,7.75795,7.77292,7.6444,7.76628,1280792
2005-08-03,7.7535,7.82394,7.74289,7.80373,507339
2005-08-04,7.80968,7.81393,7.63796,7.64044,640875
2005-08-05,7.61954,7.68473,7.55702,7.65787,758139
2005-08-08,7.67472,7.73646,7.55949,7.56136,1353070
2005-08-09,7.88695,8.01944,7.81393,8.0015,6141677
2005-08-10,7.99953,8.00625,7.79294,7.86694,1986763
2005-08-11,7.88695,8.03113,7.8602,7.90609,1556479
2005-08-12,7.87636,7.92441,7.78213,7.87438,929005
2005-08-15,7.85615,7.93095,7.83732,7.90836,717927
2005-08-16,7.91232,7.93095,7.84376,7.89092,606892
2005-08-17,7.89092,7.93095,7.8178,7.85189,597321
2005-08-18,7.85189,7.99269,7.82216,7.94582,1137201
2005-08-19,7.93491,7.99645,7.83732,7.98783,914158
2005-08-22,8.0015,8.09038,7.97079,8.0882,1213307
2005-08-23,8.05451,8.14785,8.04361,8.06105,1087901
2005-08-24,8.07056,8.09851,7.95464,8.00814,681556
2005-08-25,8.00814,8.0127,7.96731,7.99427,571472
2005-08-26,7.98099,7.98536,7.89261,7.92441,573870
2005-08-29,7.88695,7.9481,7.8288,7.9481,666241
2005-08-30,7.95464,7.95464,7.85615,7.93938,1153956
2005-08-31,7.93938,7.97267,7.88695,7.97267,1145819
2005-09-01,7.97079,7.97079,7.89509,7.93938,1140556
2005-09-02,7.9481,7.96067,7.88082,7.90836,659062
2005-09-06,7.92858,8.0127,7.92858,7.99645,771062
2005-09-07,8.0015,8.01755,7.91431,7.9902,788290
2005-09-08,7.96731,8.04361,7.89736,7.91024,713626
2005-09-09,7.86694,8.02349,7.86694,8.0015,777275
2005-09-12,7.99645,8.15022,7.92858,8.13031,973995
2005-09-13,8.13794,8.14785,8.02182,8.06105,1079294
2005-09-14,8.13794,8.27784,7.97634,7.99269,2145662
2005-09-15,7.96554,8.05451,7.89509,8.04143,1059185
2005-09-16,8.05678,8.14596,8.05678,8.1193,1621567
2005-09-19,8.12367,8.13279,7.9902,8.08157,817487
2005-09-20,8.13596,8.20086,8.0882,8.15666,1805842
2005-09-21,8.12793,8.12793,7.67234,7.73646,2627638
2005-09-22,7.66353,7.76211,7.58238,7.75974,1527758
2005-09-23,7.67869,7.76211,7.59665,7.68473,1802482
2005-09-26,7.68473,7.73646,7.50251,7.58485,1217133
2005-09-27,7.63568,7.79768,7.62369,7.7199,1028555
2005-09-28,7.7308,7.79094,7.64044,7.66353,589185
2005-09-29,7.66353,7.66353,7.39193,7.59665,1576573
2005-09-30,7.59437,7.71762,7.54284,7.71762,1062538
2005-10-03,7.71762,7.73259,7.56366,7.58872,1506229
2005-10-04,7.57039,7.58485,7.48844,7.55463,1937938
2005-10-05,7.53154,7.55702,7.2774,7.29325,2755903
2005-10-06,7.30188,7.42722,7.24034,7.42722,1477984
2005-10-07,7.42522,7.49469,7.36577,7.40343,1367904
2005-10-10,7.60319,7.60319,7.35746,7.40204,1103221
2005-10-11,7.37114,7.46585,7.32159,7.34488,1343974
2005-10-12,7.30188,7.34488,7.12472,7.27493,1913531
2005-10-13,7.2774,7.28335,7.18912,7.22706,1116623
2005-10-14,7.22706,7.29187,7.19744,7.25064,1374121
