date,open,high,low,close,volume
1996-01-02,10.5708,10.8694,10.5708,10.8694,999563
1996-01-03,10.8981,11.2548,10.8021,10.9752,2112024
1996-01-04,11.0611,11.0997,10.9365,10.9752,997381
1996-01-05,10.9563,10.9752,10.8308,10.9178,1306135
1996-01-08,10.9563,10.985,10.9365,10.985,136913
1996-01-09,10.9563,10.985,10.9079,10.9178,1232847
1996-01-10,10.8595,10.8792,10.6845,10.7241,907249
1996-01-11,10.7241,10.8595,10.6845,10.8595,820547
1996-01-12,11.0611,11.2163,10.9752,11.2163,1506674
1996-01-15,11.2163,11.4091,11.2163,11.4091,1236901
1996-01-16,11.4179,11.5533,11.4091,11.5533,817740
1996-01-17,11.5533,11.8598,11.5336,11.7649,1120883
1996-01-18,12.1878,12.2255,12.0317,12.2165,1708460
1996-01-19,12.1582,12.178,11.9467,11.9566,2137287
1996-01-22,11.9082,11.9842,11.7945,11.8034,669595
1996-01-23,11.8311,11.9842,11.8034,11.9842,461887
1996-01-24,11.9467,12.1404,11.9467,11.9842,532060
1996-01-25,11.9942,12.0712,11.8696,11.8795,581336
1996-01-26,11.8795,11.8795,11.6878,11.7649,563247
1996-01-29,11.7649,12.0229,11.7649,12.0229,613459
1996-01-30,11.9942,12.1207,11.9566,12.0811,476548
1996-01-31,12.0811,12.1582,12.004,12.1504,1109032
1996-02-01,12.1404,12.1404,11.8598,11.8696,915980
1996-02-02,11.8696,11.9082,11.6018,11.6492,749127
1996-02-05,11.6779,11.7174,11.573,11.6779,356787
1996-02-06,11.6878,11.9842,11.6492,11.9082,1092502
1996-02-07,11.9181,12.0229,11.9181,12.0229,647144
1996-02-08,12.1878,12.5447,12.1878,12.2927,1724988
1996-02-09,12.264,12.2739,12.0317,12.1504,969626
1996-02-12,12.1008,12.3421,12.1008,12.1504,1596494
1996-02-13,12.2165,12.5447,12.2165,12.4558,1618013
1996-02-14,12.7562,12.7562,12.264,12.2927,1509170
1996-02-15,12.1878,12.4093,12.1878,12.1968,1271521
1996-02-16,12.1878,12.264,12.0229,12.0416,1389721
1996-02-20,11.7945,11.9942,11.7945,11.9942,1117765
1996-02-21,11.9942,12.178,11.9942,12.1008,771893
1996-02-22,12.1404,12.3806,12.1404,12.2739,1027320
1996-02-23,12.3904,12.4093,12.1968,12.3124,1524763
1996-02-26,12.2927,12.3321,12.1207,12.3025,603793
1996-02-27,12.352,12.3707,12.1404,12.1404,889470
1996-02-28,12.2165,12.4459,12.2165,12.2739,918163
1996-02-29,12.178,12.254,12.1108,12.1404,911302
1996-03-01,12.1582,12.3124,12.0811,12.3124,348054
1996-03-04,12.2739,12.4953,12.264,12.3904,607220
1996-03-05,12.4656,12.6119,12.4093,12.602,503992
1996-03-06,12.602,12.8511,12.5833,12.7661,745073
1996-03-07,12.7266,12.7365,12.4953,12.6485,422594
1996-03-08,12.5347,12.5347,11.6393,11.8598,1415607
1996-03-11,11.7649,11.9842,11.6679,11.8795,1287110
1996-03-12,11.8034,11.8311,11.4763,11.8034,954652
1996-03-13,11.8311,12.0614,11.7945,11.9842,983345
1996-03-14,11.9842,12.1504,11.9842,12.1108,571669
1996-03-15,12.1404,12.1404,11.9467,12.0614,812750
1996-03-18,12.0614,12.178,12.0317,12.0811,601299
1996-03-19,12.0811,12.0811,11.9942,12.0811,652445
1996-03-20,12.1108,12.1108,11.8894,11.9842,418227
1996-03-21,12.004,12.0614,11.8795,11.9467,418537
1996-03-22,11.9467,12.1504,11.9181,12.0811,572916
1996-03-25,12.0811,12.1008,11.7846,11.7846,610653
1996-03-26,11.7945,11.8696,11.7846,11.7945,1070045
1996-03-27,11.8598,11.8696,11.7549,11.7846,463448
1996-03-28,11.7846,11.9082,11.6878,11.7649,608157
1996-03-29,11.7945,11.8311,11.6878,11.7075,452222
1996-04-01,11.8311,11.8696,11.7549,11.8123,569797
1996-04-02,11.8123,11.8894,11.7174,11.8598,634353
1996-04-03,11.8598,11.8598,11.6492,11.6779,959642
1996-04-04,11.6492,11.7075,11.3023,11.3704,1841940
1996-04-08,11.0137,11.1294,10.8792,11.0334,1774890
