date,open,high,low,close,volume
1996-01-02,5650.38,5801.24,5650.38,5773.25,269932
1996-01-03,5773.25,6020.57,5773.25,5983.23,650362
1996-01-04,5992.57,6039.23,5944.34,5963.0,436911
1996-01-05,5935.01,6011.24,5897.67,5907.03,353308
1996-01-08,5782.58,5801.24,5725.07,5745.26,210973
1996-01-09,5725.07,5735.95,5477.75,5477.75,663242
1996-01-10,5354.85,5431.1,5288.01,5297.35,631567
1996-01-11,5382.87,5392.21,5317.56,5336.22,310554
1996-01-12,5382.87,5421.8,5336.22,5364.23,274830
1996-01-15,5354.85,5403.1,5269.36,5269.36,251760
1996-01-16,5317.56,5336.22,5297.35,5317.56,331255
1996-01-17,5317.56,5459.09,5306.67,5392.21,283938
1996-01-18,5354.85,5354.85,5288.01,5306.67,523493
1996-01-19,5326.87,5477.75,5326.87,5468.44,286135
1996-01-22,5525.96,5639.5,5516.64,5630.2,373563
1996-01-23,5630.2,5650.38,5583.52,5620.84,289229
1996-01-24,5639.5,5715.72,5639.5,5706.37,249734
1996-01-25,5715.72,5754.57,5403.1,5403.1,550608
1996-01-26,5250.68,5278.69,5193.13,5221.11,1578695
1996-01-29,5230.47,5230.47,5116.94,5135.59,626503
1996-01-30,5144.92,5144.92,5088.95,5126.26,697277
1996-01-31,5135.59,5269.36,5126.26,5202.45,835904
1996-02-01,5211.81,5392.21,5211.81,5326.87,671344
1996-02-02,5326.87,5459.09,5326.87,5403.1,270831
1996-02-05,5392.21,5403.1,5326.87,5345.54,334013
1996-02-06,5320.68,5558.61,5302.03,5473.11,672580
1996-02-07,5445.09,5463.77,5362.68,5454.45,464814
1996-02-08,5454.45,5558.61,5454.45,5549.28,400567
1996-02-09,5577.3,5586.61,5463.77,5473.11,698010
1996-02-12,5445.09,5530.65,5445.09,5473.11,296711
1996-02-13,5616.17,5777.92,5586.61,5711.05,780261
1996-02-14,5739.06,5844.8,5720.38,5720.38,522818
1996-02-15,5729.71,5805.91,5653.5,5662.86,444674
1996-02-16,5634.86,5644.18,5577.3,5634.86,393647
1996-02-20,5606.85,5692.4,5595.97,5606.85,173784
1996-02-21,5692.4,5833.92,5681.53,5824.61,632354
1996-02-22,5910.1,6129.45,5900.79,5995.69,1385163
1996-02-23,6168.33,6168.33,6043.87,6101.44,719500
1996-02-26,5986.34,6034.59,5882.13,5930.34,572215
1996-02-27,5910.1,5986.34,5815.25,5833.92,313533
