date,open,high,low,close,volume
2005-02-25,8.52993,8.57414,8.52993,8.56116,88626
2005-02-28,8.52993,8.80336,8.52993,8.73297,109302
2005-03-01,8.74295,8.74295,8.37189,8.68255,213192
2005-03-02,8.65239,8.9388,8.65239,8.83477,93712
2005-03-03,8.86464,8.98787,8.71348,8.77863,34959
2005-03-04,8.80336,8.9262,8.77407,8.83109,297220
2005-03-07,8.83477,8.95481,8.80336,8.84583,71064
2005-03-08,8.86464,8.86464,8.67615,8.68255,26584
2005-03-09,8.62108,8.76127,8.52993,8.68885,76637
2005-03-10,8.68255,8.77407,8.65239,8.72007,101590
2005-03-11,8.62737,8.65995,8.48213,8.51742,335296
2005-03-14,8.54961,8.92067,8.51742,8.92067,39228
2005-03-15,8.94453,9.0222,8.51742,8.63542,183161
2005-03-16,8.66529,8.66529,8.50385,8.52993,115538
2005-03-17,8.56116,8.56116,8.49862,8.51103,52849
2005-03-18,8.56116,8.59218,8.47767,8.59218,164284
2005-03-21,8.68255,8.71348,8.46342,8.6138,184636
2005-03-22,8.59218,8.62108,8.37917,8.47767,233049
2005-03-23,8.47767,8.68255,8.39564,8.68255,99784
2005-03-24,8.70717,8.9615,8.70717,8.83846,128344
2005-03-28,8.77863,8.86464,8.72452,8.83846,72708
2005-03-29,8.84583,8.89556,8.7922,8.83477,85831
2005-03-30,8.89556,8.94453,8.6138,8.94453,101920
2005-03-31,8.9388,8.97468,8.67615,8.75488,67452
2005-04-01,8.81809,8.83846,8.62108,8.72007,145408
2005-04-04,8.74295,8.76127,8.44568,8.72452,112096
2005-04-05,8.72452,8.73297,8.56736,8.62737,209584
2005-04-06,8.68255,8.89556,8.65239,8.89556,107170
2005-04-07,8.83846,8.88801,8.69448,8.7922,41521
2005-04-08,8.85232,8.85232,8.54331,8.54331,76637
2005-04-11,8.57414,8.60109,8.4705,8.49862,110127
2005-04-12,8.50385,8.77407,8.32962,8.77407,80419
2005-04-13,8.74295,8.74295,8.40796,8.62108,64992
2005-04-14,8.63542,8.72007,8.4705,8.4705,64167
2005-04-15,8.4705,8.52993,8.42037,8.4261,106513
2005-04-18,8.45732,8.52993,8.38498,8.43345,144917
2005-04-19,8.4705,8.64152,8.4705,8.52993,115866
2005-04-20,8.50385,8.52993,8.43947,8.51742,164616
2005-04-21,8.52993,8.68255,8.4705,8.57414,174454
2005-04-22,8.59218,8.59218,8.43947,8.52993,126700
2005-04-25,8.56116,8.67091,8.48746,8.60109,347935
2005-04-26,8.57414,8.62108,8.4705,8.54331,64334
2005-04-27,8.52993,8.67091,8.51103,8.62737,383055
2005-04-28,8.60673,8.74295,8.52993,8.59218,65481
2005-04-29,8.65239,8.74295,8.5245,8.69448,164448
2005-05-02,8.72452,8.81073,8.72452,8.76768,118660
2005-05-03,8.72452,8.88432,8.72452,8.88432,61054
2005-05-04,8.88432,9.10363,8.83477,9.07125,355811
2005-05-05,9.11227,9.22076,9.03538,9.07882,101095
2005-05-06,9.11227,9.19361,8.77407,8.93289,65156
2005-05-09,8.90856,9.12661,8.88801,9.12661,23961
2005-05-10,9.15706,9.15706,8.7922,9.06476,113567
2005-05-11,9.06476,9.06476,8.83109,8.89556,51696
2005-05-12,8.86464,8.89556,8.7382,8.83477,122106
2005-05-13,8.83477,8.83477,8.65239,8.72452,132443
2005-05-16,8.72452,8.95481,8.40796,8.86948,137694
2005-05-17,8.98787,8.98787,8.75488,8.81809,246177
2005-05-18,8.84583,8.98787,8.83477,8.89556,192512
2005-05-19,8.9262,8.98787,8.9262,8.9615,134743
2005-05-20,8.98787,9.14553,8.95481,9.13205,77303
2005-05-23,9.13205,9.40693,9.09025,9.27894,118493
2005-05-24,9.22076,9.27894,9.09025,9.1782,263903
2005-05-25,9.15037,9.24889,9.11227,9.14553,54649
2005-05-26,9.20128,9.23337,9.15706,9.1782,74515
2005-05-27,9.19361,9.25374,9.13883,9.22076,77141
2005-05-31,9.26149,9.26149,9.04963,9.13883,40377
2005-06-01,9.16376,9.25374,9.12661,9.17054,74343
2005-06-02,9.17054,9.32257,9.07882,9.23822,62532
2005-06-03,9.29154,9.38947,9.16376,9.24306,71717
2005-06-06,9.27409,9.37202,9.12661,9.26149,137037
2005-06-07,9.2993,9.35166,9.19361,9.28475,148693
2005-06-08,9.35166,9.68713,9.35166,9.61733,121452
2005-06-09,9.59793,9.79183,9.41274,9.75113,243393
2005-06-10,9.75113,9.84616,9.7201,9.75986,296569
2005-06-13,9.61054,9.7424,9.22659,9.53588,362213
2005-06-14,9.48255,9.75113,9.44862,9.5834,102247
2005-06-15,9.64641,9.90136,9.62798,9.90136,178566
2005-06-16,9.87034,10.0759,9.82961,9.92173,116360
2005-06-17,9.90729,9.915,9.68713,9.80935,310349
2005-06-20,9.77925,9.82286,9.67841,9.75113,45463
2005-06-21,9.69489,10.1738,9.69489,9.97899,216473
2005-06-22,10.0585,10.1738,9.90729,9.93241,140317
2005-06-23,9.93241,10.4424,9.90729,10.0712,377639
2005-06-24,10.0585,10.4812,10.0129,10.4366,833728
2005-06-27,10.5404,10.6578,10.1738,10.1738,174299
2005-06-28,10.2194,10.4966,10.2194,10.3571,75498
2005-06-29,10.2989,10.5113,10.2602,10.4862,39064
2005-06-30,10.5161,10.6578,10.5113,10.5888,42343
2005-07-01,10.5714,11.0543,10.5346,10.8118,60888
2005-07-05,10.8118,10.9554,10.6945,10.7557,71554
2005-07-06,10.7207,10.8788,10.6742,10.6742,124073
2005-07-07,10.5404,10.7062,10.4502,10.6461,35447
2005-07-08,10.6578,10.967,10.5481,10.8788,57117
2005-07-11,10.9302,11.0184,10.8012,10.9011,96999
2005-07-12,10.9253,11.2317,10.9253,10.9854,154758
2005-07-13,10.9747,11.0271,10.9253,10.9554,53499
2005-07-14,10.871,10.9011,10.6324,10.7285,427531
2005-07-15,10.711,10.711,10.3755,10.5046,1132098
2005-07-18,10.5046,10.7343,10.4201,10.5404,101920
2005-07-19,10.5714,10.6945,10.5404,10.6383,64167
2005-07-20,10.6073,10.998,10.6073,10.8448,662058
2005-07-21,11.0601,11.2103,10.967,11.0902,3106134
2005-07-22,11.1076,11.1453,11.0271,11.0969,1168044
2005-07-25,10.998,11.2559,10.967,11.2317,780066
2005-07-26,11.2559,11.3336,11.0969,11.2908,693409
2005-07-27,11.3336,11.3645,11.1453,11.3035,793848
2005-07-28,11.2491,11.5362,11.1503,11.5283,314945
2005-07-29,11.5283,11.5904,11.4363,11.5409,487926
2005-08-01,11.5409,11.636,11.4751,11.6079,881322
2005-08-02,11.5972,11.6428,11.5575,11.6321,282446
2005-08-03,11.6128,11.9318,11.5972,11.8871,176756
2005-08-04,11.8871,11.8871,11.6128,11.6748,339727
2005-08-05,11.6128,11.6932,11.5778,11.6079,490880
2005-08-08,11.5778,11.6079,11.3336,11.3645,888217
2005-08-09,11.3645,11.4246,11.0601,11.4246,1007202
2005-08-10,11.4246,11.4246,11.223,11.3645,605767
2005-08-11,11.3336,11.5071,11.2705,11.4111,698493
