date,open,high,low,close,volume
2005-02-25,8.33237,8.44039,8.24051,8.38241,261636
2005-02-28,8.39035,8.42413,8.24051,8.29075,284677
2005-03-01,8.26558,8.38241,8.26558,8.36546,153379
2005-03-02,8.32386,8.57378,8.31513,8.53216,497831
2005-03-03,8.54879,8.59894,8.4823,8.49866,157106
2005-03-04,8.49866,8.57378,8.44881,8.52362,190346
2005-03-07,8.49866,8.61548,8.47388,8.53216,157944
2005-03-08,8.52362,8.54047,8.39035,8.44881,107533
2005-03-09,8.44881,8.61548,8.38241,8.56544,162020
2005-03-10,8.53216,8.62362,8.42413,8.59052,174624
2005-03-11,8.60727,8.73154,8.58189,8.70735,189866
2005-03-14,8.73965,8.91496,8.70735,8.84827,204030
2005-03-15,8.83965,8.92318,8.73965,8.8227,226230
2005-03-16,8.78207,8.84827,8.7239,8.74858,231516
2005-03-17,8.74858,8.76522,8.62362,8.757,98417
2005-03-18,8.80705,8.80705,8.73154,8.76522,280239
2005-03-21,8.71607,8.81556,8.64899,8.73965,171265
2005-03-22,8.757,8.83965,8.64075,8.68248,132499
2005-03-23,8.69031,8.70735,8.54879,8.59052,181464
2005-03-24,8.63214,8.73965,8.59894,8.69893,210513
2005-03-28,8.73965,8.96559,8.7239,8.89137,295243
2005-03-29,8.8663,8.98263,8.78207,8.92318,310725
2005-03-30,8.98263,9.107,8.96559,9.05617,598405
2005-03-31,9.0645,9.11454,9.02396,9.08193,435901
2005-04-01,9.107,9.15646,8.92318,9.05617,315644
2005-04-04,9.09938,9.14089,9.03972,9.05617,318766
2005-04-05,9.0645,9.17489,9.01434,9.09938,269921
2005-04-06,9.107,9.17489,9.03972,9.05617,282520
2005-04-07,9.08193,9.29073,9.01434,9.18241,595284
2005-04-08,9.14863,9.36743,9.11454,9.17489,330409
2005-04-11,9.16498,9.23078,9.0645,9.20788,276398
2005-04-12,9.18241,9.21621,9.03279,9.15646,374811
2005-04-13,9.19916,9.24752,9.15646,9.18241,154462
2005-04-14,9.20788,9.23969,9.14863,9.20788,291159
2005-04-15,9.20788,9.20788,9.02396,9.0645,378175
2005-04-18,9.02396,9.12375,8.89137,8.99127,379613
