date,open,high,low,close,volume
1996-01-02,9.26402,9.46453,9.19627,9.46453,2658346
1996-01-03,9.46453,9.66397,9.46453,9.59944,5460016
1996-01-04,9.59944,9.66397,9.46453,9.52906,1599097
1996-01-05,9.46453,9.66397,9.40001,9.59944,1615520
1996-01-08,9.59944,9.66397,9.46453,9.66397,638682
1996-01-09,9.59944,9.66397,9.52906,9.6278,832175
1996-01-10,9.46453,9.73437,9.46453,9.66397,1274233
1996-01-11,9.59944,9.73437,9.56621,9.66397,1015208
1996-01-12,9.73437,9.93278,9.59944,9.79986,1526392
1996-01-15,9.79986,9.86634,9.59944,9.66397,1192266
1996-01-16,9.66397,9.93278,9.66397,9.79986,1532961
1996-01-17,9.86634,9.90056,9.59944,9.66397,1715101
1996-01-18,9.66397,9.73437,9.52906,9.73437,1003555
1996-01-19,9.66397,9.73437,9.59944,9.59944,2039067
1996-01-22,9.59944,9.73437,9.59944,9.66397,2179405
1996-01-23,9.66397,9.79986,9.59944,9.73437,1625223
1996-01-24,9.66397,9.96897,9.66397,9.93278,5128733
1996-01-25,9.93278,9.99833,9.86634,9.99833,1597011
1996-01-26,9.93278,9.93278,9.86634,9.93278,661672
1996-01-29,9.86634,9.99833,9.86634,9.93278,1264679
1996-01-30,9.93278,9.99833,9.86634,9.93278,1497726
1996-01-31,9.93278,9.99833,9.86634,9.93278,1250043
1996-02-01,9.93278,9.93278,9.73437,9.79986,1018336
1996-02-02,9.79986,9.93278,9.79986,9.86634,616437
1996-02-05,9.86634,9.93278,9.79986,9.86634,464153
1996-02-06,9.86634,9.93278,9.79986,9.79986,1208099
1996-02-07,9.79986,9.86634,9.73437,9.86634,926524
1996-02-08,9.79986,9.86634,9.73437,9.79986,508505
1996-02-09,9.79986,9.86634,9.66397,9.73437,1014013
1996-02-12,9.79986,9.86634,9.73437,9.86634,954142
1996-02-13,9.79986,9.99833,9.79986,9.86634,1446073
1996-02-14,9.86634,9.93278,9.66397,9.66397,1167038
1996-02-15,9.73437,9.73437,9.52906,9.59944,1355744
1996-02-16,9.59944,9.59944,9.46453,9.46453,859939
1996-02-20,9.40001,9.46453,9.32864,9.40001,2043999
1996-02-21,9.40001,9.56621,9.32864,9.46453,1655531
1996-02-22,9.52906,9.73437,9.46453,9.66397,926977
1996-02-23,9.66397,9.73437,9.32864,9.40001,1452488
1996-02-26,9.32864,9.32864,9.19627,9.32864,1357095
1996-02-27,9.32864,9.40001,9.26402,9.26402,1026853
1996-02-28,9.32864,9.32864,8.9937,8.9937,4852979
1996-02-29,8.93103,9.40001,8.93103,9.40001,3460958
1996-03-01,9.52906,9.52906,9.32864,9.40001,1076566
1996-03-04,9.40001,9.59944,9.40001,9.59944,1012369
1996-03-05,9.52906,9.59944,9.46453,9.59944,969670
1996-03-06,9.52906,9.59944,9.40001,9.46453,1054322
1996-03-07,9.46453,9.52906,9.40001,9.46453,718556
1996-03-08,9.26402,9.40001,9.12999,9.12999,1520717
1996-03-11,9.06184,9.19627,8.9937,9.19627,1191374
1996-03-12,9.12999,9.12999,8.93103,9.06184,1087317
1996-03-13,9.12999,9.12999,8.9937,9.06184,518948
1996-03-14,9.06184,9.06184,8.86182,8.93103,869940
