date,open,high,low,close,volume
1996-01-02,7.19035,7.24106,7.19035,7.24106,220063
1996-01-03,7.2744,7.33276,7.2744,7.33276,221742
1996-01-04,7.33276,7.47486,7.33276,7.3913,379612
1996-01-05,7.33276,7.33276,7.24106,7.2744,65781
1996-01-08,7.2744,7.35786,7.2744,7.2744,42811
1996-01-09,7.33276,7.41651,7.33276,7.3913,52863
1996-01-10,7.33276,7.3913,7.2744,7.35786,148305
1996-01-11,7.33276,7.41651,7.29952,7.41651,89462
1996-01-12,7.47486,7.63364,7.47486,7.55823,129170
1996-01-15,7.55823,7.63364,7.55823,7.63364,44021
1996-01-16,7.61687,7.77564,7.61687,7.75085,96638
1996-01-17,7.72564,7.72564,7.66718,7.66718,48800
1996-01-18,7.66718,7.84274,7.66718,7.84274,77974
1996-01-19,7.77564,7.85961,7.77564,7.84274,52624
1996-01-22,7.84274,7.85961,7.77564,7.77564,35878
1996-01-23,7.77564,7.84274,7.75085,7.8093,33488
1996-01-24,7.8093,7.91786,7.77564,7.77564,281538
1996-01-25,7.77564,7.77564,7.70083,7.75085,137540
1996-01-26,7.75085,7.89265,7.72564,7.89265,240397
1996-01-29,7.85961,8.11881,7.85961,7.9764,300676
1996-01-30,7.9764,8.00162,7.89265,7.89265,103571
1996-01-31,7.85961,7.95131,7.84274,7.91786,118405
1996-02-01,7.89265,7.91786,7.8093,7.91786,199492
1996-02-02,7.89265,7.95131,7.89265,7.91786,217675
1996-02-05,7.89265,7.95131,7.8093,7.84274,86353
1996-02-06,7.84274,7.89265,7.8093,7.84274,132998
1996-02-07,7.84274,7.91786,7.84274,7.85961,143999
1996-02-08,7.85961,7.95131,7.84274,7.91786,184183
1996-02-09,7.89265,7.95131,7.84274,7.85961,198295
1996-02-12,7.84274,7.91786,7.84274,7.89265,153330
1996-02-13,7.85961,8.00162,7.85961,7.9764,250919
1996-02-14,7.91786,7.95131,7.84274,7.84274,107640
1996-02-15,7.85961,7.85961,7.8093,7.85961,146156
