date,open,high,low,close,volume
2005-02-25,9.21759,9.47923,9.21759,9.38253,166985
2005-02-28,9.41257,9.54727,9.19793,9.37375,321551
2005-03-01,9.41257,9.48841,9.32406,9.3536,375180
2005-03-02,9.29412,9.52832,9.24623,9.36397,268423
2005-03-03,9.29412,9.49838,9.26509,9.31419,126423
2005-03-04,9.43203,9.47923,9.26509,9.3043,250450
2005-03-07,9.26509,9.53729,9.25581,9.38253,274801
2005-03-08,9.44081,9.44081,9.29412,9.3536,174128
2005-03-09,9.29412,9.48841,9.22727,9.22727,134364
2005-03-10,9.33394,9.50836,9.21759,9.27477,325102
2005-03-11,9.21759,9.39261,9.1203,9.24623,196021
2005-03-14,9.23675,9.40249,9.19793,9.29412,168073
2005-03-15,9.40249,9.50836,9.18805,9.19793,304879
2005-03-16,9.1203,9.28444,9.10074,9.20781,179966
2005-03-17,9.65305,9.82867,9.45976,9.69096,943678
2005-03-18,9.66303,9.79074,9.61513,9.63409,1021628
2005-03-21,9.70094,9.80072,9.52832,9.60515,2036293
2005-03-22,9.60515,9.70094,9.51834,9.6241,775910
2005-03-23,9.66303,9.77079,9.55725,9.68098,766827
2005-03-24,9.78077,9.78077,9.57621,9.6241,754637
2005-03-28,9.70094,9.71092,9.38253,9.45976,667414
2005-03-29,9.41257,9.63409,9.13008,9.15912,488063
2005-03-30,9.21759,9.46934,9.17858,9.45078,720020
2005-03-31,9.80072,9.91747,9.40249,9.59617,1212547
2005-04-01,9.65305,9.81869,9.29412,9.36397,646977
2005-04-04,9.31419,9.38253,9.17858,9.37375,366048
2005-04-05,9.28444,9.57621,9.28444,9.38253,348368
2005-04-06,9.50836,9.51834,9.32406,9.36397,230409
2005-04-07,9.22727,9.49838,9.19793,9.37375,155010
2005-04-08,9.31419,9.48841,9.22727,9.23675,195556
2005-04-11,9.25581,9.36397,9.1203,9.13008,230768
2005-04-12,9.07191,9.15912,8.78084,8.92633,568195
2005-04-13,9.00396,9.00396,8.4313,8.50903,552234
2005-04-14,8.52859,8.58666,8.29559,8.42172,799771
2005-04-15,8.22774,8.42172,7.97539,7.99484,428692
2005-04-18,8.0625,8.40216,8.01431,8.37332,530228
2005-04-19,8.41204,8.59634,8.39248,8.59634,447553
2005-04-20,8.63535,8.75171,8.57689,8.58666,847559
2005-04-21,8.59634,8.92633,8.58666,8.76138,428583
2005-04-22,8.75171,8.80019,8.54784,8.6157,361961
2005-04-25,8.57689,8.69343,8.55752,8.59634,133088
2005-04-26,8.63535,8.80967,8.45076,8.51901,223383
2005-04-27,8.48958,8.63535,8.26646,8.40216,377162
2005-04-28,8.33451,8.47061,8.20828,8.20828,270165
2005-04-29,8.26646,8.40216,8.07237,8.35397,246704
2005-05-02,8.31495,8.40216,8.11109,8.28621,186353
2005-05-03,8.1986,8.47061,8.17925,8.23731,284684
2005-05-04,8.23731,8.46063,8.15968,8.41204,360209
2005-05-05,8.40216,8.77106,8.40216,8.72236,881882
2005-05-06,8.82944,8.89718,8.55752,8.8876,579828
2005-05-09,8.81956,8.97471,8.71308,8.92633,407171
2005-05-10,8.80967,8.81956,8.47999,8.6157,332110
2005-05-11,8.59634,8.8876,8.34419,8.84869,348897
2005-05-12,8.80967,8.92633,8.60612,8.60612,281462
2005-05-13,8.69343,8.86795,8.59634,8.80019,121788
2005-05-16,8.82944,8.89718,8.58666,8.76138,552128
2005-05-17,8.75171,8.75171,8.49915,8.69343,682202
2005-05-18,8.69343,8.95526,8.58666,8.87773,438783
2005-05-19,8.97471,9.26509,8.92633,8.99418,264863
2005-05-20,9.01344,9.02341,8.87773,8.9845,231735
2005-05-23,8.936,9.26509,8.91675,8.97471,258421
2005-05-24,9.04287,9.10074,8.92633,9.03299,205953
2005-05-25,8.99418,9.08159,8.90677,9.00396,247958
2005-05-26,9.02341,9.3043,8.97471,9.23675,382961
2005-05-27,9.14944,9.39261,9.01344,9.27477,469873
2005-05-31,9.28444,9.41257,8.85827,9.41257,446108
2005-06-01,9.28444,9.48841,9.24623,9.39261,243507
2005-06-02,9.45078,9.53729,9.29412,9.45078,185371
2005-06-03,9.38253,9.38253,9.11062,9.27477,147430
2005-06-06,9.36397,9.38253,9.13008,9.3536,182220
2005-06-07,9.37375,9.55725,9.27477,9.29412,216715
2005-06-08,9.34382,9.54727,9.27477,9.45078,233496
2005-06-09,9.42215,9.64307,9.3536,9.60515,253875
2005-06-10,9.65305,9.73088,9.46934,9.65305,497910
2005-06-13,9.63409,9.79074,9.57621,9.79074,452630
