date,open,high,low,close,volume
1996-01-02,1.36444,1.37294,1.35614,1.37294,264565
1996-01-03,1.37294,1.40703,1.35614,1.35614,2852035
1996-01-04,1.37294,1.38993,1.35614,1.35614,279577
1996-01-05,1.35614,1.35614,1.33035,1.35614,561025
1996-01-08,1.35614,1.35614,1.32166,1.33035,298336
1996-01-09,1.33035,1.33035,1.27927,1.27927,322732
1996-01-10,1.27037,1.27037,1.21949,1.21949,743030
1996-01-11,1.23628,1.23628,1.21099,1.23628,577912
1996-01-12,1.23628,1.29617,1.23628,1.29617,2165296
1996-01-15,1.30457,1.30457,1.27037,1.30457,146354
1996-01-16,1.27037,1.28747,1.27037,1.27037,157612
1996-01-17,1.29617,1.29617,1.23628,1.26188,660471
1996-01-19,1.26188,1.27037,1.24508,1.26188,949427
1996-01-22,1.26188,1.27037,1.24508,1.24508,213902
1996-01-23,1.27037,1.27037,1.24508,1.24508,183881
1996-01-24,1.24508,1.27037,1.21099,1.21949,804949
1996-01-25,1.21099,1.24508,1.21099,1.24508,921283
1996-01-26,1.24508,1.27927,1.21949,1.24508,1319065
1996-01-29,1.24508,1.24508,1.21949,1.21949,294586
1996-01-30,1.23628,1.27927,1.23628,1.27037,1283413
1996-01-31,1.26188,1.27037,1.23628,1.24508,1386615
1996-02-01,1.26188,1.29617,1.23628,1.27927,881880
1996-02-02,1.27927,1.30457,1.27927,1.30457,519747
1996-02-05,1.30457,1.30457,1.30457,1.30457,1881
1996-02-06,1.27037,1.30457,1.27037,1.29617,474713
1996-02-07,1.30457,1.31345,1.29617,1.29617,838725
1996-02-08,1.29617,1.32166,1.29617,1.32166,589172
1996-02-09,1.29617,1.32166,1.29617,1.32166,56287
1996-02-12,1.29617,1.35614,1.29617,1.33035,677359
1996-02-13,1.32166,1.37294,1.32166,1.33035,726143
1996-02-14,1.35614,1.37294,1.34714,1.37294,786184
1996-02-15,1.34714,1.43242,1.34714,1.38993,3377405
1996-02-16,1.38993,1.41553,1.37294,1.39863,1309685
1996-02-20,1.37294,1.38993,1.36444,1.37294,283327
1996-02-21,1.35614,1.44122,1.35614,1.42432,2017065
1996-02-22,1.41553,1.45821,1.41553,1.44122,574160
1996-02-23,1.46671,1.46671,1.44122,1.46671,1084522
1996-02-26,1.44122,1.46671,1.44122,1.45821,598551
1996-02-27,1.45821,1.51779,1.44122,1.51779,1658683
1996-02-28,1.4838,1.56907,1.4838,1.54328,1210236
1996-02-29,1.52639,1.55198,1.50069,1.52639,1016975
1996-03-01,1.52639,1.52639,1.4922,1.4922,1187723
1996-03-04,1.50069,1.50069,1.46671,1.4752,765546
1996-03-05,1.46671,1.4922,1.46671,1.46671,54415
1996-03-06,1.4922,1.50069,1.44122,1.44122,1259023
1996-03-07,1.44962,1.44962,1.40703,1.41553,540385
1996-03-08,1.37294,1.41553,1.34714,1.41553,1942011
1996-03-11,1.38993,1.43242,1.37294,1.43242,1435401
1996-03-12,1.41553,1.44122,1.41553,1.44122,801199
1996-03-13,1.43242,1.44122,1.40703,1.41553,452198
1996-03-14,1.40703,1.45821,1.40703,1.44122,986954
1996-03-15,1.43242,1.44122,1.40703,1.40703,917531
1996-03-18,1.40703,1.46671,1.40703,1.44122,455951
1996-03-19,1.44122,1.45821,1.43242,1.44962,990706
1996-03-20,1.44122,1.45821,1.43242,1.45821,80682
1996-03-21,1.43242,1.43242,1.37294,1.38153,1371602
1996-03-22,1.37294,1.38153,1.33885,1.34714,2099623
1996-03-25,1.33035,1.37294,1.33035,1.35614,637955
1996-03-26,1.37294,1.40703,1.37294,1.38153,1384738
1996-03-27,1.40703,1.4838,1.40703,1.42432,2152162
1996-03-28,1.40703,1.44122,1.37294,1.39863,842473
1996-03-29,1.37294,1.40703,1.36444,1.37294,2009559
1996-04-01,1.37294,1.41553,1.35614,1.37294,1369723
1996-04-02,1.41553,1.44122,1.41553,1.43242,1587381
1996-04-03,1.44122,1.44122,1.43242,1.43242,127589
1996-04-04,1.43242,1.44122,1.42432,1.43242,2424229
1996-04-08,1.41553,1.43242,1.40703,1.40703,204519
1996-04-09,1.40703,1.44122,1.40703,1.42432,814331
1996-04-10,1.43242,1.44122,1.41553,1.41553,215780
1996-04-11,1.41553,1.44122,1.41553,1.42432,487848
1996-04-12,1.43242,1.43242,1.41553,1.42432,1138937
1996-04-15,1.41553,1.43242,1.38993,1.43242,669854
1996-04-16,1.40703,1.46671,1.40703,1.45821,1015098
1996-04-17,1.46671,1.4752,1.44122,1.45821,305844
1996-04-18,1.45821,1.4838,1.44122,1.46671,632325
1996-04-19,1.46671,1.50069,1.44962,1.46671,1855699
1996-04-22,1.4838,1.54328,1.46671,1.54328,1850071
1996-04-23,1.51779,1.51779,1.4838,1.4838,1422264
1996-04-24,1.51779,1.56907,1.50069,1.54328,1544227
1996-04-25,1.56907,1.58607,1.54328,1.55198,4542614
1996-04-26,1.54328,1.56907,1.51779,1.51779,268316
1996-04-29,1.52639,1.54328,1.51779,1.52639,2099623
1996-04-30,1.54328,1.55198,1.51779,1.55198,61915
1996-05-01,1.53478,1.55198,1.52639,1.55198,1075144
1996-05-02,1.55198,1.55198,1.51779,1.52639,823712
1996-05-03,1.55198,1.60307,1.50939,1.50939,1638046
1996-05-06,1.51779,1.55198,1.51779,1.52639,1204609
1996-05-07,1.52639,1.54328,1.51779,1.52639,422178
1996-05-08,1.54328,1.54328,1.52639,1.52639,596678
1996-05-09,1.54328,1.54328,1.52639,1.52639,161365
1996-05-10,1.51779,1.54328,1.51779,1.54328,204519
1996-05-13,1.53478,1.56907,1.52639,1.52639,1420387
1996-05-14,1.55198,1.55198,1.52639,1.52639,604179
1996-05-15,1.53478,1.56907,1.53478,1.55198,1313437
1996-05-16,1.54328,1.56907,1.52639,1.55198,397784
1996-05-17,1.54328,1.60307,1.54328,1.60307,2585595
1996-05-20,1.55198,1.60307,1.55198,1.60307,18762
1996-05-21,1.55198,1.60307,1.55198,1.60307,1639918
1996-05-22,1.55198,1.58607,1.55198,1.58607,35652
1996-05-23,1.55198,1.60307,1.55198,1.60307,1221495
1996-05-24,1.60307,1.60307,1.56907,1.60307,170747
1996-05-28,1.56907,1.60307,1.55198,1.55198,313348
1996-05-29,1.56907,1.56907,1.55198,1.56907,279577
1996-05-30,1.58607,1.60307,1.58607,1.60307,3032164
1996-05-31,1.61185,1.62855,1.58607,1.62025,288958
1996-06-03,1.62855,1.62855,1.60307,1.62855,230789
1996-06-04,1.63735,1.65424,1.61185,1.63735,985077
1996-06-05,1.65424,1.69683,1.62855,1.66284,996337
1996-06-06,1.66284,1.67994,1.61185,1.61185,574160
1996-06-07,1.61185,1.61185,1.58607,1.60307,73181
1996-06-10,1.58607,1.58607,1.58607,1.58607,369639
1996-06-11,1.61185,1.61185,1.56907,1.56907,234542
1996-06-12,1.56038,1.58607,1.56038,1.56038,80682
1996-06-13,1.56907,1.56907,1.53478,1.53478,150106
1996-06-14,1.56038,1.56038,1.53478,1.53478,125713
1996-06-17,1.53478,1.53478,1.53478,1.53478,13134
1996-06-18,1.56038,1.56038,1.53478,1.55198,24394
1996-06-19,1.56038,1.59437,1.53478,1.57757,333987
1996-06-20,1.56038,1.62855,1.56038,1.61185,733649
1996-06-21,1.62855,1.66284,1.60307,1.66284,2289133
1996-06-24,1.67994,1.73082,1.66284,1.69683,2110883
1996-06-25,1.72262,1.72262,1.63735,1.64565,814331
1996-06-26,1.65424,1.65424,1.60307,1.60307,333987
1996-06-27,1.58607,1.61185,1.56907,1.59437,709256
1996-06-28,1.60307,1.62855,1.58607,1.62855,519747
1996-07-01,1.62855,1.66284,1.61185,1.61185,1150197
1996-07-02,1.62855,1.62855,1.58607,1.61185,1016975
1996-07-03,1.60307,1.62855,1.58607,1.61185,985077
1996-07-05,1.60307,1.61185,1.60307,1.61185,97565
1996-07-08,1.60307,1.62855,1.58607,1.61185,73181
1996-07-09,1.61185,1.62855,1.60307,1.62025,733649
1996-07-10,1.62855,1.63735,1.60307,1.61185,502857
1996-07-11,1.61185,1.62855,1.58607,1.58607,711130
1996-07-12,1.61185,1.62025,1.53478,1.56038,2219708
1996-07-15,1.54328,1.56038,1.53478,1.53478,955058
1996-07-16,1.54328,1.54328,1.46671,1.46671,467207
1996-07-17,1.4838,1.55198,1.4838,1.54328,2763845
