date,open,high,low,close,volume
2005-02-25,9.1079,9.43865,9.1079,9.2741,169092
2005-02-28,9.2741,9.2741,9.0745,9.20526,154750
2005-03-01,9.33934,9.40555,9.18111,9.2741,149466
2005-03-02,9.37439,9.43086,9.20526,9.29844,91641
2005-03-03,9.33934,9.36951,9.20526,9.20526,78056
2005-03-04,9.33934,9.36951,9.24771,9.32376,157922
2005-03-07,9.32376,9.36075,9.21782,9.30526,202608
2005-03-08,9.37439,9.47175,9.28675,9.33934,54801
2005-03-09,9.30526,9.39775,9.0745,9.30526,137689
2005-03-10,9.33934,9.37439,9.11471,9.26047,62352
2005-03-11,9.14159,9.23136,8.9414,9.1079,106437
2005-03-14,9.14636,9.14636,8.97509,9.0745,37141
2005-03-15,9.1079,9.21782,8.89554,8.94598,46803
2005-03-16,8.94598,8.94598,8.75572,8.86243,75032
2005-03-17,8.91141,8.96867,8.77588,8.9414,82136
2005-03-18,9.01102,9.10225,8.81142,9.01676,405818
2005-03-21,9.04042,9.0745,8.86243,8.90294,206832
2005-03-22,8.87402,8.96867,8.76935,8.79662,91491
2005-03-23,8.77588,8.77588,8.4978,8.64949,278250
2005-03-24,8.61084,8.67462,8.54045,8.58923,81529
2005-03-28,8.61084,8.63889,8.35818,8.45895,49970
2005-03-29,8.39148,8.47707,8.31261,8.47707,133613
2005-03-30,8.54512,8.8674,8.54045,8.84754,112625
2005-03-31,8.81142,8.9414,8.55048,8.9414,239749
2005-04-01,8.97899,9.03185,8.55048,8.60363,160034
2005-04-04,8.64424,8.67462,8.51212,8.60363,90885
2005-04-05,8.60363,8.76935,8.59633,8.71805,44991
2005-04-06,8.71805,8.92348,8.67462,8.73547,70509
2005-04-07,8.70977,8.97899,8.68913,8.81142,457451
2005-04-08,8.81142,8.87402,8.44649,8.64949,77603
2005-04-11,8.67462,8.74366,8.54512,8.61796,41668
2005-04-12,8.62614,8.73547,8.48349,8.67462,73518
2005-04-13,8.70977,8.84112,8.62614,8.81794,769522
2005-04-14,8.81794,8.84754,8.68913,8.79662,272658
2005-04-15,8.79662,8.86243,8.66294,8.66294,53743
2005-04-18,8.64424,8.74366,8.61084,8.69536,80017
2005-04-19,8.70977,9.02718,8.61084,8.70977,106892
2005-04-20,8.69536,8.78221,8.64424,8.68913,269638
2005-04-21,8.74366,8.77588,8.61084,8.67462,67638
2005-04-22,8.64949,8.6568,8.44649,8.4903,182529
2005-04-25,8.4903,8.73255,8.47707,8.72642,178757
2005-04-26,8.74366,8.77588,8.48349,8.56946,227818
2005-04-27,8.57579,8.72642,8.54512,8.63889,47706
2005-04-28,8.58923,8.64424,8.51212,8.55778,44838
2005-04-29,8.61084,8.63889,8.51212,8.61084,103869
2005-05-02,8.67462,8.67462,8.54512,8.61084,53447
2005-05-03,8.6568,8.70977,8.58923,8.61796,121234
2005-05-04,8.61084,8.64424,8.53422,8.54512,110514
2005-05-05,8.56401,8.64424,8.44649,8.54045,215285
2005-05-06,8.44649,8.55778,8.35818,8.4978,667152
2005-05-09,8.4978,8.64424,8.47707,8.57579,125005
2005-05-10,8.57579,8.57579,8.34678,8.54512,289117
2005-05-11,8.54512,8.54512,8.34075,8.48349,575360
2005-05-12,8.4903,8.4903,8.27775,8.35818,205019
2005-05-13,8.31261,8.51212,8.07387,8.51212,262995
2005-05-16,8.45895,8.61084,8.45895,8.52623,149466
2005-05-17,8.54512,8.57579,8.47707,8.55778,101151
2005-05-18,8.57579,8.70977,8.56946,8.64949,124705
2005-05-19,8.61084,8.77588,8.61084,8.70977,52689
2005-05-20,8.67462,8.80412,8.63889,8.75017,307082
2005-05-23,8.78864,9.13389,8.78864,8.96291,177244
2005-05-24,9.01102,9.10225,8.96867,9.04042,206232
2005-05-25,9.06223,9.10225,8.97899,9.02232,218607
2005-05-26,9.0745,9.19465,9.01102,9.17615,235365
2005-05-27,9.20526,9.40555,9.11471,9.39095,183738
2005-05-31,9.32376,9.60223,9.32376,9.54088,1202965
2005-06-01,9.57205,9.57205,9.0745,9.33154,505913
2005-06-02,9.33154,9.40555,9.01102,9.32376,148710
2005-06-03,9.39095,9.40555,9.24771,9.37439,158069
2005-06-06,9.37439,9.57205,9.28675,9.51557,341499
2005-06-07,9.52433,9.60709,9.51557,9.57205,472397
2005-06-08,9.58373,9.60223,9.47175,9.54088,47101
2005-06-09,9.57205,9.57205,9.28675,9.43086,76997
