date,open,high,low,close,volume
1996-01-02,0.917748,0.917748,0.904691,0.908196,2982558
1996-01-03,0.842987,0.853413,0.772609,0.821249,68953687
1996-01-04,0.821249,0.835092,0.762174,0.76642,36946215
1996-01-05,0.762174,0.799509,0.745655,0.750821,27805161
1996-01-08,0.757008,0.762174,0.748237,0.753407,4731619
1996-01-09,0.763886,0.775144,0.729225,0.735224,10038582
1996-01-10,0.732546,0.748237,0.729225,0.735224,8837244
1996-01-11,0.745655,0.750821,0.735224,0.750821,9711810
1996-01-12,0.750821,0.750821,0.713442,0.713442,6876503
1996-01-15,0.723913,0.723913,0.621463,0.626635,49129686
1996-01-16,0.636967,0.642277,0.626635,0.642277,25443974
1996-01-17,0.642277,0.658798,0.632629,0.642277,33194977
1996-01-18,0.653584,0.670015,0.642277,0.650862,35118929
1996-01-19,0.653584,0.677814,0.650862,0.677814,22581066
1996-01-22,0.680353,0.753407,0.670015,0.7283,27248229
1996-01-23,0.745655,0.76642,0.729225,0.758762,23575247
1996-01-24,0.777772,0.794389,0.772609,0.788343,14981929
1996-01-25,0.794389,0.815107,0.772609,0.772609,16017551
1996-01-26,0.777772,0.777772,0.740483,0.745655,8860273
1996-01-29,0.750821,0.750821,0.740483,0.748237,14397400
1996-01-30,0.745655,0.748237,0.732546,0.740483,7092839
1996-01-31,0.740483,0.740483,0.7187,0.732546,9421822
1996-02-01,0.73693,0.73693,0.723913,0.735224,4220715
1996-02-02,0.735224,0.750821,0.729225,0.742101,6954773
1996-02-05,0.745655,0.750821,0.73693,0.750821,5191898
1996-02-06,0.750821,0.757008,0.735224,0.735224,5969761
1996-02-07,0.745655,0.745655,0.713442,0.7187,6048023
1996-02-08,0.713442,0.729225,0.707394,0.723913,8574909
1996-02-09,0.729225,0.740483,0.7187,0.735224,5035390
1996-02-12,0.735224,0.735224,0.723913,0.723913,5831676
1996-02-13,0.729225,0.729225,0.7187,0.725673,8657731
1996-02-14,0.723913,0.735224,0.7187,0.735224,9642743
1996-02-15,0.715193,0.732546,0.715193,0.721334,7649768
1996-02-16,0.713442,0.726552,0.713442,0.715193,9403402
1996-02-20,0.707394,0.713442,0.688195,0.688195,6084820
1996-02-21,0.688195,0.729225,0.688195,0.723913,9891295
1996-02-22,0.735224,0.821249,0.7187,0.799509,30539200
1996-02-23,0.794389,0.831631,0.783868,0.799509,21398152
1996-02-26,0.788343,0.799509,0.76642,0.76642,13817424
1996-02-27,0.76642,0.791528,0.76642,0.777772,9242301
1996-02-28,0.788343,0.799509,0.777772,0.782064,6798246
1996-02-29,0.777772,0.783868,0.762174,0.775144,6218298
1996-03-01,0.767391,0.783868,0.757008,0.757008,4519895
1996-03-04,0.757008,0.788343,0.757008,0.775144,4713197
1996-03-05,0.772609,0.785568,0.762174,0.772609,4892733
1996-03-06,0.772609,0.79702,0.772609,0.785568,4344980
1996-03-07,0.783868,0.826464,0.783868,0.809897,6954773
1996-03-08,0.794389,0.813545,0.772609,0.783868,8915520
1996-03-11,0.772609,0.799509,0.772609,0.788343,2835289
1996-03-12,0.785568,0.809897,0.780361,0.805653,3719022
1996-03-13,0.821249,0.826464,0.809897,0.816031,5670573
1996-03-14,0.809897,0.821249,0.809897,0.821249,5702807
1996-03-15,0.823878,0.826464,0.805653,0.805653,4662576
1996-03-18,0.805653,0.826464,0.805653,0.826464,10319355
1996-03-19,0.818661,0.842987,0.816031,0.816031,5610732
1996-03-20,0.831631,0.831631,0.816031,0.823878,11916524
1996-03-21,0.831631,0.831631,0.816031,0.818661,7327562
1996-03-22,0.826464,0.826464,0.816031,0.816031,7479448
1996-03-25,0.816031,0.826464,0.816031,0.821249,7516283
1996-03-26,0.816031,0.842987,0.816031,0.835092,5058385
1996-03-27,0.831631,0.864584,0.831631,0.858678,6687775
1996-03-28,0.858678,0.875155,0.816031,0.839482,9131862
1996-03-29,0.836942,0.848154,0.831631,0.831631,8722196
1996-04-01,0.831631,0.836942,0.826464,0.826464,5688987
1996-04-02,0.826464,0.848154,0.826464,0.838694,3378410
1996-04-03,0.839482,0.858678,0.836942,0.848154,11295138
1996-04-04,0.848154,0.848154,0.831631,0.842987,9739413
1996-04-08,0.809897,0.821249,0.794389,0.802143,14816212
1996-04-09,0.802143,0.809897,0.777772,0.788343,5426647
1996-04-10,0.791528,0.791528,0.762174,0.762174,4275947
1996-04-11,0.762174,0.783868,0.750821,0.783868,13265105
1996-04-12,0.767391,0.805653,0.757008,0.79702,35841556
1996-04-15,0.788343,0.836942,0.788343,0.79702,20496034
1996-04-16,0.799509,0.799509,0.794389,0.79702,3406039
1996-04-17,0.79702,0.802143,0.794389,0.79702,8970737
1996-04-18,0.794389,0.842987,0.794389,0.821249,17264876
1996-04-19,0.821249,0.826464,0.777772,0.777772,29508190
1996-04-22,0.757008,0.780361,0.750821,0.758762,31584020
1996-04-23,0.740483,0.767391,0.740483,0.758762,39486928
1996-04-24,0.757008,0.799509,0.757008,0.788343,13140834
1996-04-25,0.788343,0.816031,0.788343,0.799509,7645162
1996-04-26,0.799509,0.853413,0.799509,0.848154,15340937
1996-04-29,0.842987,0.842987,0.805653,0.823878,6876503
1996-04-30,0.823878,0.842987,0.823878,0.826464,20509815
1996-05-01,0.836942,0.864584,0.826464,0.848154,7497874
1996-05-02,0.848154,0.853413,0.799509,0.809897,7405810
1996-05-03,0.802143,0.821249,0.799509,0.809897,7175687
1996-05-06,0.816031,0.826464,0.805653,0.813545,6687775
1996-05-07,0.809897,0.826464,0.809897,0.816031,9923515
1996-05-08,0.826464,0.831631,0.816031,0.831631,9490864
1996-05-09,0.821249,0.867402,0.816031,0.864584,14070585
1996-05-10,0.869889,0.880319,0.858678,0.858678,4993987
1996-05-13,0.858678,0.908196,0.858678,0.904691,12243303
1996-05-14,0.896893,0.929933,0.896893,0.918581,10107609
1996-05-15,0.908196,0.935012,0.896893,0.929933,9334345
1996-05-16,0.918581,0.974963,0.908196,0.961177,21807792
1996-05-17,0.974963,0.978573,0.918581,0.969819,10439005
1996-05-20,0.956792,0.988976,0.956792,0.978573,8699189
1996-05-21,0.972479,0.981156,0.950659,0.956792,6250514
1996-05-22,0.953287,0.972479,0.945442,0.961177,3272539
1996-05-23,0.972479,0.988976,0.961177,0.978573,4763836
1996-05-24,0.988976,1.00465,0.978573,0.986414,8989171
1996-05-28,0.982908,0.988976,0.967179,0.978573,7833877
1996-05-29,0.978573,0.994188,0.978573,0.982908,6485274
1996-05-30,0.982908,0.982908,0.972479,0.981156,3475066
1996-05-31,0.972479,0.982908,0.972479,0.972479,2522318
1996-06-03,0.972479,1.01601,0.972479,1.00802,7875294
1996-06-04,1.00465,1.00991,0.988976,0.999325,18337330
1996-06-05,0.999325,0.999325,0.982908,0.982908,2195509
1996-06-06,0.982908,0.999325,0.972479,0.972479,3341594
1996-06-07,0.967179,0.988976,0.950659,0.981156,5026218
1996-06-10,0.978573,1.00802,0.978573,1.00465,3801864
1996-06-11,1.01601,1.01601,0.967179,0.978573,15699960
1996-06-12,0.978573,0.988976,0.978573,0.978573,6572710
1996-06-13,0.978573,0.988976,0.961177,0.967179,2600525
1996-06-14,0.972479,0.988976,0.961177,0.974963,3732822
1996-06-17,0.972479,0.982908,0.961177,0.967179,4524506
1996-06-18,0.961177,0.967179,0.950659,0.950659,3769641
