date,open,high,low,close,volume
1996-01-02,7.91867,8.14043,7.91867,8.07141,2640223
1996-01-03,8.04203,8.05652,7.83496,7.90043,2150827
1996-01-04,7.93692,7.93692,7.72976,7.74908,2094095
1996-01-05,7.74908,7.74908,7.55927,7.59231,2514916
1996-01-08,7.6067,7.6067,7.53709,7.6067,689759
1996-01-09,7.6419,7.65728,7.48345,7.53709,1369463
1996-01-10,7.46837,7.48345,7.32983,7.34768,2335240
1996-01-11,7.39944,7.41719,7.31218,7.38011,4396230
1996-01-12,7.41719,7.5013,7.39944,7.4516,2248354
1996-01-15,7.43494,7.51944,7.43494,7.5013,2235353
1996-01-16,7.51944,7.6067,7.5013,7.58827,2128957
1996-01-17,7.58827,7.65728,7.58827,7.62494,1725861
1996-01-18,7.6067,7.62494,7.4516,7.58827,1469350
1996-01-19,7.57269,7.67336,7.5013,7.6067,2891416
1996-01-22,7.6067,7.6419,7.5013,7.62494,2365380
1996-01-23,7.58827,7.70905,7.53709,7.6067,1718774
1996-01-24,7.62494,7.762,7.6067,7.762,1835800
1996-01-25,7.74642,7.762,7.55218,7.6067,2335240
1996-01-26,7.58827,7.67336,7.55218,7.58827,909032
1996-01-29,7.55218,7.58827,7.51944,7.55218,1660259
1996-01-30,7.6067,7.83082,7.58827,7.81337,4370817
1996-01-31,7.88407,7.96798,7.84778,7.952,3708839
1996-02-01,7.952,7.96798,7.81337,7.91867,1640752
1996-02-02,7.88407,7.90043,7.62494,7.65728,2967069
1996-02-05,7.69011,7.69011,7.62494,7.69011,2935155
1996-02-06,7.74642,8.00337,7.74642,7.96798,2361243
1996-02-07,7.93692,7.952,7.84778,7.91867,2448135
1996-02-08,7.88407,8.19466,7.86356,8.10819,2401437
1996-02-09,8.05652,8.36633,8.04203,8.27758,5708367
1996-02-12,8.24653,8.26299,8.10819,8.15768,3000171
1996-02-13,8.12623,8.21379,8.05652,8.19466,5555875
1996-02-14,8.17386,8.27758,8.17386,8.24653,3221227
1996-02-15,8.24653,8.24653,8.14043,8.19466,2192794
1996-02-16,8.19466,8.19466,8.05652,8.14043,2280863
1996-02-20,8.12623,8.15768,7.93692,7.96798,1796795
1996-02-21,7.88407,8.10819,7.86356,8.10819,1909681
1996-02-22,8.14043,8.21379,8.12623,8.19466,2264904
1996-02-23,8.19466,8.21379,7.98553,8.14043,1909091
1996-02-26,8.12623,8.17386,8.00337,8.07141,1864766
1996-02-27,8.00337,8.04203,7.91867,8.00337,1582246
1996-02-28,8.01994,8.12623,7.84778,7.86356,2601212
1996-02-29,7.86356,8.07141,7.84778,7.952,3312242
1996-03-01,8.01994,8.14043,7.96798,8.12623,4088296
1996-03-04,8.12623,8.29592,8.12623,8.26299,1560964
1996-03-05,8.26299,8.26299,8.12623,8.17386,1232338
1996-03-06,8.15768,8.23105,8.15768,8.15768,1593475
1996-03-07,8.08926,8.21379,8.07141,8.15768,1682717
1996-03-08,8.05652,8.12623,7.762,7.81337,2289137
1996-03-11,7.77857,7.96798,7.762,7.91867,1855305
1996-03-12,7.86356,7.90043,7.74642,7.90043,1615339
1996-03-13,7.86356,8.10819,7.86356,8.01994,3253138
1996-03-14,8.01994,8.05652,7.88407,8.00337,2740695
1996-03-15,8.00337,8.08926,7.96798,7.98553,3664508
1996-03-18,7.96798,8.19466,7.96798,8.15768,3153250
1996-03-19,8.17386,8.27758,8.17386,8.17386,2722966
1996-03-20,8.17386,8.21379,8.12623,8.21379,1368282
1996-03-21,8.24653,8.26299,8.14043,8.17386,1601746
1996-03-22,8.08926,8.14043,8.05652,8.12623,2137236
1996-03-25,8.14043,8.17386,8.05652,8.10819,1749509
1996-03-26,8.08926,8.17386,8.07141,8.15768,1651392
1996-03-27,8.08926,8.12623,8.01994,8.07141,1462256
1996-03-28,8.04203,8.10819,8.00337,8.10819,3127838
1996-03-29,8.10819,8.12623,8.07141,8.07141,2310413
1996-04-01,8.08926,8.10819,8.05652,8.08926,1490629
1996-04-02,8.08926,8.08926,8.04203,8.05652,2244808
1996-04-03,8.05652,8.10819,8.04203,8.05652,2861277
1996-04-04,8.05652,8.10819,8.05652,8.08926,1075711
1996-04-08,8.01994,8.01994,7.86356,7.88052,1299128
1996-04-09,7.88052,7.91463,7.86356,7.88052,2217620
1996-04-10,7.89649,7.89649,7.65492,7.70461,4189363
1996-04-11,7.70461,7.75864,7.60256,7.68627,3592403
1996-04-12,7.68627,7.79148,7.67089,7.75864,1441569
1996-04-15,7.79148,7.79148,7.60256,7.72581,9850442
1996-04-16,7.70461,7.72581,7.60256,7.65492,10602851
1996-04-17,7.65492,7.65492,7.58107,7.65492,2377206
1996-04-18,7.6212,7.70461,7.60256,7.67089,3716522
