date,open,high,low,close,volume
2005-02-25,17.1635,17.2311,16.974,17.2311,221638
2005-02-28,17.1547,17.2311,16.9126,17.12,341896
2005-03-01,16.991,17.2399,16.9215,17.1635,749892
2005-03-02,17.1635,17.2142,16.9583,17.0861,208802
2005-03-03,17.2499,17.2589,16.8352,16.991,248004
2005-03-04,17.1031,17.1031,16.6943,16.9036,419148
2005-03-07,16.854,17.0009,16.7667,16.9036,293286
2005-03-08,16.9493,16.9493,16.6129,16.6704,274660
2005-03-09,16.6943,16.74,16.4124,16.4741,299218
2005-03-10,16.5435,16.854,16.4384,16.73,382766
2005-03-11,16.6943,16.8619,16.6298,16.854,415576
2005-03-14,16.8789,17.0604,16.8272,17.0604,280648
2005-03-15,16.991,17.2678,16.9126,16.9126,402991
2005-03-16,16.8272,17.0078,16.4384,16.5702,582519
2005-03-17,16.48,16.5702,16.2656,16.343,465241
2005-03-18,16.2586,16.3203,16.093,16.2656,826153
2005-03-21,16.3023,16.4124,16.093,16.2845,498216
2005-03-22,16.2349,16.4124,16.1455,16.2259,423344
2005-03-23,16.1377,16.4124,16.1277,16.2845,366647
2005-03-24,16.3857,16.4304,16.1634,16.1634,347946
2005-03-28,16.1724,16.3757,15.3448,15.7427,1049799
2005-03-29,15.8281,15.8678,15.5076,15.5572,946635
2005-03-30,15.6276,15.9561,15.5919,15.9194,627549
2005-03-31,15.8678,15.9035,15.4033,15.5155,1033148
2005-04-01,15.6346,15.7328,15.2138,15.4927,697945
2005-04-04,15.4837,15.707,15.3259,15.6713,596997
2005-04-05,15.7497,15.7497,15.4837,15.5076,415279
2005-04-06,15.6346,15.7834,15.4669,15.4669,408877
2005-04-07,15.5234,15.6107,15.3955,15.4927,302661
2005-04-08,15.4927,15.5016,15.2814,15.3706,223301
2005-04-11,15.4202,15.4758,15.1712,15.2049,361581
2005-04-12,15.2555,15.4202,15.0601,15.3181,734994
2005-04-13,15.1712,15.9561,15.1544,15.575,655204
2005-04-14,15.5155,15.716,15.4133,15.4837,524374
2005-04-15,15.5483,15.5483,14.9192,14.9707,643445
2005-04-18,15.1037,15.2734,14.9133,15.2655,371306
2005-04-19,15.3955,15.3955,15.0154,15.2307,301115
2005-04-20,15.2892,15.3448,14.9192,15.0064,312928
2005-04-21,14.0598,15.1712,13.2403,15.1037,1780586
2005-04-22,15.0501,15.1544,14.4895,14.945,1021353
