date,open,high,low,close,volume
1996-01-02,5.93688,5.99012,5.77839,5.77839,96128
1996-01-03,5.84006,6.03398,5.84006,5.99012,181819
1996-01-04,6.03398,6.03398,5.84006,5.84006,300393
1996-01-05,5.77839,5.99012,5.77839,5.99012,213336
1996-01-08,5.93688,5.93688,5.88382,5.93688,18816
1996-01-09,5.93688,5.93688,5.62844,5.62844,124238
1996-01-10,5.58428,5.62844,5.38117,5.43463,180232
1996-01-11,5.62844,5.84006,5.62844,5.77839,349590
1996-01-12,5.77839,5.88382,5.73415,5.84006,270243
1996-01-15,5.77839,5.93688,5.77839,5.77839,200411
1996-01-16,5.93688,5.99012,5.88382,5.93688,127411
1996-01-17,5.93688,5.93688,5.69011,5.69011,321482
1996-01-18,5.73415,5.77839,5.69011,5.77839,248933
1996-01-19,5.73415,5.84006,5.73415,5.84006,367725
1996-01-22,5.73415,6.08713,5.73415,6.03398,304701
1996-01-23,6.03398,6.03398,5.93688,5.93688,414882
1996-01-24,5.93688,6.14009,5.93688,6.14009,480402
1996-01-25,6.08713,6.08713,5.62844,5.62844,4629693
1996-01-26,5.62844,5.88382,5.61081,5.84006,2201149
1996-01-29,5.88382,5.93688,5.84006,5.88382,618471
1996-01-30,5.88382,6.08713,5.84006,6.03398,715505
1996-01-31,6.03398,6.49277,6.03398,6.43971,992549
1996-02-01,6.43971,6.68698,6.43971,6.58997,905943
1996-02-02,6.53681,6.53681,6.38685,6.43971,226484
1996-02-05,6.43971,6.49277,6.334,6.334,303113
1996-02-06,6.38685,6.58997,6.334,6.58997,557486
1996-02-07,6.53681,6.58997,6.49277,6.53681,241899
1996-02-08,6.53681,6.79269,6.53681,6.68698,515542
1996-02-09,6.66915,6.66915,6.57175,6.61649,117889
1996-02-12,6.61649,6.61649,6.519,6.57175,349364
1996-02-13,6.519,6.57175,6.46634,6.57175,270693
1996-02-14,6.519,6.57175,6.519,6.57175,151897
1996-02-15,6.57175,6.81932,6.519,6.76646,511008
1996-02-16,6.76646,6.76646,6.519,6.519,363871
1996-02-20,6.46634,6.519,6.31647,6.36053,419417
1996-02-21,6.36053,6.57175,6.36053,6.46634,353218
1996-02-22,6.519,6.61649,6.36053,6.42209,525292
1996-02-23,6.46634,6.519,6.42209,6.42209,197014
1996-02-26,6.31647,6.36053,6.21066,6.21066,140562
1996-02-27,6.16642,6.16642,5.96349,6.01645,237366
1996-02-28,5.96349,6.26332,5.96349,6.0695,451381
1996-02-29,6.0695,6.26332,6.0695,6.21066,389268
1996-03-01,6.16642,6.26332,6.11336,6.26332,230116
1996-03-04,6.26332,6.31647,6.16642,6.21066,194520
1996-03-05,6.21066,6.36053,6.21066,6.31647,127640
1996-03-06,6.31647,6.31647,6.21066,6.26332,225801
1996-03-07,6.42209,6.61649,6.42209,6.57175,744524
1996-03-08,6.36053,6.36053,6.16642,6.31647,479044
1996-03-11,6.26332,6.46634,6.26332,6.42209,291551
1996-03-12,6.36053,6.42209,6.31647,6.36053,296314
1996-03-13,6.42209,6.519,6.36053,6.46634,212884
1996-03-14,6.42209,6.519,6.42209,6.42209,298126
1996-03-15,6.46634,6.519,6.36053,6.519,343019
1996-03-18,6.519,6.519,6.31647,6.31647,165271
1996-03-19,6.36053,6.42209,6.31647,6.36053,250062
1996-03-20,6.36053,6.42209,6.31647,6.36053,641144
1996-03-21,6.42209,6.42209,6.31647,6.36053,78443
1996-03-22,6.42209,6.42209,6.31647,6.36053,73905
1996-03-25,6.36053,6.46634,6.31647,6.31647,420322
1996-03-26,6.36053,6.46634,6.31647,6.31647,560203
1996-03-27,6.26332,6.31647,6.16642,6.26332,260947
1996-03-28,6.26332,6.36053,6.21066,6.31647,640686
1996-03-29,6.36053,6.46634,6.36053,6.46634,939722
1996-04-01,6.519,6.519,6.42209,6.42209,552953
1996-04-02,6.26332,6.31647,6.11336,6.21066,781706
1996-04-03,6.21066,6.31647,6.16642,6.26332,769459
1996-04-04,6.26332,6.26332,6.01645,6.01645,379065
1996-04-08,5.96349,5.96349,5.61081,5.80442,574939
1996-04-09,5.76068,5.85738,5.66358,5.70782,369315
1996-04-10,5.70782,5.76068,5.66358,5.76068,410575
1996-04-11,5.76068,5.85738,5.76068,5.80442,523252
1996-04-12,5.76068,5.80442,5.66358,5.76068,157789
1996-04-15,5.80442,5.80442,5.70782,5.70782,175927
1996-04-16,5.70782,5.76068,5.66358,5.70782,909343
1996-04-17,5.66358,5.96349,5.66358,5.91035,403097
1996-04-18,5.91035,6.0695,5.85738,6.01645,406721
1996-04-19,5.91035,6.01645,5.85738,6.01645,279760
1996-04-22,6.01645,6.0695,5.80442,5.80442,251879
1996-04-23,5.76068,5.85738,5.61081,5.80442,981439
1996-04-24,5.76068,5.80442,5.61081,5.80442,431660
1996-04-25,5.76068,5.80442,5.70782,5.80442,788962
1996-04-26,5.80442,5.96349,5.76068,5.91035,313769
1996-04-29,5.85738,5.96349,5.80442,5.80442,259591
1996-04-30,5.85738,5.85738,5.66358,5.70782,428711
1996-05-01,5.66358,5.80442,5.66358,5.70782,126509
1996-05-02,5.66358,5.70782,5.61081,5.61081,193837
1996-05-03,5.61081,5.70782,5.55767,5.55767,341429
1996-05-06,5.55767,5.61081,5.4077,5.61081,532320
1996-05-07,5.55767,5.66358,5.51371,5.55767,334854
1996-05-08,5.55767,5.61081,5.51371,5.51371,709838
1996-05-09,5.51371,5.76068,5.51371,5.76068,269787
1996-05-10,5.84006,5.89332,5.63715,5.63715,444359
1996-05-13,5.58428,5.69011,5.58428,5.69011,222177
1996-05-14,5.69011,5.99012,5.69011,5.99012,644995
1996-05-15,5.94578,5.99012,5.89332,5.94578,326920
1996-05-16,5.89332,5.94578,5.79592,5.84006,237822
1996-05-17,5.84006,5.99012,5.84006,5.99012,313089
1996-05-20,5.99012,6.14009,5.99012,6.04269,647038
1996-05-21,6.04269,6.09564,5.99012,5.99012,215147
1996-05-22,5.94578,6.04269,5.89332,6.04269,248250
1996-05-23,6.04269,6.04269,5.94578,5.99012,262078
1996-05-24,5.99012,6.04269,5.94578,5.99012,96128
1996-05-28,5.99012,6.04269,5.84006,5.84006,177742
1996-05-29,5.94578,5.99012,5.89332,5.94578,274550
1996-05-30,5.89332,5.89332,5.79592,5.89332,217869
1996-05-31,5.84006,6.04269,5.84006,6.04269,303570
1996-06-03,6.09564,6.09564,5.94578,5.99012,367501
1996-06-04,5.94578,5.99012,5.79592,5.94578,127184
1996-06-05,5.94578,6.09564,5.89332,6.04269,164367
1996-06-06,6.09564,6.09564,5.94578,5.94578,137389
1996-06-07,5.79592,5.94578,5.79592,5.94578,192476
1996-06-10,5.94578,5.94578,5.69011,5.73415,202905
1996-06-11,5.73415,5.89332,5.73415,5.89332,182276
1996-06-12,5.84006,5.89332,5.79592,5.84006,84790
1996-06-13,5.79592,5.89332,5.73415,5.79592,457732
1996-06-14,5.79592,5.84006,5.69011,5.69011,96803
1996-06-17,5.58428,5.69011,5.58428,5.63715,163687
1996-06-18,5.69011,5.69011,5.58428,5.58428,138521
1996-06-19,5.58428,5.63715,5.53984,5.58428,154847
1996-06-20,5.63715,5.69011,5.58428,5.69011,136478
1996-06-21,5.69011,5.69011,5.58428,5.69011,417151
1996-06-24,5.69011,5.84006,5.69011,5.84006,114035
1996-06-25,5.99012,6.09564,5.89332,5.94578,768555
1996-06-26,5.99012,5.99012,5.69011,5.73415,623682
1996-06-27,5.73415,5.89332,5.73415,5.84006,176154
