date,open,high,low,close,volume
1996-01-02,19.6473,19.6473,19.2094,19.4283,2405965
1996-01-03,19.3006,19.3421,18.5061,18.728,4483168
1996-01-04,18.5991,18.9964,18.5556,18.7667,3531554
1996-01-05,18.728,18.8618,18.4199,18.6408,2496196
1996-01-08,18.5991,18.9469,18.5991,18.8618,849266
1996-01-09,18.9469,18.9469,18.2445,18.6557,2771102
1996-01-10,18.0672,18.1178,17.3312,17.3717,3277791
1996-01-11,17.8948,17.9385,17.5412,17.9385,2175603
1996-01-12,17.9809,18.2951,17.6759,17.8948,2451359
1996-01-15,17.8948,18.0672,17.5907,17.6759,1076802
1996-01-16,17.9385,18.5556,17.8036,18.3376,3405517
1996-01-17,18.2951,18.6854,18.1178,18.1574,3036433
1996-01-18,18.4199,18.6408,18.3376,18.5991,2694412
1996-01-19,18.5556,18.6854,18.4635,18.6408,2822986
1996-01-22,18.5556,18.5991,18.3792,18.4635,1893644
1996-01-23,18.4199,18.728,17.7612,18.3376,3060112
1996-01-24,18.4199,18.6408,18.3792,18.5061,3954485
1996-01-25,18.5061,18.6854,18.2445,18.2445,2230869
1996-01-26,18.1574,18.5556,18.1574,18.5556,2875991
1996-01-29,18.5556,18.8618,18.5556,18.8181,2900244
1996-01-30,18.728,19.6473,18.6854,19.6056,6569669
1996-01-31,19.9128,20.4892,19.6473,20.0871,5762701
1996-02-01,20.2635,20.3506,20.0465,20.2635,3388313
1996-02-02,20.1733,20.7003,20.1733,20.1733,3382112
1996-02-05,20.3099,20.3506,20.1326,20.3506,2177579
1996-02-06,19.6473,20.4892,19.6473,20.3506,3210397
1996-02-07,20.3506,20.8777,20.2218,20.7469,3576385
1996-02-08,20.8777,21.5344,20.7003,21.4006,3910787
1996-02-09,21.3144,21.9743,21.1391,21.6633,3049961
1996-02-12,21.9316,22.5022,21.9316,22.5022,3316132
1996-02-13,22.2795,22.5835,22.2795,22.5022,3302321
1996-02-14,22.3666,22.4538,22.0198,22.4141,5026505
1996-02-15,22.1952,22.848,22.1516,22.3239,5945980
1996-02-16,22.103,22.103,21.7117,21.8425,3988891
1996-02-20,21.4006,21.6633,21.1857,21.2303,4374049
1996-02-21,21.2303,21.8861,21.2303,21.7524,3916990
1996-02-22,21.8861,22.3239,21.7979,22.1952,4298198
1996-02-23,22.4538,22.7618,22.3666,22.5439,5643146
1996-02-26,22.0198,22.3666,21.7117,21.8425,4757230
1996-02-27,21.7524,21.8861,21.3144,21.4006,3207863
1996-02-28,21.5761,21.7979,20.9668,21.0956,6587721
1996-02-29,21.1391,21.7524,21.0094,21.274,5159869
1996-03-01,21.5761,21.8425,21.4493,21.6266,4187668
1996-03-04,21.9316,22.5835,21.8861,22.5022,4289744
1996-03-05,22.2795,22.7192,22.1516,22.7192,2391872
1996-03-06,22.7192,23.064,22.6697,22.8044,2662267
1996-03-07,23.064,23.7267,22.9391,23.6306,4099135
1996-03-08,22.8985,23.2443,21.6633,22.9828,5968248
1996-03-11,22.6351,22.7618,22.103,22.4538,5885070
1996-03-12,22.3239,22.4141,21.3144,22.2795,3796027
1996-03-13,22.2795,22.4538,21.7117,21.8425,3213777
1996-03-14,21.8425,22.1952,21.5761,21.6266,3072799
1996-03-15,21.5344,21.5761,21.3144,21.3581,4431566
1996-03-18,21.4006,21.4006,20.8331,20.9242,6156319
1996-03-19,21.053,21.3581,20.9242,21.0094,4907795
1996-03-20,21.2303,21.7524,21.0956,21.7524,4933736
1996-03-21,22.103,23.6306,22.0198,23.3731,10732244
1996-03-22,23.1601,23.2443,22.3666,22.7618,5310434
1996-03-25,23.6861,23.7267,23.1095,23.2443,6467598
1996-03-26,23.1601,23.6306,23.064,23.5087,5918908
1996-03-27,23.1601,23.2443,22.9391,22.9391,3585692
1996-03-28,22.7192,22.9391,22.5835,22.9391,2865277
1996-03-29,23.3294,23.3294,22.7618,22.8044,3276380
1996-04-01,22.9828,23.1095,22.8044,22.9391,2650423
1996-04-02,23.3294,23.5979,23.1601,23.2859,2313485
1996-04-03,23.2006,23.2443,22.848,22.8985,1865443
1996-04-04,22.8985,22.8985,22.6351,22.6697,3086897
1996-04-08,21.7524,22.1516,21.7524,22.103,2654931
1996-04-09,22.2368,22.2368,22.0198,22.103,2204922
1996-04-10,22.0198,22.0605,21.053,21.4006,5008457
1996-04-11,21.2303,21.4006,20.4932,21.1857,5421244
1996-04-12,21.3144,21.7979,21.274,21.6266,3078158
1996-04-15,21.4006,21.4927,21.1857,21.1857,4237297
1996-04-16,21.0956,21.1391,20.6618,20.7003,5088533
1996-04-17,20.6618,20.6618,19.6056,19.8236,8595834
1996-04-18,20.1733,21.0094,20.1326,20.6618,10135903
1996-04-19,20.8777,21.4006,20.8331,21.3144,4028931
1996-04-22,21.5761,21.5761,20.2218,20.5269,3985789
1996-04-23,20.4892,20.6131,20.0009,20.1326,7896576
1996-04-24,20.2218,20.2218,19.0301,19.472,14105900
1996-04-25,19.5631,20.0465,19.5214,19.8672,6752380
1996-04-26,20.1733,20.5686,20.0871,20.3893,4895953
1996-04-29,20.4368,20.8331,20.4368,20.6131,3695090
1996-04-30,20.7003,20.7469,20.3893,20.7469,2563300
1996-05-01,20.5269,20.6618,20.2218,20.2635,3104098
1996-05-02,19.7345,20.0465,19.5214,19.6473,2608699
1996-05-03,19.8236,20.0465,19.3421,19.4283,2635767
1996-05-06,19.5214,19.8672,18.9033,19.259,5479615
1996-05-07,19.1233,19.3857,19.0806,19.259,5073586
1996-05-08,18.9469,19.7849,18.7667,19.6889,4933455
1996-05-09,19.3006,19.6889,19.3006,19.4283,3647997
1996-05-10,19.6473,19.8672,19.3857,19.7849,3617549
1996-05-13,19.5631,19.8236,19.4283,19.6056,2186035
1996-05-14,19.5214,19.7345,19.3857,19.6889,4859019
1996-05-15,19.9583,20.1733,19.6889,19.7849,4203745
1996-05-16,19.6889,20.7469,19.6889,20.6131,5603957
1996-05-17,21.053,21.053,20.5269,20.7469,4460605
1996-05-20,20.9668,21.1391,20.9242,21.053,3020356
1996-05-21,20.8777,21.0956,20.7003,20.7003,2642527
1996-05-22,20.5269,21.274,20.4368,20.9668,3877799
1996-05-23,21.053,21.5761,21.053,21.4493,3934191
1996-05-24,21.5344,22.0605,21.5344,22.0198,3556644
1996-05-28,22.0605,22.1516,21.4493,21.5344,3245643
1996-05-29,22.1952,22.5835,21.8425,21.9316,7721194
1996-05-30,21.9316,22.6697,21.5761,22.4538,4495856
1996-05-31,22.3666,22.5835,22.0605,22.5439,3610781
1996-06-03,22.103,22.9828,22.103,22.9391,4216992
1996-06-04,23.064,23.2443,22.9391,22.9391,6379910
1996-06-05,23.3294,23.3294,22.9391,23.2443,4830260
1996-06-06,23.2859,23.3731,23.1601,23.2006,3898945
1996-06-07,22.3666,23.5979,22.3666,23.5979,4116615
1996-06-10,23.5087,23.5979,23.2859,23.3731,2550892
1996-06-11,23.3731,23.4642,23.0233,23.1601,2263577
1996-06-12,23.1601,23.1601,22.4538,22.5439,2769697
1996-06-13,22.5439,22.6697,22.1952,22.3666,3197708
1996-06-14,22.2795,22.6351,22.1516,22.2795,3683525
1996-06-17,22.2368,22.5835,22.0198,22.0198,3428354
1996-06-18,21.9743,22.0198,21.5761,21.5761,3391978
1996-06-19,21.8425,21.9743,21.5761,21.9743,3765576
1996-06-20,22.4538,22.8044,22.2368,22.5439,4906672
1996-06-21,23.1095,23.1601,22.848,23.1095,6108387
1996-06-24,22.9391,23.064,22.6351,22.7192,2735862
1996-06-25,22.7192,23.1601,22.7192,23.1601,3378724
1996-06-26,22.8985,23.1601,22.8044,22.9828,2229175
1996-06-27,22.8985,23.1095,22.7618,23.064,2262160
1996-06-28,22.9828,23.2006,22.7618,22.8044,2069869
1996-07-01,22.8044,22.9391,22.5835,22.7618,3787573
1996-07-02,22.8044,23.2006,22.7192,22.7192,4136353
1996-07-03,22.7192,23.0233,22.7192,22.9828,2208873
1996-07-05,22.5439,22.8985,22.2368,22.2795,985449
1996-07-08,22.1516,22.4538,22.0605,22.1516,2233689
1996-07-09,22.1516,22.2368,21.6633,21.7117,3825918
1996-07-10,21.6266,21.6266,21.274,21.4493,3308522
1996-07-11,21.3144,21.6266,21.053,21.2303,4152709
1996-07-12,20.9668,21.3581,20.3893,21.3144,3530138
1996-07-15,21.2303,21.5344,20.7865,20.8777,3342637
1996-07-16,20.4368,20.5269,18.7667,20.0009,7703997
1996-07-17,20.1733,20.1733,19.5631,19.6473,5630462
1996-07-18,19.8236,20.5686,19.7345,20.4892,4710427
1996-07-19,20.0009,20.7003,19.9128,20.1326,3345740
1996-07-22,20.0465,20.3893,19.7345,20.3893,2976371
1996-07-23,20.3893,20.3893,19.7345,19.8236,3054475
1996-07-24,19.5631,20.0871,19.5214,20.0009,3377318
1996-07-25,20.3506,20.3506,19.6889,19.7849,3740767
1996-07-26,19.8672,20.0009,19.6889,19.7345,2072408
1996-07-29,19.472,19.6473,19.2094,19.2094,3815771
1996-07-30,19.1233,19.3006,18.9469,19.1233,5198780
1996-07-31,19.2094,19.6473,19.2094,19.6473,2504934
1996-08-01,19.8236,20.3506,19.7849,20.3506,2965089
1996-08-02,20.5269,20.6618,20.1326,20.3506,2816496
1996-08-05,20.3506,20.6618,20.3099,20.4892,1667229
1996-08-06,20.5686,20.7469,20.4892,20.5686,2616029
1996-08-07,20.9668,20.9668,20.2635,20.3099,4413239
1996-08-08,20.3893,20.5269,20.2635,20.4892,2938868
1996-08-09,20.2635,20.4368,20.1326,20.2635,2061410
1996-08-12,20.1733,20.2635,19.7345,20.2635,3970843
1996-08-13,20.3506,20.7469,20.3099,20.7003,3842549
1996-08-14,20.6131,20.6131,20.3099,20.3893,2827496
1996-08-15,20.3099,20.6131,20.3099,20.5269,3527602
1996-08-16,20.3506,20.5269,20.3506,20.3893,2655781
1996-08-19,20.4892,20.5686,20.3099,20.5686,1530482
1996-08-20,20.3893,20.5686,20.2635,20.4368,2243276
1996-08-21,20.4368,21.0094,20.4368,20.8331,4617943
1996-08-22,20.8777,21.0094,20.7865,20.9668,2186035
1996-08-23,20.9668,21.0094,20.7469,20.8331,1666666
1996-08-26,20.9668,20.9668,20.7469,20.7865,1326903
1996-08-27,20.7469,21.0094,20.7003,21.0094,1453508
1996-08-28,21.0094,21.0094,20.7865,20.7865,1353406
