date,open,high,low,close,volume
1996-01-02,9.7219,9.79665,9.64222,9.7219,1477929
1996-01-03,9.66484,9.8547,9.66484,9.73665,1385663
1996-01-04,9.66484,9.73665,9.30747,9.38548,1060945
1996-01-05,8.95541,9.30747,8.95541,9.22877,6428655
1996-01-08,9.22877,9.22877,9.11092,9.15244,655184
1996-01-09,9.22877,9.2693,8.99111,8.99111,1847281
1996-01-10,8.95541,8.99111,8.7562,8.7562,2452365
1996-01-11,8.7562,8.99111,8.7562,8.79466,2990367
1996-01-12,8.91241,8.91241,8.83972,8.87661,452852
1996-01-15,8.91241,9.11092,8.91241,9.07167,940203
1996-01-16,9.03499,9.1908,8.99111,9.1908,785242
1996-01-17,9.11092,9.11092,8.95541,8.99111,490638
1996-01-18,9.03499,9.03499,8.91241,9.03499,773190
1996-01-19,9.07167,9.07167,8.79466,8.79466,1529407
1996-01-22,8.79466,9.07167,8.79466,9.07167,941846
1996-01-23,9.07167,9.15244,8.99111,9.11092,757858
1996-01-24,9.11092,9.22877,9.07167,9.11092,406311
1996-01-25,9.11092,9.15244,8.91241,9.03499,757038
1996-01-26,9.15244,9.15244,8.95541,8.99111,1080655
1996-01-29,8.99111,9.07167,8.87661,8.95541,520479
1996-01-30,8.99111,9.2693,8.99111,9.2693,1326802
1996-01-31,9.22877,9.22877,8.99111,9.1908,596322
1996-02-01,9.22877,9.22877,9.07167,9.11092,700908
1996-02-02,9.07167,9.1908,9.07167,9.15244,761690
1996-02-05,9.07167,9.15244,8.99111,9.15244,368526
1996-02-06,9.07167,9.1908,8.99111,9.03499,1202770
1996-02-07,9.03499,9.11092,8.99111,9.11092,662307
1996-02-08,9.1908,9.1908,9.03499,9.11092,1221664
1996-02-09,9.11092,9.30747,9.11092,9.2693,1672872
1996-02-12,9.30747,9.35006,9.22877,9.30747,519929
1996-02-13,9.2693,9.38548,9.21303,9.30747,1145002
1996-02-14,9.30747,9.30747,9.1908,9.1908,861076
1996-02-15,9.1908,9.22877,9.11092,9.11092,1168003
