date,open,high,low,close,volume
1996-01-02,2.83011,2.89737,2.82493,2.87664,53555812
1996-01-03,2.88173,2.90773,2.8613,2.87664,43032024
1996-01-04,2.90236,2.92337,2.84575,2.87664,85775969
1996-01-05,2.84575,2.85084,2.77322,2.80929,62200792
1996-01-08,2.80929,2.82493,2.80929,2.81467,14985305
1996-01-09,2.84047,2.85621,2.77811,2.79404,53267729
1996-01-10,2.76314,2.77811,2.70068,2.73196,59685701
1996-01-11,2.76803,2.76803,2.73705,2.74702,39815515
1996-01-12,2.76314,2.84047,2.76314,2.82493,53438074
1996-01-15,2.82493,2.84575,2.81467,2.81467,32330388
1996-01-16,2.81467,2.82493,2.78367,2.82493,37095023
1996-01-17,2.82493,2.85621,2.82493,2.84575,44434865
1996-01-18,2.85621,2.87147,2.82493,2.86619,33743240
1996-01-19,2.86619,2.9441,2.86619,2.93901,73779208
1996-01-22,2.93374,2.95954,2.92337,2.95455,48077231
1996-01-23,2.93901,2.96453,2.92337,2.92337,36719257
1996-01-24,2.92865,2.95455,2.91301,2.94938,37916681
1996-01-25,2.95455,2.95455,2.8872,2.89737,32598421
1996-01-26,2.87147,2.90236,2.85621,2.90236,45061130
1996-01-29,2.89238,2.90773,2.89238,2.90773,36974777
1996-01-30,2.91301,2.96981,2.90236,2.96981,47280616
1996-01-31,2.96981,3.00618,2.89238,2.90236,88068096
1996-02-01,2.92337,2.94938,2.88173,2.92337,66654798
1996-02-02,2.92337,2.93901,2.90236,2.90236,33430103
1996-02-05,2.90773,2.97499,2.8872,2.96981,44066622
1996-02-06,2.96981,2.96981,2.92865,2.95455,39677736
1996-02-07,2.95954,2.96981,2.9441,2.96453,40624655
1996-02-08,2.96981,3.01654,2.96453,3.00119,62601603
1996-02-09,2.99063,3.03208,2.98046,3.02162,58495801
1996-02-12,3.02689,3.08878,3.02162,3.07852,56905082
1996-02-13,3.06815,3.11469,3.03707,3.08369,84636168
1996-02-14,3.08369,3.10951,3.06288,3.06288,44014017
1996-02-15,3.0529,3.0529,3.00618,3.01654,47931936
1996-02-16,3.00119,3.0529,2.99553,3.02162,45722467
1996-02-20,2.99553,3.02162,2.98046,3.00119,39767919
1996-02-21,3.01125,3.06288,3.01125,3.06288,41656755
1996-02-22,3.06815,3.12505,3.0529,3.10951,69202454
1996-02-23,3.12006,3.15096,3.09924,3.13013,68734009
1996-02-26,3.11469,3.17686,3.10951,3.14568,52363399
1996-02-27,3.15613,3.15613,3.08369,3.13013,47806687
1996-02-28,3.15096,3.18741,3.11469,3.12505,52984653
1996-02-29,3.12505,3.16122,3.09924,3.09924,43152268
1996-03-01,3.12006,3.14568,3.08878,3.13013,37969288
1996-03-04,3.13542,3.17686,3.11469,3.17686,36616545
1996-03-05,3.20776,3.25976,3.20776,3.25439,72403928
1996-03-06,3.23894,3.2754,3.23385,3.24412,46466468
1996-03-07,3.24412,3.26993,3.21821,3.26993,42866693
1996-03-08,3.2233,3.24412,3.12006,3.12006,66414317
1996-03-11,3.10951,3.19778,3.10951,3.1924,54648015
1996-03-12,3.16669,3.20776,3.11469,3.20238,60572503
1996-03-13,3.16122,3.16122,3.05789,3.09406,159452470
1996-03-14,3.04752,3.05789,2.84575,2.92337,386960071
1996-03-15,2.9441,3.01125,2.93901,3.01125,189583403
1996-03-18,2.90773,2.90773,2.80929,2.88173,321011699
1996-03-19,2.89238,2.91301,2.70596,2.72669,357377752
1996-03-20,2.74702,2.84047,2.74232,2.83011,300530292
1996-03-21,2.85084,2.88173,2.73705,2.74232,119446556
1996-03-22,2.79404,2.80929,2.72669,2.72669,90688405
1996-03-25,2.73196,2.78367,2.72669,2.76803,92509591
1996-03-26,2.76803,2.83011,2.74702,2.80929,73390923
1996-03-27,2.83011,2.83011,2.75815,2.76803,90685900
1996-03-28,2.76803,2.80929,2.74232,2.78367,58854021
1996-03-29,2.80929,2.80929,2.73196,2.77322,77556846
1996-04-01,2.78367,2.84575,2.77811,2.84575,68445923
1996-04-02,2.86619,2.87147,2.84047,2.85621,63137689
1996-04-03,2.8872,2.9181,2.88173,2.91301,70081729
1996-04-04,2.91301,2.9181,2.88173,2.91301,38420203
1996-04-08,2.84575,2.86619,2.81467,2.8613,57932153
1996-04-09,2.8872,2.89737,2.79903,2.82493,47378324
1996-04-10,2.81975,2.82493,2.74232,2.75815,72444004
1996-04-11,2.78896,2.78896,2.71105,2.76314,65750473
1996-04-12,2.76803,2.81467,2.74702,2.80929,37057439
1996-04-15,2.83539,2.84575,2.80929,2.82493,32846432
