date,open,high,low,close,volume
2005-02-25,34.9729,37.821,34.9482,37.5644,3458540
2005-02-28,37.589,37.7174,35.7774,36.1477,1444840
2005-03-01,36.429,36.7746,36.0342,36.3649,922777
2005-03-02,35.8713,36.2218,35.3972,36.0835,1103483
2005-03-03,36.7746,36.898,35.5898,35.6886,484382
2005-03-04,36.1822,37.3916,36.0984,37.1892,565416
2005-03-07,37.1892,37.2682,36.3994,36.5574,554071
2005-03-08,36.5574,36.5574,35.348,35.4912,589321
2005-03-09,34.5484,34.7507,33.3933,33.8474,1135086
2005-03-10,33.7043,34.0597,32.8257,33.1218,1038858
2005-03-11,32.8404,33.2698,32.3913,32.8108,706010
2005-03-14,32.7318,32.9441,31.3004,31.8038,1227871
2005-03-15,31.9372,32.5542,30.9498,31.103,1352461
2005-03-16,31.9372,31.9372,30.5501,31.2066,1131237
2005-03-17,31.3299,31.3299,29.7652,30.1848,1307284
2005-03-18,30.1898,30.6044,29.4443,29.7652,1431874
2005-03-21,29.7702,30.0762,29.1482,29.5678,794743
2005-03-22,30.3576,30.629,29.2765,29.4148,1004419
2005-03-23,29.4148,29.5184,28.9261,28.936,599045
2005-03-24,29.1236,29.6517,29.1236,29.469,552248
2005-03-28,29.6664,29.7652,28.7286,29.4148,527735
2005-03-29,29.3456,29.6122,28.3732,28.4423,741463
2005-03-30,28.4324,28.9014,28.4324,28.8026,532800
2005-03-31,29.1729,29.4196,28.9804,29.084,460679
2005-04-01,29.3703,30.0564,29.01,29.3456,735790
2005-04-04,29.1236,30.0318,28.9804,29.7356,646653
2005-04-05,30.0614,30.2934,29.7552,29.8442,874561
2005-04-06,29.7208,29.8096,29.2716,29.4196,495321
2005-04-07,29.395,30.0959,29.3802,29.8688,514364
2005-04-08,30.6044,30.8512,30.0121,30.0416,802036
2005-04-11,29.9824,30.4661,29.7356,30.249,581015
2005-04-12,30.1107,31.9124,30.1107,31.6261,1052837
2005-04-13,31.6656,31.7496,30.4858,30.856,736398
2005-04-14,30.861,30.9351,29.8146,29.8541,897251
