date,open,high,low,close,volume
1996-01-02,9.15796,9.17054,9.09168,9.17054,1049399
1996-01-03,9.1975,9.62777,9.15796,9.46132,4195889
1996-01-04,9.46132,9.47915,8.99489,9.11368,3192956
1996-01-05,9.11368,9.11368,8.85391,8.89483,3464940
1996-01-08,8.89483,8.97122,8.87244,8.89483,874307
1996-01-09,8.89483,8.97122,8.73265,8.87244,1123055
1996-01-10,8.81043,8.87244,8.54818,8.58405,1561632
1996-01-11,8.62278,8.62278,8.46506,8.48468,1385977
1996-01-12,8.46506,8.46506,8.36589,8.4285,1371242
1996-01-15,8.46506,8.67004,8.46506,8.54818,1353112
1996-01-16,8.57166,8.57166,8.26722,8.40829,1265854
1996-01-17,8.4285,8.52648,8.3442,8.36589,618763
1996-01-18,8.3442,8.3859,8.10464,8.18201,681090
1996-01-19,8.03985,8.61109,8.03985,8.4285,1861942
1996-01-22,8.44168,8.67004,8.36589,8.67004,2409307
1996-01-23,8.97122,9.09168,8.85391,9.06979,5105334
1996-01-24,9.06979,9.37414,9.06979,9.37414,2852983
1996-01-25,9.35145,9.37414,9.09168,9.1337,1124762
1996-01-26,9.04978,9.06979,8.87244,8.99489,1183121
1996-01-29,9.0158,9.25406,8.99489,9.15796,2323752
1996-01-30,9.29795,9.51383,9.27656,9.51383,3188990
1996-01-31,9.49996,9.49996,9.27656,9.39435,2026273
1996-02-01,9.49996,9.55743,9.4425,9.55743,1298151
1996-02-02,9.55743,9.61389,9.46132,9.47915,1614893
1996-02-05,9.47915,9.6555,9.41674,9.46132,1350838
1996-02-06,9.47915,9.58219,9.46132,9.55743,1548034
1996-02-07,9.41674,9.58219,9.27656,9.58219,1983769
1996-02-08,9.58219,9.82095,9.47915,9.75358,3743156
1996-02-09,9.7199,9.7199,9.41674,9.63469,1653993
1996-02-12,9.60201,9.61389,9.20898,9.37414,2694892
1996-02-13,9.27656,9.32104,9.11368,9.1975,1972438
1996-02-14,9.20898,9.20898,8.83163,8.90989,2385514
