date,open,high,low,close,volume
2005-02-25,13.8369,14.2313,13.7998,14.2118,419347
2005-02-28,14.1993,14.1993,13.8261,13.9139,828544
2005-03-01,13.9069,14.1523,13.8866,14.0978,647348
2005-03-02,14.2236,14.2236,13.9303,14.1408,600032
2005-03-03,14.2313,14.2382,14.0735,14.2178,388586
2005-03-04,14.1993,14.5322,14.1691,14.5322,383509
2005-03-07,14.6316,14.6969,14.3482,14.5634,538338
2005-03-08,14.6316,14.6316,14.3541,14.471,507070
2005-03-09,14.3949,14.3949,13.9002,13.9342,852376
2005-03-10,14.0424,14.1748,13.9139,14.0735,478339
2005-03-11,13.9928,14.0531,13.7181,13.7531,471072
2005-03-14,13.8486,14.0696,13.7873,14.0356,431005
2005-03-15,14.1691,14.3287,13.9069,13.9245,583131
2005-03-16,13.9586,14.0482,13.8369,13.9069,527857
2005-03-17,13.98,14.1232,13.9179,14.1232,381994
2005-03-18,14.2431,14.2431,13.8486,13.871,848497
2005-03-21,13.9303,13.9303,13.7074,13.8185,448419
2005-03-22,13.7873,14.0063,13.6099,13.6099,614735
2005-03-23,13.6099,13.6938,13.014,13.4659,575691
2005-03-24,13.4659,13.7239,13.4307,13.5184,489153
2005-03-28,13.4873,13.6538,13.4307,13.4532,470556
2005-03-29,13.4697,13.648,13.3509,13.3761,484760
2005-03-30,13.4532,13.6099,13.3567,13.6099,741164
2005-03-31,13.6139,13.7133,13.46,13.5379,515010
2005-04-01,13.6266,13.7133,13.383,13.4736,513157
2005-04-04,13.46,13.5495,13.3002,13.4912,384700
2005-04-05,13.46,13.5935,13.4347,13.5495,427459
2005-04-06,13.5379,13.682,13.5136,13.6432,470212
2005-04-07,13.6868,13.8126,13.4988,13.8126,688771
2005-04-08,13.7794,13.7951,13.5739,13.5817,463625
2005-04-11,13.6021,13.6382,13.4873,13.5564,316232
2005-04-12,13.5564,13.8866,13.4795,13.8866,621663
2005-04-13,13.8963,13.9303,13.7396,13.8126,450958
2005-04-14,13.8126,13.8486,13.6432,13.682,409870
2005-04-15,13.682,13.833,13.6538,13.7347,590399
2005-04-18,13.8185,13.8866,13.7133,13.8438,550343
2005-04-19,13.8681,13.9995,13.8369,13.9179,475297
2005-04-20,13.8185,13.9179,13.7307,13.7531,544934
2005-04-21,13.871,13.9928,13.7531,13.9928,407513
2005-04-22,14.0229,14.0424,13.871,14.0229,473432
2005-04-25,14.1993,14.2178,14.058,14.2118,503016
2005-04-26,14.2051,14.2635,14.1175,14.2431,503859
2005-04-27,14.1993,14.4087,14.0843,14.3852,429819
2005-04-28,14.2839,14.3171,14.1408,14.1993,377253
2005-04-29,14.2839,14.2839,13.9928,14.2635,690114
2005-05-02,14.2743,14.2743,14.1047,14.2576,465653
2005-05-03,14.1993,14.2839,14.0696,14.1583,475636
2005-05-04,14.1467,14.2839,14.0696,14.2635,328413
2005-05-05,14.2888,14.4681,14.2118,14.4087,406159
2005-05-06,14.4087,14.4087,14.1467,14.2051,423576
2005-05-09,14.2051,14.4915,14.2051,14.4915,362888
2005-05-10,14.4915,14.4915,14.3171,14.3784,519408
