date,open,high,low,close,volume
1996-01-02,2.68235,2.71633,2.65719,2.70781,53965872
1996-01-03,2.66562,2.71633,2.58915,2.58915,65634258
1996-01-04,2.60648,2.60648,2.48793,2.55557,153442272
1996-01-05,2.51348,2.69939,2.48793,2.69097,99067988
1996-01-08,2.72474,2.73336,2.64006,2.64867,14911729
1996-01-09,2.65719,2.65719,2.4794,2.52141,113585656
1996-01-10,2.48793,2.66562,2.4794,2.57252,147268264
1996-01-11,2.60648,2.64867,2.55557,2.62313,72269312
1996-01-12,2.63174,2.67383,2.60648,2.67383,72449592
1996-01-15,2.69097,2.69939,2.4794,2.50476,82479546
1996-01-16,2.53032,2.62313,2.48793,2.61481,92839744
1996-01-17,2.58093,2.77535,2.57252,2.68235,93991585
1996-01-18,2.70781,2.7925,2.70781,2.7925,67208867
1996-01-19,2.80943,2.8852,2.7925,2.85192,75509465
1996-01-22,2.83469,2.91076,2.83469,2.8852,60892880
1996-01-23,2.86855,2.96127,2.85192,2.90283,79563248
1996-01-24,2.94482,3.08022,2.90283,3.08022,104458666
1996-01-25,3.09706,3.10528,2.96127,2.99623,67917201
1996-01-26,2.97018,3.02129,2.91076,2.97018,64756812
1996-01-29,2.9787,3.02129,2.95334,2.95334,26013762
1996-01-30,2.97018,2.99623,2.93631,2.97018,30515837
1996-01-31,2.99623,3.02129,2.92819,2.99623,58118567
1996-02-01,2.98721,3.01237,2.94482,2.98721,39130723
1996-02-02,2.99623,3.11419,2.98721,3.08854,74351245
1996-02-05,3.08854,3.19868,3.0719,3.18174,72476706
1996-02-06,3.19046,3.19868,3.09706,3.13975,84783232
1996-02-07,3.13064,3.13975,3.03802,3.06328,59492161
1996-02-08,3.05467,3.14757,3.02129,3.14757,72664958
1996-02-09,3.13975,3.22414,3.0719,3.08022,108070548
1996-02-12,3.08022,3.15619,3.0719,3.13064,49039435
1996-02-13,3.06328,3.18174,3.05467,3.14757,66743023
1996-02-14,3.15619,3.22414,3.12271,3.20719,65613514
1996-02-15,3.19868,3.33397,3.19868,3.31704,93983609
1996-02-16,3.30872,3.33397,3.26613,3.29178,71264243
1996-02-20,3.21542,3.30872,3.20719,3.24959,49376056
