date,open,high,low,close,volume
1996-01-02,3.53906,3.55648,3.52205,3.53906,365277
1996-01-03,3.53906,3.61772,3.53906,3.6006,771745
1996-01-04,3.58269,3.61772,3.49524,3.53906,1206596
1996-01-05,3.47783,3.50435,3.46071,3.50435,205983
1996-01-08,3.52205,3.55648,3.52205,3.55648,166616
1996-01-09,3.56538,3.6006,3.53046,3.53046,771745
1996-01-10,3.50435,3.50435,3.32063,3.32063,460485
1996-01-11,3.32063,3.32934,3.2771,3.2771,545623
1996-01-12,3.29442,3.32063,3.2771,3.32063,228868
1996-01-15,3.31202,3.34685,3.31202,3.32063,476047
1996-01-16,3.32934,3.32934,3.18974,3.22447,496189
1996-01-17,3.22447,3.29442,3.20696,3.2681,382667
1996-01-18,3.29442,3.29442,3.21597,3.25969,307599
1996-01-19,3.24237,3.32934,3.24237,3.32063,477876
1996-01-22,3.29442,3.39038,3.29442,3.39038,1204764
1996-01-23,3.39927,3.40818,3.36436,3.39038,679281
1996-01-24,3.37316,3.42549,3.34685,3.39038,219713
1996-01-25,3.32934,3.37316,3.29442,3.34685,542874
1996-01-26,3.37316,3.39038,3.32934,3.34685,231616
1996-01-29,3.36436,3.36436,3.31202,3.32063,311261
1996-01-30,3.32063,3.39038,3.31202,3.34685,935616
1996-01-31,3.39038,3.4519,3.37316,3.4519,438514
1996-02-01,3.47783,3.53046,3.47783,3.49524,335063
1996-02-02,3.47783,3.50435,3.46071,3.50435,596890
1996-02-05,3.50435,3.50435,3.34685,3.39038,485200
1996-02-06,3.39927,3.42549,3.39038,3.40818,435762
1996-02-07,3.44291,3.4519,3.37316,3.37316,1191944
1996-02-08,3.36436,3.37316,3.31202,3.37316,846817
1996-02-09,3.39927,3.39927,3.36436,3.39038,1094903
1996-02-12,3.39038,3.39038,3.36436,3.37316,745200
1996-02-13,3.34685,3.37316,3.29442,3.37316,846817
1996-02-14,3.37316,3.39038,3.34685,3.36436,378091
1996-02-15,3.36436,3.36436,3.2681,3.2681,328654
1996-02-16,3.29442,3.29442,3.21597,3.24237,687520
1996-02-20,3.22447,3.22447,3.03215,3.102,715902
1996-02-21,3.13741,3.16323,3.11089,3.12831,769001
1996-02-22,3.14602,3.18974,3.13741,3.16323,1215749
1996-02-23,3.17214,3.24237,3.13741,3.16323,877940
1996-02-26,3.14602,3.16323,3.102,3.11089,833081
1996-02-27,3.13741,3.13741,3.07627,3.102,668297
1996-02-28,3.11089,3.16323,3.05005,3.05005,589563
1996-02-29,3.11089,3.14602,3.07627,3.12831,530971
1996-03-01,3.12831,3.14602,3.102,3.13741,653647
1996-03-04,3.18974,3.22447,3.13741,3.13741,383584
1996-03-05,3.16323,3.21597,3.13741,3.21597,230700
1996-03-06,3.21597,3.21597,3.13741,3.13741,574000
1996-03-07,3.16323,3.18974,3.12831,3.13741,891675
1996-03-08,3.12831,3.12831,2.97981,3.00623,1206596
1996-03-11,3.00623,3.05826,2.97101,2.99742,617029
1996-03-12,2.954,2.954,2.84892,2.84892,643579
1996-03-13,2.87494,2.87494,2.79619,2.814,955753
1996-03-14,2.84032,2.92738,2.84032,2.87494,4439130
1996-03-15,2.87494,2.87494,2.78778,2.84892,889843
1996-03-18,2.90136,2.91867,2.84032,2.84892,1310958
1996-03-19,2.87494,2.90136,2.814,2.82231,1263355
1996-03-20,2.82231,2.84032,2.79619,2.814,1373215
1996-03-21,2.82231,2.84032,2.814,2.84032,1480321
1996-03-22,2.84032,2.87494,2.84032,2.84032,1257856
1996-03-25,2.86644,2.86644,2.814,2.814,1417150
1996-03-26,2.79619,2.82231,2.77028,2.814,971318
1996-03-27,2.82231,2.82231,2.70043,2.70043,1418982
1996-03-28,2.77878,2.78778,2.75267,2.78778,909067
1996-03-29,2.78778,2.84032,2.78778,2.82231,1268849
1996-04-01,2.8051,2.85753,2.77878,2.77878,1612150
1996-04-02,2.75267,2.77028,2.72655,2.73545,3309439
1996-04-03,2.72655,2.73545,2.70884,2.72655,1111387
1996-04-04,2.72655,2.77878,2.72655,2.77028,1451023
1996-04-08,2.70884,2.72655,2.6563,2.6563,1666160
1996-04-09,2.6563,2.70884,2.6563,2.70884,1000615
1996-04-10,2.70043,2.70884,2.6563,2.6563,832165
1996-04-11,2.6563,2.6563,2.59506,2.59506,3180359
1996-04-12,2.62158,2.64779,2.60417,2.62158,2340867
1996-04-15,2.64779,2.70884,2.64779,2.67411,1061950
1996-04-16,2.67411,2.70043,2.64779,2.69163,2236502
1996-04-17,2.67411,2.70884,2.67411,2.69163,1063778
1996-04-18,2.69163,2.72655,2.69163,2.70884,724137
1996-04-19,2.75267,2.77878,2.73545,2.77878,1641447
1996-04-22,2.8051,2.83112,2.78778,2.8051,1386943
1996-04-23,2.82231,2.82231,2.77028,2.78778,347880
1996-04-24,2.78778,2.8051,2.70043,2.70043,890755
1996-04-25,2.70884,2.77028,2.70884,2.75267,842238
1996-04-26,2.77878,2.8051,2.75267,2.75267,842238
1996-04-29,2.77028,2.77878,2.75267,2.77878,684771
1996-04-30,2.77878,2.77878,2.77028,2.77878,510835
1996-05-01,2.77878,2.77878,2.73545,2.75267,605129
1996-05-02,2.77028,2.77878,2.73545,2.73545,497101
1996-05-03,2.75267,2.77028,2.73545,2.75267,432105
1996-05-06,2.73545,2.75267,2.72655,2.75267,553862
1996-05-07,2.75267,2.78778,2.75267,2.75267,1240466
1996-05-08,2.77028,2.78778,2.73545,2.78778,611537
1996-05-09,2.78778,2.83112,2.78778,2.8051,697590
1996-05-10,2.85753,2.87494,2.83112,2.83112,502593
1996-05-13,2.84032,2.89246,2.83112,2.89246,609709
1996-05-14,2.92738,2.9623,2.90987,2.9623,948434
1996-05-15,2.954,2.97101,2.88365,2.90987,699419
1996-05-16,2.93648,2.9623,2.92738,2.92738,538297
1996-05-17,2.93648,2.9623,2.89246,2.89246,443089
1996-05-20,2.90987,2.98861,2.89246,2.98861,467807
1996-05-21,2.98861,2.98861,2.97101,2.97101,263658
1996-05-22,2.97101,3.01474,2.97101,3.01474,342389
1996-05-23,3.00623,3.01474,2.98861,2.98861,446749
1996-05-24,3.00623,3.02374,3.00623,3.02374,726884
1996-05-28,3.04106,3.04106,3.00623,3.00623,683861
1996-05-29,2.98861,3.02374,2.98861,2.98861,232532
1996-05-30,3.00623,3.01474,2.9623,2.9623,478792
1996-05-31,2.97101,2.97101,2.93648,2.93648,322249
1996-06-03,2.93648,3.01474,2.92738,3.01474,339639
1996-06-04,3.02374,3.06707,3.02374,3.04106,1049134
1996-06-05,3.04106,3.06707,3.04106,3.06707,557523
1996-06-06,3.09359,3.11089,3.06707,3.07627,209644
1996-06-07,3.02374,3.02374,2.9623,3.00623,881600
1996-06-10,3.01474,3.02374,2.98861,3.00623,600552
1996-06-11,3.00623,3.06707,3.00623,3.04106,905401
1996-06-12,3.03215,3.07627,2.94459,2.954,806531
1996-06-13,2.954,2.954,2.89246,2.90136,1857497
1996-06-14,2.90987,2.94459,2.88365,2.90136,761675
1996-06-17,2.90987,2.90987,2.87494,2.87494,343302
