date,open,high,low,close,volume
2005-02-25,34.8832,35.2969,34.855,35.2188,840511
2005-02-28,35.2395,35.2969,34.4882,34.7692,1159184
2005-03-01,34.8295,35.4573,34.8002,35.3997,519657
2005-03-02,35.2715,35.5524,34.9643,35.4224,550947
2005-03-03,35.3667,35.8654,35.2715,35.7598,271658
2005-03-04,36.1652,37.4565,36.1538,36.9296,1132254
2005-03-07,36.9607,37.9108,36.9607,37.4084,616021
2005-03-08,37.4084,37.4291,37.1086,37.2491,381880
2005-03-09,37.2491,37.2549,36.2661,36.4263,596254
2005-03-10,36.6213,37.0578,36.4195,36.8326,646070
2005-03-11,36.6713,36.6713,36.2848,36.3,550170
2005-03-14,36.068,36.8117,35.8719,36.8117,463769
2005-03-15,36.8523,37.3651,36.807,37.1219,707253
2005-03-16,37.1219,37.2549,36.9918,37.0701,614780
2005-03-17,37.153,37.5942,37.153,37.563,1016584
2005-03-18,37.5348,37.6593,37.4028,37.4028,637038
2005-03-21,37.3133,37.3189,36.6827,36.8665,400877
2005-03-22,36.9296,37.1812,36.0162,36.0935,476530
2005-03-23,36.0624,36.6959,35.6138,36.1586,761893
2005-03-24,36.1849,36.8824,36.1323,36.1849,463144
2005-03-28,36.5044,36.709,36.1387,36.1538,483695
2005-03-29,36.1962,36.4263,36.0417,36.1323,414886
2005-03-30,36.1323,36.2613,36.0039,36.1586,564644
2005-03-31,36.1652,36.6544,36.0039,36.2848,568228
2005-04-01,36.6412,36.6667,35.6363,35.8617,573057
2005-04-04,35.625,35.9069,35.2395,35.838,359150
2005-04-05,35.7099,36.086,35.527,35.9927,374406
2005-04-06,36.0568,36.2019,35.9002,36.0238,237876
2005-04-07,36.0238,36.2273,35.9069,36.1323,312912
2005-04-08,36.2613,36.2613,35.953,35.9795,300924
2005-04-11,36.068,36.1114,35.8946,36.1114,186195
2005-04-12,35.953,36.7355,35.805,36.709,296255
2005-04-13,36.7675,37.0502,36.6213,36.7439,385149
2005-04-14,36.5187,36.6412,36.1114,36.1765,265274
2005-04-15,36.1849,36.4121,35.9399,36.2613,328633
2005-04-18,36.3235,36.4404,35.9399,36.0935,328482
2005-04-19,36.0935,36.4535,36.0935,36.3584,283961
2005-04-20,36.3584,36.3584,35.9191,36.0294,261541
2005-04-21,35.9399,36.364,35.856,36.2848,443372
2005-04-22,36.3141,36.3584,35.9332,36.068,1090536
2005-04-25,36.068,36.6412,36.068,36.5187,544721
2005-04-26,36.5187,36.7024,36.2924,36.7024,378453
2005-04-27,36.6412,37.0041,36.5233,36.9164,243952
2005-04-28,36.9427,36.9861,36.7157,36.807,242549
2005-04-29,36.7675,37.4236,36.7675,37.4028,605279
2005-05-02,37.3407,37.4028,36.8326,37.2841,405386
2005-05-03,37.0578,37.5348,36.8457,37.3792,507201
2005-05-04,37.3461,38.1098,37.3028,38.1098,317891
2005-05-05,38.2332,38.7479,38.1098,38.269,382189
2005-05-06,37.9165,38.2841,37.6366,37.7138,689034
2005-05-09,37.5942,38.7036,37.5942,38.7036,353231
2005-05-10,38.3935,38.7479,38.2125,38.7196,383282
2005-05-11,38.8741,39.1778,38.4972,39.1486,852651
2005-05-12,38.9968,39.1551,38.8676,39.0419,534913
2005-05-13,39.058,39.1778,38.6112,38.7479,532889
2005-05-16,38.78,39.288,38.7724,39.288,473105
2005-05-17,39.1919,39.6142,39.0307,39.5481,389817
2005-05-18,39.5481,39.7952,39.3286,39.4455,510317
2005-05-19,39.4388,40.4031,39.4058,40.0196,544253
2005-05-20,39.9865,40.1599,39.7801,40.1448,243012
2005-05-23,39.9865,40.3852,39.9865,40.2542,220444
2005-05-24,40.1448,40.1967,39.5868,39.6462,485873
