date,open,high,low,close,volume
2025-10-27,70.366,100.808,70.366,95.1188,53022
2025-10-28,99.8398,99.8398,92.8333,94.56,49194
2025-10-29,94.3204,94.8195,93.0728,93.8613,5501
2025-10-30,93.9211,94.5999,91.855,93.2226,13996
2025-10-31,94.8195,95.6378,91.2263,94.8195,139460
2025-11-03,95.9573,100.21,94.8195,96.8157,5059937
2025-11-04,99.3109,103.498,97.614,100.718,1554662
2025-11-05,104.81,105.05,93.2226,99.4606,1609618
2025-11-06,99.8099,100.718,93.1526,93.1526,1045802
2025-11-07,91.1265,94.8195,88.5913,92.1346,688535
2025-11-10,94.7496,99.1113,93.5219,96.4164,798707
2025-11-11,98.6521,101.807,95.5581,96.3466,786882
2025-11-12,95.8575,95.8874,91.1165,91.7853,590425
2025-11-13,91.3261,91.3261,84.6589,85.7367,962746
2025-11-14,82.8422,86.7048,81.4749,83.3213,542141
2025-11-17,81.1754,83.5908,79.4337,81.3052,500856
2025-11-18,79.3489,81.5846,77.8717,78.8299,687795
2025-11-19,78.8499,80.0276,75.616,79.4687,667211
2025-11-20,82.493,82.8922,74.4482,74.7577,738738
2025-11-21,74.8275,77.6921,73.3005,75.6559,1026272
2025-11-24,76.1849,76.4944,72.7315,73.4002,1855396
2025-11-25,72.8612,78.8998,72.8612,77.8617,684817
2025-11-26,77.8019,80.4767,77.6821,79.0794,551357
2025-11-28,79.1893,80.9972,79.1893,80.9972,367654
2025-12-01,78.9097,80.8774,77.3763,77.5112,424660
2025-12-02,78.0806,80.328,78.0756,79.6588,533695
2025-12-03,79.8785,80.9174,78.8797,80.1881,303818
2025-12-04,79.9085,83.4644,79.8186,83.3645,455622
2025-12-05,83.3145,83.7042,81.8263,81.9461,468185
2025-12-08,81.8563,84.5931,81.8563,84.2036,362813
2025-12-09,83.9039,85.1225,83.6742,84.9926,558448
2025-12-10,83.2347,87.8094,82.6354,86.1013,1128282
2025-12-11,84.9027,85.9415,83.4944,84.7029,418779
2025-12-12,84.2835,84.2835,78.3403,78.8497,613971
2025-12-15,79.5588,80.5677,75.6433,76.5424,668345
2025-12-16,76.4125,79.0295,76.1029,78.4102,624975
2025-12-17,78.8397,78.8397,75.6633,76.1727,621908
2025-12-18,78.2304,80.4079,77.671,78.9396,529230
2025-12-19,79.2792,79.8885,77.1517,79.6088,3212592
2025-12-22,80.8674,82.4056,80.8474,81.7963,535727
2025-12-23,81.4467,83.1647,81.2569,83.0749,351214
2025-12-24,83.2746,83.5443,82.7053,83.2746,175396
2025-12-26,83.5343,84.3035,83.4944,84.1136,271335
2025-12-29,83.9039,84.2835,82.9151,83.4944,258847
2025-12-30,84.0138,84.9027,83.5942,83.9138,294793
2025-12-31,83.9938,83.9938,81.4667,81.5566,309254
2026-01-02,81.5167,86.1513,81.5167,84.8828,290266
2026-01-05,84.9027,86.6208,84.8828,85.0126,337134
2026-01-06,85.1125,91.7249,84.9027,91.0358,414779
2026-01-07,91.8947,92.2743,89.2378,90.2067,332832
2026-01-08,89.6972,90.5663,88.3988,89.3976,337907
2026-01-09,90.0668,91.675,89.5974,90.2067,485405
2026-01-12,89.8471,92.7738,89.7572,90.806,475159
2026-01-13,90.9858,91.7449,88.8483,89.5674,534259
2026-01-14,87.3299,89.8171,85.6919,89.7772,458656
2026-01-15,95.171,97.4883,92.7937,93.0135,797424
2026-01-16,94.0622,99.9455,94.0622,97.1388,865530
2026-01-20,93.3031,97.4384,93.1433,95.0212,478056
2026-01-21,96.5095,103.691,95.6404,102.582,668326
2026-01-22,105.879,107.647,97.8279,98.647,651836
2026-01-23,97.3885,97.3885,94.8913,96.0001,527479
