date,open,high,low,close,volume
2005-02-25,31.7315,32.0355,31.673,32.0107,297585
2005-02-28,31.9959,32.0107,31.6483,31.8374,151463
2005-03-01,31.9374,32.0899,31.9374,32.0592,212143
2005-03-02,31.88,32.1879,31.8453,32.0107,236902
2005-03-03,32.1602,32.2067,31.88,32.0721,264572
2005-03-04,32.2196,32.4582,32.1879,32.4097,433026
2005-03-07,32.3928,32.6196,32.3928,32.5067,307294
2005-03-08,32.5632,32.5632,32.3117,32.3305,85926
2005-03-09,32.2889,32.3057,31.9909,31.9909,196614
2005-03-10,32.0355,32.0592,31.7978,31.9731,222339
2005-03-11,32.0047,32.179,31.7235,31.871,485943
2005-03-14,31.9731,32.0592,31.9028,32.0523,218943
2005-03-15,32.0899,32.1701,31.8285,31.8374,474289
2005-03-16,31.7374,31.7374,31.4671,31.5156,581095
2005-03-17,31.5315,31.6899,31.4671,31.6166,413611
2005-03-18,31.5671,31.5671,31.3195,31.4671,266517
2005-03-21,31.4671,31.4671,31.2582,31.4226,407297
2005-03-22,31.4582,31.5909,31.1136,31.1206,297100
2005-03-23,31.0611,31.1978,31.0235,31.1136,393704
2005-03-24,31.2136,31.3195,31.1384,31.1384,395158
2005-03-28,31.2582,31.3007,31.1463,31.1642,443708
2005-03-29,31.0879,31.2423,30.7859,30.8245,925771
2005-03-30,30.974,31.2839,30.9414,31.2839,247097
2005-03-31,31.2929,31.4038,31.2671,31.3354,520894
2005-04-01,31.472,31.6246,31.0958,31.2275,253893
2005-04-04,31.183,31.3007,31.0235,31.2275,215054
2005-04-05,31.275,31.3948,31.2423,31.3532,197092
2005-04-06,31.4334,31.5572,31.3711,31.3948,408758
2005-04-07,31.4582,31.6246,31.4126,31.6166,200006
2005-04-08,31.6562,31.6562,31.3532,31.3711,126222
2005-04-11,31.4126,31.4126,31.2483,31.3532,148549
2005-04-12,31.3195,31.5671,31.0305,31.5067,289330
2005-04-13,31.4334,31.4334,30.9988,31.0611,264088
2005-04-14,31.0789,31.0789,30.6117,30.6117,411670
2005-04-15,30.4017,30.5096,29.9522,29.9918,981594
2005-04-18,29.9918,30.2314,29.9344,30.1423,1278210
2005-04-19,30.3641,30.471,30.1087,30.4354,818966
2005-04-20,30.471,30.4888,29.9671,30.0235,772848
2005-04-21,30.2067,30.6027,30.1968,30.5939,347104
2005-04-22,30.5354,30.5532,30.1087,30.2988,256324
2005-04-25,30.5096,30.6503,30.4888,30.6275,249042
2005-04-26,30.5939,30.7264,30.3315,30.3315,172338
2005-04-27,30.2632,30.4888,30.0492,30.3928,256324
2005-04-28,30.3561,30.3561,30.0166,30.0166,255352
2005-04-29,30.2314,30.3641,29.8859,30.3315,334482
2005-05-02,30.471,30.5631,30.3315,30.5018,338363
2005-05-03,30.4888,30.6918,30.3849,30.5096,370401
2005-05-04,30.6503,30.9642,30.5879,30.9226,433026
2005-05-05,30.9642,31.0433,30.7344,30.8641,567018
2005-05-06,31.0305,31.0305,30.8403,30.9156,547110
2005-05-09,30.8988,31.1136,30.8641,31.1136,724301
2005-05-10,30.9414,30.9642,30.6978,30.777,348073
2005-05-11,30.8473,30.9226,30.5532,30.8988,145635
2005-05-12,30.9226,31.0136,30.5196,30.5879,283993
2005-05-13,30.5354,30.678,30.1651,30.4195,516044
2005-05-16,30.471,30.7592,30.471,30.7592,254379
2005-05-17,30.678,31.0136,30.6117,30.9988,155347
2005-05-18,31.2136,31.4582,31.1552,31.4226,539344
2005-05-19,31.4284,31.5572,31.3621,31.5403,482055
2005-05-20,31.5156,31.5909,31.4493,31.5909,229621
2005-05-23,31.6394,31.8067,31.5829,31.7176,781587
2005-05-24,31.6483,31.7077,31.5572,31.6562,240787
2005-05-25,31.6067,31.6067,31.4414,31.5483,105831
2005-05-26,31.6652,31.8156,31.5483,31.7711,278653
