date,open,high,low,close,volume
1996-01-02,19.1672,19.6419,19.1084,19.5281,207839
1996-01-03,19.6419,19.6869,19.5281,19.5281,170330
1996-01-04,19.6419,19.6419,19.0525,19.1084,89186
1996-01-05,19.2085,19.4231,19.2085,19.2653,71575
1996-01-08,19.3212,19.4231,19.2653,19.3212,35024
1996-01-09,19.3212,19.3212,18.8956,18.9516,141243
1996-01-10,18.7318,18.7318,18.3074,18.3074,157313
1996-01-11,18.5201,18.7318,18.473,18.6328,102200
1996-01-12,18.6848,18.6848,18.3652,18.5201,62388
1996-01-15,18.577,18.7858,18.577,18.7858,156166
1996-01-16,18.7858,19.2653,18.7858,19.2653,266022
1996-01-17,19.2085,19.2085,18.9987,19.1672,112149
1996-01-18,19.1084,19.2085,19.0525,19.1672,76935
1996-01-19,19.1084,19.478,19.0525,19.478,231190
1996-01-22,19.478,19.7987,19.4231,19.478,149664
1996-01-23,19.4231,19.5879,19.4231,19.5281,128611
1996-01-24,19.6419,19.7448,19.5879,19.7448,145453
1996-01-25,19.7448,19.7448,18.6328,18.6328,315394
1996-01-26,19.1084,19.2653,19.0525,19.1672,428122
1996-01-29,19.1672,19.2085,18.8427,18.8427,104303
1996-01-30,18.8956,18.8956,18.5201,18.6328,213580
1996-01-31,18.6328,18.6848,18.473,18.6848,137796
1996-02-01,18.6848,18.9987,18.6848,18.9987,176836
1996-02-02,18.9987,18.9987,18.577,18.6328,129183
1996-02-05,18.577,18.577,18.2543,18.3074,80571
1996-02-06,18.2543,18.473,18.1504,18.3652,414911
1996-02-07,18.473,18.9987,18.3074,18.473,224871
1996-02-08,18.473,18.7318,18.3652,18.6848,233678
1996-02-09,18.6848,18.7318,18.1504,18.3652,261232
1996-02-12,18.4211,18.8427,18.2543,18.7858,199995
1996-02-13,18.7858,18.9987,18.577,18.577,133200
1996-02-14,18.577,18.7858,18.577,18.7318,81334
1996-02-15,18.7475,19.0162,18.6927,18.7475,111380
1996-02-16,18.7475,18.8505,18.6398,18.7946,155787
1996-02-20,18.6927,18.9025,18.6927,18.8505,64305
1996-02-21,18.7946,19.1731,18.7946,19.1182,145260
1996-02-22,19.1182,19.383,19.1182,19.1731,225257
1996-02-23,19.2251,19.329,18.8505,18.9025,99138
1996-02-26,18.7946,18.7946,18.5838,18.6927,75978
1996-02-27,18.6927,18.6927,18.4269,18.6398,90524
1996-02-28,18.7475,19.2251,18.7475,19.0162,244777
1996-02-29,19.0162,19.281,19.0162,19.1182,220473
1996-03-01,19.1731,19.281,18.9574,19.0593,105450
1996-03-04,19.1182,19.5467,19.1182,19.5467,197699
1996-03-05,19.4937,19.6486,19.4359,19.6486,231953
1996-03-06,19.6486,19.9722,19.4937,19.4937,201142
1996-03-07,19.4937,19.6016,19.1182,19.2251,123823
1996-03-08,19.2251,19.4937,19.0162,19.2251,171288
1996-03-11,19.0593,19.4359,19.0593,19.383,235973
1996-03-12,19.329,19.5467,19.1731,19.5467,226019
1996-03-13,19.4359,19.4359,19.2251,19.281,297979
1996-03-14,19.281,19.281,19.1182,19.1182,210520
1996-03-15,18.9574,19.1182,18.7946,19.1182,178943
1996-03-18,19.1731,19.6016,19.0593,19.6016,199417
1996-03-19,19.7036,19.8703,19.6486,19.8134,241332
1996-03-20,19.9722,20.0801,19.9154,19.9154,300855
1996-03-21,19.9722,19.9722,19.8703,19.9722,72920
1996-03-22,20.0801,20.2919,19.9722,20.0252,96076
1996-03-25,20.0252,20.0801,19.8134,19.8703,48227
1996-03-26,19.8134,20.183,19.8134,20.0252,86886
1996-03-27,20.0801,20.1359,19.8134,19.8134,82483
1996-03-28,19.8134,19.9722,19.8134,19.9722,74832
1996-03-29,20.0252,20.0252,19.7036,19.9722,168416
1996-04-01,19.9154,19.9722,19.8703,19.9154,76357
1996-04-02,20.0252,20.0252,19.9154,19.9722,62007
1996-04-03,19.9722,20.0801,19.9154,20.0252,62388
1996-04-04,19.9154,19.9722,19.8134,19.8703,76168
1996-04-08,19.8703,19.8703,19.6486,19.7036,55691
1996-04-09,19.6016,19.6016,19.281,19.383,207073
1996-04-10,19.329,19.4359,19.2251,19.2251,85739
1996-04-11,19.2251,19.4937,19.2251,19.4937,136267
1996-04-12,19.4937,19.9154,19.4937,19.7036,111191
1996-04-15,19.8703,20.0252,19.8703,20.0252,109471
