date,open,high,low,close,volume
2005-02-25,15.3443,15.5837,15.2693,15.5628,725805
2005-02-28,15.6309,15.7347,15.2817,15.3775,493313
2005-03-01,15.5746,15.7258,15.5146,15.717,489456
2005-03-02,15.717,15.717,15.4001,15.4917,426187
2005-03-03,15.4888,15.4888,15.142,15.2817,715672
2005-03-04,15.3828,15.4741,15.2165,15.2793,232510
2005-03-07,15.3746,15.6737,15.3713,15.5328,432484
2005-03-08,15.4741,15.6737,15.2745,15.299,547157
2005-03-09,15.3681,15.4741,15.2047,15.2047,416759
2005-03-10,15.2314,15.4251,15.1255,15.4066,681410
2005-03-11,15.4653,15.5146,14.9901,15.0621,449614
2005-03-14,15.0726,15.145,15.0191,15.0847,281795
2005-03-15,15.1593,15.1639,14.8185,14.8218,373388
2005-03-16,14.783,14.9868,14.6356,14.676,840481
2005-03-17,14.704,14.797,14.659,14.707,605892
2005-03-18,14.6815,14.6936,14.4878,14.5188,502057
2005-03-21,14.6108,14.6674,14.4236,14.5651,1441471
2005-03-22,14.7392,14.7448,14.4268,14.4268,502750
2005-03-23,14.5318,14.6906,14.5318,14.5931,473727
2005-03-24,14.6966,14.7392,14.6046,14.6131,178656
2005-03-28,14.7338,14.8153,14.5798,14.5798,263258
2005-03-29,14.5412,14.6356,14.3388,14.3388,196123
2005-03-30,14.4878,14.7014,14.4173,14.7014,185306
2005-03-31,14.7014,14.7014,14.5592,14.5798,244381
2005-04-01,14.6874,14.7392,14.3841,14.3903,258368
2005-04-04,14.3414,14.3903,14.2354,14.3358,352070
2005-04-05,14.3303,14.4816,14.284,14.3241,451349
2005-04-06,14.4443,14.522,14.3303,14.3358,158031
2005-04-07,14.4148,14.5905,14.3414,14.5798,211873
2005-04-08,14.6304,14.6674,14.524,14.5351,356261
2005-04-11,14.5592,14.5964,14.3903,14.4148,186695
2005-04-12,14.387,14.4109,14.0608,14.3811,354508
2005-04-13,14.3576,14.3576,14.0057,14.0439,324786
2005-04-14,14.0086,14.0637,13.8312,13.8346,433174
2005-04-15,13.6143,13.6326,13.3574,13.4004,890481
2005-04-18,13.4059,13.5954,13.3544,13.4659,703420
2005-04-19,13.7379,13.8198,13.6555,13.7643,298216
2005-04-20,13.9728,14.0006,13.5488,13.5686,493313
2005-04-21,13.8378,14.0729,13.8009,14.0608,505206
2005-04-22,14.0006,14.0116,13.7295,13.844,296466
2005-04-25,13.9294,13.9728,13.8009,13.8938,227960
2005-04-26,13.844,14.1097,13.7917,13.8498,171316
2005-04-27,13.6639,13.8498,13.5954,13.7524,193686
2005-04-28,13.8378,13.8378,13.5865,13.5865,865300
2005-04-29,13.6639,13.7751,13.415,13.7379,1341128
2005-05-02,13.7379,13.8093,13.6583,13.7295,145433
2005-05-03,13.7725,13.8531,13.6694,13.6955,427922
2005-05-04,13.7584,14.0637,13.7555,14.0034,538404
2005-05-05,14.0439,14.1841,13.9838,14.0384,213970
2005-05-06,14.1097,14.175,14.0322,14.1415,144041
2005-05-09,14.1528,14.2005,14.0266,14.1955,137750
2005-05-10,14.1441,14.1441,14.0034,14.0439,95455
2005-05-11,14.1356,14.1356,13.8671,14.067,299964
2005-05-12,14.1554,14.284,14.0755,14.1203,210125
2005-05-13,14.1929,14.6446,14.1929,14.5706,968095
2005-05-16,14.5876,14.6534,14.479,14.6245,207663
2005-05-17,14.6108,14.7392,14.5563,14.7392,388411
2005-05-18,14.8306,14.9529,14.6534,14.9167,2277752
2005-05-19,14.9639,15.0873,14.8733,14.9454,2355023
2005-05-20,14.9397,15.0696,14.8498,15.0565,238789
2005-05-23,15.0726,15.1757,14.9842,15.0902,196123
2005-05-24,15.0534,15.2771,15.0169,15.2716,424782
2005-05-25,15.2458,15.2458,15.0314,15.142,341220
2005-05-26,15.2598,15.444,15.2598,15.4001,297879
2005-05-27,15.4001,15.4001,15.2047,15.3345,1017381
2005-05-31,15.3971,15.444,15.2693,15.3022,986970
2005-06-01,15.299,15.5178,15.2424,15.4171,796086
2005-06-02,15.4171,15.6456,15.4171,15.6424,537711
2005-06-03,15.6737,15.6737,15.4862,15.509,1104794
2005-06-06,15.4591,15.4591,15.2961,15.4034,956561
2005-06-07,15.4623,15.6309,15.251,15.2793,1170878
2005-06-08,15.4741,15.523,15.3504,15.3971,606597
2005-06-09,15.3971,15.6949,15.3022,15.6888,484219
2005-06-10,15.6231,15.6339,15.386,15.4499,546455
2005-06-13,15.4034,15.572,15.3595,15.4251,202065
2005-06-14,15.4199,15.4888,15.2905,15.3224,162569
2005-06-15,15.3828,15.4333,15.0961,15.3567,582465
2005-06-16,15.3567,15.5384,15.3567,15.4741,390171
2005-06-17,15.4888,15.572,15.4034,15.4741,193686
2005-06-20,15.3417,15.4532,15.2905,15.4034,248931
2005-06-21,15.4171,15.5301,15.4171,15.5034,262219
2005-06-22,15.5746,15.6309,15.4947,15.6231,415695
2005-06-23,15.6678,16.0058,15.6231,15.628,1720464
2005-06-24,15.6398,15.6398,15.3224,15.3315,215708
2005-06-27,15.2745,15.2905,15.0344,15.0902,1448820
2005-06-28,15.2314,15.2793,15.145,15.2693,464297
2005-06-29,15.3022,15.3022,15.1639,15.2017,601342
2005-06-30,15.2487,15.3022,15.0696,15.0785,982794
2005-07-01,15.1593,15.1903,15.0621,15.1206,146497
2005-07-05,15.0752,15.3619,15.0534,15.3345,180045
2005-07-06,15.3345,15.5893,15.3345,15.4682,774753
2005-07-07,15.2224,15.5301,15.2224,15.5301,906899
2005-07-08,15.5301,15.8838,15.5301,15.8639,866695
2005-07-11,16.0174,16.2292,16.0174,16.2236,503446
2005-07-12,16.2174,16.4177,16.1753,16.3606,1017730
2005-07-13,16.3606,16.4431,16.2539,16.4065,1236597
2005-07-14,16.7327,16.7327,16.4431,16.5747,6903550
2005-07-15,16.5747,16.5778,16.3525,16.5266,875773
2005-07-18,16.4745,16.5044,16.3492,16.4405,939760
2005-07-19,16.4957,16.7788,16.4957,16.7755,901668
2005-07-20,16.4774,17.0048,16.4689,16.9389,753776
2005-07-21,16.9206,17.1075,16.5951,16.6646,407297
2005-07-22,16.8698,16.918,16.6561,16.7729,673714
2005-07-25,16.8407,16.9412,16.6949,16.7377,305912
2005-07-26,16.8698,16.9904,16.7905,16.9761,420239
2005-07-27,16.8323,16.9043,16.6356,16.8466,628960
2005-07-28,16.876,16.933,16.753,16.933,189142
2005-07-29,16.8554,16.9043,16.7327,16.8296,927882
2005-08-01,16.8668,16.918,16.7671,16.8584,991860
2005-08-02,16.9043,17.2338,16.9043,17.2194,425831
2005-08-03,17.1562,17.2011,17.0616,17.1359,428983
2005-08-04,16.9992,16.9992,16.7671,16.7671,572326
2005-08-05,16.7037,16.8064,16.6009,16.681,288782
2005-08-08,16.7004,16.7755,16.5717,16.5717,278640
