date,open,high,low,close,volume
1996-01-02,5.98451,6.07651,5.96951,6.07651,7363282
1996-01-03,6.09803,6.2182,6.09803,6.16514,19390446
1996-01-04,6.1898,6.26862,6.09803,6.1516,28894512
1996-01-05,6.0866,6.17889,6.0866,6.13732,24622843
1996-01-08,6.09876,6.18006,6.06063,6.07651,3227076
1996-01-09,6.09173,6.09173,5.98707,6.03955,16153079
1996-01-10,5.91769,5.98451,5.7752,5.81413,19630815
1996-01-11,5.85432,5.88081,5.74856,5.85432,14192770
1996-01-12,5.89186,5.93145,5.76167,5.84027,12504871
1996-01-15,5.84327,5.86969,5.77894,5.805,9331389
1996-01-16,5.84261,6.06436,5.82878,6.06436,18229024
1996-01-17,6.03771,6.04906,5.91769,5.957,19862621
1996-01-18,5.97267,5.97267,5.90927,5.93453,16903988
1996-01-19,5.90657,5.90657,5.78743,5.84027,19877977
1996-01-22,5.85556,5.8686,5.75017,5.77784,16279862
1996-01-23,5.76283,5.78743,5.72345,5.74922,11216272
1996-01-24,5.8148,5.89186,5.77578,5.85432,16756783
1996-01-25,5.88081,5.88081,5.82637,5.84027,10679737
1996-01-26,5.76407,5.90789,5.76407,5.89377,14457476
1996-01-29,5.89377,5.94704,5.85556,5.89377,8058014
1996-01-30,5.89244,5.90715,5.84159,5.88139,9905218
1996-01-31,5.89509,5.94829,5.84327,5.93453,16157832
1996-02-01,5.98569,6.01064,5.93212,6.01064,10552639
1996-02-02,6.07893,6.07893,6.0001,6.03955,22279905
1996-02-05,6.04906,6.08902,5.99637,6.07651,11724421
1996-02-06,6.09231,6.18387,6.06436,6.18387,13572792
1996-02-07,6.18271,6.28641,6.18271,6.27257,16301390
1996-02-08,6.22405,6.23437,6.10323,6.1955,24275661
1996-02-09,6.22456,6.27461,6.15738,6.22456,19286184
1996-02-12,6.18321,6.30083,6.18321,6.28706,16113749
1996-02-13,6.28516,6.31085,6.22075,6.2318,15927292
1996-02-14,6.2092,6.22339,6.01137,6.0244,16076483
1996-02-15,5.99755,6.02323,5.85432,5.85432,16537227
1996-02-16,5.88081,5.88081,5.78743,5.84027,21554197
1996-02-20,5.76407,5.81663,5.68511,5.76407,17291117
1996-02-21,5.76056,5.83968,5.76056,5.81413,23174706
1996-02-22,5.91769,5.99637,5.90555,5.957,18035231
1996-02-23,6.01064,6.06312,5.8549,5.86727,16211930
1996-02-26,5.84327,5.92136,5.78932,5.78932,15494806
1996-02-27,5.81413,5.85315,5.70787,5.81413,17582000
1996-02-28,5.86595,5.94579,5.70846,5.72345,18531792
1996-02-29,5.72345,5.80324,5.68467,5.74922,16843497
1996-03-01,5.78977,5.78977,5.63323,5.66096,14540118
1996-03-04,5.67216,5.70004,5.60622,5.66096,17818318
