date,open,high,low,close,volume
1996-01-02,11.3662,12.8201,11.3015,12.6417,994699
1996-01-03,12.6417,12.9406,11.8883,12.0638,3609622
1996-01-04,11.7638,12.0099,11.5406,11.9442,3323678
1996-01-05,11.708,12.3537,11.6522,12.0099,1173602
1996-01-08,11.8883,12.0638,11.8325,11.8883,239396
1996-01-09,11.708,11.708,10.7204,11.1868,1521116
1996-01-10,10.7204,11.5984,10.7204,10.8321,2819781
1996-01-11,11.3015,11.7638,11.1321,11.5984,1456547
1996-01-12,11.5406,11.5984,11.1321,11.3662,925841
1996-01-15,11.3015,11.3015,10.0817,10.1444,1553506
1996-01-16,10.7204,10.7204,9.32265,9.78772,4320307
1996-01-17,9.78772,10.4902,9.61233,9.90032,3497429
1996-01-18,10.0249,10.3688,9.84252,10.2551,1840955
1996-01-19,10.2551,11.1321,10.0817,10.9556,1697231
1996-01-22,11.0762,11.5406,10.8998,11.1868,2439877
1996-01-23,10.8321,11.3662,10.7204,11.3015,2118539
1996-01-24,11.4779,11.5984,11.0762,11.1868,5918435
1996-01-25,11.1868,11.3015,10.8998,10.8998,3112164
1996-01-26,10.8998,11.1321,10.5441,10.9556,1402278
1996-01-29,11.0154,11.0154,10.5441,10.5441,675503
1996-01-30,10.6089,10.8998,10.6089,10.6667,1263274
1996-01-31,10.7204,10.7772,10.1444,10.3108,3464180
1996-02-01,10.4305,10.7204,10.2551,10.6089,3504726
1996-02-02,10.7204,10.7772,10.0249,10.2551,3081278
1996-02-05,10.2551,11.1868,10.0249,10.8998,4128745
1996-02-06,11.1321,11.708,11.0762,11.4779,4094636
1996-02-07,11.4209,11.5984,10.5441,10.6089,6036629
1996-02-08,10.6089,10.7204,10.3688,10.4305,3995533
1996-02-09,10.4902,10.6089,10.2014,10.3688,1235382
1996-02-12,10.3108,10.4305,10.1444,10.2551,1077717
1996-02-13,10.1444,10.6667,10.0249,10.6089,6039418
1996-02-14,10.4902,10.7204,9.84252,9.9671,7225894
1996-02-15,10.0249,10.0249,9.55852,9.78772,2702230
1996-02-16,9.78772,10.0249,9.67611,9.9671,3356279
1996-02-20,9.84252,10.2551,9.73291,9.90032,1867767
1996-02-21,9.90032,10.0249,9.73291,9.90032,1535702
1996-02-22,9.90032,10.8998,9.90032,10.7772,5340104
1996-02-23,10.8321,10.8998,10.3688,10.4902,3353494
1996-02-26,10.2551,10.8998,10.2014,10.7204,2486642
1996-02-27,10.3688,10.6089,10.3108,10.3688,2257759
1996-02-28,10.4305,10.5441,10.3688,10.3688,1082221
1996-02-29,10.0817,10.2014,9.50172,9.61233,4656446
1996-03-01,9.32265,9.37886,8.74548,8.80128,5196593
1996-03-04,9.03386,9.09086,8.85738,8.9682,4020842
1996-03-05,8.91268,8.9682,8.2792,8.80128,9458336
1996-03-06,8.80128,8.91268,8.44702,8.56819,3447661
1996-03-07,8.50302,8.68,8.2792,8.39111,3788740
1996-03-08,7.98065,8.50302,7.86894,8.21403,4179799
1996-03-11,8.33501,8.44702,8.21403,8.33501,1722975
1996-03-12,8.33501,8.44702,8.10202,8.2792,1317760
1996-03-13,8.33501,8.6241,8.15793,8.44702,3010912
1996-03-14,8.2792,8.39111,7.74767,7.81304,6182068
1996-03-15,7.98065,8.50302,7.81304,8.50302,8788412
1996-03-18,8.74548,8.9682,8.6241,8.85738,4886406
1996-03-19,8.9682,9.03386,8.68,8.80128,1305102
1996-03-20,8.68,8.74548,8.21403,8.33501,2369516
1996-03-21,8.33501,8.33501,7.81304,8.03666,3102510
1996-03-22,8.03666,8.21403,7.98065,8.03666,1184543
1996-03-25,8.21403,8.21403,7.74767,7.86894,1516400
1996-03-26,7.74767,8.03666,7.74767,7.86894,1364520
1996-03-27,7.86894,8.03666,7.81304,7.81304,2412633
1996-03-28,7.86894,7.92485,7.63596,7.74767,2302590
