date,open,high,low,close,volume
2005-02-25,23.053,23.1998,22.8442,22.9093,136237
2005-02-28,23.0795,23.111,22.8715,22.8789,45616
2005-03-01,22.8062,22.9093,22.6879,22.7797,60326
2005-03-02,22.7136,22.8651,22.6414,22.8214,105492
2005-03-03,22.6577,22.8366,22.5545,22.669,46063
2005-03-04,22.8366,23.053,22.7645,23.0324,108904
2005-03-07,22.9774,23.0192,22.898,22.9854,20949
2005-03-08,23.2209,23.5065,23.1924,23.4894,74585
2005-03-09,23.5653,23.6789,23.4619,23.4829,91223
2005-03-10,23.5908,23.5908,23.4033,23.4157,79783
2005-03-11,23.3749,23.4433,23.3541,23.3606,33130
2005-03-14,23.3398,23.3951,23.2739,23.3201,50810
2005-03-15,23.4894,23.4961,23.1585,23.1649,32687
2005-03-16,23.1319,23.3606,23.1319,23.1585,53041
2005-03-17,23.1392,23.234,23.0255,23.1043,36252
2005-03-18,22.9368,23.0864,22.8442,22.9634,50664
2005-03-21,22.7645,22.7968,22.562,22.6066,43680
2005-03-22,22.7221,22.7587,22.4389,22.4647,34470
2005-03-23,22.3234,22.4126,22.1979,22.2507,54081
2005-03-24,22.2507,22.3112,22.2316,22.3112,39522
2005-03-28,22.3112,22.371,22.0916,22.2583,27781
2005-03-29,22.371,22.3851,22.2877,22.298,25702
2005-03-30,22.3311,22.4191,22.2168,22.3112,133718
2005-03-31,22.4256,22.6832,22.3643,22.4474,112028
2005-04-01,22.528,22.5487,22.4191,22.5005,44123
2005-04-04,22.3994,22.3994,22.0245,22.0245,42493
2005-04-05,22.0987,22.2583,22.0987,22.2583,33426
2005-04-06,22.2716,22.2716,22.1058,22.1777,17385
2005-04-07,22.2383,22.2383,22.0398,22.0833,10549
2005-04-08,22.0614,22.0916,21.9915,22.0331,23622
2005-04-11,22.0764,22.0764,21.964,22.0398,37293
2005-04-12,22.0151,22.019,21.7749,21.8143,24663
2005-04-13,21.8192,21.8362,21.5096,21.5637,31500
2005-04-14,21.5721,21.6886,21.4702,21.5864,38185
2005-04-15,21.556,21.6318,21.2006,21.2297,99994
2005-04-18,21.2836,21.3725,20.9249,21.2749,41897
2005-04-19,21.3686,21.6725,21.1567,21.4756,42197
2005-04-20,21.3686,21.523,21.2563,21.4546,39963
2005-04-21,21.556,21.7176,21.4937,21.6129,38481
2005-04-22,21.7066,21.7831,21.5096,21.629,108904
2005-04-25,21.6384,21.964,21.5487,21.7596,60473
2005-04-26,22.1342,22.1863,21.7264,22.0558,171609
2005-04-27,22.0558,22.0833,21.7899,21.7964,86620
2005-04-28,21.8524,22.1342,21.8524,22.0151,76812
2005-04-29,22.0037,22.3112,22.0037,22.2583,58092
2005-05-02,22.2639,22.6632,22.2639,22.5204,109948
2005-05-03,22.4256,22.5545,22.3455,22.5071,149765
2005-05-04,22.5698,22.8789,22.5129,22.7438,116932
2005-05-05,22.8128,22.8128,22.6254,22.7003,84984
2005-05-06,22.7136,22.8442,22.6254,22.8128,147986
2005-05-09,22.8366,22.9283,22.7003,22.7834,58836
2005-05-10,22.7524,22.7968,22.5071,22.6832,116635
2005-05-11,22.6756,22.7221,22.528,22.6832,33578
2005-05-12,22.633,22.8017,22.5989,22.7645,44570
2005-05-13,22.619,22.619,22.3455,22.3455,28075
2005-05-16,22.2442,22.5698,22.2442,22.5129,23622
2005-05-17,22.3936,22.5878,22.3936,22.4647,18276
2005-05-18,22.5204,22.8505,22.4474,22.8128,73844
2005-05-19,22.7524,23.0117,22.7524,22.9577,19017
2005-05-20,22.8651,23.0656,22.5944,22.6832,35363
2005-05-23,22.7524,22.8583,22.7221,22.7361,22439
2005-05-24,22.7361,22.8915,22.5204,22.5944,175028
2005-05-25,22.5204,22.5944,22.3112,22.4191,35806
2005-05-26,22.3311,22.7136,22.2923,22.6756,26295
2005-05-27,22.65,23.0864,22.5878,22.9368,26739
2005-05-31,22.8505,22.9925,22.7587,22.7834,80973
2005-06-01,22.8214,22.9697,22.669,22.6756,30461
2005-06-02,22.633,22.7438,22.5698,22.6066,77257
2005-06-03,22.6879,22.7136,22.58,22.6577,16495
2005-06-06,22.6879,22.7587,22.6756,22.7361,58688
2005-06-07,22.7361,22.7834,22.619,22.6632,26891
2005-06-08,22.7136,22.7645,22.562,22.5989,44718
2005-06-09,22.562,22.562,22.459,22.4647,17235
2005-06-10,22.633,22.7136,22.5348,22.5545,16344
2005-06-13,22.3994,22.5005,22.2877,22.3643,35059
2005-06-14,22.3994,22.3994,22.0245,22.1694,64926
2005-06-15,22.3775,22.4126,22.1486,22.2442,79636
2005-06-16,22.298,22.4805,22.2383,22.298,180374
2005-06-17,22.318,22.6066,22.3112,22.4191,18276
2005-06-20,22.4474,22.459,22.2877,22.318,24959
