date,open,high,low,close,volume
2005-02-25,21.153,22.507,20.9073,22.321,4806803
2005-02-28,22.2822,22.6224,22.1568,22.5468,1778318
2005-03-01,22.5557,22.7647,22.4524,22.7278,1751944
2005-03-02,22.8134,23.2751,22.8134,23.1318,2078720
2005-03-03,23.1318,23.2084,23.0452,23.1218,1611479
2005-03-04,23.1686,23.475,23.1596,23.4551,2060298
2005-03-07,23.4551,23.5795,23.3596,23.5417,988700
2005-03-08,23.5417,23.5885,23.3218,23.4073,922553
2005-03-09,23.4073,23.4073,22.9488,23.0154,1628226
2005-03-10,23.0154,23.3218,23.0154,23.2561,637848
2005-03-11,23.6452,23.8153,23.475,23.494,1184432
2005-03-14,23.5516,23.884,23.5028,23.5983,1509531
2005-03-15,23.6919,23.7774,23.3218,23.3398,1241788
2005-03-16,23.3398,23.5795,23.2751,23.5516,1098812
2005-03-17,23.5615,23.8252,23.5417,23.7874,1314638
2005-03-18,23.884,23.884,23.5695,23.7973,1028893
2005-03-21,23.7874,23.864,22.9785,23.4073,1101529
2005-03-22,23.4551,23.9516,23.4551,23.6372,1490898
2005-03-23,23.5118,23.654,23.3218,23.494,1400672
2005-03-24,23.5218,24.0182,23.4551,23.884,1331387
2005-03-28,23.884,23.9983,23.7874,23.9427,1294955
2005-03-29,24.9544,25.2519,24.6221,24.6489,3433340
2005-03-30,24.6032,25.0021,24.45,25.0021,763872
2005-03-31,25.0021,25.232,24.9066,25.03,1369694
2005-04-01,25.0589,25.232,24.8599,25.0021,1174173
2005-04-04,24.8868,25.1463,24.8399,24.9355,882776
2005-04-05,24.9355,24.9355,24.5634,24.6489,1618595
2005-04-06,24.5834,24.8399,24.5534,24.6778,1338500
2005-04-07,24.7912,24.9355,24.7236,24.9066,1308987
2005-04-08,24.9733,25.0589,24.7723,24.8678,969022
2005-04-11,24.9922,25.3573,24.9633,25.3373,1402772
2005-04-12,25.3096,25.4627,25.0399,25.2996,1117652
2005-04-13,25.2996,25.993,25.1463,25.8995,2061549
2005-04-14,25.9831,26.0417,25.5106,25.5573,1348761
2005-04-15,25.5106,25.623,25.2717,25.4627,1518948
2005-04-18,25.415,25.5473,24.8011,25.1931,1397956
2005-04-19,25.3096,25.3096,25.0121,25.213,782709
2005-04-20,25.2717,25.2717,24.8768,24.9355,1184224
2005-04-21,25.1843,25.3285,24.6967,24.8111,1498643
2005-04-22,24.6868,25.0589,24.5077,24.8111,917736
2005-04-25,24.9733,25.3853,24.9256,25.213,2466206
2005-04-26,25.2519,25.4429,24.8868,25.223,2067204
2005-04-27,25.2031,25.5383,24.9922,25.425,1755502
2005-04-28,26.7512,27.363,25.9542,26.4676,7292471
2005-04-29,26.5819,27.1809,26.5153,27.1023,3564806
2005-05-02,27.1909,27.565,27.0626,27.2763,1920461
2005-05-03,27.4207,27.7072,27.1023,27.3331,2521467
2005-05-04,27.5351,27.8992,27.5351,27.7729,2686427
2005-05-05,27.8415,27.8415,27.4495,27.6714,1020520
2005-05-06,27.7918,27.9082,27.6227,27.8017,1037265
2005-05-09,27.7918,28.2475,27.6037,28.2006,3102377
2005-05-10,28.0872,28.2475,27.9182,28.2285,1435635
2005-05-11,28.2475,28.4424,28.1152,28.2475,1757594
2005-05-12,28.3259,28.5389,27.9659,28.2285,1644344
2005-05-13,28.2285,28.2285,27.2107,27.5938,1906850
2005-05-16,27.6615,28.2475,27.6425,28.2475,1577358
2005-05-17,28.2475,28.6553,27.8605,28.5589,1459501
2005-05-18,28.5966,28.6653,28.1916,28.3649,2086045
2005-05-19,28.4424,28.5289,28.2285,28.2962,1406121
2005-05-20,28.3161,28.4623,28.1429,28.4235,1708821
2005-05-23,28.4623,28.5767,28.1718,28.5668,1339548
2005-05-24,28.4235,28.5966,28.2285,28.2673,1345827
2005-05-25,28.2862,28.2862,27.6714,27.7729,1651253
2005-05-26,27.8792,28.1429,27.754,27.8792,1248906
2005-05-27,27.8605,27.9848,27.4495,27.9082,1226715
2005-05-31,27.8992,28.0972,27.8992,27.9082,1052129
2005-06-01,27.9182,27.9748,27.6615,27.9748,2025966
2005-06-02,27.9748,28.3946,27.8315,28.2862,894498
2005-06-03,28.4722,28.9368,28.4523,28.7756,1899112
2005-06-06,28.8155,29.2065,28.6156,29.1298,1445474
2005-06-07,29.1298,29.1588,28.9468,29.0443,1809301
2005-06-08,29.1298,29.2931,29.0543,29.2065,998330
2005-06-09,29.2065,29.5498,29.1001,29.4512,1580708
2005-06-10,29.4801,29.9039,29.4254,29.8562,1884035
2005-06-13,29.8562,30.1685,29.8562,30.1596,1346247
2005-06-14,30.0939,30.4491,30.0014,30.1884,1110953
2005-06-15,29.875,30.1417,29.5099,30.0014,2446109
2005-06-16,30.0482,30.1128,29.5785,30.0571,1703585
2005-06-17,29.8562,29.9039,29.2831,29.3218,2939726
2005-06-20,29.3119,29.4801,29.0543,29.3308,1782089
2005-06-21,29.4075,29.5498,29.2532,29.3785,1272772
2005-06-22,29.6174,29.6661,29.2731,29.3119,1743572
2005-06-23,29.3119,29.6372,29.2532,29.4254,1693954
2005-06-24,29.3985,29.7705,29.2931,29.2931,868957
2005-06-27,29.2433,29.4999,29.0911,29.2731,741263
2005-06-28,29.2254,29.7985,29.2254,29.7526,892196
2005-06-29,29.7885,30.1128,29.7616,30.0571,1274026
2005-06-30,30.1227,30.1596,29.7059,29.7059,1050246
2005-07-01,29.7059,29.7059,29.1001,29.3218,1245976
2005-07-05,29.3785,29.7059,29.3785,29.6372,707770
2005-07-06,29.5685,29.5685,28.7299,29.0344,1799045
2005-07-07,28.8155,29.1199,28.6653,28.9856,803227
2005-07-08,28.7299,28.8155,28.519,28.6453,2080183
2005-07-11,28.6453,28.711,28.4424,28.711,1301869
2005-07-12,28.711,28.711,28.2475,28.4922,1626550
2005-07-13,28.4922,28.4922,27.343,27.4207,5884680
2005-07-14,27.3331,27.4595,27.0923,27.2863,2427059
2005-07-15,27.2963,27.928,27.2963,27.6325,933431
2005-07-18,27.6325,27.8315,27.343,27.6227,1080805
2005-07-19,27.6903,27.7271,27.343,27.4685,843421
2005-07-20,27.4685,27.6037,27.3133,27.5072,717817
2005-07-21,27.5072,27.5072,26.6466,26.9392,1684536
2005-07-22,26.9392,27.3331,26.8746,27.3133,881103
2005-07-25,27.9479,28.1152,27.2296,27.2566,2414496
2005-07-26,27.1809,27.6615,27.1809,27.5748,1496761
2005-07-27,27.5848,27.7172,27.4207,27.6425,1462850
2005-07-28,24.3814,25.7095,24.268,25.3285,13009058
2005-07-29,25.3186,25.395,24.7057,24.8599,2661094
2005-08-01,24.7524,24.9544,24.4778,24.8966,2086887
2005-08-02,24.8966,25.0788,24.5834,25.03,1871477
2005-08-03,24.8599,24.9444,24.6589,24.9256,1443379
2005-08-04,24.8678,25.3186,24.8011,25.213,1883195
2005-08-05,25.213,25.4528,25.2031,25.3285,1999377
2005-08-08,25.3285,25.5016,25.3285,25.3673,983256
2005-08-09,25.3673,25.5383,25.3186,25.3673,1104467
2005-08-10,25.3673,25.3853,25.0788,25.2717,3065744
2005-08-11,25.2717,25.3186,25.1265,25.223,1896387
2005-08-12,25.1365,25.1463,24.8599,25.0788,1414494
2005-08-15,25.03,25.2896,24.7723,25.2717,1211431
2005-08-16,25.4627,26.1005,25.4627,25.8995,1929045
2005-08-17,25.9443,26.0319,25.814,25.9642,1226928
2005-08-18,25.7762,25.8339,25.3673,25.604,1611690
2005-08-19,25.5763,25.633,25.3673,25.4727,512668
2005-08-22,25.405,25.415,25.0589,25.0976,918154
2005-08-23,24.9922,25.2717,24.9922,25.213,642458
2005-08-24,25.1265,25.4926,25.0976,25.3673,779362
2005-08-25,25.2717,25.5383,25.223,25.5106,782709
2005-08-26,25.433,25.5763,25.1843,25.3186,981793
2005-08-29,25.03,25.1563,24.7336,25.0976,1626341
2005-08-30,25.0976,25.3673,24.8599,24.9544,1368435
2005-08-31,24.2977,24.5346,23.7874,24.4101,3358190
2005-09-01,24.4778,24.4778,23.9227,24.0381,1681398
2005-09-02,23.9694,24.1247,23.7675,24.048,1939932
2005-09-06,24.248,24.248,24.0182,24.1734,1214782
2005-09-07,24.1247,24.248,23.9516,24.1834,1078924
2005-09-08,24.1047,24.1147,23.6919,23.9027,1675956
2005-09-09,23.9427,24.1436,23.6452,23.7307,2696263
2005-09-12,23.7307,23.7675,23.5118,23.654,1703376
2005-09-13,23.5983,23.5983,23.2183,23.4372,1656278
2005-09-14,23.5028,23.5118,23.2462,23.4073,772242
2005-09-15,23.3596,23.9227,23.3596,23.5983,1165378
2005-09-16,23.5795,23.6919,23.2561,23.4551,1206827
2005-09-19,23.4551,23.494,23.3038,23.4452,902242
2005-09-20,23.4452,23.5118,22.7747,23.0154,1540721
2005-09-21,22.9686,22.9686,22.4702,22.6224,1690188
2005-09-22,22.5936,22.6981,22.1568,22.6601,1287841
2005-09-23,22.6881,23.1885,22.6881,23.1019,1314009
2005-09-26,23.1019,23.1318,22.5657,22.8424,746078
2005-09-27,22.8521,23.1019,22.7747,22.8334,1039779
2005-09-28,22.8234,23.0641,22.6224,22.9785,868331
2005-09-29,22.8621,22.8621,22.5557,22.6424,1251208
2005-09-30,22.6424,22.9488,22.5936,22.7547,1109697
2005-10-03,22.7547,22.7647,22.4154,22.5657,1027636
2005-10-04,22.5846,22.6424,22.2524,22.2622,1407165
2005-10-05,22.2911,22.311,21.8016,21.8205,2038738
2005-10-06,21.8305,22.0215,21.6295,21.7539,2209766
2005-10-07,21.7828,22.108,21.734,22.0603,1311078
2005-10-10,22.4524,23.295,22.2135,22.4055,3313182
2005-10-11,22.5657,23.2183,22.5269,23.1885,3971755
2005-10-12,23.1517,23.5028,22.6781,22.7747,2709660
2005-10-13,22.7747,22.9587,22.5557,22.6124,2679305
2005-10-14,22.7368,23.0841,22.6881,22.9388,1431028
2005-10-17,22.9975,23.2084,22.708,23.1517,761990
2005-10-18,23.1885,23.4073,23.0154,23.2372,692487
2005-10-19,23.1596,23.285,22.9785,23.2561,624450
2005-10-20,23.1785,23.2372,22.8721,22.9975,654805
2005-10-21,23.0353,23.3128,22.9388,23.2561,1240322
2005-10-24,23.2751,23.4452,22.5757,23.0353,1861213
2005-10-25,22.9975,22.9975,22.1946,22.4991,1818093
2005-10-26,22.4702,22.4991,21.7241,21.7828,2250168
2005-10-27,21.7917,21.9837,21.5361,21.7539,2202643
2005-10-28,21.2565,22.4801,21.2565,21.9539,3347515
2005-10-31,22.0215,22.6424,21.9837,22.517,2112003
2005-11-01,22.4702,22.6981,22.3567,22.4891,1843005
2005-11-02,22.4354,22.6224,22.2822,22.4354,1576521
2005-11-03,22.4354,22.4524,22.108,22.311,1482527
2005-11-04,22.311,22.4524,21.8016,21.9539,1624454
2005-11-07,21.8485,22.2234,21.8485,22.1667,1964840
2005-11-08,22.2135,22.321,22.0981,22.1767,1583014
2005-11-09,22.2135,22.2822,21.927,22.1279,1552862
2005-11-10,22.1667,22.4254,22.108,22.3857,742728
2005-11-11,22.3567,22.8334,22.2622,22.8334,1369694
2005-11-14,22.8334,23.0254,22.7368,23.0074,1451125
2005-11-15,22.9975,23.8352,22.9488,23.5417,2532350
2005-11-16,23.6372,23.6452,23.1686,23.2561,742728
2005-11-17,23.2561,23.4173,23.1686,23.285,744820
2005-11-18,23.3398,23.3398,23.0254,23.285,799252
2005-11-21,23.3128,23.3984,23.0841,23.2561,549931
2005-11-22,23.2561,23.3128,23.0841,23.1686,610011
2005-11-23,23.1686,23.2751,23.0154,23.1686,944532
2005-11-25,23.1686,23.1686,23.0641,23.1686,276743
2005-11-28,23.1686,23.1686,22.9488,22.9686,977395
2005-11-29,22.9785,23.1019,22.8424,22.8424,1221275
2005-11-30,22.9098,23.0353,22.7368,22.8921,1829190
2005-12-01,22.9288,23.0641,22.8621,22.9288,1644761
2005-12-02,22.9488,23.1517,22.9288,23.0154,1030984
2005-12-05,23.0154,23.475,22.9488,23.4452,2274868
2005-12-06,23.475,23.7675,23.475,23.6452,2144869
2005-12-07,23.6272,23.7496,23.4452,23.5885,1470808
2005-12-08,23.4452,23.7018,23.4073,23.5795,738747
2005-12-09,23.5795,23.7018,23.475,23.663,876708
2005-12-12,23.7496,23.7585,23.5615,23.7307,750051
2005-12-13,23.6919,23.9884,23.5417,23.663,690812
2005-12-14,23.673,23.673,23.2183,23.4273,709863
2005-12-15,23.4073,23.475,23.1218,23.1418,581118
2005-12-16,23.0452,23.1686,22.8334,22.8621,969022
2005-12-19,22.7945,22.8821,22.4524,22.6981,1044175
2005-12-20,22.8234,23.0641,22.6124,22.6681,665692
2005-12-21,22.6681,22.9098,22.6424,22.6781,919619
2005-12-22,22.7747,22.9098,22.7179,22.7278,652715
2005-12-23,22.7368,22.8234,22.6424,22.7547,605195
2005-12-27,22.7845,23.0074,22.5468,22.6424,760523
2005-12-28,22.6522,22.8134,22.3478,22.3956,873772
2005-12-29,22.3857,22.5657,22.3857,22.4702,451334
2005-12-30,22.4354,22.4354,22.2822,22.3299,537997
2006-01-03,22.3399,22.4055,22.0603,22.4055,1238438
2006-01-04,22.4055,22.6681,22.1767,22.4702,1386020
