date,open,high,low,close,volume
1997-09-17,4.12681,4.33893,4.12681,4.17817,18288894
1997-09-18,4.23584,4.32178,4.19561,4.32178,4235601
1997-09-19,4.31045,4.44815,4.31045,4.33893,2170944
1997-09-22,4.30454,4.35638,4.29882,4.30454,3667604
1997-09-23,4.30454,4.32178,4.29882,4.30454,1719332
1997-09-24,4.31045,4.32178,4.29882,4.30454,1618625
1997-09-25,4.30454,4.36772,4.30454,4.36772,631417
1997-09-26,4.35638,4.48236,4.35037,4.47653,1032852
1997-09-29,4.48236,4.53992,4.48236,4.53992,1083378
1997-09-30,4.58595,4.79235,4.57423,4.64873,2912830
1997-10-01,4.65475,4.65475,4.44815,4.44815,2215546
1997-10-02,4.46559,4.47653,4.37344,4.4308,1183738
1997-10-03,4.47653,4.52256,4.44815,4.49388,1295943
1997-10-06,4.47653,4.62597,4.47653,4.59157,4930096
1997-10-07,4.62597,4.70059,4.39621,4.46559,13534069
1997-10-08,4.46559,4.48236,4.37344,4.40232,10447009
1997-10-09,4.39621,4.59157,4.31045,4.58595,8061068
1997-10-10,4.4308,4.58595,4.41365,4.52839,6461951
1997-10-13,4.53992,4.6031,4.52839,4.6031,6590886
1997-10-14,4.56288,4.65475,4.55726,4.57423,10713238
1997-10-15,4.46559,4.56288,4.46559,4.55726,5679298
1997-10-16,4.59157,4.61453,4.52256,4.55726,5653862
1997-10-17,4.48236,4.49961,4.35037,4.47653,4039417
1997-10-20,4.45367,4.65475,4.45367,4.62597,5021044
1997-10-21,4.59157,4.90138,4.59157,4.81512,5787672
1997-10-22,4.73499,4.79235,4.68344,4.73499,3530309
1997-10-23,4.66056,4.74623,4.62597,4.73499,4819286
1997-10-24,4.74623,4.76929,4.65475,4.73499,3518460
1997-10-27,4.66056,4.67201,4.39621,4.46559,4203198
1997-10-28,4.32178,4.53992,4.17817,4.44224,2933733
1997-10-29,4.45367,4.52256,4.33351,4.35037,2059088
1997-10-30,4.17817,4.33351,4.17817,4.23584,3072075
1997-10-31,4.23584,4.37344,4.2242,4.35037,3357818
1997-11-03,4.37344,4.41365,4.31045,4.37344,3419150
1997-11-04,4.33893,4.38496,4.28728,4.32178,3666562
1997-11-05,4.30454,4.37344,4.28728,4.33351,3896197
1997-11-06,4.33893,4.59157,4.32178,4.53992,3877384
1997-11-07,4.52256,4.65475,4.44815,4.59157,3809080
1997-11-10,4.62597,4.93598,4.61453,4.85554,3443193
1997-11-11,4.70059,4.82695,4.70059,4.80961,2586308
1997-11-12,4.76929,4.80961,4.71222,4.71222,2607921
1997-11-13,4.72355,4.83237,4.72355,4.80961,4360701
1997-11-14,4.913,5.16583,4.90138,5.05632,6937611
1997-11-17,5.09664,5.19985,5.05632,5.06776,3158501
1997-11-18,5.04499,5.06776,4.82695,4.85554,3663768
1997-11-19,4.82695,4.913,4.79235,4.8785,3778070
1997-11-20,4.8785,4.92433,4.86116,4.90138,3990634
1997-11-21,4.89004,4.97037,4.8785,4.94731,1943745
1997-11-24,4.8785,4.94731,4.80961,4.80961,2445188
1997-11-25,4.81512,4.83237,4.66056,4.70059,2070587
1997-11-26,4.66056,4.79235,4.66056,4.75805,1677165
1997-11-28,4.75805,4.8785,4.75805,4.85554,732474
1997-12-01,4.93598,4.93598,4.85554,4.8785,1900883
1997-12-02,4.913,4.913,4.82695,4.89004,2729536
1997-12-03,4.8785,4.98742,4.8785,4.97599,1258310
1997-12-04,5.02192,5.0852,4.97599,4.99896,2861257
1997-12-05,4.99896,5.00497,4.94731,4.97037,2493272
1997-12-08,4.93598,5.01079,4.913,4.94731,1352048
1997-12-09,4.90138,4.94731,4.89004,4.90138,1235313
1997-12-10,4.8785,4.8785,4.54564,4.62597,5610998
1997-12-11,4.53992,4.55726,4.4308,4.46559,3810127
1997-12-12,4.47653,4.48236,4.33893,4.35638,2931295
1997-12-15,4.32178,4.41365,4.31045,4.33351,6254958
1997-12-16,4.30454,4.44224,4.30454,4.41365,6672424
1997-12-17,4.41927,4.49388,4.33351,4.35638,4391370
1997-12-18,4.32178,4.33351,4.24125,4.28728,1703300
1997-12-19,4.27024,4.30454,4.25308,4.27615,1781011
1997-12-22,4.30454,4.32178,4.21296,4.27615,1421739
1997-12-23,4.24125,4.2586,4.06353,4.06925,2747306
1997-12-24,4.03495,4.13224,4.00036,4.12681,1353096
1997-12-26,4.10957,4.11498,4.06353,4.06353,777074
1997-12-29,4.02341,4.16072,4.0178,4.06925,1370866
1997-12-30,4.06925,4.24125,4.06353,4.20695,1691106
1997-12-31,4.16692,4.1901,4.12681,4.16692,2661234
1998-01-02,4.16692,4.20695,4.06925,4.17817,1857326
1998-01-05,4.17817,4.19561,4.00036,4.052,4299721
1998-01-06,4.00036,4.00036,3.86817,3.8799,5379614
1998-01-07,3.85683,3.9831,3.82243,3.87399,3768308
1998-01-08,3.79956,3.83978,3.69636,3.72494,3415669
1998-01-09,3.71331,3.86817,3.69636,3.73066,6110698
1998-01-12,3.604,3.79374,3.59305,3.74781,3356076
1998-01-13,3.71331,3.78241,3.69636,3.74781,3131661
1998-01-14,3.75944,3.8454,3.66728,3.74781,2375141
1998-01-15,3.73066,3.85683,3.69636,3.83978,5515520
1998-01-16,3.82243,3.87399,3.81109,3.86817,1952105
1998-01-20,3.85683,3.9831,3.83978,3.9831,2461565
1998-01-21,3.9487,3.9487,3.90277,3.92583,1490390
1998-01-22,3.92583,3.93736,3.87399,3.89123,1799478
1998-01-23,3.87399,3.89123,3.81109,3.83978,2089052
1998-01-26,3.79956,3.86817,3.78241,3.82243,1555549
1998-01-27,3.76525,3.82243,3.73066,3.81109,2978692
1998-01-28,3.79956,3.92583,3.78241,3.92583,3416012
1998-01-29,3.89123,4.02341,3.87399,3.93736,2689111
1998-01-30,3.90859,3.92583,3.86817,3.91952,5229778
1998-02-02,3.95472,4.0865,3.95472,4.00036,3404514
1998-02-03,3.96594,3.9831,3.9487,3.96594,2570984
1998-02-04,3.9487,4.0865,3.92583,4.06925,3295797
1998-02-05,4.02341,4.06925,4.00036,4.0178,1937815
1998-02-06,3.9831,4.12681,3.9831,4.11498,1712363
1998-02-09,4.052,4.0865,3.98891,4.052,1341592
1998-02-10,4.03495,4.10957,3.9831,4.08078,1259008
1998-02-11,4.052,4.06353,3.97167,4.04609,1822824
1998-02-12,4.03495,4.06925,3.90859,3.9487,4023736
1998-02-13,3.9487,4.16072,3.87399,3.90859,5174023
1998-02-17,3.73066,3.82844,3.73066,3.82844,3966586
1998-02-18,3.78241,3.79956,3.73066,3.74781,4568037
1998-02-19,3.74781,3.96594,3.73619,3.8799,3838005
1998-02-20,3.91952,3.91952,3.81109,3.83978,1540221
1998-02-23,3.89123,3.89123,3.79956,3.82243,2010648
1998-02-24,3.79956,3.93736,3.79956,3.89123,1857326
1998-02-25,3.87399,3.90859,3.8454,3.87399,1394564
1998-02-26,3.87399,4.052,3.86817,4.01178,2546936
1998-02-27,4.0178,4.0865,4.01178,4.0865,1783798
1998-03-02,4.06925,4.23584,4.06353,4.2242,2699561
1998-03-03,4.1553,4.25308,4.12681,4.23584,1765674
1998-03-04,4.19561,4.30454,4.1901,4.30454,1570884
1998-03-05,4.23584,4.30454,4.17817,4.30454,2027724
1998-03-06,4.28728,4.29882,4.16072,4.23584,1984167
1998-03-09,4.21296,4.23584,4.06925,4.12681,1456586
1998-03-10,4.10957,4.19561,4.09813,4.1901,1501539
1998-03-11,4.2242,4.27024,4.17817,4.2586,2078948
1998-03-12,4.27024,4.35037,4.2586,4.27024,3085667
1998-03-13,4.28728,4.32178,4.2586,4.2586,1960815
1998-03-16,4.27024,4.31045,4.24125,4.27615,2028070
1998-03-17,4.2586,4.30454,4.25308,4.28728,2118673
1998-03-18,4.25308,4.27615,4.17817,4.1901,1641626
1998-03-19,4.17817,4.27024,4.16072,4.24125,4866670
1998-03-20,4.27024,4.44815,4.24125,4.39621,1811322
1998-03-23,4.32178,4.33893,4.27615,4.28728,1460770
1998-03-24,4.28728,4.41365,4.27024,4.39621,1758014
1998-03-25,4.37344,4.52256,4.36772,4.38496,2779019
1998-03-26,4.41365,4.41365,4.31045,4.31045,1329051
1998-03-27,4.33893,4.37344,4.25308,4.31045,1505372
1998-03-30,4.30454,4.31045,4.23584,4.24125,2349010
1998-03-31,4.24125,4.33893,4.24125,4.31045,1642319
1998-04-01,4.31045,4.52256,4.31045,4.52256,1496314
1998-04-02,4.48236,4.61453,4.44815,4.51143,2654266
1998-04-03,4.51143,4.62597,4.48236,4.62597,1723169
1998-04-06,4.61453,4.61453,4.48236,4.51143,1423827
1998-04-07,4.46559,4.48236,4.32178,4.35638,1321387
1998-04-08,4.33351,4.4308,4.28728,4.31045,1111953
1998-04-09,4.32178,4.44815,4.30454,4.41365,932151
1998-04-13,4.38496,4.40232,4.33893,4.39621,1052018
1998-04-14,4.41365,4.41365,4.36772,4.39621,1510940
1998-04-15,4.37344,4.59157,4.37344,4.54564,1255524
1998-04-16,4.54564,4.55726,4.4308,4.49961,1210920
1998-04-17,4.52256,4.53992,4.4308,4.51143,854436
1998-04-20,4.48236,4.54564,4.44815,4.53992,906010
1998-04-21,4.49961,4.52256,4.45367,4.51143,915767
1998-04-22,4.48236,4.73499,4.48236,4.71222,1445439
1998-04-23,4.68905,4.73499,4.66056,4.70059,2000540
1998-04-24,4.67201,4.71814,4.61453,4.64873,1534297
1998-04-27,4.53992,4.53992,4.37344,4.47653,2585614
1998-04-28,4.49388,4.52256,4.41365,4.44815,2399884
1998-04-29,4.48236,4.53992,4.46559,4.49961,1626988
1998-04-30,4.53992,4.6031,4.49961,4.55726,1470178
1998-05-01,4.55726,4.55726,4.46559,4.49961,912630
1998-05-04,4.49388,4.52839,4.4308,4.44815,947482
1998-05-05,4.41365,4.48236,4.37344,4.46559,1520702
1998-05-06,4.44224,4.51143,4.40232,4.4308,1899834
1998-05-07,4.41927,4.41927,4.32178,4.32178,958282
1998-05-08,4.32178,4.37344,4.32178,4.33893,1163528
1998-05-11,4.33351,4.38496,4.33351,4.35037,1228344
1998-05-12,4.35638,4.4308,4.35037,4.4308,723062
1998-05-13,4.41365,4.49388,4.39621,4.44815,720274
1998-05-14,4.4308,4.49961,4.4308,4.48236,938769
1998-05-15,4.48236,4.55726,4.45367,4.52839,1475054
1998-05-18,4.52256,4.57423,4.52256,4.56288,1748947
1998-05-19,4.53992,4.62597,4.53992,4.6031,1299079
1998-05-20,4.59157,4.61453,4.52839,4.53992,2859160
1998-05-21,4.53992,4.55726,4.44815,4.47653,965249
1998-05-22,4.44815,4.52256,4.41365,4.45367,962119
1998-05-26,4.48236,4.48236,4.4308,4.4308,1145753
1998-05-27,4.38496,4.41365,4.28728,4.33351,1056897
1998-05-28,4.33351,4.44224,4.33351,4.44224,1930853
1998-05-29,4.4308,4.51143,4.4308,4.45367,1046096
1998-06-01,4.45367,4.63761,4.44815,4.61453,1411286
1998-06-02,4.61453,4.74623,4.52256,4.70059,1579942
1998-06-03,4.70059,4.71222,4.62597,4.64873,1097668
1998-06-04,4.62597,4.68344,4.58595,4.62597,2244474
1998-06-05,4.61453,4.68905,4.61453,4.65475,601796
1998-06-08,4.65475,4.68905,4.64873,4.68344,1102545
1998-06-09,4.64873,4.75805,4.62597,4.75805,1618277
1998-06-10,4.71814,4.78112,4.61453,4.62597,1363546
1998-06-11,4.65475,4.65475,4.44815,4.44815,1835369
1998-06-12,4.44815,4.49388,4.37344,4.44224,1060730
1998-06-15,4.41365,4.44224,4.28728,4.30454,1267721
1998-06-16,4.31045,4.33893,4.24125,4.29882,1630123
1998-06-17,4.31045,4.47653,4.30454,4.46559,2393613
1998-06-18,4.46559,4.49961,4.44815,4.46559,1109162
1998-06-19,4.48236,4.51143,4.46559,4.47653,1300827
1998-06-22,4.47653,4.59157,4.45367,4.52256,1922138
1998-06-23,4.55726,4.63761,4.52839,4.56288,1815853
1998-06-24,4.56288,4.8785,4.55726,4.80961,1998104
1998-06-25,4.79836,4.86116,4.73499,4.83237,1917607
1998-06-26,4.83237,4.83237,4.66056,4.66056,427566
1998-06-29,4.66056,4.79235,4.66056,4.79235,1235313
1998-06-30,4.75805,4.76929,4.48236,4.54564,1627335
1998-07-01,4.58595,4.68905,4.56288,4.68344,2519402
1998-07-02,4.68905,4.71814,4.62597,4.65475,1662181
1998-07-06,4.64873,4.81512,4.56288,4.81512,1165264
1998-07-07,4.75805,4.90138,4.67201,4.68905,3576653
1998-07-08,4.68905,4.75805,4.6031,4.75805,1303957
