date,open,high,low,close,volume
2021-01-04,28.485,28.485,28.485,28.485,0
2021-01-05,27.67,27.67,27.67,27.67,0
2021-01-06,27.535,27.535,27.535,27.535,0
2021-01-07,26.185,26.185,26.185,26.185,0
2021-01-08,25.78,25.78,25.78,25.78,0
2021-01-11,27.04,27.04,27.04,27.04,0
2021-01-12,26.665,26.665,26.665,26.665,0
2021-01-13,26.105,26.105,26.105,26.105,0
2021-01-14,26.625,26.625,26.625,26.625,0
2021-01-15,27.17,27.17,27.17,27.17,0
2021-01-19,26.62,26.62,26.62,26.62,0
2021-01-20,25.79,25.79,25.79,25.79,0
2021-01-21,25.66,25.66,25.66,25.66,0
2021-01-22,25.955,25.955,25.955,25.955,0
2021-01-25,26.595,26.595,26.595,26.595,0
2021-01-26,26.51,26.51,26.51,26.51,0
2021-01-27,33.605,33.605,33.605,33.605,0
2021-01-28,30.105,30.105,30.105,30.105,0
2021-01-29,31.545,31.545,31.545,31.545,0
2021-02-01,30.12,30.12,30.12,30.12,0
2021-02-02,27.78,27.78,27.78,27.78,0
2021-02-03,26.455,26.455,26.455,26.455,0
2021-02-04,25.885,25.885,25.885,25.885,0
2021-02-05,25.435,25.435,25.435,25.435,0
2021-02-08,25.62,25.62,25.62,25.62,0
2021-02-09,25.815,25.815,25.815,25.815,0
2021-02-10,25.995,25.995,25.995,25.995,0
2021-02-11,25.625,25.625,25.625,25.625,0
2021-02-12,24.985,24.985,24.985,24.985,0
2021-02-16,25.73,25.73,25.73,25.73,0
2021-02-17,25.75,25.75,25.75,25.75,0
2021-02-18,26.245,26.245,26.245,26.245,0
2021-02-19,26.025,26.025,26.025,26.025,0
2021-02-22,26.725,26.725,26.725,26.725,0
2021-02-23,26.555,26.555,26.555,26.555,0
2021-02-24,25.67,25.67,25.67,25.67,0
2021-02-25,29.445,29.445,29.445,29.445,0
2021-02-26,28.975,28.975,28.975,28.975,0
2021-03-01,26.675,26.675,26.675,26.675,0
2021-03-02,27.05,27.05,27.05,27.05,0
2021-03-03,28.335,28.335,28.335,28.335,0
2021-03-04,29.285,29.285,29.285,29.285,0
2021-03-05,27.33,27.33,27.33,27.33,0
2021-03-08,27.735,27.735,27.735,27.735,0
2021-03-09,27.015,27.015,27.015,27.015,0
2021-03-10,26.28,26.28,26.28,26.28,0
2021-03-11,25.955,25.955,25.955,25.955,0
2021-03-12,25.345,25.345,25.345,25.345,0
2021-03-15,25.015,25.015,25.015,25.015,0
2021-03-16,24.895,24.895,24.895,24.895,0
2021-03-17,24.615,24.615,24.615,24.615,0
2021-03-18,25.79,25.79,25.79,25.79,0
2021-03-19,25.475,25.475,25.475,25.475,0
2021-03-22,24.44,24.44,24.44,24.44,0
2021-03-23,25.15,25.15,25.15,25.15,0
2021-03-24,25.6,25.6,25.6,25.6,0
2021-03-25,24.905,24.905,24.905,24.905,0
2021-03-26,24.43,24.43,24.43,24.43,0
2021-03-29,25.37,25.37,25.37,25.37,0
2021-03-30,24.805,24.805,24.805,24.805,0
2021-03-31,24.7,24.7,24.7,24.7,0
2021-04-01,23.665,23.665,23.665,23.665,0
2021-04-05,23.955,23.955,23.955,23.955,0
2021-04-06,24.06,24.06,24.06,24.06,0
2021-04-07,23.58,23.58,23.58,23.58,0
2021-04-08,23.475,23.475,23.475,23.475,0
2021-04-09,23.345,23.345,23.345,23.345,0
2021-04-12,23.455,23.455,23.455,23.455,0
2021-04-13,23.325,23.325,23.325,23.325,0
2021-04-14,23.495,23.495,23.495,23.495,0
2021-04-15,23.285,23.285,23.285,23.285,0
2021-04-16,23.125,23.125,23.125,23.125,0
2021-04-19,23.645,23.645,23.645,23.645,0
2021-04-20,24.34,24.34,24.34,24.34,0
2021-04-21,23.75,23.75,23.75,23.75,0
2021-04-22,24.355,24.355,24.355,24.355,0
2021-04-23,23.665,23.665,23.665,23.665,0
2021-04-26,23.82,23.82,23.82,23.82,0
2021-04-27,23.78,23.78,23.78,23.78,0
2021-04-28,23.64,23.64,23.64,23.64,0
2021-04-29,23.805,23.805,23.805,23.805,0
2021-04-30,24.305,24.305,24.305,24.305,0
2021-05-03,24.155,24.155,24.155,24.155,0
2021-05-04,24.74,24.74,24.74,24.74,0
2021-05-05,24.575,24.575,24.575,24.575,0
2021-05-06,24.195,24.195,24.195,24.195,0
2021-05-07,23.345,23.345,23.345,23.345,0
2021-05-10,24.83,24.83,24.83,24.83,0
2021-05-11,25.92,25.92,25.92,25.92,0
2021-05-12,28.795,28.795,28.795,28.795,0
2021-05-13,26.565,26.565,26.565,26.565,0
2021-05-14,24.405,24.405,24.405,24.405,0
2021-05-17,24.86,24.86,24.86,24.86,0
2021-05-18,25.67,25.67,25.67,25.67,0
2021-05-19,26.09,26.09,26.09,26.09,0
2021-05-20,25.335,25.335,25.335,25.335,0
2021-05-21,25.075,25.075,25.075,25.075,0
2021-05-24,24.2,24.2,24.2,24.2,0
2021-05-25,24.42,24.42,24.42,24.42,0
2021-05-26,23.68,23.68,23.68,23.68,0
2021-05-27,23.37,23.37,23.37,23.37,0
2021-05-28,23.38,23.38,23.38,23.38,0
2021-06-01,23.95,23.95,23.95,23.95,0
2021-06-02,23.74,23.74,23.74,23.74,0
2021-06-03,24.02,24.02,24.02,24.02,0
2021-06-04,23.21,23.21,23.21,23.21,0
2021-06-07,23.21,23.21,23.21,23.21,0
2021-06-08,23.535,23.535,23.535,23.535,0
2021-06-09,23.945,23.945,23.945,23.945,0
2021-06-10,23.05,23.05,23.05,23.05,0
2021-06-11,22.825,22.825,22.825,22.825,0
2021-06-14,23.195,23.195,23.195,23.195,0
2021-06-15,23.51,23.51,23.51,23.51,0
2021-06-16,24.075,24.075,24.075,24.075,0
2021-06-17,23.875,23.875,23.875,23.875,0
2021-06-18,25.35,25.35,25.35,25.35,0
2021-06-21,23.945,23.945,23.945,23.945,0
2021-06-22,23.33,23.33,23.33,23.33,0
2021-06-23,23.16,23.16,23.16,23.16,0
2021-06-24,22.985,22.985,22.985,22.985,0
2021-06-25,22.81,22.81,22.81,22.81,0
2021-06-28,22.88,22.88,22.88,22.88,0
2021-06-29,23.01,23.01,23.01,23.01,0
2021-06-30,22.915,22.915,22.915,22.915,0
2021-07-01,22.74,22.74,22.74,22.74,0
