date,value
2021-01-04,5.697
2021-01-05,5.534
2021-01-06,5.507
2021-01-07,5.237
2021-01-08,5.156
2021-01-11,5.408
2021-01-12,5.333
2021-01-13,5.221
2021-01-14,5.325
2021-01-15,5.434
2021-01-19,5.324
2021-01-20,5.158
2021-01-21,5.132
2021-01-22,5.191
2021-01-25,5.319
2021-01-26,5.302
2021-01-27,6.721
2021-01-28,6.021
2021-01-29,6.309
2021-02-01,6.024
2021-02-02,5.556
2021-02-03,5.291
2021-02-04,5.177
2021-02-05,5.087
2021-02-08,5.124
2021-02-09,5.163
2021-02-10,5.199
2021-02-11,5.125
2021-02-12,4.997
2021-02-16,5.146
2021-02-17,5.15
2021-02-18,5.249
2021-02-19,5.205
2021-02-22,5.345
2021-02-23,5.311
2021-02-24,5.134
2021-02-25,5.889
2021-02-26,5.795
2021-03-01,5.335
2021-03-02,5.41
2021-03-03,5.667
2021-03-04,5.857
2021-03-05,5.466
2021-03-08,5.547
2021-03-09,5.403
2021-03-10,5.256
2021-03-11,5.191
2021-03-12,5.069
2021-03-15,5.003
2021-03-16,4.979
2021-03-17,4.923
2021-03-18,5.158
2021-03-19,5.095
2021-03-22,4.888
2021-03-23,5.03
2021-03-24,5.12
2021-03-25,4.981
2021-03-26,4.886
2021-03-29,5.074
2021-03-30,4.961
2021-03-31,4.94
2021-04-01,4.733
2021-04-05,4.791
2021-04-06,4.812
2021-04-07,4.716
2021-04-08,4.695
2021-04-09,4.669
2021-04-12,4.691
2021-04-13,4.665
2021-04-14,4.699
2021-04-15,4.657
2021-04-16,4.625
2021-04-19,4.729
2021-04-20,4.868
2021-04-21,4.75
2021-04-22,4.871
2021-04-23,4.733
2021-04-26,4.764
2021-04-27,4.756
2021-04-28,4.728
2021-04-29,4.761
2021-04-30,4.861
2021-05-03,4.831
2021-05-04,4.948
2021-05-05,4.915
2021-05-06,4.839
2021-05-07,4.669
2021-05-10,4.966
2021-05-11,5.184
2021-05-12,5.759
2021-05-13,5.313
2021-05-14,4.881
2021-05-17,4.972
2021-05-18,5.134
2021-05-19,5.218
2021-05-20,5.067
2021-05-21,5.015
2021-05-24,4.84
2021-05-25,4.884
2021-05-26,4.736
2021-05-27,4.674
2021-05-28,4.676
2021-06-01,4.79
2021-06-02,4.748
2021-06-03,4.804
2021-06-04,4.642
2021-06-07,4.642
2021-06-08,4.707
2021-06-09,4.789
2021-06-10,4.61
2021-06-11,4.565
2021-06-14,4.639
2021-06-15,4.702
2021-06-16,4.815
2021-06-17,4.775
2021-06-18,5.07
2021-06-21,4.789
2021-06-22,4.666
2021-06-23,4.632
2021-06-24,4.597
2021-06-25,4.562
2021-06-28,4.576
2021-06-29,4.602
2021-06-30,4.583
2021-07-01,4.548
2021-07-02,4.507
2021-07-06,4.644
2021-07-07,4.62
2021-07-08,4.9
2021-07-09,4.618
2021-07-12,4.617
2021-07-13,4.712
2021-07-14,4.633
2021-07-15,4.701
2021-07-16,4.845
2021-07-19,5.25
2021-07-20,4.973
2021-07-21,4.791
2021-07-22,4.769
2021-07-23,4.72
2021-07-26,4.758
2021-07-27,4.936
2021-07-28,4.831
2021-07-29,4.77
2021-07-30,4.824
2021-08-02,4.946
2021-08-03,4.804
2021-08-04,4.797
2021-08-05,4.728
2021-08-06,4.615
2021-08-09,4.672
2021-08-10,4.679
2021-08-11,4.617
2021-08-12,4.559
2021-08-13,4.545
2021-08-16,4.612
2021-08-17,4.791
2021-08-18,5.157
2021-08-19,5.167
2021-08-20,4.856
2021-08-23,4.715
2021-08-24,4.722
2021-08-25,4.679
2021-08-26,4.884
2021-08-27,4.639
2021-08-30,4.619
2021-08-31,4.648
2021-09-01,4.611
2021-09-02,4.641
2021-09-03,4.641
2021-09-07,4.814
2021-09-08,4.796
2021-09-09,4.88
2021-09-10,5.095
2021-09-13,4.937
2021-09-14,4.946
2021-09-15,4.818
2021-09-16,4.869
2021-09-17,5.081
2021-09-20,5.571
2021-09-21,5.436
2021-09-22,5.087
2021-09-23,4.863
2021-09-24,4.775
2021-09-27,4.876
2021-09-28,5.325
2021-09-29,5.256
2021-09-30,5.314
2021-10-01,5.11
2021-10-04,5.296
2021-10-05,5.13
2021-10-06,5.1
2021-10-07,4.954
2021-10-08,4.877
2021-10-11,5.0
2021-10-12,4.985
2021-10-13,4.864
2021-10-14,4.686
2021-10-15,4.63
2021-10-18,4.631
2021-10-19,4.57
2021-10-20,4.549
2021-10-21,4.501
2021-10-22,4.543
2021-10-25,4.524
2021-10-26,4.598
2021-10-27,4.698
2021-10-28,4.653
2021-10-29,4.626
2021-11-01,4.641
2021-11-02,4.603
2021-11-03,4.51
2021-11-04,4.544
2021-11-05,4.648
2021-11-08,4.722
2021-11-09,4.778
2021-11-10,4.873
2021-11-11,4.766
2021-11-12,4.629
2021-11-15,4.649
2021-11-16,4.637
2021-11-17,4.711
2021-11-18,4.759
2021-11-19,4.791
2021-11-22,4.917
2021-11-23,4.938
2021-11-24,4.858
2021-11-26,5.862
2021-11-29,5.296
2021-11-30,5.719
2021-12-01,6.112
2021-12-02,5.795
2021-12-03,6.067
2021-12-06,5.718
2021-12-07,5.189
2021-12-08,4.99
2021-12-09,5.158
2021-12-10,4.869
2021-12-13,5.031
2021-12-14,5.189
2021-12-15,4.929
2021-12-16,5.057
2021-12-17,5.157
2021-12-20,5.287
2021-12-21,5.101
2021-12-22,4.863
2021-12-23,4.796
2021-12-27,4.768
2021-12-28,4.754
2021-12-29,4.695
2021-12-30,4.733
2021-12-31,4.722
2022-01-03,4.66
2022-01-04,4.691
2022-01-05,4.973
2022-01-06,4.961
2022-01-07,4.876
2022-01-10,4.94
2022-01-11,4.841
2022-01-12,4.762
2022-01-13,5.031
2022-01-14,4.919
2022-01-18,5.279
2022-01-19,5.385
2022-01-20,5.559
2022-01-21,5.885
2022-01-24,5.99
2022-01-25,6.116
2022-01-26,6.196
2022-01-27,6.049
2022-01-28,5.766
2022-01-31,5.483
2022-02-01,5.196
2022-02-02,5.209
2022-02-03,5.435
2022-02-04,5.322
2022-02-07,5.286
2022-02-08,5.144
2022-02-09,4.996
2022-02-10,5.391
2022-02-11,5.736
2022-02-14,5.833
2022-02-15,5.57
2022-02-16,5.429
2022-02-17,5.811
2022-02-18,5.775
2022-02-22,5.881
2022-02-23,6.102
2022-02-24,6.032
2022-02-25,5.759
2022-02-28,6.015
2022-03-01,6.332
2022-03-02,6.074
2022-03-03,6.048
2022-03-04,6.198
2022-03-07,6.645
2022-03-08,6.513
2022-03-09,6.245
2022-03-10,6.023
2022-03-11,6.075
2022-03-14,6.177
2022-03-15,5.983
2022-03-16,5.667
2022-03-17,5.567
2022-03-18,5.387
2022-03-21,5.353
2022-03-22,5.294
2022-03-23,5.357
2022-03-24,5.167
2022-03-25,5.081
2022-03-28,4.963
2022-03-29,4.89
2022-03-30,4.933
2022-03-31,5.056
2022-04-01,4.963
2022-04-04,4.857
2022-04-05,5.103
2022-04-06,5.21
2022-04-07,5.155
2022-04-08,5.116
2022-04-11,5.437
2022-04-12,5.426
2022-04-13,5.182
2022-04-14,5.27
2022-04-18,5.217
2022-04-19,5.137
2022-04-20,5.032
2022-04-21,5.268
2022-04-22,5.821
2022-04-25,5.702
2022-04-26,6.352
2022-04-27,6.16
2022-04-28,5.999
2022-04-29,6.34
2022-05-02,6.234
2022-05-03,5.925
2022-05-04,5.542
2022-05-05,6.12
2022-05-06,6.019
2022-05-09,6.475
2022-05-10,6.299
2022-05-11,6.256
2022-05-12,6.177
2022-05-13,5.887
2022-05-16,5.747
2022-05-17,5.61
2022-05-18,6.096
2022-05-19,5.935
2022-05-20,5.943
2022-05-23,5.848
2022-05-24,5.945
2022-05-25,5.837
2022-05-26,5.75
2022-05-27,5.572
2022-05-31,5.619
2022-06-01,5.569
2022-06-02,5.472
2022-06-03,5.479
2022-06-06,5.507
2022-06-07,5.402
2022-06-08,5.396
2022-06-09,5.609
2022-06-10,5.775
2022-06-13,6.402
2022-06-14,6.269
2022-06-15,5.962
2022-06-16,6.295
2022-06-17,6.113
2022-06-21,6.019
2022-06-22,5.895
2022-06-23,5.905
2022-06-24,5.723
2022-06-27,5.695
2022-06-28,5.836
2022-06-29,5.816
2022-06-30,5.871
2022-07-01,5.67
2022-07-05,5.754
2022-07-06,5.673
2022-07-07,5.608
2022-07-08,5.464
2022-07-11,5.617
2022-07-12,5.729
2022-07-13,5.682
2022-07-14,5.64
2022-07-15,5.423
2022-07-18,5.53
2022-07-19,5.45
2022-07-20,5.388
2022-07-21,5.311
2022-07-22,5.303
2022-07-25,5.336
2022-07-26,5.469
2022-07-27,5.324
2022-07-28,5.233
2022-07-29,5.133
2022-08-01,5.284
2022-08-02,5.393
2022-08-03,5.195
2022-08-04,5.144
2022-08-05,5.115
2022-08-08,5.129
2022-08-09,5.177
2022-08-10,4.974
2022-08-11,5.02
2022-08-12,4.953
2022-08-15,4.995
2022-08-16,4.969
2022-08-17,4.99
2022-08-18,4.956
2022-08-19,5.06
2022-08-22,5.38
2022-08-23,5.411
2022-08-24,5.282
2022-08-25,5.178
2022-08-26,5.556
2022-08-29,5.621
2022-08-30,5.621
2022-08-31,5.587
2022-09-01,5.556
2022-09-02,5.547
2022-09-06,5.691
2022-09-07,5.464
2022-09-08,5.361
2022-09-09,5.279
2022-09-12,5.387
2022-09-13,5.727
2022-09-14,5.616
2022-09-15,5.627
2022-09-16,5.63
2022-09-19,5.576
2022-09-20,5.716
2022-09-21,5.799
2022-09-22,5.735
2022-09-23,5.992
2022-09-26,6.226
2022-09-27,6.26
2022-09-28,6.018
2022-09-29,6.184
2022-09-30,6.162
2022-10-03,6.01
2022-10-04,5.907
2022-10-05,5.855
2022-10-06,6.052
2022-10-07,6.136
2022-10-10,6.245
2022-10-11,6.363
2022-10-12,6.357
2022-10-13,6.194
2022-10-14,6.202
2022-10-17,6.137
2022-10-18,6.05
2022-10-19,6.076
2022-10-20,5.998
2022-10-21,5.969
2022-10-24,5.985
2022-10-25,5.846
2022-10-26,5.728
2022-10-27,5.739
2022-10-28,5.575
2022-10-31,5.588
2022-11-01,5.581
2022-11-02,5.586
2022-11-03,5.53
2022-11-04,5.455
2022-11-07,5.435
2022-11-08,5.554
2022-11-09,5.609
2022-11-10,5.353
2022-11-11,5.252
2022-11-14,5.373
2022-11-15,5.454
2022-11-16,5.411
2022-11-17,5.393
2022-11-18,5.312
2022-11-21,5.236
2022-11-22,5.129
2022-11-23,5.035
2022-11-25,5.05
2022-11-28,5.221
2022-11-29,5.189
2022-11-30,5.058
2022-12-01,4.984
2022-12-02,4.906
2022-12-05,5.075
2022-12-06,5.217
2022-12-07,5.268
2022-12-08,5.229
2022-12-09,5.283
2022-12-12,5.5
2022-12-13,5.255
2022-12-14,5.114
2022-12-15,5.283
2022-12-16,5.262
2022-12-19,5.242
2022-12-20,5.148
2022-12-21,5.007
2022-12-22,5.197
2022-12-23,5.087
2022-12-27,5.165
2022-12-28,5.214
2022-12-29,5.144
2022-12-30,5.167
2023-01-03,5.29
2023-01-04,5.201
2023-01-05,5.246
2023-01-06,5.113
2023-01-09,5.197
2023-01-10,5.058
2023-01-11,5.109
2023-01-12,4.883
2023-01-13,4.835
2023-01-17,4.936
2023-01-18,5.034
2023-01-19,5.052
2023-01-20,4.985
2023-01-23,4.981
2023-01-24,4.92
2023-01-25,4.908
2023-01-26,4.873
2023-01-27,4.851
2023-01-30,4.994
2023-01-31,4.94
2023-02-01,4.787
2023-02-02,4.873
2023-02-03,4.833
2023-02-06,4.943
2023-02-07,4.866
2023-02-08,4.963
2023-02-09,5.071
2023-02-10,5.053
2023-02-13,5.034
2023-02-14,4.891
2023-02-15,4.823
2023-02-16,5.017
2023-02-17,5.002
2023-02-21,5.287
2023-02-22,5.229
2023-02-23,5.114
2023-02-24,5.167
2023-02-27,5.095
2023-02-28,5.07
2023-03-01,5.058
2023-03-02,4.959
2023-03-03,4.849
2023-03-06,4.861
2023-03-07,4.959
2023-03-08,4.911
2023-03-09,5.261
2023-03-10,5.48
2023-03-13,5.652
2023-03-14,5.373
2023-03-15,5.614
2023-03-16,5.299
2023-03-17,5.551
2023-03-20,5.415
2023-03-21,5.138
2023-03-22,5.226
2023-03-23,5.261
2023-03-24,5.174
2023-03-27,5.06
