date,value
2021-01-04,105.394
2021-01-05,105.068
2021-01-06,105.014
2021-01-07,104.474
2021-01-08,104.312
2021-01-11,104.816
2021-01-12,104.666
2021-01-13,104.442
2021-01-14,104.65
2021-01-15,104.868
2021-01-19,104.648
2021-01-20,104.316
2021-01-21,104.264
2021-01-22,104.382
2021-01-25,104.638
2021-01-26,104.604
2021-01-27,107.442
2021-01-28,106.042
2021-01-29,106.618
2021-02-01,106.048
2021-02-02,105.112
2021-02-03,104.582
2021-02-04,104.354
2021-02-05,104.174
2021-02-08,104.248
2021-02-09,104.326
2021-02-10,104.398
2021-02-11,104.25
2021-02-12,103.994
2021-02-16,104.292
2021-02-17,104.3
2021-02-18,104.498
2021-02-19,104.41
2021-02-22,104.69
2021-02-23,104.622
2021-02-24,104.268
2021-02-25,105.778
2021-02-26,105.59
2021-03-01,104.67
2021-03-02,104.82
2021-03-03,105.334
2021-03-04,105.714
2021-03-05,104.932
2021-03-08,105.094
2021-03-09,104.806
2021-03-10,104.512
2021-03-11,104.382
2021-03-12,104.138
2021-03-15,104.006
2021-03-16,103.958
2021-03-17,103.846
2021-03-18,104.316
2021-03-19,104.19
2021-03-22,103.776
2021-03-23,104.06
2021-03-24,104.24
2021-03-25,103.962
2021-03-26,103.772
2021-03-29,104.148
2021-03-30,103.922
2021-03-31,103.88
2021-04-01,103.466
2021-04-05,103.582
2021-04-06,103.624
2021-04-07,103.432
2021-04-08,103.39
2021-04-09,103.338
2021-04-12,103.382
2021-04-13,103.33
2021-04-14,103.398
2021-04-15,103.314
2021-04-16,103.25
2021-04-19,103.458
2021-04-20,103.736
2021-04-21,103.5
2021-04-22,103.742
2021-04-23,103.466
2021-04-26,103.528
2021-04-27,103.512
2021-04-28,103.456
2021-04-29,103.522
2021-04-30,103.722
2021-05-03,103.662
2021-05-04,103.896
2021-05-05,103.83
2021-05-06,103.678
2021-05-07,103.338
2021-05-10,103.932
2021-05-11,104.368
2021-05-12,105.518
2021-05-13,104.626
2021-05-14,103.762
2021-05-17,103.944
2021-05-18,104.268
2021-05-19,104.436
2021-05-20,104.134
2021-05-21,104.03
2021-05-24,103.68
2021-05-25,103.768
2021-05-26,103.472
2021-05-27,103.348
2021-05-28,103.352
2021-06-01,103.58
2021-06-02,103.496
2021-06-03,103.608
2021-06-04,103.284
2021-06-07,103.284
2021-06-08,103.414
2021-06-09,103.578
2021-06-10,103.22
2021-06-11,103.13
2021-06-14,103.278
2021-06-15,103.404
2021-06-16,103.63
2021-06-17,103.55
2021-06-18,104.14
2021-06-21,103.578
2021-06-22,103.332
2021-06-23,103.264
2021-06-24,103.194
2021-06-25,103.124
2021-06-28,103.152
2021-06-29,103.204
2021-06-30,103.166
2021-07-01,103.096
2021-07-02,103.014
2021-07-06,103.288
2021-07-07,103.24
2021-07-08,103.8
2021-07-09,103.236
2021-07-12,103.234
2021-07-13,103.424
2021-07-14,103.266
2021-07-15,103.402
2021-07-16,103.69
2021-07-19,104.5
2021-07-20,103.946
2021-07-21,103.582
2021-07-22,103.538
2021-07-23,103.44
2021-07-26,103.516
2021-07-27,103.872
2021-07-28,103.662
2021-07-29,103.54
2021-07-30,103.648
2021-08-02,103.892
2021-08-03,103.608
2021-08-04,103.594
2021-08-05,103.456
2021-08-06,103.23
2021-08-09,103.344
2021-08-10,103.358
2021-08-11,103.234
2021-08-12,103.118
2021-08-13,103.09
2021-08-16,103.224
2021-08-17,103.582
2021-08-18,104.314
2021-08-19,104.334
2021-08-20,103.712
2021-08-23,103.43
2021-08-24,103.444
2021-08-25,103.358
2021-08-26,103.768
2021-08-27,103.278
2021-08-30,103.238
2021-08-31,103.296
2021-09-01,103.222
2021-09-02,103.282
2021-09-03,103.282
2021-09-07,103.628
2021-09-08,103.592
2021-09-09,103.76
2021-09-10,104.19
2021-09-13,103.874
2021-09-14,103.892
2021-09-15,103.636
2021-09-16,103.738
2021-09-17,104.162
2021-09-20,105.142
2021-09-21,104.872
2021-09-22,104.174
2021-09-23,103.726
2021-09-24,103.55
2021-09-27,103.752
2021-09-28,104.65
2021-09-29,104.512
2021-09-30,104.628
2021-10-01,104.22
2021-10-04,104.592
2021-10-05,104.26
2021-10-06,104.2
2021-10-07,103.908
2021-10-08,103.754
2021-10-11,104.0
2021-10-12,103.97
2021-10-13,103.728
2021-10-14,103.372
2021-10-15,103.26
2021-10-18,103.262
2021-10-19,103.14
2021-10-20,103.098
2021-10-21,103.002
2021-10-22,103.086
2021-10-25,103.048
2021-10-26,103.196
2021-10-27,103.396
2021-10-28,103.306
2021-10-29,103.252
2021-11-01,103.282
2021-11-02,103.206
2021-11-03,103.02
2021-11-04,103.088
2021-11-05,103.296
2021-11-08,103.444
2021-11-09,103.556
2021-11-10,103.746
2021-11-11,103.532
2021-11-12,103.258
2021-11-15,103.298
2021-11-16,103.274
2021-11-17,103.422
2021-11-18,103.518
2021-11-19,103.582
2021-11-22,103.834
2021-11-23,103.876
2021-11-24,103.716
2021-11-26,105.724
2021-11-29,104.592
2021-11-30,105.438
2021-12-01,106.224
2021-12-02,105.59
2021-12-03,106.134
2021-12-06,105.436
2021-12-07,104.378
2021-12-08,103.98
2021-12-09,104.316
2021-12-10,103.738
2021-12-13,104.062
2021-12-14,104.378
2021-12-15,103.858
2021-12-16,104.114
2021-12-17,104.314
2021-12-20,104.574
2021-12-21,104.202
2021-12-22,103.726
2021-12-23,103.592
2021-12-27,103.536
2021-12-28,103.508
2021-12-29,103.39
2021-12-30,103.466
2021-12-31,103.444
2022-01-03,103.32
2022-01-04,103.382
2022-01-05,103.946
2022-01-06,103.922
2022-01-07,103.752
2022-01-10,103.88
2022-01-11,103.682
2022-01-12,103.524
2022-01-13,104.062
2022-01-14,103.838
2022-01-18,104.558
2022-01-19,104.77
2022-01-20,105.118
2022-01-21,105.77
2022-01-24,105.98
2022-01-25,106.232
2022-01-26,106.392
2022-01-27,106.098
2022-01-28,105.532
2022-01-31,104.966
2022-02-01,104.392
2022-02-02,104.418
2022-02-03,104.87
2022-02-04,104.644
2022-02-07,104.572
2022-02-08,104.288
2022-02-09,103.992
2022-02-10,104.782
2022-02-11,105.472
2022-02-14,105.666
2022-02-15,105.14
2022-02-16,104.858
2022-02-17,105.622
2022-02-18,105.55
2022-02-22,105.762
2022-02-23,106.204
2022-02-24,106.064
2022-02-25,105.518
2022-02-28,106.03
2022-03-01,106.664
2022-03-02,106.148
2022-03-03,106.096
2022-03-04,106.396
2022-03-07,107.29
2022-03-08,107.026
2022-03-09,106.49
2022-03-10,106.046
2022-03-11,106.15
2022-03-14,106.354
2022-03-15,105.966
2022-03-16,105.334
2022-03-17,105.134
2022-03-18,104.774
2022-03-21,104.706
2022-03-22,104.588
2022-03-23,104.714
2022-03-24,104.334
2022-03-25,104.162
2022-03-28,103.926
2022-03-29,103.78
2022-03-30,103.866
2022-03-31,104.112
2022-04-01,103.926
2022-04-04,103.714
2022-04-05,104.206
2022-04-06,104.42
2022-04-07,104.31
2022-04-08,104.232
2022-04-11,104.874
2022-04-12,104.852
2022-04-13,104.364
2022-04-14,104.54
2022-04-18,104.434
2022-04-19,104.274
2022-04-20,104.064
2022-04-21,104.536
2022-04-22,105.642
2022-04-25,105.404
2022-04-26,106.704
2022-04-27,106.32
2022-04-28,105.998
2022-04-29,106.68
2022-05-02,106.468
2022-05-03,105.85
2022-05-04,105.084
2022-05-05,106.24
2022-05-06,106.038
2022-05-09,106.95
2022-05-10,106.598
2022-05-11,106.512
2022-05-12,106.354
2022-05-13,105.774
2022-05-16,105.494
2022-05-17,105.22
2022-05-18,106.192
2022-05-19,105.87
2022-05-20,105.886
2022-05-23,105.696
2022-05-24,105.89
2022-05-25,105.674
2022-05-26,105.5
2022-05-27,105.144
2022-05-31,105.238
2022-06-01,105.138
2022-06-02,104.944
2022-06-03,104.958
2022-06-06,105.014
2022-06-07,104.804
2022-06-08,104.792
2022-06-09,105.218
2022-06-10,105.55
2022-06-13,106.804
2022-06-14,106.538
2022-06-15,105.924
2022-06-16,106.59
2022-06-17,106.226
2022-06-21,106.038
2022-06-22,105.79
2022-06-23,105.81
2022-06-24,105.446
2022-06-27,105.39
2022-06-28,105.672
2022-06-29,105.632
2022-06-30,105.742
2022-07-01,105.34
2022-07-05,105.508
2022-07-06,105.346
2022-07-07,105.216
2022-07-08,104.928
2022-07-11,105.234
2022-07-12,105.458
2022-07-13,105.364
2022-07-14,105.28
2022-07-15,104.846
2022-07-18,105.06
2022-07-19,104.9
2022-07-20,104.776
2022-07-21,104.622
2022-07-22,104.606
2022-07-25,104.672
2022-07-26,104.938
2022-07-27,104.648
2022-07-28,104.466
2022-07-29,104.266
2022-08-01,104.568
2022-08-02,104.786
2022-08-03,104.39
2022-08-04,104.288
2022-08-05,104.23
2022-08-08,104.258
2022-08-09,104.354
2022-08-10,103.948
2022-08-11,104.04
2022-08-12,103.906
2022-08-15,103.99
2022-08-16,103.938
2022-08-17,103.98
2022-08-18,103.912
2022-08-19,104.12
2022-08-22,104.76
2022-08-23,104.822
2022-08-24,104.564
2022-08-25,104.356
2022-08-26,105.112
2022-08-29,105.242
