date,open,high,low,close,volume
1996-01-02,4.27944,4.37528,4.19111,4.23523,512659
1996-01-03,4.13929,4.19111,4.00674,4.00674,520805
1996-01-04,3.98473,4.09508,3.98473,4.05096,563709
1996-01-05,4.05096,4.19111,4.05096,4.19111,260671
1996-01-08,4.19111,4.19111,4.09508,4.09508,117305
1996-01-09,4.11709,4.19111,4.09508,4.09508,491481
1996-01-10,4.09508,4.30155,4.09508,4.19111,1366365
1996-01-11,4.09508,4.19111,3.98473,4.05096,1123612
1996-01-12,3.98473,4.05096,3.93321,3.93321,259586
1996-01-15,3.93321,3.96282,3.86659,3.86659,441516
1996-01-16,3.86659,3.96282,3.86659,3.9112,1479866
1996-01-17,3.96282,4.05096,3.9112,4.05096,2486177
1996-01-18,4.00674,4.05096,3.96282,4.05096,334533
1996-01-19,3.96282,4.00674,3.96282,3.96282,404044
1996-01-22,3.96282,4.00674,3.96282,4.00674,265017
1996-01-23,3.96282,4.00674,3.96282,3.96282,1321833
1996-01-24,3.96282,4.00674,3.96282,4.00674,1905637
1996-01-25,3.98473,4.00674,3.96282,3.96282,2377564
1996-01-26,3.97012,3.98473,3.96282,3.98473,678835
1996-01-29,3.98473,4.05096,3.96282,3.96282,772246
1996-01-30,4.00674,4.13929,4.00674,4.07316,452921
1996-01-31,4.05096,4.13929,4.05096,4.05096,716305
1996-02-01,4.05096,4.13929,4.05096,4.11709,267192
1996-02-02,4.05096,4.13929,4.05096,4.09508,452921
1996-02-05,4.13929,4.23523,4.09508,4.23523,633764
1996-02-06,4.13929,4.19111,4.09508,4.13929,724458
1996-02-07,4.19111,4.23523,4.13929,4.1691,237867
1996-02-08,4.23523,4.23523,4.1691,4.23523,497996
1996-02-09,4.1691,4.23523,4.1691,4.19111,286743
1996-02-12,4.23523,4.23523,4.1691,4.1691,284027
1996-02-13,4.19111,4.19111,4.11709,4.11709,1320204
1996-02-14,4.11709,4.19111,4.11709,4.1691,1012284
1996-02-15,4.19111,4.19111,4.09508,4.1691,508320
1996-02-16,4.1691,4.1691,4.09508,4.1691,126536
1996-02-20,4.1691,4.1691,4.02905,4.09508,1281104
1996-02-21,4.07316,4.13929,4.05096,4.13929,335075
1996-02-22,4.11709,4.27944,4.09508,4.27944,2405803
1996-02-23,4.19111,4.37528,4.19111,4.30155,773876
1996-02-26,4.33086,4.35297,4.27944,4.35297,728803
1996-02-27,4.27944,4.37528,4.27944,4.33086,179215
1996-02-28,4.37528,4.50783,4.33086,4.50783,948744
1996-02-29,4.4192,4.60367,4.4192,4.50783,793425
1996-03-01,4.55915,4.64759,4.46372,4.46372,671238
1996-03-04,4.46372,4.55915,4.46372,4.46372,398613
1996-03-05,4.50783,4.55915,4.46372,4.55915,823293
1996-03-06,4.46372,4.53714,4.46372,4.48552,973184
1996-03-07,4.48552,4.50783,4.33086,4.33086,897697
1996-03-08,4.37528,4.37528,4.27944,4.27944,872169
1996-03-11,4.27944,4.37528,4.23523,4.37528,567507
1996-03-12,4.37528,4.37528,4.30155,4.30155,710877
1996-03-13,4.30155,4.46372,4.30155,4.44111,834157
1996-03-14,4.46372,4.46372,4.4192,4.4192,1263726
1996-03-15,4.46372,4.53714,4.44111,4.48552,2429157
1996-03-18,4.48552,4.48552,4.44111,4.48552,2284156
1996-03-19,4.46372,4.46372,4.37528,4.37528,724458
1996-03-20,4.37528,4.4192,4.33086,4.33086,2914118
1996-03-21,4.4192,4.50783,4.35297,4.4192,604439
1996-03-22,4.4192,4.46372,4.37528,4.46372,539812
1996-03-25,4.4192,4.46372,4.4192,4.4192,609869
1996-03-26,4.46372,4.55915,4.27944,4.27944,1905095
1996-03-27,4.27944,4.37528,4.27944,4.33086,1266984
1996-03-28,4.33086,4.4192,4.27944,4.37528,1851330
1996-03-29,4.37528,4.60367,4.37528,4.58136,1175208
1996-04-01,4.55915,4.60367,4.23523,4.4192,1646050
1996-04-02,4.4192,4.4192,4.37528,4.4192,232434
1996-04-03,4.37528,4.46372,4.33086,4.44111,281849
1996-04-04,4.37528,4.46372,4.37528,4.37528,380149
1996-04-08,4.27944,4.33086,4.19111,4.19111,1142079
1996-04-09,4.19111,4.27944,4.09508,4.09508,1461400
1996-04-10,4.19111,4.19111,4.09508,4.13929,446404
1996-04-11,4.1691,4.33086,4.13929,4.25734,660920
1996-04-12,4.25734,4.33086,4.25734,4.33086,1423935
1996-04-15,4.29415,4.33086,4.25734,4.27944,705996
1996-04-16,4.33086,4.37528,4.27944,4.37528,291082
1996-04-17,4.37528,4.4192,4.27944,4.33086,179215
1996-04-18,4.33086,4.55915,4.33086,4.50783,515913
1996-04-19,4.46372,4.55915,4.4192,4.4192,2630632
1996-04-22,4.50783,4.50783,4.4192,4.46372,281849
1996-04-23,4.4192,4.46372,4.27944,4.37528,374174
1996-04-24,4.27944,4.33086,4.19111,4.27944,1725334
1996-04-25,4.23523,4.27944,4.23523,4.27944,2361268
1996-04-26,4.23523,4.27944,4.23523,4.23523,431197
1996-04-29,4.23523,4.27944,4.23523,4.27944,464872
1996-04-30,4.23523,4.27944,4.19111,4.19111,270449
1996-05-01,4.21312,4.23523,4.19111,4.23523,532751
1996-05-02,4.19111,4.37528,4.19111,4.27944,561533
1996-05-03,4.27944,4.48552,4.27944,4.48552,1188781
1996-05-06,4.44111,4.48552,4.35297,4.37528,410561
1996-05-07,4.35297,4.4192,4.33086,4.33086,728803
1996-05-08,4.33086,4.3971,4.33086,4.33086,392641
1996-05-09,4.33086,4.37528,4.33086,4.37528,282395
1996-05-10,4.37528,4.46372,4.33086,4.46372,2320540
1996-05-13,4.4192,4.48552,4.4192,4.48552,651684
1996-05-14,4.48552,4.58136,4.4192,4.55915,1356044
1996-05-15,4.55915,4.64759,4.50783,4.55915,1165972
1996-05-16,4.55915,4.64759,4.53714,4.62567,340509
1996-05-17,4.62567,4.62567,4.55915,4.55915,464322
1996-05-20,4.55915,4.60367,4.55915,4.58136,552296
1996-05-21,4.55915,4.85406,4.55915,4.78734,4542244
1996-05-22,5.01613,5.45809,4.99382,5.31784,4441232
1996-05-23,5.27343,5.38427,5.22241,5.27343,2033802
1996-05-24,5.29594,5.36196,5.22241,5.29594,476274
1996-05-28,5.34005,5.34005,5.11156,5.11156,1080169
1996-05-29,5.2,5.2,5.06765,5.11156,465958
1996-05-30,5.15598,5.29594,5.06765,5.24402,702734
1996-05-31,5.27343,5.27343,5.06765,5.11156,1099719
1996-06-03,5.06765,5.11156,4.97181,4.97181,558276
1996-06-04,5.06765,5.06765,4.97181,5.06765,346482
1996-06-05,5.01613,5.06765,4.97181,4.99382,449116
1996-06-06,5.01613,5.15598,4.97181,5.01613,4781738
