date,open,high,low,close,volume
1996-01-02,347.857,353.066,345.92,352.083,202080
1996-01-03,358.227,358.739,353.066,354.531,194451
1996-01-04,354.04,355.819,351.11,354.845,254121
1996-01-05,355.819,355.819,351.602,354.531,319397
1996-01-08,353.539,355.819,352.565,353.066,55848
1996-01-09,354.845,354.845,349.321,351.916,237719
1996-01-10,348.348,348.85,340.258,340.258,240456
1996-01-11,343.659,344.937,339.275,343.659,234125
1996-01-12,343.659,346.391,340.258,346.391,179867
1996-01-15,346.913,352.083,346.391,350.137,151069
1996-01-16,353.066,353.066,347.384,351.11,164451
1996-01-17,351.602,355.308,349.656,351.602,174610
1996-01-18,353.066,356.261,351.602,355.819,227256
1996-01-19,355.308,357.293,352.083,355.308,299482
1996-01-22,355.819,355.819,348.348,349.656,108367
1996-01-23,349.321,349.321,344.151,345.458,147109
1996-01-24,345.92,346.391,342.223,344.937,225148
1996-01-25,344.937,347.857,334.576,337.053,326613
1996-01-26,337.053,342.223,334.576,341.713,279173
1996-01-29,341.713,346.913,341.221,346.391,139456
1996-01-30,347.384,351.602,344.151,350.649,202414
1996-01-31,355.819,369.129,353.539,365.217,334451
1996-02-01,362.464,363.418,357.293,361.471,214286
1996-02-02,361.471,363.418,357.736,360.518,228840
1996-02-05,359.712,361.471,355.819,361.471,151094
1996-02-06,360.518,376.531,360.518,374.752,268810
1996-02-07,376.531,378.978,368.618,371.823,304483
1996-02-08,372.834,388.848,372.834,387.404,236577
1996-02-09,387.404,387.905,381.249,385.112,216840
1996-02-12,387.905,389.85,381.74,384.169,192696
1996-02-13,383.668,388.387,382.193,383.668,212230
1996-02-14,384.169,386.44,379.951,380.767,173170
1996-02-15,378.978,382.193,378.006,379.46,147242
1996-02-16,378.978,378.978,372.343,373.287,312841
1996-02-20,370.908,371.35,365.689,367.616,208196
1996-02-21,367.172,367.172,360.518,362.464,298156
1996-02-22,367.616,371.823,365.689,366.199,316302
1996-02-23,369.571,377.013,367.172,377.013,270556
1996-02-26,374.752,376.531,368.618,370.082,165835
1996-02-27,370.082,370.908,364.883,369.571,180596
1996-02-28,373.287,377.553,370.082,371.823,195328
1996-02-29,370.908,373.808,364.391,365.217,154380
1996-03-01,368.618,371.35,361.982,371.35,177604
1996-03-04,371.35,377.553,370.397,374.752,151224
1996-03-05,373.287,373.287,370.082,372.343,155052
1996-03-06,372.186,373.13,369.424,370.397,251312
1996-03-07,370.397,371.183,366.995,371.183,180648
1996-03-08,363.271,364.244,354.688,359.093,385434
1996-03-11,355.151,359.849,349.469,351.455,279978
1996-03-12,348.171,349.007,341.064,346.244,292066
1996-03-13,347.257,349.469,345.291,347.719,298702
1996-03-14,348.171,351.916,346.726,346.726,271465
1996-03-15,349.007,352.408,345.772,347.719,515850
1996-03-18,352.408,355.151,349.469,354.688,216998
1996-03-19,355.661,358.09,353.863,354.688,173489
1996-03-20,355.661,362.297,353.863,361.805,214395
1996-03-21,362.297,364.696,361.304,362.297,178017
1996-03-22,364.244,364.244,358.562,361.304,111490
1996-03-25,365.04,367.477,363.271,366.513,214105
1996-03-26,365.56,367.477,364.244,366.032,119486
1996-03-27,366.032,366.032,358.562,359.849,174610
1996-03-28,357.607,359.093,356.133,359.093,125940
1996-03-29,360.331,360.331,351.916,353.352,179970
1996-04-01,357.096,357.607,351.916,353.863,355695
1996-04-02,355.151,358.09,353.863,355.151,142715
1996-04-03,354.688,354.688,350.462,353.863,139326
1996-04-04,354.688,354.688,351.455,353.352,151172
1996-04-08,347.257,348.171,343.512,346.244,293157
1996-04-09,346.244,346.726,340.593,342.519,219911
1996-04-10,340.101,342.519,337.82,337.82,373425
1996-04-11,339.6,339.6,334.9,337.82,299302
1996-04-12,336.876,350.462,335.893,349.469,327289
1996-04-15,350.462,353.352,348.703,350.923,158931
1996-04-16,353.863,353.863,347.719,348.171,115214
1996-04-17,347.719,349.007,344.308,346.244,186116
1996-04-18,346.726,347.719,341.536,343.001,149065
1996-04-19,342.519,351.916,341.064,348.703,271886
1996-04-22,350.923,354.688,350.462,352.89,121723
1996-04-23,351.916,355.661,350.923,354.688,111724
1996-04-24,355.151,355.661,347.257,348.703,129535
1996-04-25,347.257,347.257,339.6,342.056,545457
1996-04-26,341.536,345.291,336.355,342.519,609092
1996-04-29,338.312,343.512,338.312,343.512,323671
1996-04-30,343.836,347.257,341.536,344.769,200775
1996-05-01,343.512,349.469,342.519,348.171,185960
1996-05-02,346.244,346.244,335.382,336.876,457111
1996-05-03,338.665,341.536,332.649,332.649,591492
1996-05-06,333.917,335.893,332.649,334.439,212540
1996-05-07,335.382,337.82,333.121,336.876,240691
1996-05-08,335.382,343.001,334.9,342.056,323957
1996-05-09,341.536,343.512,340.593,342.056,185725
1996-05-10,346.244,349.007,343.001,347.719,243241
1996-05-13,349.469,351.916,344.769,351.916,123832
1996-05-14,353.352,355.151,350.462,350.923,157084
1996-05-15,350.923,352.408,346.244,348.171,207020
1996-05-16,346.244,347.719,343.512,343.836,152527
1996-05-17,344.769,346.244,343.001,343.512,267455
1996-05-20,343.512,349.98,342.519,347.719,152736
1996-05-21,349.469,351.916,347.257,350.923,124612
1996-05-22,350.923,356.595,349.007,353.352,190488
1996-05-23,353.352,354.688,351.916,354.355,151122
1996-05-24,354.355,359.515,353.352,358.09,196763
1996-05-28,357.607,357.607,353.352,354.688,134247
1996-05-29,356.133,357.096,349.469,353.352,137243
1996-05-30,350.923,359.093,349.98,359.093,306488
1996-05-31,357.607,358.562,353.863,355.661,177313
1996-06-03,354.688,360.832,354.355,357.607,206214
1996-06-04,360.832,364.244,359.849,363.742,215925
1996-06-05,361.648,365.846,357.913,365.393,188718
1996-06-06,365.846,366.819,363.585,365.04,181560
1996-06-07,358.916,360.675,356.437,359.712,176562
1996-06-10,359.712,360.173,356.929,357.913,99148
1996-06-11,357.913,360.173,355.986,357.45,155285
1996-06-12,356.437,357.45,352.251,352.251,149402
1996-06-13,352.723,355.003,351.278,351.278,181739
1996-06-14,348.85,352.251,348.034,350.314,158100
1996-06-17,349.803,351.278,348.034,348.525,134330
1996-06-18,346.568,349.321,345.104,347.541,201790
1996-06-19,348.525,358.916,348.525,358.394,272585
1996-06-20,359.378,359.378,355.003,355.986,293859
1996-06-21,357.913,361.147,356.437,360.173,407067
1996-06-24,363.585,366.346,361.147,361.648,236030
1996-06-25,362.631,366.671,362.631,365.04,160807
1996-06-26,365.04,366.346,364.538,364.538,156535
1996-06-27,364.538,368.775,363.104,368.775,144141
