date,open,high,low,close,volume
1996-01-02,4.02599,4.18787,3.98549,4.18787,39580035
1996-01-03,3.97715,4.00137,3.66963,3.79907,138459522
1996-01-04,3.86379,3.86379,3.57216,3.85585,82582114
1996-01-05,3.77485,3.87183,3.73436,3.77485,72536245
1996-01-08,3.79907,3.83947,3.7424,3.78269,16005041
1996-01-09,3.66963,3.66963,3.3941,3.40214,162670532
1996-01-10,3.26476,3.60472,3.26476,3.45891,93866424
1996-01-11,3.63728,3.69425,3.53177,3.64541,68440665
1996-01-12,3.68582,3.71808,3.54794,3.57216,32982872
1996-01-15,3.57216,3.5805,3.16729,3.17523,67977482
1996-01-16,3.33721,3.33721,3.03784,3.28034,66770638
1996-01-17,3.19131,3.55628,3.17523,3.32957,72971779
1996-01-18,3.45891,3.46705,3.3133,3.37831,35569392
1996-01-19,3.40214,3.48293,3.37831,3.4346,34118612
1996-01-22,3.44234,3.55628,3.41832,3.55628,46729275
1996-01-23,3.55628,3.70994,3.50745,3.69425,50006132
1996-01-24,3.7424,3.95293,3.73436,3.92037,55031036
1996-01-25,3.97715,3.98549,3.78269,3.80741,56606259
1996-01-26,3.78269,3.87183,3.69425,3.73436,30157347
1996-01-29,3.78269,3.79907,3.5805,3.64541,25535381
1996-01-30,3.66149,3.80741,3.60472,3.78269,41676715
1996-01-31,3.80741,3.80741,3.66963,3.7424,38815636
1996-02-01,3.7424,4.05061,3.73436,4.04187,73608779
1996-02-02,4.06639,4.13954,4.00971,4.0909,61214405
1996-02-05,4.13954,4.39027,4.07452,4.35811,77461401
1996-02-06,4.39027,4.52823,4.36595,4.47156,75284734
1996-02-07,4.44714,4.49568,3.9446,4.04187,122502868
1996-02-08,4.00137,4.13954,3.84781,4.11482,89146685
1996-02-09,4.16336,4.20445,3.95293,3.98549,49421469
1996-02-12,3.98549,4.12296,3.97715,4.05061,39602754
1996-02-13,3.77485,4.05061,3.7424,3.8882,86892000
1996-02-14,4.09874,4.16336,3.93695,3.95293,154976141
1996-02-15,3.95293,4.00971,3.89625,4.00971,46921857
1996-02-16,4.02599,4.07452,3.96117,4.03383,42991206
1996-02-20,3.96117,4.12296,3.91253,4.00137,40161736
1996-02-21,4.05061,4.11482,4.02599,4.07452,47882787
1996-02-22,4.13954,4.31781,4.12296,4.30123,65161837
1996-02-23,4.34173,4.36595,4.18013,4.25279,40562699
1996-02-26,4.25279,4.25279,4.12296,4.20445,25998567
1996-02-27,4.09874,4.11482,3.87183,3.87183,88007984
1996-02-28,3.89625,4.00137,3.87183,3.89625,78418390
1996-02-29,3.71808,3.71808,3.59668,3.621,96335425
1996-03-01,3.621,3.63728,3.3941,3.51559,92707975
1996-03-04,3.57216,3.621,3.4346,3.4346,44880485
1996-03-05,3.44234,3.53177,3.4346,3.48293,40596281
1996-03-06,3.48293,3.49137,3.28034,3.28878,46581133
1996-03-07,3.3133,3.3941,3.26476,3.3133,45073069
1996-03-08,3.11042,3.44234,3.10248,3.41832,64298675
1996-03-11,3.48293,3.53177,3.4346,3.44234,68888050
1996-03-12,3.41832,3.44234,3.24044,3.30476,39164257
1996-03-13,3.35349,3.45891,3.30476,3.40214,38153941
1996-03-14,3.37831,3.3941,3.22387,3.24044,55088321
1996-03-15,3.28878,3.5805,3.24044,3.50745,69077669
1996-03-18,3.59668,3.79907,3.5805,3.77485,55503112
1996-03-19,3.80741,3.87183,3.66149,3.68582,46205845
1996-03-20,3.68582,3.68582,3.49137,3.63728,37136713
1996-03-21,3.621,3.7424,3.55628,3.67768,29433438
1996-03-22,3.69425,3.70994,3.59668,3.69425,23236249
1996-03-25,3.68582,3.73436,3.53177,3.54794,32248099
1996-03-26,3.51559,3.63728,3.46705,3.57216,33156688
1996-03-27,3.5805,3.71808,3.57216,3.68582,24530995
1996-03-28,3.621,3.63728,3.53177,3.53177,24207059
1996-03-29,3.55628,3.59668,3.51559,3.53177,18304182
1996-04-01,3.54794,3.621,3.53177,3.60472,11738611
1996-04-02,3.60472,3.60472,3.47519,3.51559,22431356
1996-04-03,3.49137,3.66149,3.49137,3.63728,27707113
1996-04-04,3.64541,3.66963,3.57216,3.5805,23033788
1996-04-08,3.50745,3.78269,3.4346,3.73436,51851951
1996-04-09,3.78269,3.83947,3.70994,3.77485,29904525
1996-04-10,3.68582,3.83947,3.66963,3.73436,50390308
1996-04-11,3.621,3.66149,3.50745,3.60472,42574441
1996-04-12,3.59668,3.63728,3.50745,3.57216,28851742
1996-04-15,3.57216,3.64541,3.54794,3.62884,17324473
1996-04-16,3.75867,3.82349,3.69425,3.75867,41940403
1996-04-17,3.73436,3.80741,3.60472,3.70994,36615263
1996-04-18,3.71808,3.83947,3.70994,3.77485,35164475
1996-04-19,3.78269,3.80741,3.7424,3.77485,16533406
1996-04-22,3.80741,3.80741,3.71808,3.77485,14471299
1996-04-23,3.75867,3.93695,3.71808,3.93695,36761430
1996-04-24,4.05061,4.27692,3.95293,4.27692,94022467
1996-04-25,4.26858,4.30123,4.06639,4.18787,55793465
1996-04-26,4.18787,4.20445,4.07452,4.09874,27390093
1996-04-29,4.11482,4.18787,4.0909,4.09874,22631833
1996-04-30,4.09874,4.13954,4.02599,4.05061,26484465
1996-05-01,4.02599,4.0909,3.97715,3.98549,32893001
1996-05-02,4.11482,4.18787,4.02599,4.05061,64322378
1996-05-03,4.10668,4.11482,3.97715,4.00137,34974858
1996-05-06,4.00971,4.04187,3.92037,3.95293,24026329
1996-05-07,3.97715,3.98549,3.87183,3.87183,28745081
1996-05-08,3.86379,4.00137,3.79907,3.98549,43747711
1996-05-09,3.98549,3.98549,3.84781,3.89625,25422792
1996-05-10,3.93695,3.98549,3.80741,3.82349,24884554
1996-05-13,3.87183,4.06639,3.82349,4.04187,32697454
1996-05-14,4.0909,4.12296,3.97715,4.05815,50713250
1996-05-15,3.87183,4.00137,3.80741,3.80741,85773048
1996-05-16,3.73436,3.89625,3.71808,3.84781,36839447
1996-05-17,3.83947,3.8882,3.78269,3.78269,16168981
1996-05-20,3.83947,3.86379,3.69425,3.71808,24742339
1996-05-21,3.71808,3.7424,3.5805,3.59668,31226919
1996-05-22,3.5805,3.63728,3.55628,3.60472,36480949
1996-05-23,3.621,3.68582,3.5805,3.5805,34214410
1996-05-24,3.60472,3.63728,3.5805,3.59668,21938542
1996-05-28,3.621,3.63728,3.57216,3.59668,18884885
1996-05-29,3.60472,3.60472,3.50745,3.54794,17733344
1996-05-30,3.55628,3.63728,3.51559,3.621,14558210
1996-05-31,3.69425,3.82349,3.64541,3.77485,30557321
1996-06-03,3.7424,3.77485,3.621,3.64541,20643800
1996-06-04,3.66149,3.66963,3.53177,3.5805,30165251
1996-06-05,3.54794,3.54794,3.45891,3.48293,34395138
1996-06-06,3.51559,3.51559,3.30476,3.32957,48839774
1996-06-07,3.25622,3.46705,3.24044,3.46705,35629641
1996-06-10,3.37831,3.41832,3.3133,3.33721,25726975
1996-06-11,3.36958,3.40214,3.3133,3.33721,25219347
1996-06-12,3.46705,3.5805,3.41832,3.51559,41718195
1996-06-13,3.55628,3.5805,3.44234,3.57216,30686700
1996-06-14,3.55628,3.55628,3.44234,3.46705,21863484
1996-06-17,3.48293,3.48293,3.4346,3.44234,17872596
1996-06-18,3.36958,3.41832,3.21603,3.24044,45281451
1996-06-19,3.26476,3.30476,3.10248,3.14287,46892229
1996-06-20,3.17523,3.24044,3.07815,3.19131,43696357
1996-06-21,3.24044,3.25622,3.08639,3.14287,35438044
1996-06-24,3.12699,3.25622,3.08639,3.21603,24557658
1996-06-25,3.25622,3.25622,3.03784,3.08639,34141327
1996-06-26,3.05402,3.06177,2.92429,3.01314,49053094
