date,open,high,low,close,volume
2021-01-04,194.733822,194.733822,188.350762,190.868622,3088200
2021-01-05,191.104383,192.754876,188.923367,191.794891,2494000
2021-01-06,189.470739,196.653784,189.470739,196.417999,3754800
2021-01-07,195.247469,198.203208,194.919054,197.066391,2647800
2021-01-08,198.337953,201.142121,197.975859,200.830551,2511100
2021-01-11,202.102125,202.396862,197.411665,200.055847,2600500
2021-01-12,199.676868,201.074744,198.186374,199.23056,1771500
2021-01-13,198.725329,200.838975,198.076914,200.19899,1412300
2021-01-14,199.154771,205.040999,198.46425,203.499969,2594000
2021-01-15,203.095792,207.862036,202.118974,206.72522,2855200
2021-01-19,207.575716,209.680947,207.474669,209.066223,2172900
2021-01-20,208.350454,213.344067,207.255731,212.510391,2768200
2021-01-21,212.207221,212.821945,210.118836,212.232483,2215900
2021-01-22,212.426153,214.927168,210.994599,213.470352,1866600
2021-01-25,212.249324,216.510296,212.080908,216.501892,1830700
2021-01-26,216.072432,218.16083,214.615616,217.765045,2008900
2021-01-27,215.129279,218.472386,210.792509,211.415649,3237900
2021-01-28,212.611419,232.998475,205.007328,208.628326,5205600
2021-01-29,206.253597,207.550425,202.312612,203.306274,3792800
2021-02-01,205.723124,206.716786,201.748447,202.464218,2173500
2021-02-02,202.10211,203.744187,199.407418,202.51474,2444200
2021-02-03,194.994866,201.992651,194.851712,199.643219,4479200
2021-02-04,198.969524,200.300032,196.839032,199.761093,2819700
2021-02-05,200.678959,201.158958,198.211636,199.003204,2421800
2021-02-08,200.409524,201.790555,198.607448,200.055847,2258200
2021-02-09,199.811589,200.140004,197.714775,199.281067,1996500
2021-02-10,200.754762,202.354744,199.323207,200.805298,2964400
2021-02-11,202.451096,202.866794,198.506258,199.397018,1633900
2021-02-12,199.397007,201.356715,198.082069,201.237946,1460300
2021-02-16,200.219919,201.64516,197.267652,197.53064,2018100
2021-02-17,197.097986,200.075702,196.173284,199.880585,1575400
2021-02-18,199.727859,199.727859,197.072521,197.267639,1945300
2021-02-19,196.82649,197.793612,195.842409,196.555023,2471500
2021-02-22,195.40127,198.345058,195.22311,196.368393,2334800
2021-02-23,197.369444,201.90814,195.944216,197.208267,2919200
2021-02-24,195.010997,195.791481,193.178563,195.112808,2690500
2021-02-25,195.112814,195.545469,192.491392,193.01738,2769200
2021-02-26,195.384317,195.384317,189.708829,190.811691,3453500
2021-03-01,191.626088,193.365203,191.074651,192.610168,2178100
2021-03-02,192.57623,193.331265,191.117062,191.46489,2407500
2021-03-03,189.623948,191.464874,187.749082,189.980255,2610600
2021-03-04,193.271905,193.314313,186.849863,188.258133,3577000
2021-03-05,188.716206,193.551818,187.867853,193.195511,3021300
2021-03-08,193.492487,196.987699,192.321755,193.263428,3101000
2021-03-09,195.121313,197.768172,194.086321,194.264481,3057300
2021-03-10,196.359917,198.082074,194.289933,195.087387,2309800
2021-03-11,195.681205,198.480774,194.086297,196.113861,2244000
2021-03-12,195.324914,195.766048,194.009963,195.426712,1752600
2021-03-15,195.121283,200.347143,194.951615,200.177475,2911000
2021-03-16,202.009924,205.318511,200.737394,203.876312,3386300
2021-03-17,203.86784,208.610133,202.943137,207.227325,3255500
2021-03-18,204.029024,209.662091,204.029024,207.354568,3063100
2021-03-19,208.474405,209.882662,204.987672,208.644073,12589900
2021-03-22,205.606946,211.893248,205.606946,211.825378,2059800
2021-03-23,212.079899,212.088378,207.76177,207.880539,2604700
2021-03-24,207.846604,209.874168,206.845553,208.245331,2237500
2021-03-25,209.577268,210.001444,207.829661,208.907074,2707600
2021-03-26,208.669509,214.870971,208.30471,214.514664,2638900
2021-03-29,213.386329,217.687487,213.31846,216.296188,2488100
2021-03-30,214.786128,215.490263,211.095798,211.876282,1979000
2021-03-31,211.435134,212.045949,209.848717,211.078827,3571900
2021-04-01,211.859338,212.088397,209.042811,211.384262,2176900
2021-04-05,211.290901,214.319529,211.290901,213.802032,2230500
2021-04-06,213.564512,214.243185,210.595275,211.32486,2040100
2021-04-07,210.53589,212.275017,209.628158,210.493469,1583500
2021-04-08,211.324874,211.64724,208.678002,209.441528,1633600
2021-04-09,210.145697,211.324908,208.533817,211.197647,1368600
2021-04-12,210.83278,212.088339,210.213473,211.189087,1722000
2021-04-13,211.367274,212.385309,209.619668,212.045959,1766000
2021-04-14,212.071414,213.360915,211.240031,211.766006,1753800
2021-04-15,213.021551,218.026831,212.512534,216.440414,2366300
2021-04-16,217.551774,219.57086,216.050185,216.93248,2768700
2021-04-19,214.506172,217.271786,214.328012,217.15303,2345100
2021-04-20,216.19438,220.877282,216.19438,219.842316,1579300
2021-04-21,220.919716,221.420241,218.663093,219.536896,2173600
2021-04-22,218.484979,219.282433,215.193363,216.372574,3370700
2021-04-23,216.31315,218.993962,215.201809,218.052277,2426900
2021-04-26,217.729917,217.814757,215.838092,216.771286,1782700
2021-04-27,216.491314,217.628104,215.278161,216.440414,2184900
2021-04-28,204.894345,206.972808,198.311113,200.813766,7550800
2021-04-29,199.422473,200.211436,195.995118,199.117065,4053400
2021-04-30,198.743799,204.164778,198.684408,203.299454,3420900
2021-05-03,204.17324,209.56029,204.071442,208.168991,3587700
2021-05-04,209.772391,210.035378,206.039627,209.84874,3555900
2021-05-05,208.940954,212.07138,208.618588,211.536926,2765100
2021-05-06,211.477546,213.343921,209.509372,213.191223,2790800
2021-05-07,213.598422,216.949415,213.598422,215.659927,2512700
2021-05-10,217.178505,219.562376,213.83599,214.311066,4079900
2021-05-11,214.769166,217.144558,213.462694,214.039581,2307100
2021-05-12,213.284573,215.244268,211.816912,212.792526,2431900
2021-05-13,212.232618,215.558163,211.91024,213.844498,3275300
2021-05-14,216.048622,217.500961,214.562103,214.758606,2286800
2021-05-17,215.536001,217.560745,214.126381,215.6129,1922200
2021-05-18,215.356631,216.22804,213.853035,214.314362,1729400
2021-05-19,212.2042,212.80222,210.803118,212.409241,2652500
2021-05-20,211.879528,217.330084,211.794104,215.228455,2227400
2021-05-21,216.749176,217.048179,214.211848,214.442505,2177900
2021-05-24,214.058027,216.552635,211.503623,211.657394,2552000
2021-05-25,210.726183,211.657387,206.557105,206.745056,3210600
2021-05-26,206.608401,207.155165,203.609748,203.797699,3812100
2021-05-27,204.105199,204.575077,200.405999,201.029648,3701100
2021-05-28,201.798583,205.779697,201.730236,203.27655,3239300
2021-06-01,206.915949,206.984296,199.004964,199.551727,3799600
2021-06-02,200.679434,202.208672,199.816577,200.901566,2266800
2021-06-03,199.628619,202.114689,199.363782,201.397064,2010600
2021-06-04,202.251407,204.421371,201.405627,202.345383,1875700
2021-06-07,202.405134,205.523404,200.935705,202.635803,2153800
2021-06-08,204.122332,204.284655,200.978446,202.319733,1638000
2021-06-09,203.259474,206.155613,202.242832,204.626389,3047700
2021-06-10,204.669085,209.589955,204.370068,209.000473,2655900
2021-06-11,209.205552,209.735225,206.72802,207.402939,2002300
2021-06-14,207.223528,207.360222,204.429903,206.053116,2083200
2021-06-15,206.522971,206.728,204.224852,204.90831,2508800
2021-06-16,205.779708,208.889427,203.327818,204.677643,3185600
2021-06-17,204.64346,207.11244,203.618281,205.68573,2142800
2021-06-18,204.677616,205.890747,202.020685,203.908722,5560400
2021-06-21,204.728904,205.813893,203.028806,205.241501,2149000
2021-06-22,204.788718,205.677204,203.575574,204.959579,1780400
2021-06-23,204.737436,204.822873,202.413688,203.934387,1654300
2021-06-24,205.386727,207.625037,204.429881,205.848053,1943000
2021-06-25,206.437564,208.15474,205.130458,207.32605,4309900
2021-06-28,208.479333,209.743721,207.308921,207.462692,1680700
2021-06-29,207.787369,208.40248,206.796357,207.138092,1337200
2021-06-30,207.360211,208.684407,206.796358,208.240158,2325100
2021-07-01,208.231622,211.102133,208.0693,210.931259,2091600
2021-07-02,211.298628,213.49422,210.375962,212.46904,1943600
2021-07-06,211.238784,211.973498,207.744624,208.154694,2792300
2021-07-07,208.513545,208.692944,206.181246,207.787369,2381700
2021-07-08,208.65875,210.760366,207.129512,208.692917,1994300
2021-07-09,207.676315,210.102577,206.497364,209.478928,1609900
2021-07-12,208.872348,211.785565,208.060735,208.769821,2149400
2021-07-13,209.641228,210.803101,207.582317,209.162811,1618200
2021-07-14,208.641658,209.589952,206.309372,209.051727,2185200
2021-07-15,208.735657,211.503654,206.864697,210.700592,2106700
2021-07-16,211.939367,213.178126,210.623709,211.836853,3141400
2021-07-19,211.700123,213.536902,209.179886,210.785995,2529900
2021-07-20,211.247344,213.912814,209.914609,210.922699,3035200
2021-07-21,210.93978,210.982498,207.334555,209.179886,1901900
2021-07-22,208.436647,210.350325,207.710484,209.085938,1379800
2021-07-23,210.393031,212.349415,209.196977,211.63179,1747300
2021-07-26,211.631758,212.20415,209.145688,209.376358,1518500
2021-07-27,208.556267,209.829206,207.924079,209.034683,2166400
2021-07-28,208.923611,211.614709,208.043664,208.667313,1649100
2021-07-29,208.846729,209.44475,206.924512,207.138092,1498900
2021-07-30,207.274747,207.684829,205.574661,206.352081,2284100
2021-08-02,206.847573,207.155129,203.643879,204.85701,1849400
2021-08-03,205.68572,208.786901,204.532398,208.522064,2320400
2021-08-04,203.643896,204.540933,194.015736,195.049454,6952800
2021-08-05,195.425344,199.944683,194.835862,199.901978,3294100
2021-08-06,198.073782,199.269822,195.442479,196.621429,2363800
2021-08-09,196.937505,197.689297,194.118251,194.690643,2250300
2021-08-10,194.955486,194.955486,191.316094,194.750458,2860200
2021-08-11,195.758579,196.493293,194.348958,194.895721,2104900
2021-08-12,194.955469,196.048995,192.913648,194.91275,1798600
2021-08-13,195.732879,198.107883,195.433862,196.219833,1797300
2021-08-16,196.512594,199.121167,196.219886,198.931778,2434500
2021-08-17,197.717866,199.112545,197.597339,199.043671,2666500
2021-08-18,198.458261,199.1556,195.083474,195.290085,2988100
2021-08-19,194.300086,196.030522,192.242498,193.180893,2669000
2021-08-20,193.180833,194.773532,191.13185,192.440445,2811600
2021-08-23,193.000076,195.80667,192.647111,194.257019,1932600
2021-08-24,194.15373,194.291467,192.46633,193.172287,1790400
2021-08-25,193.111986,193.559666,190.417316,190.770294,2173200
2021-08-26,191.174929,191.174929,189.539195,190.666992,2844500
2021-08-27,191.312643,194.015918,189.590812,191.794754,2660900
2021-08-30,191.364332,193.972905,191.209374,192.957031,1881800
2021-08-31,193.654355,194.265598,192.276885,194.162292,2904700
2021-09-01,194.179504,194.670219,191.019945,192.285492,2699000
2021-09-02,192.535171,194.592758,192.354373,194.532501,1817800
2021-09-03,194.360308,195.591425,193.017282,194.885468,1664100
2021-09-07,191.984192,193.654371,188.988209,190.555069,3281800
2021-09-08,190.546448,191.37292,189.487526,190.150421,2140400
2021-09-09,189.831879,189.961011,185.449822,185.596176,3273600
2021-09-10,186.388239,186.810093,183.848541,184.020721,2217800
2021-09-13,186.870345,188.583572,185.157131,186.577637,2553400
2021-09-14,187.335242,187.610728,185.200162,185.992203,1999300
2021-09-15,186.620673,189.332552,185.837237,187.791519,2555600
2021-09-16,187.696839,188.239207,184.235954,187.128632,2695600
2021-09-17,187.016669,189.298103,185.845823,188.867645,5659900
2021-09-20,188.006772,189.272319,184.477012,185.191574,3293000
2021-09-21,185.708094,187.765682,184.545853,185.406769,2112100
2021-09-22,186.439867,186.439867,183.771036,183.925995,2542800
2021-09-23,182.953145,185.578939,182.77236,185.139877,2181500
2021-09-24,184.88159,185.553103,183.547168,183.900146,1908600
2021-09-27,183.590269,185.053824,183.116763,183.469742,1943000
2021-09-28,182.772347,184.890192,182.212744,182.746521,2919000
2021-09-29,182.94455,186.64649,182.38496,185.010742,1900800
2021-09-30,185.776959,186.534569,182.961775,183.073685,2491900
2021-10-01,183.882965,184.761102,181.481016,184.167068,2629400
2021-10-04,184.322021,185.647825,181.455171,182.031982,2856300
2021-10-05,181.83398,184.227324,181.722057,182.39357,2481900
2021-10-06,181.928692,182.582983,179.905535,180.775055,2928200
