date,open,high,low,close,volume
2021-01-04,123.010002,123.389999,115.57,116.849998,656800
2021-01-05,116.410004,122.540001,116.010002,122.300003,650400
2021-01-06,122.220001,123.07,118.440002,121.690002,691900
2021-01-07,121.82,125.050003,121.040001,124.57,432700
2021-01-08,124.889999,128.279999,123.599998,125.360001,452200
2021-01-11,125.18,127.870003,123.599998,124.839996,549500
2021-01-12,126.360001,135.050003,126.360001,135.0,1237800
2021-01-13,136.669998,146.059998,135.25,145.259995,1174300
2021-01-14,146.089996,152.0,145.410004,149.639999,825900
2021-01-15,161.899994,166.490005,150.0,150.770004,1683000
2021-01-19,154.830002,159.850006,154.0,159.360001,1234100
2021-01-20,162.740005,168.479996,162.410004,164.559998,1308000
2021-01-21,168.029999,168.399994,161.710007,162.539993,868000
2021-01-22,161.080002,171.729996,160.850006,170.259995,654200
2021-01-25,173.460007,177.710007,168.029999,174.539993,609600
2021-01-26,176.520004,180.690002,175.25,176.649994,849100
2021-01-27,171.720001,176.649994,168.410004,170.039993,659000
2021-01-28,166.369995,176.600006,162.570007,163.970001,732700
2021-01-29,161.600006,168.970001,160.300003,164.160004,356700
2021-02-01,167.130005,168.0,163.369995,166.149994,331200
2021-02-02,171.619995,171.949997,165.009995,166.529999,357200
2021-02-03,167.850006,169.059998,163.860001,167.550003,294300
2021-02-04,169.800003,175.570007,166.029999,175.339996,433000
2021-02-05,178.220001,178.520004,172.970001,177.179993,185600
2021-02-08,180.0,182.479996,176.520004,182.389999,388600
2021-02-09,180.240005,184.889999,180.240005,183.160004,397200
2021-02-10,185.0,190.039993,182.160004,187.979996,485500
2021-02-11,190.0,212.369995,189.639999,203.509995,2637000
2021-02-12,202.0,202.460007,194.809998,195.539993,914800
2021-02-16,198.229996,198.880005,175.919998,175.929993,1325000
2021-02-17,177.169998,180.889999,175.0,178.380005,785400
2021-02-18,176.210007,178.380005,171.130005,173.75,477400
2021-02-19,176.380005,180.990005,175.990005,177.0,459500
2021-02-22,177.149994,180.0,168.949997,170.0,495700
2021-02-23,164.809998,170.679993,156.889999,169.139999,659400
2021-02-24,170.960007,171.820007,160.029999,161.449997,815500
2021-02-25,161.899994,168.740005,158.5,159.899994,572300
2021-02-26,160.899994,169.0,160.0,165.490005,652900
2021-03-01,170.740005,174.830002,167.220001,169.649994,1052200
2021-03-02,169.990005,172.710007,163.490005,166.149994,814400
2021-03-03,164.649994,167.789993,153.940002,155.009995,634600
2021-03-04,151.830002,155.360001,138.259995,144.899994,1239800
2021-03-05,144.539993,145.0,128.009995,143.039993,911100
2021-03-08,143.080002,147.0,137.5,138.589996,490200
2021-03-09,143.479996,147.889999,143.070007,144.399994,496000
2021-03-10,147.490005,150.789993,140.429993,141.100006,651400
2021-03-11,146.509995,153.759995,146.119995,152.759995,796400
2021-03-12,150.919998,154.830002,147.360001,152.259995,370800
2021-03-15,153.259995,155.289993,150.630005,153.710007,423600
2021-03-16,156.639999,159.020004,144.710007,147.029999,411800
2021-03-17,145.199997,149.270004,142.5,148.429993,327700
2021-03-18,148.169998,148.169998,138.889999,139.960007,341300
2021-03-19,139.110001,146.070007,137.869995,144.75,857200
2021-03-22,146.779999,148.990005,144.330002,144.770004,422200
2021-03-23,144.009995,146.0,138.800003,139.619995,355800
2021-03-24,140.389999,140.5,133.050003,133.449997,496100
2021-03-25,130.0,137.089996,127.25,136.770004,471300
2021-03-26,137.509995,139.059998,131.690002,137.820007,407200
2021-03-29,137.490005,138.470001,131.820007,134.320007,414500
2021-03-30,134.169998,140.179993,133.0,139.279999,398100
2021-03-31,140.360001,143.960007,140.360001,142.419998,424900
2021-04-01,144.419998,147.509995,142.550003,143.059998,391000
2021-04-05,146.199997,147.25,144.0,146.330002,559700
2021-04-06,147.059998,148.279999,145.059998,145.600006,407500
2021-04-07,147.029999,147.759995,144.460007,147.270004,273200
2021-04-08,148.070007,152.0,147.509995,150.570007,418300
2021-04-09,149.600006,150.529999,145.350006,149.419998,447300
2021-04-12,149.160004,149.809998,145.5,149.169998,310200
2021-04-13,150.0,152.619995,148.759995,152.550003,310000
2021-04-14,153.479996,156.369995,152.089996,152.440002,392500
2021-04-15,155.0,156.059998,152.0,153.25,245600
2021-04-16,153.229996,154.839996,151.059998,152.740005,348500
2021-04-19,150.5,151.110001,145.199997,150.550003,489000
2021-04-20,150.5,154.339996,147.259995,150.789993,468100
2021-04-21,149.899994,152.960007,147.660004,149.889999,324700
2021-04-22,150.100006,156.0,150.100006,153.649994,346500
2021-04-23,154.919998,156.110001,153.779999,153.940002,392700
2021-04-26,154.649994,159.639999,150.440002,159.289993,488600
2021-04-27,159.960007,161.509995,156.610001,156.610001,291600
2021-04-28,156.610001,159.100006,154.699997,155.550003,223600
2021-04-29,156.259995,157.020004,152.0,154.050003,197500
2021-04-30,152.169998,154.820007,151.0,151.610001,195300
2021-05-03,152.259995,152.529999,148.649994,148.979996,187900
2021-05-04,148.009995,148.330002,141.720001,142.460007,307700
2021-05-05,142.470001,144.869995,140.160004,141.240005,199200
2021-05-06,140.690002,141.389999,128.339996,130.860001,887400
2021-05-07,138.080002,141.110001,132.070007,134.740005,610100
2021-05-10,132.839996,133.990005,127.5,129.0,387100
2021-05-11,125.0,134.649994,123.160004,131.960007,552100
2021-05-12,129.130005,130.119995,123.269997,124.089996,580500
2021-05-13,124.559998,127.760002,123.019997,126.25,391600
2021-05-14,128.089996,133.089996,128.089996,132.759995,385000
2021-05-17,130.75,134.130005,130.429993,133.589996,346100
2021-05-18,134.309998,134.460007,121.089996,123.43,1138000
2021-05-19,123.809998,128.300003,123.529999,126.800003,581300
2021-05-20,127.809998,131.5,127.089996,130.309998,334900
2021-05-21,131.5,131.990005,126.480003,127.07,344600
2021-05-24,128.809998,131.610001,127.860001,129.990005,280100
2021-05-25,130.649994,134.199997,130.619995,130.729996,293400
2021-05-26,131.889999,137.279999,131.380005,136.059998,337100
2021-05-27,136.119995,139.779999,135.070007,139.479996,367400
2021-05-28,140.089996,143.380005,139.479996,140.589996,464300
2021-06-01,142.419998,142.949997,136.529999,139.149994,355100
2021-06-02,139.529999,141.860001,137.320007,141.589996,299200
2021-06-03,139.0,140.419998,137.449997,138.190002,236000
2021-06-04,138.339996,141.339996,138.339996,141.160004,206400
2021-06-07,141.130005,146.940002,139.550003,146.610001,316500
2021-06-08,148.089996,151.990005,145.940002,151.059998,481900
2021-06-09,152.850006,153.0,147.820007,148.050003,361800
2021-06-10,148.550003,151.399994,147.119995,150.720001,229700
2021-06-11,151.710007,157.789993,151.509995,157.440002,509700
2021-06-14,158.490005,160.070007,156.360001,156.990005,821100
2021-06-15,157.0,158.600006,153.990005,154.490005,407100
2021-06-16,155.289993,156.839996,151.110001,152.0,552400
2021-06-17,151.119995,154.070007,151.100006,153.600006,571500
2021-06-18,152.080002,163.160004,152.080002,156.850006,861500
2021-06-21,157.440002,159.970001,154.559998,158.759995,258200
2021-06-22,158.270004,161.100006,157.289993,160.619995,302700
2021-06-23,160.649994,167.610001,160.649994,165.979996,475000
2021-06-24,166.919998,168.119995,164.449997,167.869995,312500
2021-06-25,169.0,173.0,167.360001,172.179993,597100
2021-06-28,174.139999,176.0,170.660004,172.059998,418200
2021-06-29,172.169998,176.0,171.589996,174.139999,394700
2021-06-30,176.100006,179.300003,175.699997,176.800003,573200
2021-07-01,176.800003,176.800003,172.380005,173.259995,430300
2021-07-02,174.789993,178.169998,173.660004,177.789993,266300
2021-07-06,177.880005,177.880005,174.589996,176.699997,350700
2021-07-07,177.210007,177.570007,172.919998,175.809998,215000
2021-07-08,170.5,177.940002,168.410004,177.679993,287100
2021-07-09,178.740005,178.740005,175.220001,178.289993,208700
2021-07-12,178.949997,180.600006,174.589996,179.919998,343800
2021-07-13,178.929993,185.289993,178.220001,182.300003,379400
2021-07-14,182.389999,183.630005,176.350006,177.309998,242200
2021-07-15,177.729996,178.600006,169.259995,173.610001,305200
2021-07-16,174.300003,177.059998,173.210007,173.759995,315500
2021-07-19,170.770004,176.389999,169.479996,175.699997,251400
2021-07-20,175.970001,182.660004,172.75,180.559998,451300
2021-07-21,180.059998,182.690002,177.270004,181.449997,333800
2021-07-22,181.759995,182.130005,178.139999,180.550003,224500
2021-07-23,180.720001,184.0,179.279999,183.029999,224200
2021-07-26,183.300003,184.779999,180.729996,182.039993,175900
2021-07-27,181.110001,181.990005,176.550003,180.539993,208100
2021-07-28,180.539993,186.860001,179.270004,186.089996,263600
2021-07-29,186.339996,188.199997,184.779999,186.419998,164400
2021-07-30,185.279999,188.369995,184.410004,186.020004,257000
2021-08-02,186.800003,191.830002,186.399994,189.639999,592300
2021-08-03,189.399994,191.0,184.619995,187.320007,369900
2021-08-04,187.050003,193.279999,186.550003,191.119995,428800
2021-08-05,190.419998,195.289993,188.289993,193.490005,310200
2021-08-06,196.389999,198.0,189.960007,192.589996,459800
2021-08-09,191.830002,194.139999,189.330002,192.369995,237700
2021-08-10,191.789993,191.789993,183.350006,183.789993,359800
2021-08-11,183.279999,185.490005,180.5,184.649994,246000
2021-08-12,183.529999,187.389999,181.699997,186.449997,246600
2021-08-13,186.610001,188.350006,184.669998,185.139999,165600
2021-08-16,183.399994,187.369995,182.149994,186.240005,272100
2021-08-17,183.809998,184.630005,180.889999,183.449997,174500
2021-08-18,183.520004,185.0,180.699997,182.710007,172100
2021-08-19,182.029999,184.320007,180.289993,181.520004,167900
2021-08-20,181.539993,186.919998,181.229996,186.830002,196300
2021-08-23,187.259995,189.600006,186.330002,186.729996,222200
2021-08-24,187.300003,188.0,184.820007,185.800003,252300
2021-08-25,186.300003,187.880005,184.279999,186.399994,563500
2021-08-26,187.229996,188.669998,183.690002,185.149994,421800
2021-08-27,186.020004,189.5,185.949997,187.009995,322400
2021-08-30,187.860001,193.220001,185.860001,192.839996,428400
2021-08-31,193.410004,194.0,181.610001,181.869995,547900
2021-09-01,181.779999,184.669998,181.220001,181.649994,529300
2021-09-02,181.619995,184.910004,181.059998,182.869995,240400
2021-09-03,182.0,185.520004,180.649994,184.889999,204500
2021-09-07,184.270004,185.990005,181.589996,182.669998,281400
2021-09-08,181.850006,183.740005,180.160004,182.559998,228400
2021-09-09,182.990005,187.089996,180.949997,181.149994,338600
2021-09-10,183.279999,183.279999,178.800003,179.809998,324400
2021-09-13,180.0,180.509995,175.130005,176.25,286000
2021-09-14,175.639999,179.389999,175.639999,177.259995,256800
2021-09-15,176.009995,178.710007,172.669998,177.830002,312000
2021-09-16,177.830002,180.389999,177.830002,179.539993,275900
2021-09-17,176.740005,178.300003,170.289993,172.380005,1347000
2021-09-20,169.910004,173.820007,168.759995,172.940002,444200
2021-09-21,173.869995,176.740005,173.869995,174.649994,276800
2021-09-22,175.399994,176.080002,173.529999,175.0,228200
2021-09-23,175.830002,177.580002,174.160004,176.729996,194100
2021-09-24,175.610001,180.529999,175.610001,179.75,233300
2021-09-27,178.899994,179.729996,177.679993,179.020004,248800
2021-09-28,177.880005,178.380005,172.850006,177.589996,727700
2021-09-29,178.729996,180.199997,174.669998,175.139999,290700
2021-09-30,176.279999,179.100006,174.75,175.020004,362800
2021-10-01,176.440002,179.320007,173.539993,178.770004,276100
2021-10-04,177.559998,177.559998,164.619995,166.089996,531400
2021-10-05,166.949997,170.0,164.649994,165.279999,380900
2021-10-06,164.059998,166.990005,161.850006,166.020004,258900
2021-10-07,166.789993,170.259995,166.550003,168.940002,176400
2021-10-08,169.350006,169.850006,164.320007,164.550003,158700
2021-10-11,164.279999,171.300003,162.759995,167.5,214900
2021-10-12,168.229996,173.020004,168.0,171.429993,141400
2021-10-13,173.119995,177.369995,172.619995,176.619995,219600
2021-10-14,178.520004,180.610001,177.699997,179.029999,223100
2021-10-15,179.770004,180.509995,177.729996,177.940002,218200
2021-10-18,177.270004,182.809998,176.309998,181.699997,194900
2021-10-19,183.029999,185.860001,181.080002,185.270004,295600
2021-10-20,186.389999,187.410004,178.880005,179.050003,300300
2021-10-21,179.330002,185.429993,179.300003,184.600006,432200
2021-10-22,185.350006,186.0,179.699997,182.649994,276000
2021-10-25,184.860001,184.860001,179.619995,179.800003,370500
2021-10-26,182.179993,183.550003,179.460007,180.199997,318900
2021-10-27,180.610001,182.039993,176.089996,176.300003,248900
2021-10-28,175.979996,177.949997,173.160004,174.639999,312900
2021-10-29,174.210007,180.5,173.770004,179.960007,342500
2021-11-01,180.990005,182.690002,178.960007,180.669998,359800
2021-11-02,181.720001,182.25,179.360001,181.600006,291100
2021-11-03,182.199997,185.410004,181.5,184.910004,282300
2021-11-04,186.100006,187.830002,182.949997,184.539993,232600
2021-11-05,186.100006,188.800003,181.679993,182.639999,351600
2021-11-08,182.5,182.610001,176.050003,176.649994,445100
2021-11-09,176.779999,180.059998,175.350006,176.399994,386000
2021-11-10,175.009995,177.270004,169.360001,170.25,303300
2021-11-11,171.110001,171.5,168.289993,168.949997,293600
2021-11-12,169.520004,170.809998,168.229996,170.410004,432500
2021-11-15,172.229996,173.580002,167.25,167.410004,750100
2021-11-16,208.839996,209.0,174.779999,177.789993,3145200
2021-11-17,180.399994,180.440002,172.399994,172.889999,947600
