date,open,high,low,close,volume
1996-01-02,10.5429,10.7549,10.5048,10.6856,1755687
1996-01-03,10.7193,10.9446,10.7193,10.9446,1090999
1996-01-04,10.9446,11.0564,10.8056,10.8426,1076595
1996-01-05,10.8257,10.8257,10.5048,10.523,1115880
1996-01-08,10.4864,10.7011,10.4569,10.7011,874890
1996-01-09,10.7011,10.8426,10.7011,10.7858,1645008
1996-01-10,10.7549,10.8959,10.5799,10.5976,1701333
1996-01-11,10.6346,10.6856,10.5429,10.5799,1358187
1996-01-12,10.5799,10.616,10.3845,10.4569,1613582
1996-01-15,10.4569,10.8616,10.4569,10.8426,1075285
1996-01-16,10.8794,10.9328,10.7549,10.8616,1100167
1996-01-17,10.8794,11.0741,10.8616,10.9821,1111959
1996-01-18,10.9821,11.252,10.8257,11.252,991460
1996-01-19,11.1784,11.4967,11.1784,11.3531,1731457
1996-01-22,11.3709,11.3709,11.232,11.2836,1102787
1996-01-23,11.252,11.2646,11.1221,11.232,698075
1996-01-24,11.252,11.4601,11.252,11.4219,1904344
1996-01-25,11.3908,11.5817,11.3709,11.5302,1031409
1996-01-26,11.5625,11.7773,11.5302,11.7587,1675797
1996-01-29,11.7213,12.0567,11.7213,12.0089,1558575
1996-01-30,11.9897,12.149,11.955,12.1136,1485225
1996-01-31,12.0753,12.2162,11.9897,12.1858,1726214
1996-02-01,12.1858,12.1858,11.9743,11.9897,1695443
1996-02-02,11.9897,12.0267,11.9175,12.0267,1088379
1996-02-05,12.0089,12.3387,11.955,12.3387,1386999
1996-02-06,12.3069,12.3069,12.1136,12.1858,1427597
1996-02-07,12.149,12.1858,12.0567,12.1858,1969170
1996-02-08,12.1858,12.5539,12.1306,12.5348,1170895
1996-02-09,12.4648,12.4648,12.2346,12.2346,984257
1996-02-12,12.2516,12.3579,12.1136,12.3069,924668
1996-02-13,12.3069,12.571,12.3069,12.4845,1057603
1996-02-14,12.4477,12.571,12.1999,12.2346,1017656
1996-02-15,12.1999,12.3269,12.1858,12.2346,902399
1996-02-16,12.2708,12.3069,12.0937,12.1306,916152
1996-02-20,12.0937,12.0937,11.7773,11.7958,1150587
1996-02-21,11.7587,11.88,11.6725,11.7958,2205579
1996-02-22,11.8305,12.0937,11.7958,12.0937,1994712
1996-02-23,12.1306,12.1306,11.8481,12.0753,1443318
1996-02-26,12.0567,12.0567,11.8982,11.936,1058915
1996-02-27,11.9175,11.936,11.8134,11.8134,1190536
1996-02-28,11.8305,11.8982,11.6725,11.6725,1916127
1996-02-29,11.6725,11.7773,11.5625,11.5625,2228486
1996-03-01,11.5987,11.9175,11.5987,11.9175,1113271
1996-03-04,11.88,12.0753,11.8481,12.0384,1010453
1996-03-05,12.0089,12.0567,11.8982,11.8982,1024858
1996-03-06,11.8982,11.9175,11.8089,11.8428,943657
1996-03-07,11.8089,12.2883,11.7773,12.2516,1445280
1996-03-08,12.2162,12.2162,11.8089,11.88,2340485
1996-03-11,11.8428,11.9175,11.6673,11.9175,1655491
1996-03-12,11.88,11.88,11.4904,11.7213,1301866
1996-03-13,11.7213,11.7404,11.4904,11.7028,1324792
1996-03-14,11.7028,11.8238,11.6673,11.7213,1166961
1996-03-15,11.6836,11.955,11.6836,11.7773,1447899
1996-03-18,11.7404,11.8238,11.7404,11.7404,1753068
1996-03-19,11.7028,11.7213,11.3641,11.4601,1426943
1996-03-20,11.4904,11.5241,11.2955,11.3641,1455106
1996-03-21,11.4039,11.4601,11.3316,11.4416,2196407
1996-03-22,11.471,11.8614,11.4219,11.7587,2069366
1996-03-25,11.7958,11.955,11.7404,11.7404,1266504
1996-03-26,11.7028,11.8982,11.6673,11.7773,1492433
1996-03-27,11.7773,11.8238,11.6313,11.6497,1286802
1996-03-28,11.6497,11.7213,11.6497,11.7213,906328
1996-03-29,11.7587,11.8238,11.5817,11.5817,1564463
1996-04-01,11.6179,11.6673,11.5241,11.5987,772736
1996-04-02,11.5987,11.6179,11.5241,11.5987,896507
1996-04-03,11.5987,11.6313,11.5434,11.5987,811379
1996-04-04,11.5987,11.6673,11.5096,11.6497,954786
1996-04-08,11.6179,11.6179,11.4219,11.4601,1623402
1996-04-09,11.471,11.471,11.1533,11.1907,1595896
1996-04-10,11.1907,11.2646,11.0323,11.0676,1275017
1996-04-11,11.1221,11.1907,10.873,10.9578,1878144
1996-04-12,10.9578,11.2069,10.9578,11.1347,1022241
1996-04-15,11.1347,11.2836,11.1051,11.2836,958712
1996-04-16,11.2646,11.3488,11.2447,11.2447,1389615
1996-04-17,11.2836,11.3316,11.1533,11.1907,960684
1996-04-18,11.2646,11.4039,11.2257,11.3641,2545448
1996-04-19,11.4039,11.4601,11.3641,11.4601,1335919
1996-04-22,11.471,11.5987,11.471,11.5625,1931188
1996-04-23,11.5625,11.5817,11.5241,11.5817,1095579
1996-04-24,11.5625,11.5817,11.3132,11.3316,1681031
1996-04-25,11.3132,11.3488,11.2069,11.2257,1824443
1996-04-26,11.2447,11.2447,11.1221,11.1347,1277639
1996-04-29,11.0323,11.1907,11.0323,11.0868,1863084
1996-04-30,11.1051,11.4904,11.1051,11.4039,1843437
1996-05-01,11.384,11.5434,11.3316,11.4219,1329367
1996-05-02,11.3641,11.3641,11.1724,11.1724,1060882
1996-05-03,11.1907,11.1907,10.9783,11.0505,1282874
1996-05-06,11.0676,11.0676,10.873,10.9945,961340
1996-05-07,10.9783,10.9783,10.7498,10.7991,1273710
1996-05-08,10.7674,10.7674,10.6102,10.6411,2709825
