date,open,high,low,close,volume
1996-01-02,3.62377,3.63246,3.57966,3.61469,1939030
1996-01-03,3.63246,3.67647,3.63246,3.6586,1512233
1996-01-04,3.64992,3.67647,3.60572,3.61469,1780854
1996-01-05,3.61469,3.61469,3.55985,3.58855,1707229
1996-01-08,3.60572,3.64114,3.60572,3.64114,724068
1996-01-09,3.64114,3.64114,3.55985,3.55985,2179033
1996-01-10,3.56844,3.56844,3.40792,3.41651,2232216
1996-01-11,3.43427,3.49838,3.43427,3.44315,2590837
1996-01-12,3.45183,3.45183,3.40792,3.41651,1521778
1996-01-15,3.43427,3.44315,3.37943,3.38821,1670402
1996-01-16,3.38821,3.38821,3.3444,3.36167,3276722
1996-01-17,3.36167,3.49838,3.36167,3.47837,1879033
1996-01-18,3.4893,3.4893,3.40792,3.46979,1491777
1996-01-19,3.46979,3.49838,3.43427,3.47837,2067212
1996-01-22,3.47837,3.51574,3.45183,3.51574,4806687
1996-01-23,3.51574,3.55985,3.4893,3.55088,2147668
1996-01-24,3.55088,3.63246,3.55088,3.56844,2859463
1996-01-25,3.55088,3.63246,3.55088,3.62377,3966719
1996-01-26,3.61469,3.66973,3.58855,3.66973,2758552
1996-01-29,3.64992,3.70476,3.64114,3.6874,1906316
1996-01-30,3.69589,3.79542,3.6874,3.79542,1887224
1996-01-31,3.79542,3.87631,3.77756,3.86743,1658133
1996-02-01,3.87631,3.92071,3.8567,3.88528,924523
1996-02-02,3.88528,3.90305,3.79542,3.79542,2110852
1996-02-05,3.79542,3.82147,3.74926,3.82147,2492660
1996-02-06,3.83923,3.87631,3.83044,3.86743,1962216
1996-02-07,3.87631,3.90305,3.86743,3.90305,807251
1996-02-08,3.88528,4.11841,3.88528,4.10094,1738589
1996-02-09,4.10094,4.10094,4.04796,4.08348,1382685
1996-02-12,4.08348,4.15579,4.05684,4.15579,822254
1996-02-13,4.13832,4.14485,4.11841,4.13832,745887
1996-02-14,4.12749,4.16486,4.10962,4.14485,897252
1996-02-15,4.14485,4.14485,4.05684,4.08348,1429050
1996-02-16,4.09235,4.13832,4.08348,4.10962,1097694
1996-02-20,4.10962,4.10962,4.01077,4.01936,991333
1996-02-21,4.03693,4.10962,4.02844,4.05684,1234054
1996-02-22,4.07479,4.14485,4.07479,4.12749,2075393
1996-02-23,4.12749,4.17344,4.12749,4.15579,2166763
1996-02-26,4.14485,4.15579,4.10962,4.12749,1229965
1996-02-27,4.11841,4.12749,4.08348,4.10962,1133156
1996-02-28,4.10094,4.18243,4.10094,4.16486,1847677
1996-02-29,4.15579,4.16486,4.15579,4.15579,1137242
1996-03-01,4.15579,4.15579,4.11841,4.12749,658618
1996-03-04,4.12749,4.22848,4.12749,4.22848,1580410
1996-03-05,4.1912,4.25502,4.1912,4.22848,1279057
1996-03-06,4.24614,4.26391,4.20857,4.22848,1011795
1996-03-07,4.23502,4.25502,4.15579,4.16486,582259
1996-03-08,4.12749,4.12749,3.96686,3.99292,2461295
1996-03-11,4.0019,4.01077,3.94696,3.94696,1900861
1996-03-12,3.96686,3.97536,3.87631,3.9292,1019970
1996-03-13,3.93818,3.98433,3.92071,3.93818,2806286
1996-03-14,3.9292,4.01936,3.9292,4.01077,1662225
1996-03-15,3.99292,4.04796,3.99292,4.04796,1397693
1996-03-18,4.10094,4.14485,4.08348,4.12749,1468590
1996-03-19,4.14485,4.16486,4.10962,4.15579,995431
1996-03-20,4.15579,4.17344,4.11841,4.12749,1298147
1996-03-21,4.10962,4.13832,4.10094,4.11841,1356779
1996-03-22,4.12749,4.12749,4.10094,4.12749,1459049
1996-03-25,4.11841,4.16486,4.11841,4.13832,272709
1996-03-26,4.14485,4.1912,4.10962,4.17344,688615
1996-03-27,4.17344,4.21736,4.15579,4.16486,779983
1996-03-28,4.18243,4.18243,4.11841,4.14485,882259
1996-03-29,4.16486,4.18243,4.10962,4.10962,1587227
1996-04-01,4.11841,4.30762,4.11841,4.28146,1184976
1996-04-02,4.28146,4.32528,4.26391,4.29015,704982
1996-04-03,4.27259,4.27259,4.20857,4.25502,845433
1996-04-04,4.28146,4.30762,4.21736,4.23502,869976
1996-04-08,4.14485,4.15579,4.01936,4.01936,1651321
1996-04-09,4.03693,4.10094,4.03693,4.09235,1268150
1996-04-10,4.08348,4.08348,4.0019,4.01077,1101787
1996-04-11,4.02844,4.02844,3.93818,3.94696,1174059
1996-04-12,3.94696,3.97536,3.9292,3.97536,1029517
1996-04-15,3.98433,4.0019,3.94696,4.0019,3144456
1996-04-16,3.96686,4.02844,3.96686,3.97536,1397693
1996-04-17,3.97536,3.99292,3.95789,3.98433,1363592
