date,open,high,low,close,volume
1996-01-02,12.2924,12.4027,12.2204,12.2924,5608040
1996-01-03,12.2924,12.2924,12.1445,12.1445,6943234
1996-01-04,12.2924,12.3091,12.0016,12.0548,8079282
1996-01-05,12.0016,12.038,11.8922,12.0016,4066715
1996-01-08,11.9671,12.1791,11.9671,12.1445,1965812
1996-01-09,12.2332,12.2786,12.0775,12.1613,4713642
1996-01-10,12.038,12.0775,11.9129,11.979,5537003
1996-01-11,11.9444,11.9671,11.771,11.8203,5627258
1996-01-12,11.8922,11.9237,11.7483,11.8557,5649382
1996-01-15,11.8341,11.9237,11.8203,11.9237,4366013
1996-01-16,11.979,12.3091,11.9671,12.3091,5757691
1996-01-17,12.3091,12.4225,12.1791,12.1791,5293023
1996-01-18,12.2332,12.2332,12.038,12.1229,4269353
1996-01-19,12.0775,12.2786,12.0775,12.2549,7186629
1996-01-22,12.2549,12.2549,12.0775,12.1791,4098159
1996-01-23,12.1681,12.4727,12.0548,12.4727,5252259
1996-01-24,12.4727,12.6196,12.3426,12.5476,7035817
1996-01-25,12.5121,12.5476,12.4225,12.4491,4708401
1996-01-26,12.4343,12.7053,12.3791,12.5604,5794952
1996-01-29,12.5604,12.656,12.5476,12.6364,4147073
1996-01-30,12.6196,12.7969,12.5969,12.7645,4444041
1996-01-31,12.7053,12.8177,12.6364,12.8177,4296722
1996-02-01,12.7645,12.7969,12.6856,12.7793,4492953
1996-02-02,12.6364,12.7645,12.6364,12.7053,5824652
1996-02-05,12.6856,12.9084,12.6856,12.8886,3878057
1996-02-06,12.8886,12.8886,12.6748,12.8177,5686069
1996-02-07,12.8177,12.997,12.7969,12.9636,5792627
1996-02-08,12.9636,13.0178,12.9084,12.9636,6009822
1996-02-09,12.997,13.067,12.8177,12.9084,6726040
1996-02-12,12.8177,12.8295,12.5269,12.6856,14575312
1996-02-13,12.5742,12.8531,12.5742,12.8295,7323469
1996-02-14,12.6748,12.8177,12.656,12.7053,4860380
1996-02-15,12.7053,12.7793,12.5969,12.6856,5472366
1996-02-16,12.6856,12.6856,12.5476,12.5604,9362652
1996-02-20,12.4027,12.5476,12.4027,12.4225,6291649
1996-02-21,12.4885,12.6364,12.4491,12.4727,5581252
1996-02-22,12.5476,12.7211,12.5269,12.6856,4755567
1996-02-23,12.8177,12.8177,12.5742,12.5742,5488088
1996-02-26,12.5604,12.5742,12.4027,12.4225,4740431
1996-02-27,12.4225,12.4343,12.2786,12.3624,6314942
1996-02-28,12.4727,12.5969,12.3091,12.4027,4478397
1996-02-29,12.32,12.5604,12.3091,12.32,5361733
1996-03-01,12.4343,12.5269,12.2924,12.5269,5069423
1996-03-04,12.5742,12.6856,12.5604,12.6196,4225683
