date,open,high,low,close,volume
2005-02-25,10.189,10.2698,10.189,10.2698,566555
2005-02-28,10.227,10.2398,10.1193,10.1462,877043
2005-03-01,10.1462,10.2698,10.1233,10.199,949301
2005-03-02,10.1751,10.3485,10.1592,10.3086,1460064
2005-03-03,10.3086,10.3485,10.2538,10.2987,893507
2005-03-04,10.3485,10.4282,10.3116,10.3674,687738
2005-03-07,10.3575,10.485,10.3345,10.4491,770966
2005-03-08,10.4761,10.4761,10.3903,10.4401,834063
2005-03-09,10.4441,10.4441,10.2618,10.2947,434404
2005-03-10,10.2947,10.3814,10.2398,10.3814,502086
2005-03-11,10.3983,10.4801,10.3345,10.4123,851438
2005-03-14,10.4123,10.5478,10.4023,10.5478,910431
2005-03-15,10.5607,10.6136,10.3674,10.4123,1066353
2005-03-16,10.4123,10.4123,10.2578,10.3266,769131
2005-03-17,10.3036,10.3983,10.2917,10.3485,729807
2005-03-18,10.3086,10.3266,10.1412,10.189,2242912
2005-03-21,10.1672,10.2987,10.1672,10.2698,1365877
2005-03-22,10.2748,10.3485,10.2398,10.2987,2315624
2005-03-23,10.2987,10.3306,10.2498,10.2827,918203
2005-03-24,10.2498,10.2778,10.1074,10.1233,1587189
2005-03-28,10.1282,10.227,10.1193,10.1751,862417
2005-03-29,10.1751,10.223,10.1074,10.1193,1051723
2005-03-30,10.0974,10.2398,10.0894,10.223,1133123
2005-03-31,10.189,10.189,10.0765,10.0804,898081
2005-04-01,10.1322,10.227,10.0595,10.0934,1250178
2005-04-04,10.0854,10.1502,10.0595,10.1233,636981
2005-04-05,10.1074,10.189,10.0665,10.1462,670815
2005-04-06,10.1672,10.189,10.0286,10.0495,605888
2005-04-07,10.0665,10.0974,9.97481,10.0286,721575
2005-04-08,9.99771,10.0495,9.92299,9.92997,702369
2005-04-11,9.9489,9.96783,9.81139,9.84128,802969
2005-04-12,9.81935,9.88213,9.69978,9.85024,1324259
2005-04-13,9.81139,9.83231,9.65195,9.68583,859216
2005-04-14,9.67187,9.70775,9.57023,9.65892,727978
2005-04-15,9.65892,9.71672,9.59416,9.65494,1333860
2005-04-18,9.65494,9.72171,9.53436,9.6938,1244235
2005-04-19,9.68982,9.71273,9.53436,9.70775,1275328
2005-04-20,9.8642,9.92299,9.72967,9.79744,2389701
2005-04-21,9.81935,9.89608,9.47657,9.67187,2180728
2005-04-22,9.638,9.66689,9.44797,9.50447,2072810
2005-04-25,9.50447,9.57023,9.30965,9.36685,1609591
2005-04-26,9.36685,9.47657,9.32301,9.39366,1266646
2005-04-27,9.39366,9.46759,9.27966,9.32301,1059040
2005-04-28,9.296,9.44408,9.1844,9.41099,1643890
2005-04-29,9.42445,9.57621,9.37174,9.57023,1387367
2005-05-02,9.62305,9.72569,9.61607,9.71273,1553812
2005-05-03,9.7516,9.75558,9.63102,9.68982,1115740
2005-05-04,9.73366,9.93993,9.73366,9.90904,882073
2005-05-05,9.85024,9.89608,9.72171,9.81935,1795702
2005-05-06,9.79345,9.81935,9.71273,9.73764,1593133
2005-05-09,9.72967,9.7795,9.68583,9.74762,931918
2005-05-10,9.69978,9.69978,9.5802,9.61209,961641
2005-05-11,9.57023,9.61607,9.49152,9.58518,1889903
2005-05-12,9.56127,9.59416,9.3806,9.39366,1666292
2005-05-13,9.41099,9.41099,9.24658,9.31414,1325632
2005-05-16,9.31903,9.45225,9.31903,9.44797,713341
2005-05-17,9.40353,9.49152,9.36287,9.46759,849610
2005-05-18,9.46759,9.5523,9.43442,9.49152,1028401
2005-05-19,9.51343,9.61607,9.48454,9.56127,1563411
2005-05-20,9.5523,9.56127,9.49152,9.53934,629206
2005-05-23,9.52141,9.5802,9.45723,9.53038,958895
2005-05-24,9.5523,9.72569,9.53436,9.68982,970781
2005-05-25,9.70376,9.76953,9.65494,9.73366,1204912
2005-05-26,9.74762,9.80242,9.70775,9.80242,736205
2005-05-27,9.76057,9.81139,9.68583,9.71672,792455
2005-05-31,9.72967,9.76555,9.72171,9.74262,1877100
2005-06-01,9.74262,9.81935,9.65494,9.72967,824920
2005-06-02,9.72967,9.79345,9.71273,9.7795,823089
2005-06-03,9.72967,9.90904,9.72967,9.8642,1304136
2005-06-06,9.8642,9.88612,9.76057,9.88213,632863
2005-06-07,9.92299,9.92997,9.83231,9.87217,593534
2005-06-08,9.92299,9.95288,9.8363,9.8363,1462350
2005-06-09,10.2778,10.2778,10.0316,10.1672,2523680
2005-06-10,10.199,10.199,10.0366,10.0974,1037097
2005-06-13,10.1074,10.195,9.99771,10.0286,1057671
2005-06-14,10.0286,10.0804,9.95288,9.99771,668067
2005-06-15,9.95986,10.0157,9.90904,9.94392,506658
2005-06-16,9.92299,9.99771,9.88213,9.91402,987702
2005-06-17,9.95986,9.96783,9.87217,9.87217,1476071
2005-06-20,9.84128,9.94392,9.81935,9.90406,387306
2005-06-21,9.89608,9.92697,9.82434,9.84128,551467
2005-06-22,9.84128,9.89608,9.7516,9.8642,707859
2005-06-23,9.90904,9.97979,9.86021,9.88213,721575
2005-06-24,9.84128,9.90904,9.76057,9.76057,511683
2005-06-27,9.78348,9.81935,9.72171,9.80242,452691
2005-06-28,9.86021,9.91402,9.78348,9.81935,755413
2005-06-29,9.85424,9.87217,9.73764,9.7516,672186
2005-06-30,9.75558,9.87715,9.73764,9.82933,1771928
2005-07-01,9.81139,9.90008,9.81139,9.87715,557867
2005-07-05,9.82933,9.99371,9.82933,9.95288,568842
2005-07-06,9.95288,9.95288,9.76057,9.80242,1249726
2005-07-07,9.7795,9.90008,9.72569,9.81935,927800
2005-07-08,9.79744,9.84128,9.76057,9.81537,674931
2005-07-11,9.84128,9.95288,9.84128,9.8911,582566
2005-07-12,9.8363,9.84128,9.68982,9.7795,858757
2005-07-13,9.73764,9.84128,9.72967,9.76953,545069
2005-07-14,9.77352,9.80242,9.68982,9.70376,557418
2005-07-15,9.65892,9.87715,9.65195,9.86021,1179304
2005-07-18,9.86021,9.92299,9.79345,9.84128,952038
2005-07-19,9.60412,9.63102,9.5802,9.61607,4923898
2005-07-20,9.59016,9.59016,9.50447,9.50447,2663149
2005-07-21,9.49152,9.52141,9.41589,9.4381,2710709
2005-07-22,9.4381,9.44797,9.40353,9.42445,1214055
2005-07-25,9.45723,9.47258,9.37174,9.42047,1268012
2005-07-26,9.43442,9.44408,9.32799,9.36287,1025657
2005-07-27,9.39366,9.56127,9.33676,9.54432,1591301
2005-07-28,9.53436,9.56127,9.48752,9.53436,827203
2005-07-29,9.51343,9.60412,9.46759,9.47657,1159182
2005-08-01,9.44797,9.47258,9.3806,9.45723,892591
2005-08-02,9.48454,9.64696,9.46211,9.60412,1315113
2005-08-03,9.56127,9.65195,9.56127,9.61209,1180224
2005-08-04,9.60412,9.6081,9.48752,9.50447,618221
2005-08-05,9.49152,9.49152,9.3806,9.40353,832693
2005-08-08,9.40353,9.42445,9.32301,9.35899,1029773
2005-08-09,9.35899,9.3806,9.31414,9.35899,1331577
2005-08-10,9.3806,9.42445,9.35011,9.40801,2053142
2005-08-11,9.40801,9.50447,9.37174,9.49152,1051260
2005-08-12,9.45723,9.50447,9.36287,9.50447,1014223
2005-08-15,9.4975,9.5802,9.46211,9.54832,506658
2005-08-16,9.51343,9.61607,9.50048,9.6081,1078253
2005-08-17,9.64298,9.64298,9.54432,9.58518,1105225
2005-08-18,9.58518,9.60412,9.49152,9.59914,385476
2005-08-19,9.59914,9.70775,9.55828,9.70376,1754096
2005-08-22,9.68583,9.7516,9.67686,9.7516,687275
2005-08-23,9.78847,9.78847,9.69978,9.7516,1111623
2005-08-24,9.77352,9.84128,9.7516,9.78847,1596331
2005-08-25,9.81139,9.98373,9.78847,9.97979,1703335
2005-08-26,10.0157,10.0157,9.78847,9.93595,1273506
2005-08-29,9.94392,10.2578,9.94392,10.227,2359525
2005-08-30,10.1672,10.2319,10.0974,10.1592,1659439
2005-08-31,10.1672,10.3814,10.1672,10.3814,1486131
2005-09-01,10.4441,10.4761,10.2778,10.3086,1875272
2005-09-02,10.3216,10.3395,10.2319,10.3306,975821
2005-09-06,10.6056,10.777,10.5149,10.5438,2771516
2005-09-07,10.5438,10.6534,10.4801,10.5199,2394275
2005-09-08,10.5359,10.5867,10.4761,10.5269,972619
2005-09-09,10.5567,10.8467,10.5199,10.7292,1986390
2005-09-12,10.7072,10.9165,10.6942,10.9035,1639776
2005-09-13,10.9195,10.9195,10.8128,10.8338,974445
2005-09-14,10.8298,10.8427,10.6434,10.6624,1063615
2005-09-15,10.6624,10.7162,10.5956,10.6942,1029319
2005-09-16,10.6942,10.7382,10.5647,10.6275,2753222
2005-09-19,10.6574,10.7292,10.5607,10.7162,1257496
2005-09-20,10.7382,10.8467,10.6325,10.6764,1670405
2005-09-21,10.6365,10.8467,10.6096,10.8128,1862917
2005-09-22,10.8089,10.9773,10.8089,10.9125,1594502
