date,open,high,low,close,volume
2005-02-25,34.3414,35.2271,34.3414,35.1919,489365
2005-02-28,35.2134,35.3336,34.4468,35.0123,891411
2005-03-01,35.0123,35.5817,34.9742,35.5181,586889
2005-03-02,35.4781,35.4839,35.0973,35.2769,436470
2005-03-03,35.3638,35.4117,35.0171,35.2047,450949
2005-03-04,35.2993,36.2086,35.2993,36.2086,595010
2005-03-07,36.149,36.8532,35.9625,36.5729,618799
2005-03-08,36.5797,36.5797,36.0797,36.1813,378107
2005-03-09,36.0592,36.0592,34.9166,35.0504,1196522
2005-03-10,35.4049,35.6588,34.9693,35.6588,932931
2005-03-11,35.5181,35.5318,35.3062,35.4244,494687
2005-03-14,35.2203,36.0455,35.1969,36.0455,490107
2005-03-15,36.0592,36.3444,35.9528,35.9781,678937
2005-03-16,35.9781,35.9987,35.4899,35.526,653521
2005-03-17,35.6129,36.0455,35.6129,36.0455,397909
2005-03-18,36.0133,36.1129,35.7476,36.0328,566792
2005-03-21,35.9917,36.0328,35.5045,35.6803,343387
2005-03-22,35.6402,35.8913,34.5113,34.8062,738335
2005-03-23,34.5991,35.1969,34.355,34.8326,687804
2005-03-24,34.9488,35.3853,34.9029,35.0436,469272
2005-03-28,35.0123,35.1041,34.7671,34.8911,494238
2005-03-29,34.5552,34.6587,34.3482,34.4937,943422
2005-03-30,34.4302,35.0728,34.4302,35.0376,442378
2005-03-31,35.1871,35.4899,35.146,35.2632,616728
2005-04-01,36.0055,36.0055,34.815,34.9224,802462
2005-04-04,34.9332,35.0436,34.4468,34.9819,953911
2005-04-05,34.9615,35.0777,34.8609,34.9907,670073
2005-04-06,35.0504,35.3121,34.9742,35.2915,619098
2005-04-07,35.2915,35.5601,35.1871,35.4839,415197
2005-04-08,35.5045,35.6588,35.4693,35.567,1240556
2005-04-11,35.5905,35.815,35.5318,35.7935,213653
2005-04-12,35.6803,36.2955,35.6588,36.2955,814133
2005-04-13,36.2955,36.5797,36.2282,36.4332,613186
