date,open,high,low,close,volume
1996-01-02,8.26465,8.26465,8.14998,8.24862,1600158
1996-01-03,8.24862,8.24862,8.14998,8.14998,1540189
1996-01-04,8.16955,8.16955,8.03353,8.03353,1119785
1996-01-05,8.05437,8.13523,8.05437,8.11407,1469790
1996-01-08,8.11407,8.11407,8.09165,8.09165,12385
1996-01-09,8.13523,8.22796,8.05437,8.16955,1106096
1996-01-10,8.13523,8.19187,8.03353,8.05437,2092262
1996-01-11,8.05437,8.07641,7.99704,8.03353,1385713
1996-01-12,8.01868,8.03353,7.96114,8.01868,342847
1996-01-15,8.01868,8.01868,7.95367,7.96114,461473
1996-01-16,7.99704,8.11407,7.99704,8.11407,1419606
1996-01-17,8.09165,8.13523,8.07641,8.09165,110802
1996-01-18,8.11407,8.22796,8.11407,8.20584,973784
1996-01-19,8.16955,8.22796,8.01868,8.07641,392379
1996-01-22,8.11407,8.43775,8.11407,8.37726,4133684
1996-01-23,8.40009,8.52921,8.40009,8.50807,3285049
1996-01-24,8.60151,8.64705,8.56767,8.58931,1791133
1996-01-25,8.58931,8.64705,8.58931,8.64705,582701
1996-01-26,8.60151,8.6614,8.60151,8.64705,512955
1996-01-29,8.6614,8.71992,8.64705,8.6614,924246
1996-01-30,8.70438,8.93531,8.70438,8.93531,736532
1996-01-31,9.04369,9.11411,9.00612,9.04369,1884342
1996-02-01,9.04369,9.40041,9.04369,9.36894,965961
1996-02-02,9.43779,9.43779,9.11411,9.25101,2012742
1996-02-05,9.20754,9.20754,9.06651,9.06651,1089151
1996-02-06,9.07792,9.07792,9.00612,9.00612,1095020
1996-02-07,8.52921,8.82162,8.36488,8.62432,24173111
1996-02-08,8.62432,8.77647,8.62432,8.6614,6568782
1996-02-09,8.70438,8.76024,8.68304,8.71992,3540546
1996-02-12,8.76024,8.76024,8.64705,8.7392,3643534
1996-02-13,8.7392,8.76024,8.68304,8.76024,2002965
1996-02-14,8.7392,8.87581,8.7392,8.87581,3500793
1996-02-15,8.85299,8.9121,8.8345,8.89076,3043883
1996-02-16,8.87581,8.9121,8.87581,8.9121,2822922
1996-02-20,8.89076,8.89076,8.82162,8.8345,2807928
1996-02-21,8.82162,8.82162,8.6614,8.82162,3208785
1996-02-22,8.82162,8.89076,8.79772,8.89076,2139189
1996-02-23,8.89076,8.99108,8.89076,8.99108,2741445
1996-02-26,8.97219,9.11411,8.97219,9.11411,1893465
1996-02-27,9.09877,9.09877,9.02953,9.04369,1130864
1996-02-28,9.07792,9.15916,9.06651,9.15916,1678371
1996-02-29,9.15916,9.20754,9.09877,9.13811,1258620
1996-03-01,9.15916,9.20754,9.13811,9.15916,1070245
1996-03-04,9.15916,9.15916,9.07792,9.07792,1853702
1996-03-05,9.07792,9.13811,9.06651,9.13811,2184170
1996-03-06,9.13811,9.22879,9.13811,9.19496,1173231
1996-03-07,9.20754,9.20754,9.17253,9.19496,972478
1996-03-08,9.15916,9.15916,9.02953,9.06651,798447
1996-03-11,9.06651,9.06651,9.00612,9.00612,546858
1996-03-12,8.99108,8.99108,8.82162,8.87581,891654
1996-03-13,8.85299,8.89076,8.85299,8.89076,218350
1996-03-14,8.89076,9.06651,8.89076,9.06651,1911716
1996-03-15,9.06651,9.07792,9.04369,9.04369,582701
1996-03-18,9.04369,9.09877,9.04369,9.09877,671998
1996-03-19,9.09877,9.09877,8.94967,8.97219,566407
1996-03-20,8.97219,9.09877,8.97219,9.07792,701981
1996-03-21,9.09877,9.17253,9.09877,9.15916,707846
1996-03-22,9.15916,9.3473,9.13811,9.3473,1181052
1996-03-25,9.40041,9.51843,9.38173,9.46139,2022517
1996-03-26,9.46139,9.49877,9.38173,9.485,723491
1996-03-27,9.485,9.55384,9.425,9.55384,1156937
1996-03-28,9.51843,9.59908,9.43189,9.59908,973784
1996-03-29,9.63252,9.75054,9.61286,9.75054,1210384
1996-04-01,9.78595,9.78595,9.63252,9.72497,820604
1996-04-02,9.69547,9.84299,9.65416,9.82824,1886945
1996-04-03,9.84299,9.84299,9.63252,9.69547,2016651
1996-04-04,9.65416,9.65416,9.57745,9.65416,896868
1996-04-08,9.40927,9.485,9.37288,9.485,1224722
1996-04-09,9.485,9.51843,9.46827,9.485,608126
1996-04-10,9.46827,9.46827,9.33492,9.33492,719581
1996-04-11,9.33492,9.33492,9.12179,9.14666,684385
1996-04-12,9.09877,9.44566,9.09877,9.43189,3719788
1996-04-15,9.56073,9.56073,9.44566,9.46827,1079371
1996-04-16,9.46827,9.57745,9.46827,9.51843,862325
1996-04-17,9.51843,9.69547,9.50565,9.56073,908603
1996-04-18,9.54106,9.63252,9.54106,9.59908,494061
1996-04-19,9.61286,9.67088,9.56073,9.57745,759991
1996-04-22,9.61286,9.63252,9.56073,9.61286,637457
1996-04-23,9.63252,9.69547,9.63252,9.63252,1395492
1996-04-24,9.63252,9.67088,9.51843,9.56073,937283
1996-04-25,9.56073,9.56073,9.46827,9.485,916420
