date,open,high,low,close,volume
2005-02-25,11.8935,12.0237,11.8575,11.944,1127395
2005-02-28,11.8935,11.9906,11.8225,11.9206,1288980
2005-03-01,11.9206,12.0382,11.8225,12.0382,1359835
2005-03-02,11.8575,11.9673,11.7981,11.8575,1195507
2005-03-03,11.9673,12.0529,11.8857,11.944,2098141
2005-03-04,12.0003,12.0315,11.6611,11.7477,2410895
2005-03-07,11.7827,11.8361,11.6738,11.8061,757079
2005-03-08,11.7981,12.1112,11.7981,11.9508,1027211
2005-03-09,11.9362,11.9576,11.6281,11.702,1321051
2005-03-10,11.7748,11.8225,11.6223,11.8225,1037623
2005-03-11,11.8225,12.0616,11.7524,12.0382,1051467
2005-03-14,12.0003,12.1471,11.9965,12.1336,1157821
2005-03-15,12.1336,12.1336,11.9906,12.1053,920583
2005-03-16,12.0315,12.0382,11.9168,12.0082,1634627
2005-03-17,11.8274,12.1189,11.7477,11.9828,2057161
2005-03-18,11.9965,12.0382,11.7827,11.8575,1426990
2005-03-21,11.8857,11.944,11.8225,11.8575,1757561
2005-03-22,11.8857,11.908,11.735,11.7409,954163
2005-03-23,11.7477,11.7477,11.2947,11.3317,2740643
2005-03-24,11.4065,11.7117,11.3812,11.492,1467969
2005-03-28,11.5659,11.702,11.5455,11.5912,1586659
2005-03-29,11.5659,11.6738,11.3501,11.4552,2009056
2005-03-30,11.5659,11.6281,11.2364,11.4346,2337161
2005-03-31,11.4629,11.7477,11.4123,11.7194,3194014
2005-04-01,11.7194,11.9673,11.7194,11.8857,2282885
2005-04-04,11.8361,11.944,11.6154,11.8992,2231491
2005-04-05,11.9275,12.3318,11.9275,12.1471,3079717
2005-04-06,12.1471,12.2454,12.0781,12.1617,1835821
2005-04-07,12.1336,12.3075,12.1112,12.2725,1099027
2005-04-08,12.2725,12.3075,12.2268,12.2851,1380257
2005-04-11,12.2725,12.3162,12.1704,12.2074,1075589
2005-04-12,12.2074,12.2598,12.0237,12.2016,1160974
2005-04-13,12.1704,12.3318,12.1267,12.2074,841781
2005-04-14,12.2454,12.2454,12.0781,12.0898,1174812
2005-04-15,12.0529,12.0898,11.6476,11.7827,1640107
2005-04-18,11.7477,11.8857,11.6962,11.7604,1293779
2005-04-19,11.8061,11.9275,11.5582,11.6378,1641341
2005-04-20,11.6223,11.6611,11.5046,11.5125,1285142
2005-04-21,11.5582,11.7117,11.4629,11.5582,1561851
2005-04-22,11.5727,12.0003,11.5727,11.8857,1472630
2005-04-25,11.8992,12.0382,11.8633,11.9828,898926
2005-04-26,11.9965,12.0781,11.9275,11.9508,960465
2005-04-27,11.8429,12.1617,11.8429,12.1617,1288980
2005-04-28,12.0382,12.1336,11.7827,11.8148,867400
2005-04-29,11.8361,11.9673,11.5455,11.7681,1650937
2005-05-02,11.7681,11.944,11.6738,11.702,2059080
