date,open,high,low,close,volume
2013-06-27,16.0428,17.0527,15.8069,16.7058,9112291
2013-06-28,16.7326,17.4344,16.7147,16.9307,788841
2013-07-01,16.9566,17.1894,16.678,16.678,433380
2013-07-02,16.678,17.8654,16.6077,17.4818,246024
2013-07-03,17.2668,17.4671,16.9764,17.349,114023
2013-07-05,17.4521,17.6057,16.8693,17.4818,122936
2013-07-08,17.3223,17.7118,17.1537,17.4908,121451
2013-07-09,17.3967,18.1141,17.3313,17.7296,226959
2013-07-10,17.7028,18.1438,17.3223,17.368,368247
2013-07-11,17.3223,17.8724,17.3223,17.805,119632
2013-07-12,17.4908,17.7673,17.4719,17.7395,126006
2013-07-15,17.6057,17.9615,17.4818,17.7862,194950
2013-07-16,17.3133,18.7762,17.3133,18.2777,263092
2013-07-17,18.1985,18.6195,17.9348,18.5254,152974
2013-07-18,18.6435,19.0954,18.246,18.9417,178097
2013-07-19,19.0992,19.4551,18.8892,18.9506,694278
2013-07-22,18.7336,18.8228,18.3848,18.4987,541977
2013-07-23,18.4512,18.8128,18.1905,18.3848,45562
2013-07-24,18.3946,18.8128,18.2341,18.7079,47862
2013-07-25,18.4987,19.9913,18.1905,19.9913,255463
2013-07-26,20.1142,20.133,19.1439,19.6355,155354
2013-07-29,19.5512,20.0092,19.1509,19.7346,93595
2013-07-30,19.7435,19.8229,18.9159,19.6424,104049
2013-07-31,19.8139,19.8139,19.2678,19.5512,57735
2013-08-01,19.5067,19.8219,19.246,19.697,199672
2013-08-02,19.7068,20.4591,19.25,20.3977,248071
2013-08-05,20.3977,20.915,20.245,20.7257,115196
2013-08-06,20.7603,21.0072,20.5443,20.7436,461443
2013-08-07,20.7356,20.9061,20.5909,20.8694,91090
2013-08-08,20.915,21.0072,20.7356,20.9784,81479
2013-08-09,20.7793,21.026,20.7793,20.9606,74097
2013-08-12,20.7793,21.0984,20.7793,21.0627,127768
2013-08-13,21.0448,21.4175,20.7793,21.2797,112605
2013-08-14,21.1925,21.2797,21.0537,21.242,79227
2013-08-15,21.2797,21.2797,20.7356,20.915,307986
2013-08-16,20.8962,20.9983,20.7356,20.9606,90385
2013-08-19,20.915,21.0448,20.6424,20.9983,215609
2013-08-20,21.3054,21.5958,20.798,21.017,151713
2013-08-21,20.9784,21.1925,20.7356,20.9427,97882
2013-08-22,20.9606,21.1876,20.7793,20.9249,57868
2013-08-23,20.8783,21.1994,20.798,21.1647,42791
2013-08-26,21.1647,21.1647,20.8744,20.8962,139067
2013-08-27,20.798,20.8327,20.0092,20.2064,308703
2013-08-28,20.4066,20.4066,19.917,19.9913,86096
2013-08-29,19.8813,20.133,19.3442,20.0796,188629
2013-08-30,20.018,20.1528,19.8713,19.9417,121942
2013-09-03,20.1528,21.0706,19.8069,20.4879,103395
2013-09-04,20.4224,20.9249,20.0259,20.9249,129623
2013-09-05,20.8327,21.5958,20.7356,21.2093,92827
2013-09-06,21.1994,21.5958,20.9041,21.135,113207
2013-09-09,21.1647,21.3877,20.6037,20.8783,135991
2013-09-10,20.915,21.135,20.5453,20.9427,138133
2013-09-11,20.8237,21.3877,20.469,21.2966,137151
2013-09-12,21.2797,21.4076,20.9348,20.9983,739156
2013-09-13,20.9348,21.3877,20.8237,21.3689,235101
2013-09-16,21.5087,21.8001,21.1449,21.7078,205602
2013-09-17,21.6593,21.808,20.9983,21.1261,346914
2013-09-18,20.9883,21.8178,20.8783,21.6296,300906
2013-09-19,21.463,21.7357,21.0627,21.3333,370439
2013-09-20,21.242,21.3977,20.6266,20.8159,1287514
2013-09-23,20.8237,21.7812,20.6821,21.697,486429
2013-09-24,21.7078,22.1817,21.689,22.0974,433031
2013-09-25,22.0974,22.2193,21.8268,21.9427,289418
2013-09-26,22.0617,22.2897,21.6692,21.8178,520564
2013-09-27,21.7911,22.1915,21.6316,21.808,172512
2013-09-30,21.6593,21.9081,20.7168,20.7603,1575898
2013-10-01,20.6464,21.0984,20.581,21.0984,130301
2013-10-02,21.035,21.0537,20.2539,20.7168,195073
2013-10-03,20.6623,21.2093,20.5909,21.2093,100064
2013-10-04,21.2263,21.242,21.0627,21.2341,121287
2013-10-07,21.0884,21.2093,20.8873,20.9606,62239
2013-10-08,20.915,21.1826,20.7436,21.026,139652
2013-10-09,21.0795,21.2183,20.469,20.6266,71332
2013-10-10,20.7436,21.2044,20.6821,20.9606,119506
2013-10-11,20.9686,21.1647,20.798,20.9061,78472
2013-10-14,20.8605,20.8694,20.4779,20.7168,100226
2013-10-15,20.7257,20.8327,20.469,20.6008,85367
2013-10-16,20.6464,20.8327,20.3343,20.6177,81703
2013-10-17,20.5166,20.9784,20.133,20.7168,110733
2013-10-18,20.8327,21.0537,20.5246,20.9061,103255
2013-10-21,20.9061,21.035,20.4591,20.5166,44643
2013-10-22,20.5246,20.8327,20.0259,20.7356,51348
2013-10-23,20.1053,21.0072,19.7435,20.6623,138882
2013-10-24,20.6464,20.6464,19.2778,20.018,260719
2013-10-25,20.0092,20.6008,19.5423,20.143,180119
2013-10-28,20.245,20.4313,19.8615,20.0537,133934
2013-10-29,20.1627,20.3343,19.7882,19.9615,74996
2013-10-30,19.9318,20.1697,19.1706,20.0963,187153
2013-10-31,19.8971,20.2252,19.3789,20.0002,164834
2013-11-01,20.915,21.4264,19.917,20.0537,335274
2013-11-04,19.8229,20.9507,19.7346,20.8605,237524
2013-11-05,20.915,21.2341,20.581,20.915,190895
2013-11-06,20.915,21.1449,20.7356,20.9061,124259
2013-11-07,20.8783,21.135,20.573,20.8962,331316
