date,open,high,low,close,volume
2021-01-04,43.605522,43.644639,41.884381,42.578705,1009400
2021-01-05,42.383117,42.744947,42.197314,42.70583,783700
2021-01-06,42.353791,42.774298,41.845271,42.255997,798300
2021-01-07,42.705828,43.439269,42.373339,43.370815,2986400
2021-01-08,43.840215,44.264631,43.61529,43.977123,995100
2021-01-11,43.644636,44.397636,43.07744,44.006466,690900
2021-01-12,44.162933,44.514985,44.016243,44.407413,2724100
2021-01-13,44.387859,44.51499,43.776658,43.840225,885300
2021-01-14,44.10426,44.316472,43.840224,43.938015,810700
2021-01-15,43.996691,44.182494,43.546844,43.801105,693400
2021-01-19,44.123814,44.397635,43.81088,44.348736,978400
2021-01-20,44.818132,45.082167,44.545289,44.867027,1431300
2021-01-21,45.043063,45.131076,44.425017,44.505203,817400
2021-01-22,44.348742,44.739912,44.241174,44.700794,467600
2021-01-25,44.974609,45.346216,43.605517,44.348736,892600
2021-01-26,44.407416,44.495429,43.918456,43.947792,984400
2021-01-27,43.507721,44.319394,42.832953,43.585953,802900
2021-01-28,43.595743,44.143377,43.537066,43.801105,752100
2021-01-29,43.644645,43.752217,42.663787,42.950317,674900
2021-02-01,43.331695,43.859769,43.008979,43.752201,499900
2021-02-02,44.25095,44.730133,44.055365,44.651897,727600
2021-02-03,44.481745,44.592249,43.458838,43.497955,883500
2021-02-04,43.820663,44.368297,43.673974,44.299843,903800
2021-02-05,44.446536,44.642122,44.27051,44.378082,564500
2021-02-08,44.739904,45.072397,44.461196,44.710567,747800
2021-02-09,44.886603,45.358937,44.705686,45.228874,587600
2021-02-10,45.179967,45.326653,44.299836,44.915928,586500
2021-02-11,45.082179,45.219091,44.651895,45.101738,438700
2021-02-12,45.052844,45.258206,44.71546,45.238647,519100
2021-02-16,45.610257,45.659152,44.34385,44.563881,873700
2021-02-17,44.387855,44.387855,43.722868,44.329182,692500
2021-02-18,44.104251,44.422076,43.61529,44.280277,503600
2021-02-19,44.593214,44.691008,44.231384,44.475864,469000
2021-02-22,44.192273,44.192273,43.106783,43.214352,633500
2021-02-23,42.353783,42.598264,40.974914,42.578705,1123400
2021-02-24,42.461337,42.617808,41.713228,42.490677,792700
2021-02-25,42.363555,42.784062,41.04825,41.336739,701000
2021-02-26,41.776811,42.01151,40.789108,41.278069,703100
2021-03-01,41.943061,42.637384,41.806152,42.59827,434300
2021-03-02,42.774293,42.774293,41.952839,41.952839,557800
2021-03-03,41.962615,42.021292,40.547564,40.710876,736700
2021-03-04,40.47617,40.773459,39.126637,39.596043,1061600
2021-03-05,40.006757,40.006757,38.315931,39.664486,757500
2021-03-08,39.850306,40.397943,39.146201,39.243996,717100
2021-03-09,40.329483,41.219391,39.899195,41.053143,656500
2021-03-10,41.679018,41.913721,40.69621,40.916241,783500
2021-03-11,41.688791,42.207088,41.571438,42.138634,438800
2021-03-12,41.688794,41.786585,41.150938,41.747467,702800
2021-03-15,41.84526,42.148413,41.546994,42.099518,344900
2021-03-16,42.246202,42.50046,41.463866,41.815914,488000
2021-03-17,41.590996,42.23936,41.082476,41.991943,617500
2021-03-18,41.454088,41.473647,40.56418,40.622856,593800
2021-03-19,40.779331,41.180279,40.388161,40.935799,481300
2021-03-22,40.99446,41.786578,40.99446,41.64967,411900
2021-03-23,41.630112,41.776802,41.156797,41.3074,361900
2021-03-24,41.551898,41.551898,40.349051,40.388168,383000
2021-03-25,40.15345,40.472252,39.76228,40.319695,1055100
2021-03-26,40.39794,41.062927,40.12901,41.062927,1328500
2021-03-29,40.946552,41.248732,40.466395,40.730434,444100
2021-03-30,40.52506,40.534841,39.954932,40.417492,295000
2021-03-31,40.652191,41.160711,40.534841,40.896671,333200
2021-04-01,41.444309,41.776802,41.258501,41.454086,1256300
2021-04-05,41.718129,41.94305,41.561662,41.94305,557000
2021-04-06,41.825704,42.412456,41.659456,42.187534,484500
2021-04-07,42.22665,42.285327,41.644786,41.747467,276900
2021-04-08,42.060402,42.383118,41.98217,42.304882,254400
2021-04-09,42.324441,42.334222,41.86482,42.304882,271900
2021-04-12,42.099507,42.685281,42.079948,42.490677,473600
2021-04-13,42.735175,43.321927,42.704857,43.233913,412300
2021-04-14,43.380588,43.664186,42.930745,42.999199,445600
2021-04-15,43.048097,43.849992,43.048097,43.752201,400500
2021-04-16,43.72287,43.72287,43.277917,43.488171,444700
2021-04-19,43.38059,43.70037,43.068633,43.351254,307700
2021-04-20,43.312141,43.37375,42.54936,42.686272,304600
2021-04-21,42.617825,43.077445,42.365518,43.008991,314700
2021-04-22,42.999212,43.703313,42.999212,43.126339,327500
2021-04-23,43.321914,43.556617,43.238791,43.419708,326800
2021-04-26,44.143376,44.563882,43.992777,44.534546,452200
2021-04-27,44.475867,44.514985,44.065142,44.182491,554200
2021-04-28,44.182496,44.182496,43.615299,43.615299,550400
2021-04-29,43.84022,43.84022,43.096998,43.458828,276700
2021-04-30,43.204562,43.497938,42.950301,43.057873,345400
2021-05-03,43.233896,43.400145,42.676481,42.793831,481300
2021-05-04,42.568915,42.568915,41.590993,42.207085,537000
2021-05-05,42.50046,42.539578,41.737683,41.806137,318500
2021-05-06,41.776811,41.806148,41.176365,41.581226,401400
2021-05-07,42.031058,42.424183,41.708346,42.060394,265300
2021-05-10,42.099515,42.246204,41.649672,41.688789,483500
2021-05-11,40.701089,42.157217,40.485949,42.109299,445800
2021-05-12,41.659454,41.767026,40.828222,41.033585,450300
2021-05-13,41.434534,41.590024,40.779328,41.082481,413200
2021-05-14,41.356297,42.158193,41.356297,42.138634,545900
2021-05-17,41.855033,42.031059,41.326955,41.708347,450000
2021-05-18,41.903934,42.226649,41.737689,41.845261,536500
2021-05-19,41.160709,41.727901,41.082473,41.64967,563400
2021-05-20,41.708347,42.510242,41.708347,42.432007,359100
2021-05-21,42.764503,43.043211,42.612927,42.686272,410300
2021-05-24,42.96009,43.356147,42.896527,43.204571,952500
2021-05-25,43.253467,43.400157,42.999209,43.028545,268100
2021-05-26,43.361031,43.900842,43.312136,43.673965,264100
2021-05-27,43.546835,43.732642,43.116551,43.585953,237400
2021-05-28,43.63486,43.830445,43.429497,43.507732,285400
2021-06-01,43.625075,43.69353,42.969866,43.243687,311500
2021-06-02,43.274007,43.527288,43.11754,43.507732,223100
2021-06-03,42.979649,43.08624,42.56892,42.656933,404700
2021-06-04,42.979653,43.149811,42.823186,43.126339,591000
2021-06-07,43.126333,43.660279,43.084283,43.654411,352000
2021-06-08,43.840223,44.175649,43.75221,44.045586,575200
2021-06-09,44.241162,44.25094,43.879329,43.977123,556100
2021-06-10,44.021138,44.974614,43.986911,44.955055,721300
2021-06-11,44.906155,45.140858,44.798587,45.140858,653300
2021-06-14,45.248433,45.346224,44.933544,45.228874,652400
2021-06-15,45.00395,45.316884,44.852373,44.974613,824400
2021-06-16,44.837697,45.355998,44.651894,45.131077,821700
2021-06-17,44.955052,45.805842,44.955052,45.747166,729500
2021-06-18,45.600478,45.805841,45.272872,45.375557,474600
2021-06-21,45.375551,45.580914,44.818136,45.414665,360900
2021-06-22,45.747163,46.148111,45.473346,46.118774,552900
2021-06-23,46.118777,46.197012,45.776506,45.913414,774600
2021-06-24,46.132623,46.366513,45.89678,46.112072,673100
2021-06-25,46.239293,46.366513,45.896781,46.258865,481200
2021-06-28,46.386083,46.660093,46.258863,46.444798,504700
2021-06-29,46.337148,46.562231,46.229504,46.366508,528700
2021-06-30,46.376302,46.376302,45.73042,45.759777,546700
2021-07-01,45.847842,45.954511,45.515114,45.798912,497500
2021-07-02,46.251032,46.251032,45.828274,46.08271,278300
2021-07-06,46.190362,46.875389,46.190362,46.875389,595500
2021-07-07,47.120047,47.168977,46.503522,47.061329,862500
2021-07-08,46.395869,47.012394,45.994639,46.875389,683300
2021-07-09,47.041754,47.384265,46.797101,47.364697,469200
2021-07-12,47.560411,47.736561,46.836242,46.94389,748400
2021-07-13,46.797096,47.276616,46.699237,46.797096,608700
2021-07-14,47.139607,47.18854,46.435011,46.493725,448000
2021-07-15,46.45458,46.581796,45.838055,46.10228,627900
2021-07-16,46.180568,46.558313,46.072924,46.151211,689800
2021-07-19,45.642335,46.219715,45.321352,46.08271,716100
2021-07-20,46.346935,47.257042,46.200142,46.983028,512800
2021-07-21,46.973243,47.28542,46.738376,47.22768,711700
2021-07-22,47.374476,47.883353,47.229643,47.853996,492200
2021-07-23,47.853995,48.499877,47.687629,48.460732,505500
2021-07-26,48.372664,48.372664,47.937183,48.176941,759100
2021-07-27,48.304151,48.382438,47.288353,47.844204,479000
2021-07-28,47.9225,48.323729,47.805064,48.157364,732300
2021-07-29,48.372656,48.636881,48.255224,48.304153,477400
2021-07-30,48.000789,48.333517,47.865741,47.991005,525000
2021-08-02,48.196503,48.499873,47.540837,48.206287,667300
2021-08-03,48.225865,48.402015,47.902926,48.235653,542300
2021-08-04,48.079075,48.441159,48.030145,48.333511,380200
2021-08-05,48.490091,48.558593,48.147579,48.411804,340300
2021-08-06,48.030148,48.225867,47.374478,47.648487,664500
2021-08-09,47.49191,47.912712,47.472337,47.785496,493500
