date,open,high,low,close,volume
2021-01-04,52.939999,53.049999,51.119999,51.18,2437000
2021-01-05,51.080002,51.720001,50.84,51.209999,1628500
2021-01-06,51.130001,52.09,51.060001,51.450001,2259800
2021-01-07,51.790001,52.450001,51.599998,52.389999,1264800
2021-01-08,52.84,53.439999,52.540001,52.93,1145800
2021-01-11,52.240002,53.790001,52.09,52.790001,1526800
2021-01-12,52.720001,54.279999,52.700001,54.200001,1087600
2021-01-13,54.860001,55.32,53.130001,53.200001,1352900
2021-01-14,53.599998,54.77,53.400002,54.459999,1190000
2021-01-15,54.369999,54.619999,53.310001,53.310001,1079300
2021-01-19,53.450001,53.709999,52.52,52.619999,1203200
2021-01-20,53.029999,53.209999,52.130001,52.84,1072600
2021-01-21,54.950001,54.98,53.779999,54.599998,1764900
2021-01-22,54.16,55.389999,54.150002,55.029999,1217200
2021-01-25,55.220001,56.32,54.59,55.0,1138100
2021-01-26,54.98,55.450001,54.380001,55.119999,1095200
2021-01-27,54.639999,56.990002,53.860001,56.509998,2040400
2021-01-28,56.02,56.099998,53.349998,54.07,2728300
2021-01-29,53.630001,54.889999,52.98,53.389999,2591200
2021-02-01,53.790001,55.150002,52.919998,54.860001,1539000
2021-02-02,54.990002,55.060001,53.189999,53.740002,2331700
2021-02-03,53.790001,54.23,53.009998,54.029999,1464300
2021-02-04,54.25,55.32,54.110001,54.900002,666100
2021-02-05,55.279999,55.5,54.84,55.330002,774800
2021-02-08,55.639999,56.560001,55.41,56.259998,699600
2021-02-09,56.23,56.299999,55.389999,55.799999,711700
2021-02-10,55.869999,56.189999,55.0,55.490002,807600
2021-02-11,55.950001,56.110001,55.43,55.650002,837500
2021-02-12,55.619999,56.59,55.349998,56.220001,697300
2021-02-16,56.099998,56.5,55.52,55.619999,750200
2021-02-17,55.580002,55.830002,54.439999,55.209999,1477300
2021-02-18,54.959999,55.240002,54.060001,54.48,971400
2021-02-19,54.900002,55.349998,54.369999,54.400002,1221500
2021-02-22,54.09,54.98,53.84,54.490002,1300300
2021-02-23,54.200001,54.459999,52.200001,54.220001,1460900
2021-02-24,53.970001,54.25,52.869999,52.889999,2264800
2021-02-25,52.91,53.209999,51.200001,51.849998,1424800
2021-02-26,52.470001,52.779999,51.299999,52.169998,1243600
2021-03-01,52.68,53.380001,52.290001,53.02,1331400
2021-03-02,53.080002,53.5,51.32,51.540001,1972300
2021-03-03,51.66,51.709999,50.549999,50.560001,2276100
2021-03-04,52.139999,53.48,48.740002,48.869999,4299000
2021-03-05,49.209999,50.200001,47.52,49.549999,2513400
2021-03-08,49.369999,50.299999,49.029999,49.200001,1563700
2021-03-09,49.990002,51.049999,49.790001,50.48,1295600
2021-03-10,51.110001,51.360001,50.290001,50.849998,934300
2021-03-11,53.200001,54.48,52.41,53.259998,2134200
2021-03-12,52.73,54.439999,52.73,54.34,1377400
2021-03-15,54.560001,56.400002,54.560001,56.369999,1363500
2021-03-16,56.360001,57.57,56.279999,57.240002,1166100
2021-03-17,56.740002,57.349998,56.279999,56.919998,1428100
2021-03-18,55.950001,56.91,55.119999,55.25,934000
2021-03-19,55.459999,55.950001,54.73,55.419998,1817200
2021-03-22,55.43,56.23,55.25,55.709999,842200
2021-03-23,55.700001,55.790001,53.470001,53.939999,1289000
2021-03-24,53.939999,54.119999,52.490002,52.509998,960600
2021-03-25,52.380001,54.0,51.990002,53.810001,1161000
2021-03-26,54.110001,55.639999,53.82,55.610001,1426400
2021-03-29,55.470001,56.439999,54.57,54.91,1013000
2021-03-30,54.32,54.959999,53.77,54.709999,799200
2021-03-31,54.849998,55.18,54.240002,54.720001,1314000
2021-04-01,54.98,56.630001,54.799999,56.599998,1004500
2021-04-05,56.950001,57.459999,56.610001,56.790001,842800
2021-04-06,56.490002,56.5,55.540001,55.900002,1085600
2021-04-07,55.970001,56.150002,55.459999,56.0,729800
2021-04-08,56.59,56.82,55.650002,56.630001,1154100
2021-04-09,56.59,56.799999,56.139999,56.459999,933900
2021-04-12,56.220001,57.650002,55.919998,56.200001,783200
2021-04-13,56.200001,56.299999,55.59,56.060001,762700
2021-04-14,56.209999,56.639999,55.759998,55.919998,1273300
2021-04-15,56.25,56.970001,56.18,56.48,1120600
2021-04-16,56.75,57.23,56.41,56.869999,1098700
2021-04-19,56.59,56.849998,54.630001,54.880001,1894600
2021-04-20,54.779999,55.169998,53.27,54.169998,1705200
2021-04-21,54.529999,55.369999,54.299999,54.919998,1115700
2021-04-22,54.830002,55.060001,53.84,53.849998,886600
2021-04-23,54.0,54.709999,53.650002,54.459999,886700
2021-04-26,54.599998,54.720001,53.959999,54.310001,1523100
2021-04-27,54.139999,54.310001,52.830002,52.91,1381600
2021-04-28,52.759998,52.91,51.759998,52.060001,1589700
2021-04-29,52.41,52.849998,52.0,52.75,1112800
2021-04-30,52.349998,52.43,50.279999,50.470001,2128000
2021-05-03,50.639999,51.830002,50.610001,51.360001,1068400
2021-05-04,51.0,51.07,49.619999,50.700001,2140600
2021-05-05,51.060001,51.630001,50.599998,51.349998,1372300
2021-05-06,51.18,52.91,51.099998,52.849998,2000800
2021-05-07,53.209999,54.150002,52.75,53.869999,1207300
2021-05-10,53.900002,54.34,53.349998,53.52,1393200
2021-05-11,52.48,53.869999,52.130001,53.68,1185500
2021-05-12,52.73,53.0,49.509998,49.52,2410700
2021-05-13,49.869999,51.02,49.57,50.639999,1455400
2021-05-14,50.889999,52.02,50.5,51.740002,1068600
2021-05-17,51.259998,52.369999,51.259998,52.060001,948500
2021-05-18,52.310001,52.869999,51.950001,52.029999,1483100
2021-05-19,51.130001,52.189999,51.009998,51.900002,1111600
2021-05-20,51.91,53.66,51.669998,53.41,1592000
2021-05-21,53.779999,54.060001,52.799999,52.900002,743400
2021-05-24,53.259998,54.060001,53.150002,53.459999,877600
2021-05-25,53.59,53.880001,52.950001,53.0,1109300
2021-05-26,52.970001,53.32,52.700001,52.959999,807400
2021-05-27,52.990002,53.919998,52.810001,52.939999,1075300
2021-05-28,53.110001,53.330002,52.419998,52.869999,1304600
2021-06-01,53.110001,53.5,52.5,53.5,1585900
2021-06-02,53.709999,54.43,53.419998,54.41,2250100
2021-06-03,57.950001,59.5,57.950001,58.380001,5760000
2021-06-04,58.740002,60.630001,58.580002,60.009998,3165500
2021-06-07,60.0,60.810001,59.799999,60.77,1872600
2021-06-08,60.880001,61.09,60.27,60.470001,1243500
2021-06-09,60.5,60.98,60.040001,60.080002,1600500
2021-06-10,60.459999,60.459999,58.830002,59.009998,1517600
2021-06-11,59.16,59.310001,58.400002,58.889999,1189200
2021-06-14,58.740002,58.82,57.720001,58.200001,1196700
2021-06-15,57.950001,58.169998,57.330002,57.630001,1171300
2021-06-16,57.610001,57.779999,57.0,57.540001,1620600
2021-06-17,57.259998,57.830002,56.599998,56.82,1181900
2021-06-18,56.389999,56.580002,55.48,56.150002,2225600
2021-06-21,56.16,57.369999,55.970001,57.110001,1239400
2021-06-22,57.040001,57.970001,56.919998,57.709999,1764400
2021-06-23,57.619999,57.91,57.18,57.18,1019200
2021-06-24,57.799999,58.060001,57.040001,57.650002,1099900
2021-06-25,57.810001,58.48,57.720001,58.139999,1847800
2021-06-28,58.150002,58.380001,57.389999,57.529999,895200
2021-06-29,57.669998,57.740002,56.91,57.32,629100
2021-06-30,57.25,57.400002,56.560001,56.889999,1105300
2021-07-01,57.130001,58.439999,57.130001,57.799999,1361300
2021-07-02,57.950001,58.130001,57.5,57.919998,643100
2021-07-06,58.27,58.380001,57.16,57.73,843700
2021-07-07,57.82,58.02,56.220001,56.799999,1074200
2021-07-08,55.98,57.189999,55.439999,56.48,878200
2021-07-09,56.880001,57.779999,56.880001,57.66,933100
2021-07-12,57.880001,57.959999,56.439999,56.759998,991900
2021-07-13,57.049999,57.23,56.48,56.860001,937400
2021-07-14,57.099998,57.490002,56.77,56.959999,660500
2021-07-15,56.700001,57.0,56.110001,56.490002,630400
2021-07-16,56.509998,56.700001,54.990002,55.049999,1483300
2021-07-19,54.16,54.459999,53.66,54.150002,1686300
2021-07-20,54.5,54.880001,54.049999,54.540001,1416400
2021-07-21,54.77,55.720001,54.32,55.549999,1287800
2021-07-22,55.540001,55.59,54.779999,55.419998,665600
2021-07-23,55.709999,56.389999,55.25,56.209999,748000
2021-07-26,56.119999,56.970001,56.099998,56.610001,807000
2021-07-27,56.5,56.549999,55.650002,56.450001,699000
2021-07-28,56.279999,57.139999,56.09,56.790001,676200
2021-07-29,57.189999,58.310001,57.099998,57.779999,650500
2021-07-30,57.490002,58.32,57.310001,58.139999,756200
2021-08-02,58.48,58.849998,57.759998,57.830002,739700
2021-08-03,57.849998,58.439999,57.369999,58.290001,680200
2021-08-04,58.0,58.150002,56.93,56.950001,740900
2021-08-05,56.869999,57.099998,56.470001,56.799999,517600
2021-08-06,56.869999,57.34,56.799999,56.860001,428800
2021-08-09,56.759998,57.459999,56.599998,56.860001,394000
2021-08-10,56.939999,57.009998,56.23,56.450001,918100
2021-08-11,56.540001,56.889999,55.830002,56.459999,892200
2021-08-12,56.5,56.540001,55.610001,56.110001,801400
2021-08-13,56.34,56.389999,55.810001,55.919998,569900
2021-08-16,55.75,56.049999,55.360001,55.990002,737700
2021-08-17,55.740002,55.84,54.959999,55.400002,1117200
2021-08-18,55.599998,55.950001,54.73,54.790001,1430200
2021-08-19,54.439999,55.16,54.259998,54.959999,982400
2021-08-20,54.900002,55.16,54.580002,54.990002,2361500
2021-08-23,55.169998,55.880001,54.970001,55.860001,2475500
2021-08-24,56.189999,56.330002,55.869999,56.27,1577800
2021-08-25,56.349998,57.48,56.099998,56.75,918400
2021-08-26,56.889999,57.049999,56.279999,56.720001,765500
2021-08-27,56.869999,57.419998,56.619999,57.18,1218900
2021-08-30,57.48,57.779999,57.099998,57.240002,890100
2021-08-31,57.240002,57.43,56.830002,57.130001,1016900
2021-09-01,57.139999,57.349998,56.240002,56.880001,1685300
2021-09-02,56.98,58.580002,56.0,58.509998,2999500
2021-09-03,58.200001,58.349998,56.27,56.919998,2456300
2021-09-07,56.73,56.98,55.549999,55.630001,1391300
2021-09-08,55.57,57.07,55.5,56.25,1657500
2021-09-09,56.32,56.52,55.450001,55.490002,935700
2021-09-10,55.509998,55.700001,53.860001,53.91,1440000
2021-09-13,54.259998,54.66,53.990002,54.32,1086100
2021-09-14,54.380001,54.389999,52.849998,52.959999,1096700
2021-09-15,53.0,53.740002,52.599998,53.380001,1604400
2021-09-16,53.48,54.139999,53.009998,53.779999,1151400
2021-09-17,53.830002,53.830002,52.91,53.139999,2714200
2021-09-20,52.189999,52.400002,51.290001,51.68,1415400
2021-09-21,51.91,52.029999,50.34,50.84,1347700
2021-09-22,51.09,51.66,50.849998,50.900002,1232700
