date,open,high,low,close,volume
1996-01-02,6.01323,6.12353,6.00207,6.08937,3816716
1996-01-03,6.13143,6.20726,6.13143,6.19601,6163356
1996-01-04,6.27165,6.32516,6.20726,6.26058,4905853
1996-01-05,6.18455,6.18455,6.01323,6.14298,6660052
1996-01-08,6.15384,6.18455,6.14298,6.18455,1088084
1996-01-09,6.1657,6.19601,6.08937,6.1657,5615103
1996-01-10,6.05925,6.05925,5.91844,5.91844,6327519
1996-01-11,5.97176,5.99428,5.9297,5.96001,2533949
1996-01-12,5.96001,6.02498,5.91844,6.01323,3838817
1996-01-15,5.99428,6.02498,5.98302,6.01323,2005693
1996-01-16,6.03624,6.11257,6.01323,6.0783,3575738
1996-01-17,6.10091,6.11257,5.99428,6.00207,4085052
1996-01-18,6.01323,6.1657,6.01323,6.14298,3434731
1996-01-19,6.11257,6.13143,6.06656,6.11257,3849336
1996-01-22,6.12353,6.1657,6.06656,6.13143,2340327
1996-01-23,6.13143,6.27165,6.13143,6.23797,3577838
1996-01-24,6.18455,6.24913,6.14298,6.14298,3867223
1996-01-25,6.14298,6.21506,6.04394,6.16164,3867223
1996-01-26,6.1732,6.18455,6.16164,6.1732,2049889
1996-01-29,6.18455,6.20726,6.1732,6.20726,3526275
1996-01-30,6.20726,6.30235,6.20726,6.30235,4341814
1996-01-31,6.31371,6.40119,6.30235,6.40119,5453056
1996-02-01,6.38954,6.38954,6.31371,6.33652,2638127
1996-02-02,6.31371,6.31371,6.22613,6.27984,2804397
1996-02-05,6.22613,6.26058,6.11978,6.23797,5517245
1996-02-06,6.22613,6.34787,6.18455,6.31371,4036643
1996-02-07,6.30235,6.37828,6.27165,6.291,3916681
1996-02-08,6.40119,6.70117,6.38954,6.58357,12851815
1996-02-09,6.58357,6.92947,6.56096,6.89905,13848357
1996-02-12,6.81157,6.82302,6.67095,6.75884,8084868
1996-02-13,6.75884,6.83487,6.73544,6.83487,8036466
1996-02-14,6.80041,6.81157,6.72438,6.74689,4502824
1996-02-15,6.76585,6.82302,6.74689,6.75884,4370231
1996-02-16,6.74689,6.86508,6.73544,6.84189,7829157
1996-02-20,6.78896,6.82302,6.75884,6.76585,4040860
1996-02-21,6.75884,6.83487,6.75884,6.78896,3291615
1996-02-22,6.81157,6.87624,6.76585,6.82302,5253110
1996-02-23,6.83487,6.90686,6.80041,6.84189,3985083
1996-02-26,6.82302,6.86508,6.78896,6.78896,2477126
1996-02-27,6.78896,6.81157,6.75884,6.75884,3651507
1996-02-28,6.7775,6.7775,6.73544,6.75884,5704558
1996-02-29,6.72438,6.89905,6.71303,6.76585,5797152
1996-03-01,6.91811,7.23349,6.88789,7.18047,11797405
1996-03-04,7.18047,7.2641,7.1234,7.14611,5585645
1996-03-05,6.97519,7.04716,6.96373,7.03976,4920589
1996-03-06,7.03976,7.09298,6.95228,6.96373,3426311
1996-03-07,6.94102,6.96373,6.91811,6.96373,3763047
1996-03-08,6.74689,6.91811,6.74689,6.89905,6855775
1996-03-11,6.87624,6.92947,6.78896,6.88789,8162736
1996-03-12,6.86508,6.99404,6.86508,6.96373,3841965
1996-03-13,6.94102,6.96373,6.89905,6.95228,2003592
1996-03-14,6.92947,6.92947,6.80041,6.81157,7229346
1996-03-15,6.81157,6.86508,6.7775,6.84189,3669393
1996-03-18,6.85373,6.90686,6.81157,6.89905,4205015
1996-03-19,6.91811,6.97519,6.84189,6.92947,4490190
1996-03-20,6.87624,6.99404,6.84189,6.95228,5062647
1996-03-21,6.92947,6.95228,6.87624,6.91811,2081465
1996-03-22,6.90686,6.99404,6.90686,6.97519,2341387
1996-03-25,6.99404,7.02831,6.84189,6.88789,3909316
1996-03-26,6.85373,6.96373,6.84189,6.91811,5359397
1996-03-27,6.91811,6.91811,6.78896,6.83487,3405263
1996-03-28,6.78896,6.78896,6.73544,6.75884,5960265
1996-03-29,6.74689,6.74689,6.72438,6.73544,5723497
1996-04-01,6.73544,6.83487,6.73544,6.7775,3164283
1996-04-02,6.75884,6.76585,6.67095,6.71303,3232687
1996-04-03,6.71303,6.74689,6.69396,6.74689,2999071
1996-04-04,6.74689,6.86508,6.74689,6.84189,3276885
1996-04-08,6.74689,6.74689,6.65931,6.70117,3751475
1996-04-09,6.72438,6.73544,6.64834,6.67095,4220797
1996-04-10,6.67095,6.67095,6.50764,6.5189,6146526
1996-04-11,6.5189,6.55336,6.40119,6.54171,4988986
1996-04-12,6.54171,6.60678,6.50764,6.60678,2036219
1996-04-15,6.60678,6.62909,6.53035,6.59502,1874154
1996-04-16,6.60678,6.69396,6.57212,6.65931,2288762
1996-04-17,6.65931,6.68231,6.56096,6.56096,8577354
1996-04-18,6.57212,6.65931,6.55336,6.65931,4447050
1996-04-19,6.62909,6.65931,6.59502,6.60678,3598891
1996-04-22,6.63709,6.70117,6.62909,6.70117,2743361
1996-04-23,6.69012,6.72043,6.65575,6.66731,4447050
1996-04-24,6.67876,6.69012,6.57981,6.59157,2260355
1996-04-25,6.59157,6.65575,6.56827,6.65575,2236154
1996-04-26,6.70117,6.72043,6.62543,6.63709,1674218
1996-04-29,6.61379,6.67876,6.57981,6.59157,1733146
1996-04-30,6.62543,6.67876,6.57981,6.66731,1433239
1996-05-01,6.6443,6.72043,6.62543,6.63709,2473973
1996-05-02,6.56827,6.61379,6.47367,6.59157,3226369
1996-05-03,6.59157,6.67876,6.59157,6.63709,5618263
1996-05-06,6.67876,6.69012,6.51504,6.59157,3409467
1996-05-07,6.56827,6.63709,6.54941,6.63709,2106716
1996-05-08,6.62543,6.74344,6.54941,6.73178,4276571
1996-05-09,6.70117,6.76585,6.69012,6.76585,2837016
1996-05-10,6.83062,6.86508,6.73178,6.84189,3010652
1996-05-13,6.85373,6.94102,6.84189,6.92947,2669701
1996-05-14,6.94102,7.01705,6.94102,6.97153,3818819
1996-05-15,6.95998,6.97153,6.90686,6.94102,4280783
1996-05-16,6.91811,6.97153,6.85373,6.85373,6183353
1996-05-17,6.87624,6.91811,6.84189,6.8952,3119034
1996-05-20,6.8952,6.90686,6.85373,6.88385,2913839
1996-05-21,6.90686,6.90686,6.81946,6.8952,4222903
1996-05-22,6.8952,6.98279,6.88385,6.95228,5370975
1996-05-23,6.87624,6.95998,6.85373,6.94102,4834303
1996-05-24,6.95998,7.0055,6.95228,6.99404,2539215
1996-05-28,7.01705,7.01705,6.92947,6.95998,3550482
1996-05-29,6.95998,6.98279,6.90686,6.97153,5010033
1996-05-30,6.94102,6.98279,6.85373,6.95228,4055589
1996-05-31,6.95228,7.01705,6.79636,6.85373,4779575
1996-06-03,6.80801,6.94102,6.78896,6.94102,2596041
1996-06-04,6.98279,7.15786,6.90686,7.15786,6669518
1996-06-05,7.13514,7.22214,7.04716,7.21088,6941012
1996-06-06,7.28691,7.28691,7.18047,7.24505,4036643
1996-06-07,7.11195,7.24505,7.05872,7.24505,4624885
1996-06-10,7.23349,7.23349,7.1234,7.16862,2585517
1996-06-11,7.16862,7.22214,7.13514,7.13514,2959088
1996-06-12,7.14611,7.15786,7.04716,7.07047,2033056
1996-06-13,7.07047,7.1234,7.05872,7.1234,2232990
1996-06-14,7.14611,7.18047,7.07047,7.10415,3101149
1996-06-17,7.10415,7.10415,6.99404,7.02831,2912783
1996-06-18,7.0055,7.1234,7.0055,7.02831,2901207
1996-06-19,7.02831,7.13514,7.01705,7.11195,2239312
1996-06-20,7.11195,7.23349,7.09298,7.19923,3232687
1996-06-21,7.22214,7.26776,7.18047,7.24505,5416221
1996-06-24,7.2567,7.46169,7.23349,7.42753,9602290
1996-06-25,7.41993,7.46169,7.37411,7.45024,5412009
1996-06-26,7.42753,7.46169,7.3514,7.36285,5582485
1996-06-27,7.34389,7.34389,7.18047,7.32098,8018576
1996-06-28,7.34389,7.40867,7.32098,7.37411,3052746
1996-07-01,7.38556,7.40867,7.30972,7.36285,2240356
1996-07-02,7.34389,7.3514,7.27556,7.32098,3589414
1996-07-03,7.29827,7.33243,7.2567,7.28691,3550482
1996-07-05,7.21088,7.24505,7.13514,7.14611,1382730
1996-07-08,7.11195,7.26776,7.08173,7.18047,3453670
1996-07-09,7.26776,7.33243,7.18047,7.19183,4326032
1996-07-10,7.16862,7.16862,7.05872,7.15786,5384650
1996-07-11,7.11195,7.19183,7.05872,7.09298,4386015
1996-07-12,7.11195,7.26776,7.09298,7.22214,4701705
1996-07-15,7.2567,7.26776,7.1234,7.14611,4615419
1996-07-16,7.13514,7.13514,6.87624,7.02831,6368553
1996-07-17,7.13514,7.13514,7.0055,7.05872,4008233
1996-07-18,7.07047,7.14611,7.03611,7.08173,2764404
1996-07-19,7.09298,7.18047,7.07047,7.15786,3247419
1996-07-22,7.13514,7.13514,7.07047,7.09298,1788925
1996-07-23,7.11195,7.25245,7.11195,7.16526,3772523
1996-07-24,7.17672,7.2641,7.06671,7.19923,6411709
1996-07-25,7.04716,7.04716,6.91416,6.96748,8382672
1996-07-26,6.92581,7.00204,6.89165,6.97883,5433058
1996-07-29,6.97883,6.99039,6.81552,6.83833,3837765
1996-07-30,6.86864,6.91416,6.84998,6.9028,3928258
1996-07-31,6.9028,6.96748,6.83833,6.86864,4476510
1996-08-01,6.91416,6.94852,6.86864,6.91416,4869027
1996-08-02,6.93717,7.02455,6.89165,6.99039,3479976
1996-08-05,6.97883,7.10069,6.97883,7.05507,2199317
1996-08-06,7.04716,7.15361,7.02455,7.14245,2428720
1996-08-07,7.17672,7.22214,7.08884,7.10069,3690437
1996-08-08,7.1234,7.13514,7.00204,7.11195,2908574
1996-08-09,7.13514,7.19923,7.1234,7.16526,2820186
1996-08-12,7.14245,7.22214,7.11195,7.18807,2120397
1996-08-13,7.17672,7.22984,7.14245,7.15361,2593933
1996-08-14,7.17672,7.21088,7.16526,7.18807,1742617
1996-08-15,7.18807,7.27556,7.16526,7.16526,2248779
1996-08-16,7.18807,7.30972,7.17672,7.21088,3517863
1996-08-19,7.18807,7.21088,7.16526,7.16526,2001488
1996-08-20,7.16526,7.19923,7.11195,7.11195,2509743
1996-08-21,7.14245,7.14245,7.05507,7.1234,2360324
1996-08-22,7.14245,7.24139,7.13514,7.22214,2251936
1996-08-23,7.24139,7.24139,7.17672,7.21088,2120397
1996-08-26,7.19923,7.27556,7.18807,7.2641,1866793
1996-08-27,7.25245,7.29827,7.22214,7.28691,1842589
1996-08-28,7.27556,7.36285,7.27556,7.34004,3453670
1996-08-29,7.34004,7.34004,7.18807,7.24139,2953822
1996-08-30,7.22984,7.24139,7.10069,7.11195,2126708
1996-09-03,7.05507,7.15361,7.0131,7.14245,2338226
1996-09-04,7.13514,7.14245,7.02455,7.10069,2493968
1996-09-05,7.07748,7.19923,7.02455,7.16526,4459678
1996-09-06,7.15361,7.27556,7.14245,7.25245,5507773
1996-09-09,7.25245,7.3514,7.25245,7.32859,3553638
1996-09-10,7.34004,7.3514,7.2641,7.27556,3020124
1996-09-11,7.25245,7.29827,7.22984,7.22984,7941756
1996-09-12,7.22984,7.42753,7.22984,7.38556,8408986
1996-09-13,7.43878,7.54917,7.43878,7.46169,4221855
1996-09-16,7.45024,7.57188,7.45024,7.52636,3660973
1996-09-17,7.50336,7.50336,7.39721,7.4843,2769666
1996-09-18,7.45024,7.59105,7.37411,7.58344,4333401
1996-09-19,7.59105,7.67853,7.59105,7.61366,5541446
1996-09-20,7.63637,7.68989,7.58344,7.68989,5206809
1996-09-23,7.67853,7.68989,7.59105,7.65966,2372950
1996-09-24,7.62511,7.76581,7.61366,7.67083,4233430
1996-09-25,7.72385,7.7356,7.67853,7.67853,3278990
1996-09-26,7.68989,7.85735,7.68989,7.76581,2666553
1996-09-27,7.77737,7.77737,7.68989,7.7356,3745159
1996-09-30,7.68989,7.7356,7.6024,7.6024,2936987
1996-10-01,7.63637,7.81193,7.61366,7.76581,3790406
1996-10-02,7.7356,7.7356,7.61366,7.70124,3090625
1996-10-03,7.70124,7.7123,7.47304,7.52636,5996046
1996-10-04,7.57188,7.76581,7.56043,7.72385,7344046
1996-10-07,7.70124,7.82348,7.68989,7.77737,2919098
1996-10-08,7.76581,7.81193,7.70124,7.72385,2950669
1996-10-09,7.74686,7.75802,7.59105,7.64792,2880155
1996-10-10,7.63637,7.64792,7.59105,7.62511,2147759
1996-10-11,7.63637,7.7356,7.61366,7.67853,4380749
1996-10-14,7.70124,7.78872,7.70124,7.74686,2162490
1996-10-15,7.76581,7.83464,7.74686,7.75802,2334015
1996-10-16,7.7356,7.77737,7.67853,7.77737,2176172
1996-10-17,7.75802,7.89903,7.67083,7.67853,4924794
1996-10-18,7.70124,7.87552,7.70124,7.86485,4621731
1996-10-21,7.85735,7.98749,7.84659,7.89903,5601430
1996-10-22,7.88707,7.97535,7.85735,7.9638,2651814
1996-10-23,7.94019,7.9638,7.89477,7.95234,3179018
1996-10-24,7.95234,7.98325,7.84224,7.86485,2935939
1996-10-25,7.84224,7.85399,7.79633,7.84224,1634232
1996-10-28,7.81904,7.89477,7.78468,7.84224,1847856
1996-10-29,7.85399,8.00646,7.78468,7.95234,2490808
1996-10-30,8.00646,8.01742,7.9638,7.97535,2013061
1996-10-31,7.9949,8.12741,7.98325,8.1045,3231634
1996-11-01,8.09236,8.13956,8.02907,8.06096,4855341
1996-11-04,8.07301,8.16247,8.06096,8.12741,3163241
1996-11-05,8.16247,8.20117,8.12741,8.16247,2894895
1996-11-06,8.19189,8.29201,8.1516,8.22526,3644142
1996-11-07,8.16247,8.22526,8.11635,8.19189,6007616
1996-11-08,8.22526,8.38079,8.22526,8.28323,5654039
1996-11-11,8.29201,8.38079,8.28323,8.325,1791029
1996-11-12,8.325,8.33665,8.22526,8.22526,3307397
1996-11-13,8.27207,8.29201,8.21312,8.27207,2822291
1996-11-14,8.26091,8.325,8.22526,8.27207,1551098
1996-11-15,8.35778,8.48911,8.325,8.33665,3901950
1996-11-18,8.35778,8.4587,8.34731,8.40014,1905728
1996-11-19,8.38079,8.40014,8.30259,8.35778,1924666
1996-11-20,8.35778,8.41238,8.24867,8.35778,4448096
1996-11-21,8.325,8.38829,8.30259,8.33665,2704431
1996-11-22,8.36933,8.38829,8.20117,8.22526,3228474
1996-11-25,8.21312,8.24867,8.19189,8.22526,3111671
1996-11-26,8.22526,8.29201,8.1516,8.20117,3185328
1996-11-27,8.21312,8.22526,8.13956,8.17293,2058305
1996-11-29,8.18044,8.21312,8.1516,8.1516,1053358
1996-12-02,8.18044,8.18044,7.90554,7.98325,5221543
1996-12-03,8.05,8.17293,8.03923,8.1045,5016343
1996-12-04,8.1045,8.13956,7.92904,7.9638,5288896
1996-12-05,7.9638,8.01742,7.81904,7.85399,5523562
1996-12-06,7.72039,7.95234,7.6101,7.87128,5675090
1996-12-09,7.88292,8.06096,7.87128,8.01742,4054533
1996-12-10,8.09236,8.16247,8.05,8.07301,3532595
1996-12-11,8.00646,8.06096,7.90554,7.94019,4738536
1996-12-12,7.9638,8.00646,7.85399,7.97535,4591214
1996-12-13,7.95234,8.18044,7.94019,8.16247,6165465
1996-12-16,8.16247,8.17293,8.00646,8.00646,2668651
1996-12-17,7.94019,8.06096,7.87128,8.06096,2942246
1996-12-18,8.06096,8.06096,7.9638,8.00646,2493968
1996-12-19,8.00646,8.1045,7.88292,8.06096,5502512
1996-12-20,8.18044,8.18044,8.06096,8.11635,8160637
1996-12-23,8.13956,8.19189,8.06096,8.07301,2468717
1996-12-24,8.02907,8.1045,8.02907,8.08061,1354319
1996-12-26,8.1045,8.1516,8.02907,8.09236,1868895
1996-12-27,8.11635,8.18044,8.08061,8.16247,1623707
1996-12-30,8.18044,8.27207,8.16247,8.20117,2461344
1996-12-31,8.20117,8.20117,8.11635,8.11635,1947819
1997-01-02,8.11635,8.11635,7.91739,8.00646,2947503
1997-01-03,8.07301,8.07301,7.9638,7.9949,5936055
1997-01-06,8.05,8.18044,8.01742,8.1045,5711922
1997-01-07,8.09236,8.09236,7.95234,8.02907,4031386
1997-01-08,8.03923,8.08061,7.95234,8.06096,5869769
1997-01-09,8.09236,8.18044,8.07301,8.09236,5174189
1997-01-10,8.05,8.06096,7.95234,8.06096,4763788
1997-01-13,8.08061,8.12741,8.01742,8.05,2899098
1997-01-14,8.07301,8.17293,8.03923,8.12741,4380749
1997-01-15,8.13956,8.18044,8.09236,8.1516,5451999
1997-01-16,8.16247,8.31295,8.1516,8.28323,3917734
1997-01-17,8.30259,8.48111,8.29201,8.43638,4495456
1997-01-20,8.44803,8.55527,8.44803,8.53256,5327830
1997-01-21,8.51053,8.52139,8.43638,8.43638,4068220
1997-01-22,8.4587,8.4587,8.40014,8.4587,4517549
1997-01-23,8.51053,8.56375,8.40804,8.40804,3837765
1997-01-24,8.43183,8.43183,8.27987,8.3329,2338226
1997-01-27,8.29201,8.4192,8.24442,8.29883,3997719
1997-01-28,8.37723,8.48911,8.26852,8.29201,4328136
1997-01-29,8.29883,8.35353,8.25647,8.29883,2244576
1997-01-30,8.37723,8.40014,8.29201,8.40014,3241103
1997-01-31,8.40014,8.5523,8.27987,8.5523,5925542
1997-02-03,8.60029,8.60029,8.47735,8.51053,3212688
1997-02-04,8.52139,8.76578,8.52139,8.74337,8716253
1997-02-05,8.74337,8.85288,8.6628,8.70871,8031204
1997-02-06,8.70871,8.81763,8.67386,8.80656,3798822
1997-02-07,8.8745,9.12659,8.86344,9.12659,6112845
1997-02-10,9.01649,9.10832,8.99773,9.07495,5948686
1997-02-11,9.09598,9.11128,9.04987,9.10832,5877130
1997-02-12,9.10832,9.42894,9.10832,9.39339,7148317
1997-02-13,9.41808,9.65901,9.36999,9.52571,7286166
1997-02-14,9.36999,9.49213,9.06122,9.24104,8856219
1997-02-18,9.26049,9.48127,9.24884,9.48127,4732224
1997-02-19,9.39339,9.39339,9.27303,9.27303,4085052
1997-02-20,9.27303,9.33859,9.13903,9.18386,4833244
1997-02-21,9.18386,9.21753,9.12659,9.12659,2973815
1997-02-24,9.10832,9.12659,9.01649,9.09598,5788734
1997-02-25,9.10832,9.26049,9.07495,9.10832,4470196
1997-02-26,9.10832,9.10832,8.9293,9.08551,7499796
1997-02-27,9.14871,9.30472,9.13903,9.24104,5112105
1997-02-28,9.21753,9.24104,9.13903,9.14871,4933211
1997-03-03,9.01649,9.31647,9.01649,9.30472,4140825
1997-03-04,9.32882,9.39339,9.19532,9.21753,5518296
1997-03-05,9.21753,9.44968,9.19532,9.42894,6175989
1997-03-06,9.50201,9.68074,9.49213,9.64716,7490320
1997-03-07,9.64716,10.0777,9.64716,10.0589,9852752
1997-03-10,10.0471,10.0471,9.79034,9.92463,7990161
1997-03-11,9.94731,9.96708,9.83675,9.91377,3796726
1997-03-12,9.7696,9.77849,9.62544,9.7232,5104740
1997-03-13,9.70345,9.70345,9.50201,9.57015,3772523
1997-03-14,9.5583,9.71628,9.5583,9.6363,4910066
1997-03-17,9.59582,9.65901,9.48127,9.60372,3976667
1997-03-18,9.57015,9.62544,9.50201,9.5583,4154509
1997-03-19,9.5494,9.64716,9.49213,9.52571,4430212
1997-03-20,9.57015,9.58397,9.36999,9.41808,3919842
1997-03-21,9.48127,9.50201,9.3612,9.36999,6592704
1997-03-24,9.36999,9.61161,9.36999,9.60372,4923744
1997-03-25,9.61161,9.64716,9.51287,9.53756,2566577
1997-03-26,9.53756,9.57015,9.42894,9.50201,3831443
1997-03-27,9.50201,9.50201,9.12659,9.13903,4126095
1997-03-31,9.11889,9.11889,8.77408,8.80656,7003103
1997-04-01,8.75482,9.07495,8.71948,9.07495,7665002
1997-04-02,9.10832,9.35044,8.97413,9.16115,6674779
1997-04-03,9.14871,9.16115,8.77408,9.01649,7444016
1997-04-04,8.97413,9.12659,8.78701,9.11889,7871252
1997-04-07,9.14871,9.22938,9.12659,9.12659,4089263
1997-04-08,9.10832,9.10832,8.97413,8.98648,2764404
1997-04-09,8.84083,9.02696,8.84083,9.00533,4693282
1997-04-10,8.98648,9.06122,8.95191,8.98648,2860173
1997-04-11,8.94145,8.95191,8.77408,8.79808,2518173
1997-04-14,8.79808,8.96209,8.70871,8.91725,3134821
1997-04-15,9.12659,9.26049,9.09598,9.26049,6395912
1997-04-16,9.21753,9.52571,9.19532,9.4714,5643522
1997-04-17,9.4714,9.4714,9.27303,9.29208,4284990
1997-04-18,9.30472,9.53756,9.28132,9.51287,5624576
1997-04-21,9.49213,9.59582,9.49213,9.53756,3332658
1997-04-22,9.53756,9.71628,9.50201,9.65901,5926590
1997-04-23,9.67382,9.67382,9.50596,9.59976,5601430
1997-04-24,9.68468,9.70739,9.45363,9.46448,4115569
1997-04-25,9.44177,9.59976,9.4319,9.49609,2634972
1997-04-28,9.48423,9.6521,9.48423,9.61655,2198271
1997-04-29,9.8634,9.93946,9.7311,9.93946,4353397
1997-04-30,9.90784,10.0303,9.81798,9.8634,3725164
1997-05-01,9.84069,9.91772,9.7311,9.75578,3508393
1997-05-02,9.76269,9.8091,9.67382,9.75578,2919098
1997-05-05,9.75578,9.88809,9.68468,9.84069,4315506
1997-05-06,9.88809,10.0609,9.82983,9.89797,6311731
1997-05-07,9.91772,10.0086,9.7311,9.77356,4348131
1997-05-08,9.77356,9.98486,9.69653,9.89797,4735380
1997-05-09,9.97304,10.0303,9.8634,9.93946,4560693
1997-05-12,9.95128,10.1656,9.93946,10.1064,3408424
1997-05-13,10.128,10.1656,9.96311,10.1064,4639625
1997-05-14,10.1962,10.2959,10.1064,10.2179,6476944
1997-05-15,10.2297,10.3857,10.2179,10.2851,7856514
1997-05-16,10.3077,10.3966,9.84069,9.95128,7228816
1997-05-19,9.99668,10.1528,9.97304,10.1528,2658128
1997-05-20,10.1528,10.1528,9.99668,10.0836,3654663
1997-05-21,10.3966,10.4411,10.2179,10.3275,6010777
1997-05-22,10.3966,10.4835,10.3531,10.3966,5571434
1997-05-23,10.5319,10.7116,10.4835,10.6138,3152182
1997-05-27,10.5744,11.0206,10.4628,10.9723,8708364
1997-05-28,10.9723,10.9723,10.7827,10.8163,4884278
1997-05-29,10.9051,11.1026,10.8163,10.8657,10207903
1997-05-30,10.8657,11.0858,10.7116,11.0206,3947729
1997-06-02,11.0206,11.0454,10.7709,10.8163,3235839
1997-06-03,10.7116,10.9269,10.6869,10.8429,1808919
1997-06-04,10.7955,10.9051,10.6869,10.7955,2093564
1997-06-05,10.9723,11.0602,10.9486,11.0454,1973596
1997-06-06,10.999,11.2409,10.9486,11.2409,2897529
1997-06-09,11.2409,11.5084,11.2409,11.4156,5389914
1997-06-10,11.463,11.5312,11.3732,11.5312,4189758
1997-06-11,11.5312,11.6645,11.5084,11.5717,4567001
1997-06-12,11.6645,11.7277,11.5509,11.6645,3536277
1997-06-13,11.7059,11.9044,11.6862,11.8215,4342345
1997-06-16,11.7731,11.8215,11.6645,11.7731,3672023
1997-06-17,11.5509,11.7514,11.5312,11.5973,4523341
1997-06-18,11.5509,11.5509,11.4156,11.5084,2778090
1997-06-19,11.6151,11.7968,11.5717,11.7059,2949616
1997-06-20,11.7277,11.7277,11.5312,11.5509,4334448
1997-06-23,11.5717,11.6151,11.3969,11.3969,2223521
1997-06-24,11.4284,11.7277,11.4156,11.6546,2981185
1997-06-25,11.5973,11.6151,11.308,11.5184,3215324
1997-06-26,11.5084,11.7158,11.4976,11.5973,3396321
1997-06-27,11.6862,11.7731,11.6417,11.7277,3347912
1997-06-30,11.7277,11.8215,11.5509,11.5973,4279205
1997-07-01,11.5184,11.6151,11.3524,11.5717,3964559
1997-07-02,11.6862,11.7968,11.5312,11.7158,3397896
1997-07-03,11.8215,11.9291,11.8096,11.8956,2923311
1997-07-07,11.8708,12.0357,11.6645,11.6862,3542587
1997-07-08,11.6862,12.0476,11.6862,11.9538,3477349
