date,open,high,low,close,volume
1996-01-02,6.26433,6.54028,6.13782,6.54028,758958
1996-01-03,6.54028,6.62229,6.41367,6.56272,409245
1996-01-04,6.56272,6.60014,6.43572,6.49579,423195
1996-01-05,6.43572,6.56272,6.36879,6.51793,287490
1996-01-08,6.47296,6.54028,6.47296,6.51793,48271
1996-01-09,6.47296,6.51793,6.34625,6.34625,375456
1996-01-10,6.3091,6.41367,6.24944,6.36879,608779
1996-01-11,6.34625,6.45072,6.34625,6.41367,623257
1996-01-12,6.43572,6.47296,6.34625,6.34625,733748
1996-01-15,6.32391,6.36879,6.19711,6.21954,572843
1996-01-16,6.21954,6.21954,6.05551,6.1824,891440
1996-01-17,6.13782,6.15968,6.05551,6.07049,1339840
1996-01-18,6.09284,6.11548,5.98838,6.01063,1008365
1996-01-19,6.01063,6.01063,5.83933,5.86186,1329113
1996-01-22,5.96603,6.43572,5.94359,6.43572,1225061
1996-01-23,6.26433,6.3091,6.11548,6.3091,475224
1996-01-24,6.3091,6.43572,6.3091,6.34625,687622
1996-01-25,6.3091,6.36879,6.19711,6.36879,623257
1996-01-26,6.32391,6.36879,6.28696,6.34625,511158
1996-01-29,6.32391,6.49579,6.32391,6.45072,465562
1996-01-30,6.45072,6.49579,6.34625,6.45072,769148
1996-01-31,6.45072,6.54028,6.39133,6.54028,679043
1996-02-01,6.57752,6.57752,6.49579,6.54028,536365
1996-02-02,6.49579,6.54028,6.47296,6.51793,474682
1996-02-05,6.51793,6.51793,6.39133,6.43572,1052881
1996-02-06,6.41367,6.54028,6.36879,6.54028,922551
1996-02-07,6.49579,6.54028,6.45072,6.51793,390479
1996-02-08,6.51793,6.60014,6.51793,6.60014,534751
1996-02-09,6.56272,6.60014,6.56272,6.60014,650612
1996-02-12,6.60014,6.70442,6.60014,6.70442,1602123
1996-02-13,6.66738,6.73401,6.66738,6.70442,1237398
1996-02-14,6.68953,6.77174,6.68953,6.70442,1314637
1996-02-15,6.68953,6.74901,6.68953,6.73401,957950
1996-02-16,6.73401,6.74901,6.68953,6.73401,2290815
1996-02-20,6.73401,6.83102,6.70442,6.77174,716045
1996-02-21,6.74901,6.92079,6.74901,6.89844,1210041
1996-02-22,6.89844,7.06984,6.79399,7.06984,984231
1996-02-23,7.02505,7.12952,6.94294,7.12952,979403
1996-02-26,7.09218,7.09218,6.92079,7.02505,962238
1996-02-27,7.06984,7.24113,7.06984,7.24113,2238788
1996-02-28,7.27886,7.30119,7.17439,7.25622,1955052
1996-02-29,7.21888,7.24113,7.15205,7.17439,945077
1996-03-01,7.24113,7.25622,7.12952,7.15205,471998
1996-03-04,7.19683,7.19683,7.10707,7.15205,401741
1996-03-05,7.10707,7.17439,7.06984,7.17439,644714
1996-03-06,7.15205,7.19683,7.12952,7.12952,546023
1996-03-07,7.09218,7.12952,7.06984,7.10707,803475
1996-03-08,7.10707,7.10707,6.80868,6.83102,558890
1996-03-11,6.80868,6.95792,6.80868,6.92079,1397235
1996-03-12,6.89844,6.89844,6.79399,6.89844,1035723
1996-03-13,6.93539,6.93539,6.876,6.92079,526174
1996-03-14,6.98027,7.12952,6.98027,7.06984,738579
1996-03-15,7.06984,7.10707,7.02505,7.04739,837804
1996-03-18,7.02505,7.15205,6.98027,7.10707,574452
1996-03-19,7.10707,7.10707,7.02505,7.09218,286416
1996-03-20,7.09218,7.09218,6.89844,6.95792,334691
