date,open,high,low,close,volume
1996-01-02,6.39014,6.39014,6.28995,6.28995,190726
1996-01-03,6.39014,6.62329,6.39014,6.55652,148406
1996-01-04,6.55652,6.62329,6.35651,6.35651,237235
1996-01-05,6.32308,6.4229,6.32308,6.39014,219372
1996-01-08,6.39014,6.48996,6.39014,6.48996,62934
1996-01-09,6.48996,6.59015,6.39014,6.4229,208824
1996-01-10,6.35651,6.35651,6.04766,6.04766,320551
1996-01-11,6.12298,6.22337,6.12298,6.18974,544484
1996-01-12,6.12298,6.15661,5.98099,6.01433,643498
1996-01-15,6.04766,6.04766,5.84755,5.88098,656206
1996-01-16,5.91423,6.04766,5.91423,5.98099,271881
1996-01-17,6.01433,6.48996,6.01433,6.4229,914658
1996-01-18,6.65662,6.65662,6.52329,6.59015,522182
1996-01-19,6.59015,6.75692,6.55652,6.72369,567016
1996-01-22,6.75692,6.92379,6.75692,6.89026,441151
1996-01-23,6.92379,7.0237,6.92379,7.0237,442586
1996-01-24,6.95702,6.95702,6.52329,6.72369,1103107
1996-01-25,6.92379,7.15743,6.85692,7.15743,434314
1996-01-26,7.19066,7.19066,6.89026,7.05741,499045
1996-01-29,7.09056,7.09056,6.89026,6.99065,172503
1996-01-30,6.95702,6.99065,6.92379,6.99065,161353
1996-01-31,6.95702,7.26578,6.92379,7.23235,751026
1996-02-01,7.26578,7.26578,7.09056,7.19066,479270
1996-02-02,7.1826,7.51633,7.1826,7.34898,841292
1996-02-05,7.24936,7.24936,7.11572,7.14888,210144
1996-02-06,7.11572,7.14888,6.91533,7.01543,326183
1996-02-07,7.08209,7.21554,7.04906,7.08209,275956
1996-02-08,7.14888,7.1826,7.11572,7.14888,245630
1996-02-09,7.14888,7.31613,7.14888,7.24936,254019
1996-02-12,7.21554,7.2825,7.08209,7.1826,217936
1996-02-13,7.14888,7.54956,7.08209,7.44907,487541
1996-02-14,7.38251,7.54956,7.38251,7.44907,268163
1996-02-15,7.34898,7.4827,7.21554,7.24936,199957
1996-02-16,7.1826,7.2825,7.1826,7.21554,225005
1996-02-20,7.14888,7.14888,6.9822,7.01543,169263
1996-02-21,6.9822,7.14888,6.9822,7.04906,190364
1996-02-22,7.1826,7.2825,7.08209,7.21554,231360
1996-02-23,7.1826,7.34898,7.1826,7.34898,277752
1996-02-26,7.38251,7.38251,7.21554,7.2825,232085
1996-02-27,7.2825,7.2825,7.08209,7.11572,152607
1996-02-28,7.14888,7.2825,7.14888,7.1826,222849
1996-02-29,7.14888,7.24936,7.08209,7.21554,301128
1996-03-01,7.24936,7.24936,7.08209,7.11572,266248
1996-03-04,7.14888,7.2825,7.14888,7.21554,166267
1996-03-05,7.1826,7.31613,7.14888,7.21554,374499
1996-03-06,7.21554,7.21554,7.08209,7.14888,241193
1996-03-07,7.08209,7.11572,7.04906,7.08209,118557
1996-03-08,6.88189,6.91533,6.40646,6.50667,482626
1996-03-11,6.50667,6.74011,6.47333,6.74011,465481
1996-03-12,6.64029,6.70687,6.5398,6.67353,221297
1996-03-13,6.67353,6.67353,6.5398,6.60676,299334
1996-03-14,6.64029,6.84896,6.64029,6.7824,709428
1996-03-15,6.74011,6.74011,6.64029,6.67353,395954
1996-03-18,6.81513,7.01543,6.70687,7.01543,498448
1996-03-19,7.21554,7.38251,7.21554,7.34898,1167722
1996-03-20,7.54956,7.75783,7.41624,7.51633,635348
1996-03-21,7.4827,7.4827,7.21554,7.2825,392835
1996-03-22,7.2825,7.41624,7.14888,7.41624,239153
1996-03-25,7.41624,7.51633,7.41624,7.44907,432280
1996-03-26,7.44907,7.44907,7.2825,7.2825,116760
1996-03-27,7.34898,7.41624,7.31613,7.34898,139297
1996-03-28,7.31613,7.38251,7.21554,7.38251,118920
1996-03-29,7.38251,7.41624,7.34898,7.41624,197075
1996-04-01,7.41624,7.69117,7.38251,7.69117,532489
1996-04-02,7.75783,7.75783,7.41624,7.44907,320313
1996-04-03,7.44907,7.51633,7.34898,7.44907,185690
1996-04-04,7.44907,7.4827,7.34898,7.38251,112083
1996-04-08,7.08209,7.21554,7.08209,7.1826,282429
1996-04-09,7.24936,7.24936,7.08209,7.08209,248381
1996-04-10,7.08209,7.11572,7.04906,7.08209,231484
1996-04-11,7.08209,7.08209,6.74011,6.74011,569536
1996-04-12,6.7824,7.01543,6.74011,6.94877,194437
1996-04-15,6.9822,6.9822,6.81513,6.84896,131865
1996-04-16,6.88189,6.94877,6.74011,6.7824,381926
1996-04-17,6.81513,7.04906,6.74011,6.9822,501925
1996-04-18,7.01543,7.41624,6.94877,7.41624,466921
1996-04-19,7.41624,7.44907,7.2825,7.34898,203429
1996-04-22,7.41624,7.44907,7.2825,7.34898,220331
1996-04-23,7.2825,7.75783,7.2825,7.69117,472313
1996-04-24,7.69117,7.85853,7.62469,7.65802,359389
1996-04-25,7.65802,7.69117,7.59126,7.62469,99740
1996-04-26,7.60788,8.08321,7.60788,8.08321,336493
1996-04-29,7.9836,8.14968,7.9836,8.14968,231123
1996-04-30,8.11654,8.14968,7.9836,7.9836,475431
1996-05-01,7.9836,8.11654,7.91634,8.05027,278235
1996-05-02,7.91634,8.01655,7.77474,7.80798,490053
1996-05-03,7.88301,7.91634,7.74111,7.77474,75524
1996-05-06,7.77474,7.77474,7.44091,7.50748,99015
1996-05-07,7.57415,7.64072,7.37425,7.37425,115080
1996-05-08,7.37425,7.57415,7.30747,7.54121,278352
1996-05-09,7.57415,7.57415,7.34072,7.47455,83552
1996-05-10,7.60788,7.88301,7.60788,7.84131,164711
1996-05-13,7.84131,8.11654,7.84131,8.01655,287464
1996-05-14,8.01655,8.05027,7.94948,7.9836,146128
1996-05-15,7.9836,8.05027,7.84131,7.88301,88108
1996-05-16,7.88301,7.88301,7.67465,7.70788,132943
1996-05-17,7.77474,7.84131,7.74111,7.80798,119396
1996-05-20,7.88301,8.05027,7.80798,7.9836,194805
1996-05-21,8.14968,8.44999,8.14968,8.28341,555627
1996-05-22,8.24929,8.75914,8.21655,8.5905,557188
1996-05-23,8.75914,8.75914,8.5905,8.5905,353994
1996-05-24,8.5905,8.72531,8.5905,8.69247,227647
1996-05-28,8.72531,8.72531,8.41596,8.41596,174178
1996-05-29,8.38341,8.38341,8.18243,8.18243,290823
1996-05-30,8.24929,8.38341,8.08321,8.28341,239153
1996-05-31,8.31754,8.31754,8.14968,8.21655,103097
1996-06-03,8.18243,8.31754,8.18243,8.24929,271520
1996-06-04,8.28341,8.38341,8.28341,8.28341,107170
1996-06-05,8.31754,8.31754,8.18243,8.28341,75524
1996-06-06,8.38341,8.44999,8.18243,8.18243,270683
1996-06-07,8.18243,8.18243,8.05027,8.14968,101176
1996-06-10,8.21655,8.21655,8.05027,8.14968,107767
1996-06-11,8.18243,8.18243,8.01655,8.11654,215296
1996-06-12,8.11654,8.14968,7.80798,7.80798,282189
1996-06-13,7.84131,7.84131,7.67465,7.84131,295376
1996-06-14,7.80798,8.11654,7.77474,8.01655,174781
1996-06-17,7.94948,8.08321,7.91634,8.01655,103692
1996-06-18,8.08321,8.52591,8.08321,8.38341,645418
1996-06-19,8.41596,8.44999,8.18243,8.21655,925324
1996-06-20,8.08321,8.18243,7.88301,7.91634,960451
1996-06-21,7.9836,8.05027,7.84131,7.84131,366700
1996-06-24,7.88301,7.88301,7.77474,7.84131,166388
1996-06-25,7.88301,7.88301,7.70788,7.77474,152719
1996-06-26,7.84131,7.84131,7.74111,7.74111,89548
1996-06-27,7.74111,7.77474,7.70788,7.77474,390559
1996-06-28,7.74111,7.80798,7.60788,7.70788,302926
1996-07-01,7.67465,7.88301,7.67465,7.84131,132222
1996-07-02,7.84131,7.84131,7.77474,7.84131,140496
1996-07-03,7.80798,7.88301,7.80798,7.88301,169983
1996-07-05,7.77474,7.77474,7.70788,7.74111,131744
1996-07-08,7.67465,7.77474,7.47455,7.47455,348363
1996-07-09,7.44091,7.54121,7.40748,7.47455,222849
1996-07-10,7.50748,7.57415,7.34072,7.37425,152126
1996-07-11,7.34072,7.34072,7.03225,7.13244,124671
1996-07-12,7.19892,7.19892,7.09881,7.19892,119396
1996-07-15,7.19892,7.19892,6.96559,7.06598,291540
1996-07-16,7.03225,7.03225,6.76538,6.99872,324863
1996-07-17,7.09881,7.37425,7.09881,7.34072,173220
1996-07-18,7.37425,7.77474,7.19892,7.74111,553351
1996-07-19,7.67465,7.77474,7.60788,7.74111,201872
1996-07-22,7.74111,7.74111,7.64072,7.74111,98302
1996-07-23,7.70788,7.77474,7.67465,7.74111,444862
